,comparison,correlation,p_val
1,MDA 0 vs HCC_AA 1,0.03256534202083719,0.14010792915427212
2,MDA 0 vs HCC_AA 2,-0.26088944330663255,1.73142981826766e-17
3,MDA 0 vs HCC_AA 3,-0.35555838186783967,1.444748369854638e-20
4,MDA 0 vs HCC_AA 4,0.24215887383627555,5.810794124727171e-22
5,MDA 0 vs HCC_AA 5,0.2527989177216005,3.381606168544188e-35
6,MDA 0 vs HCC_AA 6,-0.15119310828249077,0.0005282223770826741
7,MDA 0 vs HCC_AA 7,0.2011563197269983,5.077527881455804e-05
8,MDA 0 vs HCC_AA 8,0.18400928579054293,1.8123643109272723e-05
9,MDA 0 vs HCC_AA 9,0.2886746835888239,2.6230822421417773e-19
10,MDA 0 vs HCC_AA 10,0.16776714889994987,7.084577730382679e-06
11,MDA 0 vs HCC_AA 11,0.21988636403213352,1.089477202963829e-06
12,MDA 1 vs HCC_AA 1,-0.09758757617534398,1.6472342544043336e-05
13,MDA 1 vs HCC_AA 2,-0.0237511548258884,0.4627784396211191
14,MDA 1 vs HCC_AA 3,-0.20300053264978143,1.070117033747325e-06
15,MDA 1 vs HCC_AA 4,-0.10232247186398456,0.00020408144599634844
16,MDA 1 vs HCC_AA 5,0.16538205616719545,2.031692085675118e-14
17,MDA 1 vs HCC_AA 6,0.058628038165682655,0.1974238682389505
18,MDA 1 vs HCC_AA 7,0.14898809283958578,0.002342602225423437
19,MDA 1 vs HCC_AA 8,0.33342539481007577,1.0444224930608298e-14
20,MDA 1 vs HCC_AA 9,0.17541037678001808,2.4087646451309334e-07
21,MDA 1 vs HCC_AA 10,-0.09885291671335701,0.014506378072191226
22,MDA 1 vs HCC_AA 11,0.15798618418505045,0.0010398977774907087
23,MDA 2 vs HCC_AA 1,-0.10558366748515105,1.8972610839569817e-07
24,MDA 2 vs HCC_AA 2,-0.13390932527536129,4.63980553773959e-06
25,MDA 2 vs HCC_AA 3,-0.06126604237026563,0.1068334221943462
26,MDA 2 vs HCC_AA 4,0.12288418843142199,6.430166469014339e-07
27,MDA 2 vs HCC_AA 5,0.06355478231520398,0.0012465746002196037
28,MDA 2 vs HCC_AA 6,0.1539698505818826,0.00018054072817799073
29,MDA 2 vs HCC_AA 7,0.11309316576680326,0.01355520355063227
30,MDA 2 vs HCC_AA 8,0.018621026528847884,0.6536582221744414
31,MDA 2 vs HCC_AA 9,0.001745968135422907,0.9553035124151982
32,MDA 2 vs HCC_AA 10,0.02510707800929295,0.49527735208713364
33,MDA 2 vs HCC_AA 11,0.15492942480727198,0.0003913270232236889
34,MDA 3 vs HCC_AA 1,0.3126424851731671,1.4902428921342148e-46
35,MDA 3 vs HCC_AA 2,-0.06519746192085703,0.04672685311398914
