,comparison,correlation,p_val
1,MDA 0 vs HCC_MK 1,0.309090909090909,0.3848412302612835
2,MDA 0 vs HCC_MK 2,0.21671231650133613,2.183962021426245e-29
3,MDA 0 vs HCC_MK 3,-0.15256293095261883,8.262542513694142e-08
4,MDA 0 vs HCC_MK 4,-0.2844915142855002,7.810394397604896e-22
5,MDA 0 vs HCC_MK 5,-0.014234578290795885,0.5795862715615313
6,MDA 0 vs HCC_MK 6,0.18930534736871052,1.211374866882702e-16
7,MDA 0 vs HCC_MK 7,0.22030563882543266,3.225143183830779e-22
8,MDA 0 vs HCC_MK 8,-0.41130013342648747,1.351941404520693e-50
9,MDA 0 vs HCC_MK 9,0.4164898758092434,2.1093896874130033e-57
10,MDA 0 vs HCC_MK 10,0.3945367137089871,1.4483731784808258e-80
11,MDA 1 vs HCC_MK 1,-0.39285714285714296,0.38331687042697266
12,MDA 1 vs HCC_MK 2,0.2316275865983054,3.18706770407737e-30
13,MDA 1 vs HCC_MK 3,0.36389850946570496,6.323452923134718e-37
14,MDA 1 vs HCC_MK 4,0.09405922219462122,0.003621644967526665
15,MDA 1 vs HCC_MK 5,0.21908426088914737,1.0685053222480366e-16
16,MDA 1 vs HCC_MK 6,-0.18384707445236,2.1372194204928157e-14
17,MDA 1 vs HCC_MK 7,0.29614304136765723,1.0221292502639013e-35
18,MDA 1 vs HCC_MK 8,-0.38796480838138553,6.124524676664057e-40
19,MDA 1 vs HCC_MK 9,0.07394181270576845,0.010177601138849805
20,MDA 1 vs HCC_MK 10,0.09863573318628703,2.1599384707783904e-05
21,MDA 2 vs HCC_MK 1,-0.25,0.5164895523012263
22,MDA 2 vs HCC_MK 2,-0.018324103039093383,0.32258469178272664
23,MDA 2 vs HCC_MK 3,-0.1700101597687916,3.01012269683951e-10
24,MDA 2 vs HCC_MK 4,-0.11002092507806356,0.0001976801354766014
25,MDA 2 vs HCC_MK 5,0.0707563696617109,0.003722567534139106
26,MDA 2 vs HCC_MK 6,-0.08593166580492068,8.98704692400826e-05
27,MDA 2 vs HCC_MK 7,-0.11742461745791347,1.0445306589930952e-07
28,MDA 2 vs HCC_MK 8,-0.050873608639548734,0.07240285302707011
29,MDA 2 vs HCC_MK 9,-0.03237441163738915,0.2113773663106945
30,MDA 2 vs HCC_MK 10,0.24174853902276477,9.023008528513825e-33
31,MDA 3 vs HCC_MK 1,0.2333333333333333,0.5456987782182727
32,MDA 3 vs HCC_MK 2,-0.03305784617749637,0.10681675431980486
33,MDA 3 vs HCC_MK 3,-0.4373701253919301,3.717495802559169e-55
34,MDA 3 vs HCC_MK 4,-0.19004053967139617,4.997185126690315e-09
35,MDA 3 vs HCC_MK 5,-0.3560771359899421,3.613385894654637e-43
36,MDA 3 vs HCC_MK 6,0.5477371559440597,1.0654997490506278e-133
37,MDA 3 vs HCC_MK 7,0.036577825062395514,0.13666624347971748
38,MDA 3 vs HCC_MK 8,0.1339108879908447,1.7134474799272306e-05
39,MDA 3 vs HCC_MK 9,0.22707233945516456,1.293390103704893e-15
40,MDA 3 vs HCC_MK 10,-0.2029720678088893,4.2770439327017547e-20
41,MDA 4 vs HCC_MK 1,0.8166666666666667,0.007224785246358786
42,MDA 4 vs HCC_MK 2,-0.11230723233609084,2.4290669955647197e-08
43,MDA 4 vs HCC_MK 3,-0.07482254387381432,0.010594735366576334
44,MDA 4 vs HCC_MK 4,0.1509012454867586,2.0344075129214254e-06
45,MDA 4 vs HCC_MK 5,-0.038619644208653325,0.14284027328821103
46,MDA 4 vs HCC_MK 6,0.14848363779258986,3.5240765812241927e-10
47,MDA 4 vs HCC_MK 7,-0.11133802204117081,3.472978623273786e-06
48,MDA 4 vs HCC_MK 8,0.1002349856422036,0.0008955622464976706
49,MDA 4 vs HCC_MK 9,0.05124998387490731,0.069418115612514
50,MDA 4 vs HCC_MK 10,-0.23235586226252547,1.607561037468947e-26
51,MDA 5 vs HCC_MK 1,0.38181818181818183,0.27625533338543595
52,MDA 5 vs HCC_MK 2,-0.040520407000213206,0.021041913386464918
53,MDA 5 vs HCC_MK 3,0.07062889508997494,0.007254559564912022
54,MDA 5 vs HCC_MK 4,0.2211798759662967,1.0809182671101847e-15
55,MDA 5 vs HCC_MK 5,0.06926014089545285,0.0027951004293331957
56,MDA 5 vs HCC_MK 6,-0.0065860478813395745,0.7523440594888748
57,MDA 5 vs HCC_MK 7,-0.08329215404158366,7.093315286788393e-05
58,MDA 5 vs HCC_MK 8,0.15626109839033753,5.863068524732585e-09
59,MDA 5 vs HCC_MK 9,0.012550332036560493,0.6136100382555646
60,MDA 5 vs HCC_MK 10,-0.14518929657797722,6.223951931170564e-14
61,MDA 6 vs HCC_MK 1,-0.6833333333333333,0.04244227208707231
62,MDA 6 vs HCC_MK 2,-0.17911612832085397,1.7772495113630458e-19
63,MDA 6 vs HCC_MK 3,0.13639644176516277,1.458650442944407e-06
64,MDA 6 vs HCC_MK 4,0.07108945810322002,0.02045018128532062
65,MDA 6 vs HCC_MK 5,-0.0746554048151661,0.003405571038538172
66,MDA 6 vs HCC_MK 6,-0.10039623600056989,1.5660275639383445e-05
67,MDA 6 vs HCC_MK 7,-0.08294879827824388,0.0004099257934981902
68,MDA 6 vs HCC_MK 8,0.35993209213788024,5.903114578144479e-37
69,MDA 6 vs HCC_MK 9,-0.46601914797610555,1.7303911539643776e-75
70,MDA 6 vs HCC_MK 10,-0.19682592402520643,9.859701997330949e-20
71,MDA 7 vs HCC_MK 1,0.4047619047619048,0.3198886412288162
72,MDA 7 vs HCC_MK 2,0.08979538705974126,1.5780680277959176e-05
73,MDA 7 vs HCC_MK 3,0.5305470967759811,3.7309089573602825e-88
74,MDA 7 vs HCC_MK 4,0.34163470769527,1.765700975289737e-27
75,MDA 7 vs HCC_MK 5,0.36007138996322546,6.734114605480915e-45
76,MDA 7 vs HCC_MK 6,-0.3686655536024733,3.3438200512327995e-55
77,MDA 7 vs HCC_MK 7,0.08839772805627842,0.0003020313926664818
78,MDA 7 vs HCC_MK 8,-0.13836290402862952,6.0255530772852e-06
79,MDA 7 vs HCC_MK 9,-0.23164432932176704,2.01345989588077e-16
80,MDA 7 vs HCC_MK 10,-0.0513801653297294,0.02778417222526904
81,MDA 8 vs HCC_MK 1,-0.03571428571428572,0.9394082054712856
82,MDA 8 vs HCC_MK 2,0.11380067001500543,1.653100111308849e-08
83,MDA 8 vs HCC_MK 3,-0.2052609611126702,4.414647494147129e-12
84,MDA 8 vs HCC_MK 4,-0.1257217746623574,8.560197425481526e-05
85,MDA 8 vs HCC_MK 5,-0.2212140763469467,2.811690778565177e-17
86,MDA 8 vs HCC_MK 6,0.18513988502942852,4.905420192129894e-15
87,MDA 8 vs HCC_MK 7,0.04871456574279649,0.04531157359580585
88,MDA 8 vs HCC_MK 8,0.08734098105515033,0.005315834216259577
89,MDA 8 vs HCC_MK 9,0.4256367156854322,2.6562332771404575e-57
90,MDA 8 vs HCC_MK 10,-0.2518166152000432,7.339039030316584e-31
91,MDA 9 vs HCC_MK 1,-0.7142857142857144,0.07134356146753759
92,MDA 9 vs HCC_MK 2,0.04506327177694752,0.02550279423426432
93,MDA 9 vs HCC_MK 3,0.11711306051920667,0.00010960679053243077
94,MDA 9 vs HCC_MK 4,0.04815314087389408,0.14314417463638324
95,MDA 9 vs HCC_MK 5,0.17242751363676345,7.473641597798365e-11
96,MDA 9 vs HCC_MK 6,-0.14086695231884144,4.47832034423872e-09
97,MDA 9 vs HCC_MK 7,-0.01546741605810707,0.5228267181137216
98,MDA 9 vs HCC_MK 8,-0.1017843437102157,0.00113311504356384
99,MDA 9 vs HCC_MK 9,0.04678348407264931,0.1036844139547614
100,MDA 9 vs HCC_MK 10,0.17177881511513124,1.940900364519975e-15
101,MDA 10 vs HCC_MK 1,-0.65,0.05807305801714863
102,MDA 10 vs HCC_MK 2,0.15711154018575463,2.1104939639462634e-13
103,MDA 10 vs HCC_MK 3,-0.12427124706756788,7.079351634824611e-05
104,MDA 10 vs HCC_MK 4,-0.47182625936387235,9.411284302889046e-51
105,MDA 10 vs HCC_MK 5,-0.14939678695416506,1.3005057390857187e-07
106,MDA 10 vs HCC_MK 6,0.13118711977149364,2.54251677742161e-07
107,MDA 10 vs HCC_MK 7,0.19843720233888468,4.645364990379498e-15
