,genes,logfoldchange,pvals
0,PDPN,1.603603482246399,5.801561538270903e-06
1,LY6D,1.5636181831359863,1.828862633281331e-18
2,STARD4,1.4696282148361206,0.0484779377416531
3,TBC1D1,1.3963396549224854,0.02694437543541895
4,KRT14,1.3143121004104614,8.288503781737148e-14
5,RBP1,1.2966095209121704,1.7437139270577528e-06
6,PCED1B,1.1732887029647827,0.0023238604338773963
7,FUBP3,1.1087394952774048,0.029206742926974262
8,KLK11,1.0810649394989014,8.673543958709125e-06
9,RP11-180O5.2,1.0398141145706177,0.007896592657662687
10,YAE1D1,1.0245957374572754,0.018507946447971203
827,DDX54,-1.7463361024856567,0.04160897978718791
828,TNFSF10,-1.7898399829864502,0.04476813404986095
