,genes,logfoldchange,pvals
0,PPP2R2B,4.862494468688965,0.03164949019779273
1,FABP4,4.505499362945557,0.007815828428692868
2,KRT13,4.078064918518066,9.857742776506884e-133
3,HBE1,4.033995151519775,0.009548172661409683
4,EPHB6,3.983855724334717,4.356314747145377e-05
5,SPRR1B,3.886007070541382,1.9241054313734802e-05
6,BCAS1,3.694303274154663,0.000959949038009322
7,SEPP1,3.6387851238250732,0.000362056419814318
8,IVL,3.5482735633850098,1.5785727622633653e-06
9,MEF2C,3.4629738330841064,0.014584223667946986
10,AC006262.4,3.215541362762451,0.007944257176249572
11,TMPRSS4,3.1656792163848877,0.031356184877414046
12,DEFB1,3.079993486404419,1.0893058688965664e-10
13,RP1-124C6.1,3.006635904312134,2.4142456992381227e-05
14,DIO2,2.938204050064087,6.168215445046827e-11
15,HPGD,2.9309685230255127,0.0015017051339881213
16,CRYAB,2.8911619186401367,0.0016628727768548035
17,MUC4,2.839989185333252,0.03491963007817248
18,MXRA5,2.743741273880005,0.0069562181387516015
19,CALML5,2.726024866104126,5.050973671039092e-95
20,KRT4,2.621213912963867,6.162348433630594e-25
21,SEMA5A,2.5761802196502686,2.4867186935971532e-05
22,SCEL,2.521984577178955,0.004718330338462832
23,TNFSF10,2.4723916053771973,7.31326717132926e-33
24,CTSH,2.450331926345825,3.7724231847930465e-107
25,PLA2G10,2.420955181121826,0.0030633286806575526
26,MAB21L3,2.4184603691101074,1.584258382511927e-06
27,IGFBP3,2.368464946746826,1.4054096630112965e-102
28,NKX2-8,2.333510637283325,1.0720875698180485e-06
29,AGR2,2.2890563011169434,1.1612705486627805e-159
30,RP11-11N9.4,2.2600185871124268,3.2503804041607095e-30
31,AC006262.5,2.208096742630005,1.6013660396109347e-27
32,ZG16B,2.1610918045043945,1.328467865121067e-06
33,MAGI1,2.1422007083892822,0.03676759688481061
34,ALPP,2.115614891052246,2.9330502325700982e-05
35,PALMD,2.113384962081909,2.4955551830981047e-06
36,CCDC80,2.104336738586426,2.1147567601351043e-43
37,ALDH3A1,2.084581136703491,8.209704166505699e-42
38,S100P,2.0466177463531494,3.657230257372529e-08
39,PBX1,2.0431532859802246,1.9835325563222108e-14
40,EDIL3,2.0323898792266846,0.018012656499764086
41,LINC01419,2.018505334854126,0.0006921650018623192
42,S100A14,2.0162675380706787,2.2280371628323133e-45
43,MAGED1,2.008223056793213,0.006319542789510017
44,TMEM45A,2.001415252685547,0.03796217914576623
45,LYPD6B,1.9084222316741943,2.526420772607903e-11
46,RP11-38M8.1,1.89818274974823,0.020396173299626837
47,PGM2L1,1.885765790939331,0.043161951706439265
48,BTG2,1.8634862899780273,1.3200160031116211e-06
49,SNHG18,1.8456547260284424,6.513729651316057e-39
50,PBXIP1,1.8139394521713257,0.047961207675020434
51,ANG,1.7674131393432617,3.505447723223289e-05
52,MIR548XHG,1.7280269861221313,0.014277086284589569
53,RBPMS,1.7244683504104614,0.00014704018568547617
54,OLR1,1.6734446287155151,9.755535214085229e-23
55,AKR1C2,1.6311137676239014,5.067147739159906e-75
56,MT1F,1.600367784500122,0.00024060819888593974
57,GLUL,1.5839420557022095,8.476696454127346e-51
58,TOM1L2,1.5668466091156006,1.5917149529297976e-07
59,CD24,1.5620803833007812,8.131088964920963e-134
60,SNRPN,1.5080609321594238,1.5293427384630892e-19
61,U47924.27,1.5064551830291748,0.010802719617068093
62,LMO4,1.5048831701278687,5.646544615503395e-24
63,TMEM52B,1.4989269971847534,1.0909126716523471e-39
64,RP11-277P12.20,1.4866807460784912,6.137039193408274e-11
65,IL20RA,1.4866273403167725,0.01167148313344134
66,HLA-DMA,1.4828662872314453,0.0005399922294914496
67,DHRS3,1.465968132019043,3.8601954700925074e-25
68,SSPN,1.4638283252716064,0.0011754362384625969
69,MECOM,1.4577338695526123,0.0020240972438303703
70,ELF3,1.4367531538009644,7.684713596968572e-31
71,AKR1C3,1.3897351026535034,1.1545405153203457e-53
