,genes,logfoldchange,pvals
0,NGRN,1.3963532447814941,0.02303054957913108
1,HIST1H2BD,1.2043344974517822,2.9410473837640706e-05
2,BAIAP2L2,1.1950808763504028,0.04982867501481265
3,PDPN,1.155875325202942,0.005805582515324845
4,RRS1,1.0775920152664185,0.0032553230700359953
5,HAS2,1.0752569437026978,0.00729153918449433
6,RP11-180O5.2,1.0436054468154907,0.013747377081916062
7,UBE2F,1.0122469663619995,1.1863779085840998e-06
8,HSPH1,0.9952245950698853,8.025439585333871e-15
9,THAP3,0.9862620830535889,0.0027856415360425248
10,DHX38,0.9579477310180664,0.03077418470863456
11,FOSL1,0.9552181363105774,1.3907717967316068e-06
12,CLPTM1L,0.9413661956787109,0.00046071878331711635
13,ATG4B,0.9392127990722656,0.03264077560984945
14,CMBL,0.9378949999809265,5.441240632564204e-07
15,WDR77,0.9339156746864319,0.0007690749755339345
16,KIF20A,0.9150997400283813,0.0021178041649997197
17,METTL2B,0.910662829875946,0.043590921560812367
18,ACLY,0.9004484415054321,0.015832678253215358
19,CYCS,0.8935753703117371,7.708365712400859e-17
20,KRT6A,0.8886126279830933,9.849716209816424e-05
21,MRPL36,0.875879168510437,3.4965812530489504e-13
22,PAK1IP1,0.8689017295837402,1.3659933550837101e-08
23,CCL26,0.8606050610542297,0.010073473434068607
24,PINX1,0.8599042296409607,0.013994223890756215
25,MPZL1,0.8542219400405884,3.26590667131741e-05
26,CDC20,0.8478733897209167,3.372864462804287e-08
27,BRD9,0.8452985882759094,3.4967115839110374e-06
28,RAE1,0.8399837017059326,0.006524811767626492
29,CCT5,0.8391885757446289,1.4256292298365714e-11
30,LCP1,0.8328946232795715,0.00390941070848515
31,POLR1C,0.8284448385238647,0.0014616857999254996
32,TOP1MT,0.8284134268760681,0.014251177830596836
33,ASB1,0.8235235810279846,0.031611804637312585
34,SLC30A9,0.8221102356910706,0.039887899051154904
35,LRIF1,0.8194668889045715,0.039956073478051364
36,FLAD1,0.8178015351295471,0.011765013269695094
37,FUBP1,0.8159188628196716,5.797806282422244e-06
38,TOR1A,0.8132094740867615,0.03623846791417549
39,CCNB1,0.8130059242248535,1.0425824237615063e-05
40,LARP1,0.8102845549583435,0.016650452528529702
41,PRRC2A,0.8091118335723877,0.01480003689589713
42,HIST1H2AC,0.8081756830215454,0.02986690072854844
43,NRG1,0.807949960231781,0.025214586088824188
