,genes,logfoldchange,pvals
0,PAPPA,2.7720441818237305,0.0059494464715024115
1,LINC00958,2.5767436027526855,2.167100507541144e-08
2,AXL,2.5154216289520264,0.02326959215781935
3,SRGN,2.500765800476074,2.244856223858822e-06
4,FHL1,2.2356815338134766,1.539145721874326e-09
5,ETV5,2.149888515472412,0.0009230647004997699
6,FOSL1,1.953080177307129,3.3092293764497975e-43
7,BAIAP2L2,1.8409178256988525,0.00022158283782506365
8,G0S2,1.8262372016906738,3.014511995304334e-28
9,PRRT3-AS1,1.7487294673919678,4.8765452695262265e-30
10,MROH6,1.6514601707458496,0.021572210332288264
11,CCDC86,1.6448092460632324,0.018797973325618632
12,MICAL2,1.637794017791748,0.0003132583587059884
13,GAL,1.5961960554122925,1.1394234149203689e-117
14,HBM,1.5417169332504272,0.02426825763817257
15,ANKRD1,1.4647469520568848,7.323192761800232e-09
16,MMP1,1.462541103363037,0.008485137503140039
17,FAM127C,1.4457240104675293,0.01689819429507152
18,PDHX,1.4439916610717773,8.269521028807649e-41
19,IL32,1.4199285507202148,0.0005054893649255821
20,ST6GALNAC4,1.4158670902252197,9.646729118315903e-08
21,NAA10,1.3969146013259888,1.913149523236125e-109
22,MAD1L1,1.3732705116271973,4.3578845845483724e-07
23,CD3EAP,1.3646398782730103,1.81184264099797e-42
24,IRAK1,1.364048957824707,1.3573096922760098e-06
25,HLA-G,1.362123727798462,3.914647799716771e-20
26,TEX40,1.3474029302597046,2.207361576762726e-05
27,UTP14A,1.346799373626709,1.435741656237034e-15
28,CKMT1B,1.3440250158309937,4.507078116466629e-08
29,AREG,1.3339660167694092,5.89689411368741e-39
30,PAK1IP1,1.3282201290130615,2.416149467981994e-47
31,SPANXC,1.3188660144805908,1.3101773923089687e-05
32,PNO1,1.318181037902832,2.6083533879779942e-23
33,DDX21,1.317099690437317,7.21241283765153e-144
34,NEURL1,1.31289803981781,3.477397174653247e-11
35,NT5E,1.308070182800293,1.975852136330983e-05
36,PPIF,1.3039615154266357,5.132353840103937e-29
37,WNT7A,1.30234956741333,4.758856259833115e-10
38,AL133493.2,1.2974094152450562,0.032193023744313695
39,HAUS7,1.2940847873687744,1.7822536194102348e-24
40,POLR3G,1.2919349670410156,1.755717757368978e-05
41,ODC1,1.2897158861160278,1.1594874338204815e-05
42,RIOK1,1.2889740467071533,1.0565097544066035e-19
43,SEMA3A,1.285539150238037,0.027398373776177414
44,SRM,1.2612419128417969,5.680155622334157e-46
45,CAMK1,1.2478806972503662,7.244363219085606e-06
46,CST6,1.241451382637024,9.425055072353725e-66
47,RPP40,1.2378405332565308,8.356646494523852e-26
48,PDCD2L,1.2350667715072632,6.894558376965926e-07
49,EREG,1.233835220336914,6.207330894073294e-05
50,BYSL,1.2309006452560425,1.3155841961983886e-08
51,MAP7D3,1.2261238098144531,1.5833840289502e-30
52,DKC1,1.2228624820709229,1.2695486617660135e-75
53,RABEPK,1.2168316841125488,8.976018957822369e-17
54,BOP1,1.214799404144287,0.00013368600903513334
55,FST,1.2105181217193604,0.0030659033243714477
56,NOC3L,1.19309663772583,3.94136861570237e-22
57,PUS1,1.1928430795669556,4.897137179164631e-07
58,NETO2,1.1902538537979126,0.020957415530602947
59,MPP6,1.1866557598114014,0.00018517413431634938
60,WDR77,1.1840696334838867,3.262216924720457e-10
61,BCYRN1,1.1817879676818848,1.1668053931474702e-72
62,NOP16,1.1815344095230103,6.001283518953116e-28
63,PCED1B,1.1790753602981567,3.0891062952443944e-05
64,NDUFAF4,1.1775627136230469,1.0075943646655785e-18
65,RNASEH1-AS1,1.174994707107544,0.0014712294301685318
66,FAM58A,1.1748366355895996,5.078576175229694e-27
67,SERPINE2,1.1721795797348022,1.9853977670108362e-06
68,WDR43,1.170963168144226,1.3637684771098406e-76
69,CDKN2AIP,1.1634902954101562,0.009432444185903869
70,NEFH,1.1614322662353516,0.000332634367349067
71,HPCAL1,1.1597234010696411,0.00020352876634645138
72,CEP83,1.1584080457687378,0.0013011726252416243
73,POLE3,1.154608964920044,5.358938507242969e-42
74,MFSD13A,1.1513851881027222,0.032059462433182306
75,CGREF1,1.144789695739746,0.029220357357837613
76,TRMT61A,1.1447139978408813,0.003710879172529871
77,UBE2S,1.1439542770385742,9.712409964553129e-71
78,TOMM40,1.1418949365615845,7.41884250541458e-37
79,PTGES2,1.140397071838379,1.5875701454319706e-25
80,RP11-180O5.2,1.1397178173065186,0.0004257294522944054
81,BNIP3,1.1363799571990967,7.299686682994866e-29
82,SLC5A6,1.1344237327575684,0.0306032407037171
83,EMD,1.1286755800247192,3.272017919469985e-32
84,PDLIM2,1.1263935565948486,0.008861540748463561
85,CTAG2,1.124211311340332,1.4114961084625758e-91
86,TSPAN4,1.1190825700759888,5.405553691669166e-16
87,SNHG15,1.1150500774383545,1.4920915446908594e-10
88,LTV1,1.1149511337280273,3.7082324911824637e-10
89,SURF2,1.114518404006958,4.682554305213974e-35
90,MRPL17,1.1135197877883911,4.1338213392787385e-100
91,TAF5,1.112216830253601,0.00044011759110553877
92,PUS7,1.1120542287826538,0.003949334546226511
93,SAAL1,1.1109302043914795,5.393880545992361e-21
94,C16orf59,1.106033444404602,0.0002502283806489075
