,genes,logfoldchange,pvals
0,LY6D,2.0167715549468994,8.54817608079711e-33
1,CRABP2,1.5808225870132446,0.036654536598261345
2,CYP1B1,1.2552905082702637,0.009593943401152548
3,KLK11,1.24386727809906,4.523787418625477e-06
4,KRT14,1.2095822095870972,2.3970988901789485e-12
5,AKR1C1,1.1540684700012207,2.2349539602051043e-09
6,PDPN,1.126141905784607,0.04732550576044824
7,RBP1,1.0383381843566895,0.003789149382955572
8,CLIC3,1.0249536037445068,7.535654300177173e-10
9,KRT17,0.963692307472229,1.1797667774779813e-10
10,KRT6A,0.9521403908729553,4.250143078218421e-05
11,AKR1C2,0.9297410249710083,1.8637418646214016e-08
12,BST2,0.8986665606498718,3.696334211886334e-12
13,AHNAK2,0.8551254272460938,0.0002471511297893547
14,CFD,0.830346941947937,5.216052608195144e-06
15,KLK5,0.8087127804756165,4.864241935579027e-07
16,PDLIM4,0.8085873126983643,0.00040878091740046286
17,TUBA1A,0.7967411279678345,0.03839767148629748
18,UNC5B-AS1,0.7751291394233704,0.020394102106411068
19,CLEC2B,0.7638306617736816,0.004732961664040749
20,MEIS2,0.742139995098114,0.01734270339398223
21,KLK10,0.6923280358314514,0.0016719169464814673
22,ADGRF1,0.6842163801193237,0.0020175548652376944
23,TIMP3,0.678443431854248,0.00021867498499037025
24,SOX4,0.6590961217880249,1.5411924451163627e-07
25,CDK1,0.6538201570510864,7.609760739516045e-05
26,CDKN2D,0.6274107098579407,0.015244798158335755
27,HIST1H1A,0.625302791595459,0.0011525833830211087
28,CENPQ,0.6251914501190186,0.044799167670044444
29,AKR1C3,0.615622341632843,1.4461603515597373e-05
30,FAM83A,0.6037042140960693,0.017248234198276882
31,GPX3,0.5900654792785645,0.0001522429001957696
32,TOP2A,0.5731568932533264,1.9324461062558314e-05
33,FXYD3,0.5641957521438599,2.1404054531715265e-16
34,DAAM1,0.5612707138061523,2.799235322292831e-05
35,PTHLH,0.5392265319824219,4.30446703736326e-07
36,FGFBP1,0.5370084047317505,3.020714579636187e-05
37,COL17A1,0.535169243812561,0.01292838246057631
38,FTH1,0.5349436402320862,1.5041238661561174e-31
39,FAM213A,0.532525360584259,7.015505580351607e-05
40,ITM2B,0.5005008578300476,7.729411133207198e-10
41,SPANXD,0.5003154277801514,0.00011805936862545167
42,CRIP1,0.499764621257782,0.0004349802650507593
43,ID2,0.4918421506881714,0.02554746697012974
44,MALAT1,0.4867984354496002,2.8876945623166335e-19
45,RRM2,0.4815595746040344,0.024911940131438937
46,TRIML2,0.4545626938343048,0.0062872441930139225
47,HMGB2,0.4539501667022705,1.1516092766558679e-06
48,WIPI2,0.44083356857299805,0.0050397954075868555
49,MED4,0.4404561519622803,0.03308458787233635
50,RP11-160O5.1,0.4366576373577118,0.02993222932532526
51,BTG1,0.4301392138004303,0.008453873220174444
52,EHF,0.42686426639556885,0.025127088888832305
53,CTSV,0.42529067397117615,0.0034796632032568667
54,POLR2J3,0.4165290892124176,0.0007804294837383986
55,LINC01503,0.4118271768093109,0.021407859806059838
56,DDAH2,0.40696749091148376,0.011062679521279319
57,DAZAP2,0.40226081013679504,0.030765477473861283
58,IER3,0.39964622259140015,6.519603877612694e-05
59,PERP,0.3952654302120209,1.1714797598874591e-05
60,ATP1B3,0.3939147889614105,2.0123496483518753e-05
61,LGALS1,0.3778839409351349,3.053070970200896e-05
62,NUSAP1,0.374793142080307,0.0007226059257784364
63,MDK,0.3695760667324066,4.903975133681434e-05
64,ITGB1,0.3666020333766937,5.311218802504595e-06
65,LSR,0.35929951071739197,0.0006803675105637861
66,SERPINB5,0.35782697796821594,0.002885052799290325
67,COPZ1,0.35765427350997925,0.0007771874696426086
68,C5orf38,0.35054826736450195,0.02410926034083034
69,CCDC34,0.3474307060241699,0.0002858963806973821
70,SNCG,0.34637317061424255,0.01183126288695132
71,HIST1H4C,0.3392898142337799,0.0010495071265484279
72,DTYMK,0.337700754404068,0.0368329707039539
73,USP1,0.33691686391830444,0.030435696815059827
74,TMEM59,0.33274951577186584,0.0016451119882057773
75,HIST1H1C,0.33130428194999695,0.02057143742770396
76,HLA-B,0.317533940076828,1.2266432212263832e-07
77,CSRP2,0.3159973621368408,0.0014653619015091526
78,PSMB8,0.3121527433395386,0.047794537047259916
79,NEAT1,0.3106880784034729,0.004678516423175469
80,SOX15,0.30671003460884094,0.04885042300537041
81,TPX2,0.30641090869903564,0.024641165463999255
82,KRT19,0.3056045174598694,9.570273071371198e-09
83,AES,0.3049160838127136,0.026948814120565132
84,SERPINB6,0.30416548252105713,0.002448838178004401
85,GPX2,0.30380508303642273,0.007150211632795364
86,CSTA,0.29960396885871887,0.0022018013915418144
87,PRKCDBP,0.2986277937889099,0.005433056948650629
88,PSAP,0.29760468006134033,0.017789584226735242
89,NPC2,0.294795960187912,1.5195167808057817e-05
90,IGFBP7,0.29143786430358887,0.0004250859123154455
91,COX7B2,0.29101282358169556,0.014009572857966964
92,TNNT1,0.2905808985233307,0.03629702861633003
93,ID1,0.2858450412750244,1.864470637961862e-07
94,AURKB,0.28235435485839844,0.026078804224741174
95,ARPC2,0.28134509921073914,5.106435868089505e-05
96,SFN,0.28002458810806274,0.00011822886332033939
97,B2M,0.275534987449646,3.668371971028486e-13
98,IGFBP6,0.27334344387054443,0.012550429222627084
99,FTL,0.27189725637435913,2.841817506288662e-10
100,SMC2,0.26907625794410706,0.02633722138599981
101,DSP,0.26869842410087585,0.009947740293666596
102,MKI67,0.25550875067710876,0.04898239901164846
103,UPK1B,0.2492394596338272,0.011067733833485666
104,STMN1,0.24697010219097137,9.96700755532184e-05
105,PTTG1,0.24555744230747223,0.038141446699373895
