,genes,logfoldchange,pvals
0,MYLIP,0.9526573419570923,0.037949287721761864
1,SCD,0.941681444644928,0.00027225614056646875
2,TNNT1,0.8274573087692261,3.429418553528166e-09
3,IFI6,0.7322150468826294,0.039494474904340236
4,RBP1,0.7277891039848328,0.02818307399056638
5,SOX4,0.7220768928527832,3.6780065010020803e-08
6,OLR1,0.7073461413383484,0.04003186185479809
7,IGFBP6,0.695168137550354,1.5736063960013229e-09
8,DHRS3,0.6781404614448547,0.004568040689933411
9,TIMP2,0.6624261736869812,0.006843108597825616
10,VIT,0.6585041880607605,0.02785970883674552
11,CCDC127,0.6572797894477844,0.0025827142067259565
12,CD24,0.6553058624267578,1.0927611928137294e-08
13,SLC44A1,0.6479095220565796,0.02587853079433346
14,FBXO2,0.6431059837341309,0.0006036780584639106
15,UBE2L6,0.6339303851127625,3.155287483066556e-05
16,TAPBP,0.6202492713928223,0.012768054657432686
17,SNRPN,0.6165879368782043,0.038484150705100514
18,SNHG18,0.6113657355308533,0.01786584327094511
19,CALD1,0.5989725589752197,6.172867748484867e-07
20,FHL2,0.5836120843887329,0.01623346979992709
21,GPRC5A,0.562065601348877,0.0004951442401368397
22,ZFP36L2,0.5595685839653015,0.02283443431282443
23,CRIP1,0.5459383130073547,0.0004606914602362662
24,ANXA5,0.5433403849601746,0.0013800856614712494
25,DAAM1,0.5413927435874939,5.4186916798664654e-05
26,PSMB9,0.5387169122695923,0.00017585918997794708
27,OPTN,0.5211735367774963,0.027040252576223663
28,DSCR8,0.5210217237472534,0.021926049714890664
29,CCDC80,0.5182867050170898,0.023619255242346763
30,PTGR1,0.5124499797821045,0.0008888779752937238
31,AGR2,0.5059061050415039,0.0002460728300753232
32,ARID5B,0.5057986378669739,0.025935465300595525
33,HMGN3,0.4932551681995392,4.813717347505675e-12
34,KRT19,0.4928699731826782,2.5042904325686143e-20
35,KLF6,0.49204495549201965,0.006895319327199385
36,DDAH2,0.4914042353630066,0.0015878282214416626
37,TRIML2,0.49138346314430237,0.0020692166478362647
38,P4HA1,0.4823966920375824,0.01415535322537641
39,IGFBP7,0.4819597601890564,3.6928316171053174e-12
40,CLU,0.47067245841026306,0.001041264452995798
41,NDUFS6,0.46928977966308594,4.730640641780288e-13
42,TPM1,0.4687264561653137,1.463386587143697e-06
43,CTD-3138B18.5,0.46674463152885437,0.004972412565369482
44,HIST1H1C,0.46448633074760437,0.0010763012922460984
45,ARHGDIB,0.4555673897266388,3.4690507666666703e-07
46,LGALS1,0.45359694957733154,3.2002357022366345e-07
47,CAV1,0.45296230912208557,1.5463296594354256e-17
48,CD99,0.44522181153297424,0.001144901639983727
49,TMSB4X,0.429874986410141,1.6888764731099046e-29
50,HLA-B,0.4153178930282593,1.8652730242872224e-10
51,SLC38A2,0.41500595211982727,0.029863698978743643
52,NEAT1,0.41360846161842346,0.00017068439403382938
53,HSPB1,0.4109749495983124,5.346644551718623e-17
54,YIPF3,0.40866631269454956,0.006952684393169635
55,AC004791.2,0.4023069739341736,0.0297154994772693
56,NPC2,0.380130410194397,4.6042782438543256e-09
57,PAWR,0.379619836807251,0.041757106646832395
58,KRT8,0.3789185881614685,1.8081695971944152e-07
59,KRT7,0.3748648166656494,1.879545287563735e-16
60,CASP4,0.37116163969039917,0.0010551505792144819
61,PFDN5,0.3530970513820648,2.090854386548663e-08
62,SPATS2L,0.35044795274734497,0.005101597140565131
63,CD63,0.34556639194488525,3.6840781201728066e-09
64,HLA-A,0.3452589809894562,3.381312487712932e-08
65,PSAP,0.3447529673576355,0.01091654772836521
66,MARCKS,0.34198591113090515,0.0008889825411616667
67,RABAC1,0.3410712778568268,0.016589385479153656
68,HES1,0.3330667018890381,0.0004006277320369267
69,BST2,0.32194310426712036,0.03807098145395886
70,LY6K,0.32150134444236755,0.018012141680766983
71,MRPL36,0.32134270668029785,0.003817762956427225
72,N4BP2L2,0.31986168026924133,0.010234610551631402
73,MT2A,0.31563806533813477,5.4750203821741036e-05
74,PLAC8,0.30940473079681396,0.006221351274070438
75,CSTA,0.30489346385002136,0.0026243483491702516
76,PIH1D1,0.30484262108802795,0.026452767775137862
77,ERP29,0.30430325865745544,5.828840691165003e-06
78,PTRF,0.30295243859291077,0.04344937961783093
79,C6orf48,0.29920661449432373,0.004845203415516543
80,FTL,0.29733777046203613,2.5837546565303323e-13
81,PTMS,0.29661962389945984,0.0003628581640021043
82,CCDC144NL-AS1,0.29424285888671875,0.03446329693372396
83,PDLIM1,0.2905038595199585,1.845602636153829e-05
84,CD9,0.2897081673145294,0.003638659696719937
85,MALAT1,0.2896885275840759,6.063942298019312e-08
86,PDIA3,0.27933189272880554,0.0002130428675043349
87,RHOBTB3,0.2738800644874573,0.00047578299298891923
88,HLA-C,0.2730696499347687,0.032508615698301116
89,RGS10,0.27301204204559326,0.03427622443548909
90,MDK,0.2727740406990051,0.0012529655316075598
91,ITM2B,0.27166810631752014,0.0017083638258871116
92,RPL27A,0.2655404508113861,7.903283222374885e-25
93,GABARAP,0.2625342905521393,0.006699863861299892
94,TMED9,0.2592695951461792,0.01227912725617803
95,NQO1,0.25862371921539307,0.0009782134129242904
96,UCHL1,0.25358983874320984,0.0006142004991326374
97,VTI1B,0.24960114061832428,0.03128295385086766
98,TECR,0.24388855695724487,0.013161104957263777
99,IFITM3,0.2408946007490158,0.001219344103262073
100,ID1,0.24043691158294678,3.3735994816840944e-07
101,PRDX5,0.23720507323741913,2.5454272085115438e-06
102,MYL6,0.2365327626466751,1.4241987408585578e-08
103,B2M,0.23445817828178406,7.300274585769748e-10
104,PSME1,0.2329770177602768,0.005071598310895556
105,TPM2,0.2286500781774521,0.01195726992442479
106,UFM1,0.22744120657444,0.0039990140323693385
107,STMN1,0.22468094527721405,0.004193685974179138
108,ITGB1,0.22105765342712402,0.007890663348394944
109,NME4,0.22070500254631042,0.013053736337898058
110,NDUFA2,0.21741223335266113,0.017090332348052892
111,ANXA2,0.21266233921051025,6.481793358300765e-07
112,HSP90B1,0.21021202206611633,2.5840096532949575e-05
113,WBP5,0.20538809895515442,0.0215331435167476
114,PRDX1,0.20129172503948212,5.068832575584425e-07
115,VPS28,0.19944889843463898,0.030367317168225362
116,MORF4L1,0.19909672439098358,0.011615787499224072
117,MYOF,0.19736115634441376,0.04526620825920261
118,GSTP1,0.18766935169696808,2.7968601935877424e-10
119,SEC11A,0.18498846888542175,0.028808305316808877
120,KRT18,0.18428820371627808,0.008150102444674096
