,genes,logfoldchange,pvals
0,PPP2R2B,4.863033294677734,0.03163917587774331
1,FABP4,4.506039142608643,0.007811418781889135
2,KRT13,4.070374488830566,1.435036423813359e-132
3,HBE1,4.034534931182861,0.009542805591101693
4,EPHB6,3.984395980834961,4.35050046431847e-05
5,SPRR1B,3.814596176147461,2.072859665275743e-05
6,BCAS1,3.6948435306549072,0.0009590458230931575
7,SEPP1,3.6393256187438965,0.00036162843388588015
8,IVL,3.4849603176116943,1.7210263712701584e-06
9,MEF2C,3.4635138511657715,0.01457520190462157
10,AC006262.4,3.216081380844116,0.007938848956999265
11,TMPRSS4,3.1662192344665527,0.03134009032964888
12,DEFB1,3.052309513092041,1.2179020785979218e-10
13,RP1-124C6.1,3.00717830657959,2.4091708835883216e-05
14,DIO2,2.9387505054473877,6.136276292784308e-11
15,HPGD,2.9315097332000732,0.0014999277616165845
16,CRYAB,2.8917031288146973,0.001660865298093517
17,MUC4,2.840529680252075,0.03489749627732976
18,MXRA5,2.7442824840545654,0.006949743582076153
19,CALML5,2.722783327102661,6.435990520959611e-95
20,KRT4,2.6217727661132812,6.054225373969371e-25
21,SEMA5A,2.576723098754883,2.481058450326016e-05
22,SCEL,2.522526264190674,0.00471270635153007
23,TNFSF10,2.4729528427124023,7.141006484143636e-33
24,CTSH,2.447657346725464,4.881808360936192e-107
25,MAB21L3,2.4190051555633545,1.578567140922549e-06
26,PLA2G10,2.3735992908477783,0.0032390432372447235
27,IGFBP3,2.369075059890747,1.2897460111185078e-102
28,NKX2-8,2.334055185317993,1.0684186771760711e-06
29,AGR2,2.2872531414031982,1.6509832154970396e-159
30,RP11-11N9.4,2.2605788707733154,3.174320698445165e-30
31,AC006262.5,2.2086570262908936,1.568084707919556e-27
32,ZG16B,2.1616384983062744,1.3226056368551835e-06
33,MAGI1,2.142742872238159,0.03673190758113669
34,CCDC80,2.099916934967041,2.626609278523941e-43
35,ALPP,2.091726541519165,3.1635190976470706e-05
36,PALMD,2.0906009674072266,2.720179441492112e-06
37,ALDH3A1,2.085156202316284,7.898275948199943e-42
38,S100P,2.0471701622009277,3.635331525256437e-08
39,PBX1,2.0437064170837402,1.961222080940146e-14
40,EDIL3,2.032932996749878,0.017990441773457964
41,LINC01419,2.0190494060516357,0.00069085622446988
42,S100A14,2.013745069503784,2.5988241716586908e-45
43,MAGED1,2.0087671279907227,0.006307999893373149
44,TMEM45A,2.001957416534424,0.03792861509608349
45,LYPD6B,1.9089744091033936,2.5031403628750813e-11
46,RP11-38M8.1,1.8987257480621338,0.020371612958460267
47,PGM2L1,1.8863086700439453,0.0431168706011069
48,BTG2,1.8640347719192505,1.313566615062196e-06
49,SNHG18,1.846231460571289,6.251142619881139e-39
50,PBXIP1,1.8144828081130981,0.047908161587656706
51,ANG,1.7679616212844849,3.490580703291886e-05
52,MIR548XHG,1.728570818901062,0.014256326474519567
53,RBPMS,1.7250163555145264,0.0001464976847353627
54,OLR1,1.6656438112258911,1.184285811161135e-22
55,AKR1C2,1.6318310499191284,4.489982705698436e-75
56,MT1F,1.6009163856506348,0.00023970823968620777
57,GLUL,1.5845502614974976,7.90919773661843e-51
58,TOM1L2,1.5674002170562744,1.5791117508094696e-07
59,CD24,1.561697006225586,8.212759854350861e-134
60,SNRPN,1.5086345672607422,1.4901586288935922e-19
61,U47924.27,1.5070013999938965,0.010780474260674683
62,LMO4,1.5054649114608765,5.4573143064041294e-24
63,TMEM52B,1.4967739582061768,1.3062660563497978e-39
64,RP11-277P12.20,1.487242341041565,6.054439284527494e-11
65,IL20RA,1.4871728420257568,0.011648616656027497
66,HLA-DMA,1.4834160804748535,0.0005378234243790984
67,DHRS3,1.4665517807006836,3.72503030419688e-25
68,SSPN,1.4643770456314087,0.0011713831874927063
69,MECOM,1.4582816362380981,0.0020182169631333463
70,ELF3,1.4373589754104614,7.315479801057385e-31
71,AKR1C3,1.3888049125671387,1.288557990292845e-53
72,KCNK6,1.3836171627044678,5.189076716749737e-07
73,KRT15,1.3774456977844238,5.4727967686797825e-06
74,PCAT6,1.3773382902145386,0.007904598007833283
75,LCN2,1.3584262132644653,0.009913121849166548
76,C1orf21,1.3467861413955688,0.001699441681873395
77,TMEM45B,1.3453779220581055,0.009647330654301626
78,UPK2,1.33378267288208,1.1369323576692792e-36
79,COL12A1,1.324013352394104,0.0026894017915171527
80,NMRK1,1.320731520652771,0.00014381357147077428
81,RP13-942N8.1,1.3206480741500854,0.010363274895056862
82,ZNF704,1.3124324083328247,4.138933886455519e-05
83,FAM134B,1.3057252168655396,0.005135193718024239
84,SLPI,1.3026176691055298,3.4220618180975254e-11
85,SAMD9,1.3025767803192139,6.778304480686783e-26
86,PRSS22,1.3014373779296875,0.01189363591263218
87,ECHDC2,1.3006317615509033,0.00046628292376767064
88,SNURF,1.292507529258728,0.0037289159950823466
89,NFKBIZ,1.275002360343933,0.019555276135032475
90,UPK3BL,1.26224684715271,0.0488665572102004
91,ST3GAL4-AS1,1.2361935377120972,0.019055106415101525
92,SORL1,1.233595848083496,0.00015203120759739314
93,RP11-490M8.1,1.233429193496704,4.3922350545963903e-05
94,FYB,1.233216643333435,1.0076231667895206e-05
95,IGFBP6,1.2253397703170776,2.2190412947635002e-74
96,ZFP36L2,1.2212797403335571,1.3319013018666955e-17
