,genes,logfoldchange,pvals
0,BCAS1,4.114081859588623,0.0016950523138205699
1,SEPP1,4.086010932922363,0.0006871289450118096
2,FABP4,4.0170745849609375,0.02818783995845566
3,EPHB6,3.97700572013855,0.00030923817246533144
4,HBE1,3.9439198970794678,0.02399308019329778
5,KRT13,3.681828022003174,1.9962582837448923e-104
6,SPRR1B,3.670464277267456,0.00015531023504616122
7,MEF2C,3.557183265686035,0.026186603155913066
8,DIO2,3.5426504611968994,5.980499331182661e-12
9,RP1-124C6.1,3.3241398334503174,2.577613307829615e-05
10,IVL,3.1680755615234375,4.889760141125389e-05
11,HPGD,2.9817259311676025,0.0037959394511140336
12,SEMA5A,2.961341142654419,9.770983481502415e-06
13,AC006262.4,2.934764862060547,0.02250202483197768
14,LINC01419,2.844561815261841,5.83151261812253e-05
15,DEFB1,2.770597457885742,3.6138428989827376e-08
16,CRYAB,2.7063417434692383,0.006306279701752381
17,MXRA5,2.623274564743042,0.012572706729739879
18,KRT4,2.488452672958374,9.993814070352552e-22
19,SCEL,2.4732072353363037,0.00905999588907835
20,TNFSF10,2.4577934741973877,2.860080103193662e-30
21,MAB21L3,2.398784875869751,6.918906634383979e-06
22,EDIL3,2.3937785625457764,0.007033959123831272
23,AC006262.5,2.331169366836548,4.607394373682715e-28
24,CALML5,2.297217845916748,3.0221219774524864e-66
25,CTSH,2.2734906673431396,1.6962337534328833e-90
26,AGR2,2.2353317737579346,2.154279936346576e-160
27,IGFBP3,2.2302463054656982,7.320892849654169e-92
28,PLA2G10,2.1818931102752686,0.012544031142842284
29,CCDC80,2.135791540145874,8.587675558627599e-45
30,NKX2-8,2.1012320518493652,2.913463908483916e-05
31,RP11-11N9.4,2.061228036880493,4.576600672071336e-24
32,ZG16B,1.9478408098220825,2.7666292420812898e-05
33,SNHG18,1.9080867767333984,5.67993714760478e-41
34,BTG2,1.907488226890564,3.4108293599235174e-06
35,PBX1,1.8892732858657837,4.507069939485659e-12
