,genes,logfoldchange,pvals
0,CDCP1,2.284444570541382,0.018737962485348317
1,PDCD2L,2.0829265117645264,0.0004565436287831605
2,RNASEH1-AS1,2.0167698860168457,0.02143455548068181
3,PRRT3-AS1,1.8021152019500732,4.810488942109135e-10
4,NDUFAF4,1.7203477621078491,1.7817651509375582e-09
5,FOSL1,1.6985753774642944,2.3559010245809774e-11
6,RABEPK,1.6688750982284546,4.983412623224687e-08
7,CLEC11A,1.6205605268478394,0.01696628285089037
8,EEF2KMT,1.6017768383026123,0.02848026026366667
9,CTC-425F1.4,1.522533655166626,0.007590534739099972
10,C16orf59,1.522223949432373,0.012190305788580807
11,SLC25A19,1.4640268087387085,0.025271013099649586
12,TBC1D20,1.4347381591796875,0.012275451090101652
13,CD3EAP,1.4318912029266357,1.173539542450815e-13
14,FHL1,1.4186862707138062,0.010534900957042508
15,WNT7A,1.4048796892166138,0.00032583629299616675
16,THBS1,1.3809330463409424,8.437690182725685e-08
17,ORAI1,1.3686689138412476,0.0005857059193162123
18,WDR43,1.3593838214874268,3.5429657754632626e-26
19,BOP1,1.3517752885818481,0.020003773803990193
20,MAK16,1.3457785844802856,0.0036522372225860737
21,WDR46,1.3383097648620605,0.04049727762927116
22,G0S2,1.31551992893219,2.500011083920322e-06
23,IRAK1,1.3113197088241577,0.007673330845386658
24,PNO1,1.308539867401123,1.4649069186145895e-07
25,CTAG2,1.3057119846343994,1.4500142502046608e-30
26,ANKRD1,1.3004677295684814,0.003959620657556581
27,RBM28,1.2778222560882568,1.7158815494173328e-06
28,ATXN2L,1.2746899127960205,0.03845772242074535
29,TRMT10B,1.2594636678695679,0.013698584208023976
30,PDHX,1.2546515464782715,1.2587030917096946e-10
31,XPOT,1.2517253160476685,0.020724005776362447
32,PAK1IP1,1.244072675704956,6.046670686840577e-13
33,LTV1,1.23844575881958,0.0001423649319663322
34,BYSL,1.2313405275344849,0.000976950083445658
35,LSG1,1.2170155048370361,0.03355531731826077
36,FAM216A,1.1998072862625122,0.023053395369362992
37,NAA10,1.1881372928619385,1.3643037057978018e-24
38,GAL,1.1820553541183472,1.1197829467804566e-22
39,DDX21,1.1573312282562256,1.1860918861943633e-33
40,WDR3,1.155962347984314,0.026000463396934854
41,DCTPP1,1.1531999111175537,2.9644481939299824e-12
42,MAGEA12,1.149614691734314,0.0025395121354349053
43,DDX10,1.1383471488952637,3.9782908976390135e-05
44,SERPINE2,1.1324357986450195,0.008428632398932311
45,SFXN4,1.13209867477417,0.00016344186753816878
46,ECE2,1.1271944046020508,0.0008074089390622063
47,MECR,1.1179829835891724,0.021477479174001588
48,ST6GALNAC4,1.1145927906036377,0.008324612883037088
49,EXOSC5,1.1140515804290771,0.0027234805152844613
50,PUS1,1.1108564138412476,0.008275925071162463
51,SPRYD7,1.1056854724884033,0.0016040846068758013
52,UTP14A,1.1041932106018066,7.830165114147405e-05
53,TMEM52,1.1034518480300903,0.040762049929220986
54,PUSL1,1.0937862396240234,1.4710696692243718e-05
55,HAUS7,1.0934383869171143,1.1464496695875057e-06
56,MOCS2,1.0893771648406982,4.978524168158999e-07
57,ABHD12,1.0850580930709839,0.00734693056038618
58,PMM2,1.0847094058990479,0.01721697665986667
59,NAT14,1.0785002708435059,0.018939123809682715
60,PRMT5,1.078065037727356,0.0358161937673635
61,RRP1,1.0734472274780273,0.01060970301071246
62,VGLL1,1.073162317276001,0.0032213347073881543
63,NOP16,1.0710581541061401,8.217316043845958e-08
64,E2F3,1.0617183446884155,0.006503276656415772
65,SURF6,1.0591168403625488,2.2669453005532133e-05
66,RRP15,1.0553019046783447,2.202665756006228e-11
67,TRIM37,1.0501954555511475,0.026914134557630632
68,SRM,1.0485775470733643,3.337578178697219e-11
69,CLDN1,1.0484888553619385,0.003049193503383132
70,AHCTF1,1.0406959056854248,0.011448787034978205
71,NOC3L,1.0387693643569946,4.373092516016193e-06
72,WDR77,1.0381394624710083,0.0008775673245001672
73,RRS1,1.0360881090164185,0.01350435052241042
74,GTPBP4,1.0355910062789917,2.4332236812782315e-12
75,SOCS4,1.0329231023788452,0.0401603140533577
76,MAP7D3,1.0297167301177979,5.914455028219859e-08
77,CENPV,1.0292017459869385,7.977005944443506e-05
78,UROS,1.028408408164978,0.0006032507257201472
79,PPP1R14A,1.02700674533844,0.008368884396397984
80,RNASEH1,1.025438904762268,2.3411719549862927e-05
81,FAM58A,1.0207856893539429,6.216168121251017e-08
82,HMCES,1.0172735452651978,0.006591355443964416
83,NIFK,1.0054333209991455,1.0524789191267739e-11
84,TXNRD2,1.0046522617340088,0.017864833608593794
85,ATIC,0.9919871091842651,0.005097739886543114
86,DKC1,0.9854447245597839,6.761501768489308e-16
87,CUL4A,0.9831802248954773,1.9595656229175076e-05
88,BRCC3,0.9828967452049255,0.00204715824028712
89,HAUS8,0.9812731742858887,0.0013083314284609712
90,WDR74,0.9803398251533508,1.2835325738549327e-05
91,CTC-524C5.2,0.9765406847000122,0.000860723718270717
92,C1QBP,0.9715828895568848,2.964266028782502e-29
93,TIMM8A,0.9664585590362549,0.0009967279531645217
94,MCMBP,0.9656368494033813,0.007032042026581703
95,GNL3,0.9646235704421997,1.0269478745532094e-06
96,LDOC1,0.9635965824127197,1.8988959466235005e-09
97,RIOK1,0.9602407813072205,6.753518641347555e-05
98,EIF2B2,0.9596772789955139,0.006458709831164277
99,ZNF593,0.9537690281867981,4.771039797322908e-12
100,THUMPD3,0.9501266479492188,6.340539066958294e-05
101,CD320,0.9461430907249451,3.158371846710496e-08
102,VSIG10,0.9368444681167603,0.016351398860101184
103,WBSCR22,0.9350345730781555,5.071736697932e-08
104,MAT2A,0.9329686164855957,0.00036673665280573513
105,SURF2,0.9282143115997314,1.9680016180247463e-08
106,POLE3,0.9254084229469299,1.2361516990640237e-09
107,NOC4L,0.9199272394180298,0.00023888442572240405
108,RITA1,0.9197385311126709,0.013293155313683403
109,CKMT1B,0.9152238965034485,0.03079627647909443
110,POLR3K,0.9140657186508179,4.37155612775379e-08
111,WDYHV1,0.9062120318412781,0.0021613599004582473
112,IMP4,0.9052489399909973,1.210164295713402e-09
113,RRP9,0.9042127728462219,0.029891160604373492
114,RUVBL1,0.9040249586105347,0.00042383942024434466
115,PYCR2,0.9027870297431946,0.0010979893103997477
116,MRPS30,0.901008129119873,2.190333512087971e-05
117,PES1,0.8967987895011902,0.03697523118404801
118,FJX1,0.8954554796218872,0.0011616432305340662
119,PAICS,0.8948111534118652,2.2243021363209928e-08
120,EMD,0.893956184387207,1.439862793503933e-07
121,QTRT1,0.8892784714698792,0.0006952987169345923
122,MAX,0.8889498114585876,0.006042727007981711
123,CLEC2L,0.8883655071258545,0.024426916684767104
124,TOMM40,0.8854079842567444,6.695107441295093e-08
125,MOK,0.8837445974349976,0.0019896184875247674
126,SPG21,0.8794744610786438,0.013842221049898377
127,FLAD1,0.8755990862846375,0.015544510826149032
128,SMAGP,0.8701481223106384,0.0097411818653068
129,GPATCH4,0.8701173067092896,1.8244811461861464e-05
130,GARS,0.8674180507659912,0.0007873585643917361
131,MLST8,0.8669828176498413,0.0012002992565992394
132,GRPEL1,0.8668723106384277,9.699494636049852e-05
133,RP11-345J4.5,0.864936351776123,8.577751371805912e-06
134,PHF5A,0.860686719417572,8.50201627122328e-08
135,NOLC1,0.8605729937553406,9.999217752520161e-06
136,SMURF2,0.8574320673942566,0.01530338923570725
137,MRPS17,0.8572784066200256,2.399831971932928e-06
138,PNP,0.8563527464866638,0.00671301724396773
139,RWDD4,0.8562265038490295,0.00014453073298763625
140,METRN,0.8550082445144653,0.002270250269096029
141,C6orf1,0.8543858528137207,0.0002502908742200683
142,TEAD4,0.8536784648895264,0.009406721827342911
143,FAM195A,0.8531079292297363,6.139371019222904e-08
144,IARS,0.8510543704032898,0.003676627525086055
145,POLR3H,0.8506490588188171,0.0047937067114784725
146,TSR2,0.8492353558540344,0.009662561128310564
147,SCO2,0.8456307053565979,0.000537484981166344
148,EIF5AL1,0.8449869155883789,1.7993872339894943e-07
149,MRPL3,0.8428506255149841,3.1087129192930255e-05
150,PINX1,0.8420051336288452,0.03129846995770828
151,PLEKHB2,0.8411766886711121,0.0023074069908918696
152,SNHG15,0.838973343372345,0.0029878693287743977
153,BCS1L,0.8387719392776489,0.013152821622017249
154,AIMP2,0.8371762633323669,1.4667353928859833e-09
155,ZNHIT6,0.8364348411560059,0.014557602909126508
156,CCT7,0.8334498405456543,1.7900546318592602e-10
157,NPM3,0.8317518830299377,3.2964224644725006e-13
158,AAMP,0.8304060101509094,0.0007228164262310728
159,NOP14,0.8278242349624634,0.03317043132423388
160,CLDN7,0.8251311182975769,1.6902016698337114e-13
161,F12,0.8249448537826538,0.002976841125113559
162,FADD,0.8247610330581665,0.017183806067652255
163,MYC,0.8233880400657654,0.016740379856675366
164,RAE1,0.8222667574882507,0.042531142661799914
165,RRP8,0.8198239803314209,0.00045443757379612577
166,CHCHD4,0.8181889653205872,0.006227419173820638
167,KRT18,0.8171443939208984,9.427474504501305e-33
168,AGO2,0.8137152194976807,0.01081491394532209
169,CHORDC1,0.8135513663291931,5.271362294312178e-11
170,TRMT6,0.8128896951675415,0.0006268232796834991
171,JMJD6,0.8127840161323547,0.023818059866039062
172,MRPS23,0.8111785650253296,1.5653389436502583e-07
173,ARHGAP11A,0.8099924325942993,0.03084030763708139
174,IDH3G,0.8098911643028259,8.02516920969048e-09
175,ACLY,0.8089245557785034,0.03005955554018945
176,SIGMAR1,0.8080667853355408,7.783841514522878e-05
177,LAD1,0.8056002259254456,0.0030118917479159866
178,SETD5,0.8012484908103943,0.017439552734293266
179,FAM136A,0.8009651899337769,1.4628234554750233e-06
180,TSPAN4,0.8001687526702881,0.0007086278445660526
181,FNBP1,0.7991581559181213,0.01443963038220766
182,RPP40,0.798418402671814,7.133506780638185e-05
183,CRACR2B,0.7984027862548828,0.00017894193732860807
184,COMTD1,0.7968373894691467,7.831661000040059e-07
185,PYCR1,0.7920836210250854,4.003642276205e-05
186,ATP5G1,0.7915399670600891,7.295357046138801e-16
187,VBP1,0.7900554537773132,2.1563719830146665e-05
188,PSME3,0.7897947430610657,0.00038156437688329707
189,STX2,0.7896788120269775,0.008579077735899368
190,NDUFAF2,0.7886693477630615,1.691777585305782e-05
191,ESF1,0.788669228553772,1.0803126130202866e-06
192,HTATSF1,0.7883099317550659,5.1002553920691586e-05
193,UCHL3,0.7876542806625366,1.2754036008356874e-09
194,PFDN2,0.7869678735733032,4.178019111820814e-15
195,MRPS25,0.7863535284996033,2.2976179987010783e-06
196,PPAN,0.7859206795692444,0.00718131796605923
197,TIMM44,0.7854710221290588,2.111720200150219e-05
198,TOP1MT,0.7832335829734802,0.03492039115177532
199,PSAT1,0.7832008004188538,0.006744708709644401
200,CST6,0.7811274528503418,9.098163307485579e-10
201,YKT6,0.7781264781951904,0.0024131409821406984
202,CTNNBL1,0.7779896259307861,0.029218655597764383
203,EXOSC2,0.7775518894195557,0.0031621864575153845
204,MRTO4,0.776170015335083,2.188837252331433e-06
205,FAM3A,0.7757132649421692,0.0019628182849956463
206,CMSS1,0.7743210196495056,7.122985141039322e-11
207,C9orf114,0.7743015289306641,0.00039780667113912654
208,GDI1,0.7715801000595093,0.0043294978870895146
209,STARD7,0.7709826231002808,0.017563041779772245
210,NME1,0.769828200340271,1.8723138935131212e-17
211,PTGES2,0.7682319283485413,2.826828582944561e-05
212,PPIF,0.7681746482849121,1.8820511685375494e-05
213,MRPL19,0.7676386833190918,0.0033996977342172037
214,PPP1R35,0.7676031589508057,0.01749334493039244
215,MAP7,0.7668312788009644,0.025079919867024302
216,BCCIP,0.7649264335632324,1.171140647501807e-09
217,TRIM7,0.764477014541626,0.007718832714492293
218,BCYRN1,0.7638521194458008,4.173028092427428e-09
219,REXO4,0.7631338834762573,1.937231326827842e-05
220,EBNA1BP2,0.7627341151237488,1.5935717357558592e-11
221,C6orf136,0.7624779343605042,0.01067771858675567
222,LHX1,0.7624371647834778,0.024426916684767104
223,NPW,0.7622025012969971,0.0053476189966336135
224,NSUN5,0.7617432475090027,0.002846928421004058
225,SMIM20,0.761119544506073,0.0012550041645367032
226,KIF9,0.7594631910324097,0.004841307687045882
227,UCK2,0.7586711645126343,0.007366699245148659
228,HYI,0.7561855912208557,0.002080294675320806
229,TWISTNB,0.7542405128479004,8.119091845993359e-06
230,EMC6,0.7533493638038635,2.2639076129550466e-10
231,CFL2,0.7512813210487366,0.016662800237647386
232,UBE2F,0.7503010630607605,0.0009640216202652573
233,NSDHL,0.7501497864723206,0.010996801201552235
234,NOP58,0.7474886775016785,7.5338729033753665e-06
235,LARS,0.7460372447967529,6.483602007963513e-06
236,SLIRP,0.7433353066444397,1.5378841711837427e-24
237,AGPAT5,0.741820752620697,0.0377539018154083
238,RBP7,0.7412317395210266,1.4030640343053087e-09
239,LSM10,0.741136372089386,0.0005863205912913536
240,DAZAP1,0.7407796382904053,0.014945925993249277
241,GLA,0.740481436252594,0.007949988950005643
242,GTF2H2,0.7387799024581909,0.006996155619093315
243,STC2,0.7349343299865723,0.047491088164089694
244,RSL1D1,0.7345870733261108,8.445919196650271e-10
245,NDUFV3,0.7345659732818604,8.49089179153524e-08
246,NAA15,0.7345651388168335,0.01396692113170423
247,C12orf45,0.7331947684288025,3.186383768318297e-05
248,KXD1,0.7327789664268494,3.062750409876133e-06
249,TSEN15,0.7318743467330933,0.04518671706683311
250,CCDC84,0.7317888736724854,0.006223837215872857
251,BNIP3,0.7314754724502563,2.170079311546713e-05
252,PELP1,0.7269354462623596,0.017910606627855725
253,EIF3J,0.7265607714653015,1.6038709785208935e-22
254,TRABD,0.7253952026367188,0.0005823359332160038
255,KARS,0.7250375151634216,0.001712467190724581
256,MET,0.722217321395874,0.007839152345726413
257,C20orf27,0.720525324344635,3.4624455184844573e-06
258,CHCHD10,0.7190032601356506,4.999956372354531e-10
259,ZNRD1,0.7163705229759216,4.9697744426117363e-05
260,NOL7,0.7161403894424438,1.0232441196759057e-13
261,XRCC4,0.7106426358222961,0.024777380661963232
262,CCT6A,0.7103197574615479,7.57588012067697e-09
263,AP006222.2,0.7101597785949707,0.003214439904772153
264,STK17A,0.7088086605072021,0.005730316132430973
265,LMNB2,0.7063256502151489,0.0028601692406971606
266,SMIM4,0.7063044905662537,0.0006449500123129787
267,NCBP2,0.7028652429580688,4.165876713499909e-09
268,UBAP2L,0.7014684677124023,0.046712224213280314
269,ADORA2B,0.7000858187675476,0.04251183212647207
270,C7orf55,0.6996683478355408,0.002095881726025442
271,RPF2,0.6994888782501221,2.2540811792121596e-05
272,PRNP,0.6983790397644043,0.04406536474075261
273,UBE2S,0.6975489854812622,1.1826122908046143e-09
274,PEX16,0.6966649293899536,0.02301915033289086
275,RUSC1,0.6945816278457642,0.04035851042641294
276,PRELID1,0.6942273378372192,1.1861887994789838e-13
277,PHF19,0.6935455203056335,1.9074209097907396e-06
278,EXOSC4,0.6928008198738098,1.589289978109566e-05
279,CRIM1,0.6894281506538391,0.024481015830708507
280,MTHFD2L,0.6890009641647339,0.03202319285258596
281,WDR4,0.6887890100479126,0.0024887997545150918
282,CCT4,0.6875828504562378,8.531201468471358e-07
283,DNAJC2,0.6867653131484985,7.5605770296717e-05
284,CTSL,0.6863106489181519,0.0002210744092932743
285,AKT1S1,0.6849507093429565,0.0001764603064090334
286,AATF,0.6849497556686401,0.03428024576044599
287,NOB1,0.6810702681541443,0.012260676805590417
288,GSPT1,0.6809413433074951,4.565581889225239e-06
289,MRPL17,0.6807249784469604,4.3116581992165404e-12
290,NAT10,0.6806094646453857,0.02532982562753175
291,CDC42SE1,0.6805853247642517,0.02127958265925347
292,GLRX3,0.6799510717391968,5.309042577695568e-09
293,DRG2,0.6790543794631958,0.008649782854738601
294,PRR7,0.6784201860427856,0.046062799829473276
295,GCSH,0.6773461103439331,2.2438005205037332e-08
296,PDCD5,0.6772729754447937,2.704902050073849e-16
297,MRPL12,0.6763879656791687,7.047074715757273e-09
298,TIAL1,0.6761294603347778,0.008062226926833928
299,RHOG,0.6750260591506958,0.0015741526366384081
300,C17orf89,0.6750078201293945,9.43861690478581e-09
301,RAB34,0.6742849349975586,1.2708127434747058e-05
302,ABCE1,0.6725061535835266,0.009479567928779369
303,MFAP5,0.6710541844367981,0.019307933821569773
304,GPN3,0.6705272793769836,0.0001629775096040676
305,METTL12,0.669808030128479,0.0002493211674968249
306,GJB5,0.6685032248497009,0.025107581354079866
