,genes,logfoldchange,pvals
0,ANKRD1,1.7477155923843384,0.025459366790226975
1,TRIML2,1.7202415466308594,5.8439500103395855e-15
2,HLA-G,1.6468204259872437,0.00566591863256891
3,KIAA1211L,1.4898959398269653,0.04151355319508315
4,ESPN,1.4837708473205566,0.038108216350530945
5,RASGRP2,1.4712750911712646,0.03892029904833726
6,BST2,1.4633082151412964,1.1040817953697369e-13
7,CCL26,1.3954564332962036,0.0058937045755692585
8,NEURL1,1.3619499206542969,0.048280299163945536
9,BNIP3,1.3552123308181763,4.0396444887220255e-07
10,CRIP1,1.3447515964508057,1.7971697010616753e-12
11,CYSRT1,1.327457308769226,0.040132752844553504
12,LAMC2,1.3211113214492798,8.278044253976609e-08
13,CST6,1.278234839439392,5.422062268538284e-12
14,SERPINE2,1.2582156658172607,0.0486956887194445
15,NAPRT,1.226236343383789,6.820807934092474e-12
16,USF2,1.2160803079605103,2.9924207046187005e-05
17,GAL,1.1688493490219116,1.5121978711775624e-11
18,IFIT2,1.1672825813293457,0.039922971274498675
19,UFSP2,1.1513710021972656,0.0032887152013637588
20,PDHX,1.1153557300567627,0.00011150211224896631
21,PLK2,1.112349271774292,4.573225210427466e-06
22,SFTA1P,1.109817624092102,8.445599664800075e-06
23,AC004791.2,1.1047581434249878,3.287619584927842e-07
24,LGALS1,1.0912353992462158,3.1410318773596553e-19
25,PAK1IP1,1.0313724279403687,9.129992383031596e-06
26,MED27,1.0202925205230713,0.01336095555850668
27,CRACR2B,1.0058060884475708,0.002215507117757894
28,EHMT1,1.0022060871124268,0.005593078248171029
29,CTNNAL1,1.00204336643219,3.715597371091298e-11
30,FUOM,0.9924258589744568,0.0001938517867890415
31,FBXO2,0.9872109889984131,9.254402638742368e-07
32,AIFM2,0.9833948016166687,1.437730339123257e-05
33,UBE2L6,0.9819837808609009,2.220534110064694e-08
34,FOSL1,0.9733169674873352,0.03498275042356067
35,FHL2,0.9730597138404846,0.00017426050103046232
36,MFAP5,0.9711146950721741,0.004543510460565515
37,MYEOV,0.9683089852333069,0.04178761640536528
38,MT1E,0.9611681699752808,2.7489199138653133e-07
39,RBP7,0.9582685828208923,3.1486703073495516e-09
40,HMGA1,0.9553682804107666,6.692694993413456e-22
41,PPP1R18,0.9328935742378235,0.033866095669659604
42,RP11-357H14.17,0.9215214252471924,0.0002656556170587851
43,DCTD,0.9188239574432373,0.023462955098923967
44,NOLC1,0.9093359112739563,0.0007146327939648368
