,genes,logfoldchange,pvals
0,SPRR1B,-26.38948631286621,7.775966234584439e-07
1,SULT1E1,-25.032922744750977,0.005589699203237361
2,AC006262.4,-24.973711013793945,0.000696580811921421
3,LINC01419,-7.394190311431885,1.8657050014844203e-19
4,ZSCAN18,-6.9662184715271,0.025292908362385003
5,TMPRSS11E,-6.512465000152588,4.485437538257446e-05
6,PCSK5,-6.161707878112793,0.00031300983398310566
7,BCAS1,-6.0150556564331055,2.1947668283851622e-11
8,SPTSSB,-5.975834846496582,2.8294577068842257e-07
9,IVL,-5.885920524597168,1.0017771055892891e-73
10,ZMYM2,-5.532281875610352,0.025489964206446142
11,SEPP1,-5.041224956512451,5.6507605593089625e-11
12,CFH,-5.005336284637451,0.0007942107775193026
13,MEF2C,-4.960577487945557,0.00024284683310348175
14,METTL7A,-4.913756847381592,0.03125292505628577
15,DIO2,-4.835163116455078,6.409848744367962e-18
16,SEMA5A,-4.808382511138916,1.2813738905901241e-28
17,ALDH1A1,-4.8070387840271,1.1036272547823758e-07
18,EPHB6,-4.786442279815674,6.806823439916997e-12
19,KRT13,-4.747326850891113,1.1989069390751626e-137
20,FABP4,-4.691818714141846,0.03606190359857646
21,HBE1,-4.6778154373168945,0.00010586870322323025
22,EPB41L4A,-4.609687805175781,0.013658208217460003
23,PLCXD3,-4.607928276062012,0.002190108810420709
24,ST3GAL5,-4.4915947914123535,0.032261121277220965
25,MUC4,-4.486083984375,5.0969602422314645e-06
26,PPP2R2B,-4.485703468322754,1.1112850968852296e-10
27,AC019349.5,-4.472955703735352,0.03837979952476533
28,RNF128,-4.343263626098633,0.003053765277999967
29,RP1-124C6.1,-4.292897701263428,3.855550762729987e-15
30,CRYAB,-4.20010232925415,1.987463594581052e-06
31,HPGD,-4.142795562744141,7.48022212064779e-12
32,AC006262.5,-4.105273723602295,6.1129350943951686e-80
33,SLC7A8,-4.023787021636963,4.0906083211256844e-07
34,TMPRSS4,-3.9834060668945312,1.7015905807977493e-06
35,SLC16A7,-3.9261651039123535,2.5560858994185704e-05
36,C1orf21,-3.922788381576538,2.4075679977910086e-28
37,BEX4,-3.86897611618042,0.0005877117550441647
38,SPATA17,-3.785600423812866,0.00028890161990261914
39,DAPK2,-3.773897171020508,1.211780200230825e-07
40,CNGA1,-3.7198128700256348,0.03880309159367696
41,VILL,-3.621596097946167,1.3502103378211018e-08
42,GPRC5C,-3.520768642425537,2.7671301868309503e-05
43,GBP2,-3.500854969024658,0.00036691119437731436
44,TNFSF10,-3.494513511657715,2.048958643745878e-120
45,ATOH8,-3.4743690490722656,0.015201074025342988
46,CALML5,-3.4602608680725098,3.71799651320558e-84
47,KRT4,-3.4486327171325684,1.4290488667068845e-47
48,MAP2K6,-3.345672607421875,0.0007951590712660787
49,DEFB1,-3.2946927547454834,3.791591221506101e-10
50,TNNT3,-3.286341667175293,0.0029143144374148867
51,CLDN8,-3.2814223766326904,5.137323179286133e-10
52,RP11-138I17.1,-3.2276017665863037,0.002704118881603648
53,RP11-890B15.2,-3.209960699081421,0.010937638885001906
54,C8orf4,-3.2081949710845947,8.557527270724386e-06
55,NKX2-8,-3.179746389389038,5.265555704948544e-17
56,FOLR1,-3.1777102947235107,4.540110243503569e-06
57,SMPDL3A,-3.1253557205200195,5.824388979693335e-14
58,ANOS1,-3.060908555984497,0.04073539780115601
59,PCSK9,-3.0503530502319336,0.005663238857523754
60,MAB21L3,-3.0414488315582275,0.004432735715123343
61,LCN2,-3.031982183456421,3.955345658801887e-16
62,RP11-128M1.1,-2.993433952331543,2.0051953514485717e-05
63,FLRT3,-2.9862334728240967,0.04252761261937986
64,FAM134B,-2.9728410243988037,5.852480183808958e-23
65,PLA2G10,-2.9721875190734863,6.197247615354365e-05
66,LINC01268,-2.965744733810425,0.015137549953112566
67,S100P,-2.958883285522461,1.3230885225676525e-12
68,PHGR1,-2.9421982765197754,0.028793207992206308
69,CCDC92,-2.9366583824157715,0.0005700888160966167
70,BTG2,-2.933375120162964,9.997601706800926e-59
71,ALDH3A1,-2.924891233444214,4.931105410251114e-107
72,ZG16B,-2.8996365070343018,9.901678803909678e-16
73,STON1,-2.890929698944092,0.008744862954829184
74,GALNT5,-2.8853652477264404,0.00034475954127794286
75,GCNT1,-2.870656967163086,0.0019413240080930697
76,CTSH,-2.863330125808716,6.598444544210777e-245
77,IGFBP3,-2.8602874279022217,2.6191455586859265e-237
78,IL1RN,-2.840696096420288,0.0172261215505693
79,SCEL,-2.8355014324188232,1.495584141091728e-06
80,NUPR1,-2.8123645782470703,8.644365045867033e-19
81,IFITM10,-2.8090360164642334,0.002876881540412581
82,ACKR3,-2.79162859916687,6.663124736600871e-07
83,TTLL1,-2.7893195152282715,0.03182717783640617
84,PIK3IP1,-2.7359063625335693,0.014449434471704338
85,AGR2,-2.7070541381835938,2.078462960544178e-295
86,ALPPL2,-2.6722781658172607,0.02772803801402887
87,RBPMS,-2.662240743637085,1.2780723156151654e-20
88,SALL4,-2.6474695205688477,8.218996321734393e-05
89,GNG7,-2.6349427700042725,0.0169082938879413
90,RP11-367G18.1,-2.6330008506774902,0.00013151879406379758
91,LINC01021,-2.622609853744507,0.008721596324540634
92,CYP2J2,-2.6086156368255615,0.049678493381811635
93,SLC2A12,-2.6038460731506348,0.04798005717912112
94,KLHL24,-2.5768938064575195,5.250148720929005e-07
95,SNHG18,-2.5733654499053955,9.936871541126066e-135
96,SERPINB13,-2.5326194763183594,0.00015706599964177158
97,EDIL3,-2.495807409286499,8.829760964672272e-13
98,C1R,-2.4821372032165527,0.0009227064959379514
99,PBX1,-2.476727247238159,1.85514751482121e-69
100,PALMD,-2.464867115020752,2.703293479941757e-16
101,PDE5A,-2.456510305404663,0.04614639438848243
102,DLX5,-2.4394352436065674,0.0008436350334611866
103,AKR1C2,-2.437459707260132,6.573786983056796e-139
104,KMO,-2.437330961227417,6.673504076345729e-08
