,genes,logfoldchange,pvals
0,DIO2,-2.5113906860351562,0.04767113224183247
1,IVL,-2.346728801727295,0.01494817751908591
2,SEMA5A,-2.0271480083465576,0.04075412921133809
3,SCEL,-1.8027483224868774,0.023548126397781085
4,SPON2,-1.7981480360031128,0.0008137063762426305
5,CALML5,-1.7385917901992798,1.4244103291335007e-14
6,AC006262.5,-1.6692792177200317,1.4770348688124745e-06
7,CLIC3,-1.640966773033142,2.818065618792835e-51
8,KMO,-1.6207706928253174,0.0016219190905401681
9,KRT13,-1.591752529144287,1.288279191392078e-09
10,SMPDL3A,-1.5746982097625732,0.010181546316155563
11,TPPP3,-1.567874550819397,0.03860332552961544
12,LCN2,-1.5631047487258911,0.0011917012442456464
13,ALOX5,-1.4924649000167847,0.01261398786608798
14,LY6D,-1.463041067123413,1.5656700141937193e-35
15,IGFBP3,-1.452085018157959,2.7080475984447956e-35
16,ZG16B,-1.4394944906234741,0.015091940172869238
17,PDPN,-1.4190075397491455,3.399237477212437e-17
18,PLEKHG4B,-1.407456398010254,0.01769047586801584
19,RPL3L,-1.4038550853729248,0.0030119359833159277
20,C1orf21,-1.4028379917144775,0.000657551126508085
21,TNFSF10,-1.3709479570388794,1.3016763384228673e-07
22,SOSTDC1,-1.3685626983642578,6.039595183922345e-06
23,MMP13,-1.3212041854858398,0.020395246458984738
24,BASP1,-1.2339400053024292,0.007755001364024127
25,PBXIP1,-1.2256343364715576,0.01585229671052389
26,ALDH3A1,-1.2172037363052368,1.1781435042484355e-10
27,WFDC2,-1.1951948404312134,0.00036948717556001075
28,C1QTNF2,-1.17996346950531,0.03704904803834311
29,TCEA3,-1.1546671390533447,0.011772010826797907
30,GPNMB,-1.1463117599487305,8.820565953020793e-13
31,KRT17,-1.1403040885925293,5.198795265905166e-26
32,AGR2,-1.1236332654953003,3.712396896921536e-33
33,PBX1,-1.1197595596313477,6.330039041557604e-05
34,BTG2,-1.1043872833251953,0.004837835473217206
35,SOX4,-1.1034996509552002,6.6774201322587895e-40
36,SORL1,-1.0881723165512085,1.6814659023420483e-05
37,CLEC2B,-1.0747790336608887,6.801303679757847e-13
38,UNC5B-AS1,-1.0691365003585815,1.3420968987906646e-06
39,COL7A1,-1.0685107707977295,0.04456327890065823
40,PNRC1,-1.0645686388015747,2.1753593192394245e-15
41,SPOCK1,-1.0558810234069824,0.02902378635469587
42,ADGRE1,-1.0302724838256836,0.03291353572752926
43,COL12A1,-1.008326768875122,0.014763338949374944
44,RBP1,-0.9957584142684937,1.4742688988880792e-08
45,TLN2,-0.9801826477050781,6.865724203613059e-05
46,CCNG2,-0.9563237428665161,0.025660955547079835
47,HSPA2,-0.9494411945343018,0.00015717762391436756
48,LYPD6B,-0.9488525986671448,0.020014987826715413
49,TUBA1A,-0.9401960968971252,1.0497398793316501e-10
50,KRT5,-0.9377172589302063,1.0038575826226895e-39
51,UPK3B,-0.918673038482666,0.004948466335575687
52,KRT14,-0.917370617389679,9.938740198124404e-13
53,OPN3,-0.9134266376495361,2.1027010881672808e-07
54,CTSH,-0.9073145389556885,3.501674790577213e-14
55,CD24,-0.8922095894813538,5.305377224515208e-40
56,KLK1,-0.8883048892021179,0.009294376102007607
57,COL5A2,-0.887222170829773,0.006891468812165273
58,HCAR2,-0.8837887644767761,0.002932046393758837
59,DPYSL2,-0.8752507567405701,0.0005570318663066404
60,DAB2,-0.869949996471405,0.026325551843453712
61,DHRS3,-0.84915691614151,5.6940069359176166e-12
62,GATA2-AS1,-0.849091649055481,3.7498017240886484e-07
63,AHNAK2,-0.8478737473487854,3.527020314101669e-17
64,KLK11,-0.8426498770713806,2.7676978585759547e-10
65,CCDC80,-0.8386322259902954,0.0047876735377862575
66,B3GALT4,-0.8324084281921387,0.04062415560028908
67,KRT15,-0.8191795945167542,0.013270695624017045
68,NEDD9,-0.8155221343040466,0.0007299906823222287
69,DAAM1,-0.7998912334442139,2.059519969392068e-27
70,TP53TG1,-0.7975008487701416,3.719204507657525e-09
71,BDH2,-0.7853594422340393,0.0464766165658724
72,SMCO4,-0.7777099013328552,0.0005695599160855212
73,TMEM52B,-0.7663445472717285,2.79680471328613e-07
74,ANXA6,-0.7613127827644348,0.004975186749963993
75,SYNE2,-0.7580075860023499,9.190893959081786e-10
76,IFI6,-0.7575851082801819,0.0030712930489919955
77,ANKH,-0.7567915916442871,1.928667118731779e-14
78,IFT81,-0.7528946399688721,0.02636571087854877
79,PROC,-0.7479418516159058,0.002554305849589427
80,SNHG18,-0.7325026392936707,3.779337173104224e-05
81,FXYD3,-0.7285809516906738,4.562351904154511e-45
82,TLE4,-0.7211658954620361,0.04005172105788412
83,CD74,-0.716894805431366,3.540598833157999e-05
84,MAGED2,-0.7125111818313599,1.5803961566118443e-12
85,GLUL,-0.7021533846855164,3.469191578766953e-15
86,IGFBP6,-0.6985120177268982,7.853419227942357e-23
87,MALAT1,-0.6811721324920654,1.5678049778829842e-67
88,MMP14,-0.6790670156478882,0.0028359976297297955
89,ODF2L,-0.6763747930526733,2.3588364662967344e-06
90,BCAM,-0.6654039621353149,4.5203407889356135e-05
91,SEMA3C,-0.6650961637496948,0.008941669886313485
92,SAMD9L,-0.6636940240859985,0.017474680639871603
93,CDH18,-0.66334068775177,0.0008187211047508756
94,AAMDC,-0.65915846824646,4.973709253555755e-09
95,BST2,-0.6565850377082825,8.425497810953083e-18
96,LBH,-0.6554343700408936,0.00010994885349168003
97,INSIG1,-0.655024528503418,0.016982453288645092
98,CCDC127,-0.6527804732322693,1.5066680337133986e-06
99,LMO4,-0.6403623819351196,0.0023352165244100516
100,PDCD4,-0.6398364305496216,0.00011734989108746878
101,SNRPN,-0.6388740539550781,0.0010990932165182478
102,MFGE8,-0.6340105533599854,0.005785376784111453
103,PALLD,-0.6338262557983398,0.00015518369310380518
104,SNCG,-0.6324799656867981,9.192111534809924e-19
105,MDK,-0.6266734600067139,4.931339544273709e-27
106,C15orf41,-0.6258313059806824,0.00014409107041314908
107,UNC5B,-0.6240204572677612,0.024403126528591976
108,ST6GALNAC2,-0.6231129169464111,0.04778737046113808
109,SKIL,-0.6220974326133728,0.0016709851296857548
110,TMEM98,-0.6217869520187378,2.2476729784328908e-05
111,ANXA8L1,-0.6179046630859375,0.036619366312254736
112,FOS,-0.6174501180648804,5.347629984928731e-05
113,OPTN,-0.6143679618835449,1.8425261887378284e-14
114,SAMD9,-0.6099870800971985,6.159179898019046e-07
115,SYNGR1,-0.5993114113807678,0.00893570187895239
116,MYADM,-0.5993006825447083,0.00032380407933491577
117,AKR1C2,-0.5976354479789734,3.612104295684613e-07
118,PMEPA1,-0.5962383151054382,0.0017469229910631262
119,ZSCAN31,-0.595048725605011,0.002126735595230599
120,FBLN1,-0.5907046794891357,1.544132286797178e-09
121,ARMCX6,-0.590320348739624,0.03318132292679088
122,TCEAL8,-0.5888745784759521,0.0001302873468222071
123,LIN7B,-0.5876043438911438,0.024938164943083218
124,SLPI,-0.5820475220680237,0.025504349901596172
125,OLR1,-0.5817233324050903,0.012537449914199911
126,EDN1,-0.573277473449707,0.031914210018235946
127,SAMD11,-0.572880744934082,7.198607708843958e-05
128,MEIS2,-0.57270747423172,0.004841960602371154
129,IFI16,-0.5716484189033508,6.273551349669397e-08
130,SSH3,-0.5710386633872986,0.0005246693951524319
131,TIMP3,-0.5702970027923584,1.3227636193145926e-11
132,PLEKHF2,-0.5696234703063965,0.014062407630178393
133,FNIP1,-0.5694719552993774,0.02927433518128245
134,RMI2,-0.5678439736366272,0.009843475544438962
135,LINC01224,-0.5675181150436401,0.01109307883955688
136,CRIP2,-0.567090630531311,3.495852687119825e-05
137,BNIP3L,-0.5634640455245972,6.598341475218162e-06
138,ASS1,-0.5614864826202393,0.010819315962635816
139,RHOBTB3,-0.5585266351699829,7.628654118728426e-36
140,TM9SF2,-0.5578198432922363,0.0014289744415672443
141,LPCAT2,-0.5564215183258057,0.0009279564369746237
142,SYTL1,-0.5563639998435974,0.006676139210784192
143,NEAT1,-0.5537023544311523,6.682983620673956e-15
144,KDELR3,-0.552570641040802,0.006659922675281974
145,CALHM2,-0.5460546612739563,0.00020269992952517103
146,ACP2,-0.5435322523117065,0.02886075155220827
147,FAM114A1,-0.5430219769477844,4.834760499108528e-10
148,EPS8,-0.5403589010238647,1.957278463334693e-05
149,FAM213A,-0.5338590145111084,2.972992900045778e-15
150,TNNT1,-0.5317200422286987,8.805926292934367e-13
151,NPC2,-0.5245674848556519,9.049224216229413e-39
152,GOLGB1,-0.5207357406616211,8.689670191997118e-09
153,E2F8,-0.5171154141426086,0.015671383388425178
154,YPEL3,-0.5169236660003662,0.024661607976214694
155,C21orf58,-0.5161615014076233,0.012753017379646705
156,ZBED6,-0.511746883392334,0.007694248332737637
157,SH3BGRL,-0.5089702010154724,0.028650871096651785
158,STMN1,-0.5086345076560974,7.844467385347405e-39
159,PDLIM1,-0.506719172000885,7.635103780135592e-45
160,TIMP2,-0.5037276148796082,0.0004044344797598005
161,GRN,-0.5028530955314636,6.7280656450004e-16
162,TP53I13,-0.4997289776802063,0.0014364332110333629
163,PNPLA8,-0.49838048219680786,0.042991557788607686
164,IDH1,-0.49770691990852356,0.007745896094580849
165,FADS1,-0.49509119987487793,0.0003341505626671824
166,GABARAPL1,-0.4945092797279358,0.0014354517339916575
167,IVNS1ABP,-0.494256854057312,0.0004577337721200819
