,genes,logfoldchange,pvals
0,TBC1D30,2.34718656539917,0.04063012368295163
1,HOXD13,2.1871321201324463,0.020569862343016346
2,ELFN2,1.8865714073181152,0.02159660147527221
3,HES7,1.774482011795044,0.044315400930027275
4,PGF,1.693833589553833,0.027019700349469142
5,TLX3,1.6353003978729248,0.031123599139873722
6,FOXD3-AS1,1.5922155380249023,0.024057379440154736
7,FHL1,1.5890183448791504,5.734496163207876e-31
8,RRS1,1.588473916053772,3.7271434081546654e-19
9,IRAK1,1.5425821542739868,2.4852611866727287e-23
10,PRRT3-AS1,1.5271910429000854,1.5709137791964346e-24
11,FAM216A,1.5020965337753296,1.9965528372091188e-08
12,POLR3G,1.4979192018508911,6.347865043158951e-10
13,LINC00941,1.4740326404571533,0.0014501628094457655
14,VPS9D1-AS1,1.4697059392929077,0.0004645771555459815
15,NDUFAF4,1.4561787843704224,7.72863940054819e-23
16,G0S2,1.4422035217285156,7.631089079869106e-22
17,UTP14A,1.436628818511963,4.510707138660315e-25
18,GAL,1.383737325668335,1.4732016062822214e-73
19,SCLY,1.3633098602294922,0.03593640622073038
20,GALR2,1.313057780265808,0.01833540229425358
21,CTAG2,1.3104652166366577,4.053081383766804e-82
22,HAUS7,1.306203842163086,6.282080989936843e-08
23,SLCO4A1,1.3032854795455933,0.002921889487510427
24,PNO1,1.3002259731292725,4.131807013891944e-33
25,CTU1,1.2983152866363525,4.8983967671778855e-15
26,CCNA1,1.2892600297927856,3.3693099335151926e-06
27,MAP7D3,1.2798287868499756,1.1202545975813734e-27
28,ETV5,1.2507963180541992,0.0002531248015636475
29,LYAR,1.2417083978652954,5.591170953578734e-23
30,NUDT19,1.2316328287124634,0.006806531378684807
31,SLC25A33,1.216532588005066,2.6594208711855484e-11
32,PGAM5,1.2112151384353638,1.5622095058227217e-15
33,RABEPK,1.2082997560501099,5.849491559424488e-23
34,SRGN,1.2023015022277832,5.0296673197175035e-05
35,NOP16,1.2003157138824463,1.4255394409098277e-29
36,NAA10,1.1893121004104614,7.636129155504698e-72
37,ETV4,1.1873478889465332,0.0014248461243075237
38,ANKS6,1.182863473892212,0.0008292000993002062
39,FBRSL1,1.1809107065200806,0.0002025049627783891
40,ZNF296,1.1768889427185059,0.0036992652538682183
41,SLC6A8,1.173937439918518,0.00022251260715439389
42,ECE2,1.1672550439834595,7.599906049493689e-12
43,CDC42EP2,1.1602058410644531,0.001645470633580291
44,CCDC86,1.15346360206604,6.286890202672925e-07
45,WDR43,1.14431893825531,7.974748076914744e-58
46,FST,1.1105217933654785,4.2492084690401765e-09
47,INHBB,1.1094276905059814,0.014531450405555146
48,SNX18,1.108784794807434,0.0441310570253993
49,PI4K2A,1.108614206314087,0.0021137717011730306
50,C10orf2,1.1068446636199951,0.032429037920350845
51,ZNF771,1.106494426727295,0.010263161686259967
52,DUSP5,1.104758381843567,4.5365583826978025e-07
53,PTRH2,1.0798993110656738,1.522616807228188e-14
54,GPAT3,1.0756711959838867,0.04311535906038222
55,TSEN2,1.067618489265442,5.759242841606389e-05
56,MYBBP1A,1.066960096359253,8.734600333977586e-06
57,RBM15,1.0576051473617554,0.049510344086206214
58,LTV1,1.0549346208572388,1.5889648127318015e-15
59,DDX21,1.0538012981414795,5.2555047942780315e-64
60,PPRC1,1.0529595613479614,4.645420429466836e-06
61,FAM86C1,1.0491904020309448,0.031994453288846036
62,DKC1,1.0374959707260132,7.667962376918452e-45
63,IL1A,1.0328869819641113,0.03818522644409384
64,SRM,1.029905915260315,2.8292364596873252e-55
65,P2RX5,1.0198392868041992,0.00016073739306479595
66,FOSL1,1.0187147855758667,3.372679710209676e-23
67,BSPRY,1.016298770904541,2.83734628305541e-06
68,CXorf40B,1.0136423110961914,0.0060645616422723815
69,CLDN3,1.0115296840667725,0.010526232656395714
70,BOP1,0.9976744055747986,3.6420838413018956e-32
71,POLR1B,0.9970804452896118,0.03318257863273354
72,DHX33,0.9919637441635132,3.6060814495854806e-06
73,ATP11C,0.9914731383323669,0.0004201029432722251
74,FAM58A,0.9886984825134277,1.5882615742710451e-24
75,RPF2,0.9798612594604492,9.992170042766036e-24
76,SFXN4,0.9718794822692871,4.861215479666754e-15
77,GRIN2D,0.96649569272995,0.029144896956345374
78,SIX1,0.9631425738334656,6.938208507436029e-06
79,VGLL1,0.9595430493354797,9.593569465701244e-09
80,PUS1,0.956686794757843,1.236922470475727e-12
81,CTXN1,0.9552651643753052,0.009455452609402316
82,MRTO4,0.9538360834121704,2.845973414180123e-26
83,TRMT6,0.9485628008842468,8.105583316103328e-15
84,RNASEH1-AS1,0.9417505860328674,0.0005146950861020018
85,MTHFD1L,0.9415143728256226,1.219319104949905e-13
86,NSDHL,0.9382457733154297,1.6450164377261236e-12
87,SNHG21,0.9353120923042297,0.02792065314843641
88,RPP40,0.9305669069290161,4.074733759906378e-19
89,DDX10,0.9267780780792236,2.8615492997649705e-14
90,PLK3,0.9265149831771851,0.032473389576099576
91,RILP,0.9254863858222961,0.04460039984583815
92,IKBKG,0.9235386252403259,2.251089288957702e-07
93,PPIF,0.9195030927658081,4.2454786614074924e-24
94,VARS,0.9137430191040039,1.3876194085598335e-10
95,ZNF593,0.9071683883666992,3.4021629657522295e-33
96,SLC5A6,0.9065672755241394,2.7543027354186996e-09
97,SRPRB,0.904776394367218,5.149936417521608e-11
98,ENDOG,0.9038704633712769,1.6236170834779146e-09
99,RRP12,0.9036056995391846,0.005034241496186571
100,HGH1,0.9016991853713989,1.3200971437938353e-05
101,NIFK,0.9015395641326904,1.8497465357522073e-33
102,MAGEA12,0.8993179202079773,2.191636509155837e-17
103,DHX37,0.8990315198898315,0.000786847441825416
104,SDCCAG3,0.8989810943603516,0.00040742533177459466
105,TMEM187,0.8987969160079956,0.04164032081463697
106,PNPT1,0.8937069773674011,2.551266456812136e-09
107,TIMM8A,0.8927459120750427,3.619087783282107e-11
108,SLC25A19,0.8917113542556763,2.271999817477611e-05
109,WDR3,0.8909619450569153,2.8614444114838588e-06
110,SDE2,0.8897597789764404,0.010579283563555166
111,HTATSF1,0.8854233026504517,1.2275552333586601e-26
112,TRMT61A,0.8850252628326416,5.8822269528344025e-06
113,PPAN,0.8846163749694824,7.553180255011797e-11
114,ENOX2,0.8842757940292358,0.0006332184164889388
115,CHCHD4,0.8837915658950806,4.143269735943605e-09
116,HS6ST2,0.8804150819778442,0.014431317473319659
117,GALNT14,0.8791242241859436,5.6291310160338865e-15
118,FAM122B,0.8766075372695923,1.8409309306448227e-06
119,SOHLH2,0.875358521938324,7.228525184775432e-05
120,NAT10,0.874177098274231,7.975586082214519e-10
