,genes,logfoldchange,pvals
0,SULT1E1,-7.39333963394165,8.135762381317626e-05
1,COLCA2,-7.2579026222229,0.009249747932229319
2,ZMYM2,-6.498632431030273,0.0012173231599171626
3,FABP4,-5.638001441955566,0.0018396751619152985
4,MUC15,-5.5226006507873535,0.009066627164266497
5,BCAS1,-5.357985019683838,3.797465181959042e-21
6,RARB,-4.929567813873291,0.016837110587992508
7,AC019349.5,-4.68229866027832,0.0028907330510589677
8,SPRR1B,-4.602548599243164,3.706652118718013e-11
9,IVL,-4.562596321105957,1.086405602929765e-136
10,SPTSSB,-4.556562423706055,9.449927681099377e-13
11,ALDH1A1,-4.522151947021484,6.879258725898002e-14
12,MEF2C,-4.443622589111328,2.539053803267534e-07
13,PDGFD,-4.442078113555908,0.004164841322204079
14,PPP2R2B,-4.311959266662598,4.750755517708707e-20
15,SEPP1,-4.307007312774658,9.629980637939009e-20
16,METTL7A,-4.258586883544922,0.0026273254320350325
17,TMPRSS11E,-4.188567638397217,3.54992221236161e-08
18,EPHB6,-4.099658489227295,1.0835042630712798e-21
19,PCSK5,-4.087219715118408,8.723729182684013e-07
20,PLCXD3,-4.027893543243408,1.808904786991923e-05
21,RNF128,-4.022026062011719,2.962772850807827e-05
22,CFH,-4.0215020179748535,4.6704835718981686e-06
23,LYPD2,-4.013223171234131,0.016773364963342387
24,KRT13,-3.921186923980713,2.582858508380016e-231
25,HBE1,-3.8072032928466797,9.004123610876689e-08
26,CDH10,-3.732876777648926,0.03210767939859267
27,DIO2,-3.7220280170440674,5.27760610853755e-31
28,TMPRSS4,-3.7075769901275635,2.91788094373123e-11
29,LINC01419,-3.6633477210998535,1.7763679611712138e-32
30,RP1-124C6.1,-3.6476173400878906,1.0776343568732812e-26
31,SLC7A7,-3.5923032760620117,0.008391718724483927
32,SEMA5A,-3.587435483932495,1.0282063267872863e-49
33,PCDH10,-3.396385669708252,0.03962487827940517
34,MUC4,-3.382469415664673,1.8048225976284215e-09
35,AC006262.4,-3.342802047729492,1.467444453200614e-05
36,CNTN5,-3.2512590885162354,0.022179527009544068
37,HPGD,-3.2217960357666016,1.0109323443342304e-19
38,C8orf4,-3.155601739883423,3.41070273287522e-10
39,CLDN8,-3.0610499382019043,4.184964845658464e-18
40,DEFB1,-2.9742507934570312,1.2243439353142938e-17
41,WNT11,-2.902892827987671,0.012093463469803289
42,CRYAB,-2.8957343101501465,1.2203208917596194e-09
43,SPATA17,-2.871443033218384,2.118545342608986e-06
44,TNFSF10,-2.842371702194214,2.402136234583218e-202
45,AC006262.5,-2.8177433013916016,4.840368543303876e-124
46,DAPK2,-2.797299861907959,2.012571592370665e-11
47,GBP2,-2.758500337600708,3.526253143459073e-06
48,VILL,-2.7571911811828613,8.22292819460403e-14
49,CALML5,-2.7213656902313232,3.461199933337593e-131
50,KRT4,-2.696861743927002,1.4544524059244016e-76
51,MUC20,-2.6655423641204834,0.01847228714746815
52,SLC16A7,-2.657097339630127,1.3294187027085817e-07
53,PPFIBP2,-2.650374412536621,0.011184106611752462
54,GPRC5C,-2.6422836780548096,3.925001526470498e-08
55,IFITM10,-2.6100757122039795,4.0888999854546006e-05
56,BTG2,-2.6096854209899902,5.134302629958018e-105
57,PLA2G10,-2.5995330810546875,6.23313226733188e-08
58,CNGA1,-2.5809295177459717,0.0074944009897188815
59,EDIL3,-2.5606093406677246,1.855533724981508e-24
60,ATOH8,-2.54833722114563,0.0021786364947158753
61,ANOS1,-2.522831678390503,0.00668541749071376
62,MAB21L3,-2.508986711502075,0.00015300730439007107
63,MAP2K6,-2.4876797199249268,3.3283921947959456e-05
64,LINC01268,-2.485078811645508,0.0018623518728621896
65,CTSH,-2.4783530235290527,0.0
66,ALPPL2,-2.454775810241699,0.003458363126852406
67,PIK3IP1,-2.4382619857788086,0.0008480211770948068
68,IGFBP3,-2.4226596355438232,0.0
69,CCDC92,-2.4142658710479736,4.442945681310205e-06
70,AGR2,-2.413902759552002,0.0
71,BEX4,-2.404025077819824,3.931206044038711e-05
72,STON1,-2.3878250122070312,0.0008274938352486207
73,CPE,-2.3737738132476807,0.024018280951491857
74,SLC2A12,-2.372276544570923,0.008002160441338713
75,MXRA5,-2.3625922203063965,3.9638301637071305e-06
76,ST3GAL5,-2.3612823486328125,0.01119859634437141
77,S100P,-2.3399853706359863,7.53451304801842e-21
78,NKX2-8,-2.331538677215576,1.3475149483199448e-24
79,RP11-128M1.1,-2.326378107070923,5.292768098103894e-08
80,RBPMS,-2.2806408405303955,1.5575448736866035e-34
81,LINC01021,-2.2715678215026855,0.0005543892044611044
82,PBX1,-2.2456822395324707,2.7893003708705817e-124
83,SCEL,-2.242471694946289,1.8367950529235255e-09
84,TRAM1L1,-2.2398834228515625,0.01472660503947435
85,SMPDL3A,-2.226377487182617,1.7018568296298362e-19
86,CCDC80,-2.217017889022827,6.450853537520954e-120
87,PDE5A,-2.2122445106506348,0.006719090917809392
88,GCNT1,-2.191288948059082,8.589848463287267e-05
89,FOLR1,-2.1897132396698,4.0081907335233295e-08
90,PALM,-2.1882517337799072,0.0001643129744007623
91,RP11-138I17.1,-2.177241563796997,0.0003378482852353955
92,CASC9,-2.1715972423553467,1.332645073379446e-06
93,EPB41L4A,-2.166607141494751,0.005708413471150992
94,MMEL1,-2.1423637866973877,0.04596789285754856
95,PGM2L1,-2.1206765174865723,5.0962876600309465e-22
96,SLC7A8,-2.101332902908325,2.0711244099168646e-08
97,ZNF563,-2.098867654800415,0.02837733052130127
98,AP000695.4,-2.0918221473693848,0.028600883466706684
99,ZG16B,-2.070370674133301,1.5132871202695902e-22
100,TMPRSS3,-2.067445755004883,0.0017469297169799827
101,ELF3,-2.04701828956604,1.1946598173215039e-305
102,KLHL24,-2.03753399848938,6.356347242837046e-10
103,SNHG18,-2.0040433406829834,1.9579522309042372e-210
104,RP11-11N9.4,-1.9873133897781372,9.15222822022524e-100
105,LCN2,-1.9862194061279297,9.49693803874728e-21
106,ALDH3A1,-1.9848692417144775,1.0866950064158643e-140
107,ST6GALNAC1,-1.98392653465271,0.016590564367074227
108,AC073283.4,-1.9614115953445435,0.0018763167157304702
109,MIR548XHG,-1.9584258794784546,1.302572228070068e-12
110,OLR1,-1.9576069116592407,1.2965526079131196e-116
111,HCAR2,-1.9358124732971191,4.0886776613303137e-76
112,PCAT6,-1.9338477849960327,2.3431193702699227e-14
113,EPHA4,-1.9325897693634033,5.807153445887741e-09
114,CD24,-1.92970871925354,0.0
115,LUM,-1.9260599613189697,3.286633983981711e-05
116,GALNT5,-1.9204553365707397,3.3126247383219217e-05
117,MMP13,-1.9082531929016113,7.914342442990656e-17
118,PHGR1,-1.8922703266143799,0.0084363953896124
119,SOSTDC1,-1.8888949155807495,1.6442435834919792e-63
120,PLCE1,-1.8883442878723145,6.384782309983524e-18
121,SLC40A1,-1.8719815015792847,9.713697009300414e-05
122,DHRS3,-1.8691470623016357,1.882415242137972e-245
123,LYPD6B,-1.8676862716674805,1.1897663171562376e-44
124,UPK3B,-1.8620893955230713,9.156229618412878e-47
125,SALL4,-1.861990213394165,2.65729667893638e-06
126,C1orf21,-1.8548738956451416,5.2661986441318905e-30
127,ANG,-1.8499798774719238,1.5410503454032442e-25
128,PALMD,-1.8466122150421143,1.1721776391691365e-22
129,EFNB3,-1.8411998748779297,0.00444494905555822
130,GLUL,-1.8305267095565796,0.0
131,RNF39,-1.8277761936187744,0.006934818643276157
132,PRSS22,-1.8262765407562256,6.069846203996433e-29
133,FOXA1,-1.822623610496521,3.55223946840145e-06
134,LMO4,-1.813565969467163,5.317380931892986e-115
135,PBXIP1,-1.8121058940887451,1.395330377530953e-18
136,GNG7,-1.7989057302474976,0.005854835757338372
137,C1R,-1.798675775527954,0.00010565248345495127
138,VAV3,-1.7952983379364014,0.006260015836523023
139,IKZF2,-1.7947453260421753,6.565453738915676e-08
140,KMO,-1.782031774520874,6.872144777966948e-10
141,TMEM45A,-1.779511570930481,2.1709531616058255e-39
142,RP11-277P12.20,-1.7748994827270508,6.451561908696942e-42
143,MCF2L-AS1,-1.7669155597686768,0.048132605604507744
144,ALPP,-1.7644171714782715,2.9636642663698614e-30
145,NEBL,-1.7526013851165771,0.023766122051231853
146,FAM214A,-1.7314989566802979,0.03198379363353931
147,CCDC85A,-1.724873423576355,0.01375748893996868
148,MAGED1,-1.7226135730743408,2.770471603773583e-25
149,RP11-890B15.2,-1.718976378440857,0.007819477476628136
150,MDS2,-1.7169969081878662,0.028273391013581395
151,HTRA3,-1.7168554067611694,2.2777452018783615e-06
152,RP11-367G18.1,-1.7090712785720825,3.704918865540204e-05
153,MARCH3,-1.7076451778411865,0.031622814216158805
154,KIF12,-1.701367974281311,0.039651118798594294
155,ACKR3,-1.6912012100219727,7.398879183383273e-08
156,SERPINB13,-1.68108069896698,1.613606667080874e-05
157,TCP11L2,-1.672101378440857,0.009622714457299482
158,PNRC1,-1.6711565256118774,1.1209969966531743e-160
159,KRT15,-1.649414300918579,2.1969732643806878e-45
160,IL1RN,-1.647127389907837,0.011901464830521215
161,RP11-38M8.1,-1.6468207836151123,1.3943206761015644e-05
162,SNRPN,-1.6456844806671143,1.0302002787619232e-105
163,TMEM52B,-1.642831563949585,3.2538185560964083e-142
164,UNC5B-AS1,-1.641054630279541,9.402164138751793e-61
165,LINC00685,-1.6328166723251343,0.0001153857691863715
166,ZFP36L2,-1.631377100944519,2.235633082250307e-299
