,genes,logfoldchange,pvals
0,SPRR1B,-5.066043853759766,0.004700219242060067
1,SPTSSB,-4.752355098724365,0.0031424767488145784
2,DEFB1,-3.7791998386383057,9.546411532326048e-05
3,CALML5,-3.25201678276062,5.310155090038934e-33
4,C8orf4,-3.1827945709228516,0.00987264128575156
5,HBE1,-3.0625364780426025,0.03434756715996177
6,GJB6,-2.725032091140747,0.00031492524898957063
7,EPHB6,-2.613861083984375,0.0005129814168977204
8,VILL,-2.5274009704589844,0.0019459350280452029
9,S100P,-2.377702236175537,5.717316801567495e-05
10,S100A14,-2.3575732707977295,6.293523652342013e-20
11,KRT13,-2.3175017833709717,5.329779982501442e-26
12,FOLR1,-2.2382683753967285,0.015424666170858845
13,MUC4,-2.0162277221679688,0.03911899073226371
14,BCAS1,-2.0157532691955566,0.003429704934797241
15,PALMD,-1.9742249250411987,6.691773349620582e-06
16,PPP2R2B,-1.9707746505737305,0.002503969510086109
17,RP1-124C6.1,-1.8750377893447876,0.0005603594502762775
18,DIO2,-1.8697352409362793,0.00019900948081883106
19,NKX2-8,-1.6979056596755981,0.00013728936706891058
20,GJB2,-1.6701276302337646,0.030673003083845036
21,DISP2,-1.6596368551254272,0.04878278075996418
22,CLDN8,-1.6201245784759521,0.004960992945401017
23,HPGD,-1.601314663887024,0.003461827923908939
24,RP11-128M1.1,-1.5498074293136597,0.03545487565872671
25,DAPK2,-1.5434083938598633,0.04066384757019362
26,PCAT6,-1.5050889253616333,0.003890187433664927
27,IVL,-1.4841207265853882,7.219872686677443e-12
28,RP11-11N9.4,-1.449142575263977,4.9176852529422896e-14
29,CTSH,-1.352969765663147,9.938080936777129e-39
30,CNFN,-1.3353883028030396,1.4378244542182843e-05
31,IL20RA,-1.2922393083572388,4.1459928600969384e-05
32,SEPP1,-1.2909746170043945,0.01511210024731451
33,PBXIP1,-1.2892361879348755,0.0017919817404352012
34,SAMD4A,-1.2803843021392822,0.03345781053788443
35,IGFBP3,-1.2751764059066772,1.5516314787150068e-33
36,BTG2,-1.2506072521209717,1.2237189245347807e-09
37,ALDH3A1,-1.230704426765442,3.4814931828051636e-16
38,LMO4,-1.2274318933486938,6.037421785762425e-14
39,MMP13,-1.2228138446807861,0.01424398158203751
40,AGR2,-1.2214491367340088,3.8070977643051134e-43
41,RBPMS,-1.2127854824066162,0.0002508423987999859
42,TNFSF10,-1.2003798484802246,3.3332753323056623e-13
43,SEMA5A,-1.1889147758483887,0.0005865434399927654
44,CTA-29F11.1,-1.1796019077301025,0.03140137574101547
45,MT1F,-1.1769530773162842,0.0033620554127790324
46,ZG16B,-1.1702624559402466,0.003347527325696835
47,KCNK6,-1.1565430164337158,1.525916786418077e-05
48,RP11-736N17.11,-1.1370545625686646,0.011809792046788486
49,CYP1B1,-1.1329100131988525,0.03288821921068932
50,LYPD6B,-1.1288989782333374,1.068875973859997e-05
51,GLUL,-1.121097445487976,8.963434845475096e-38
52,TOM1L2,-1.112550973892212,9.916302638401116e-07
53,MAML2,-1.0729260444641113,4.5005641164962086e-05
54,SLC12A2,-1.0651284456253052,0.03826304642548504
55,RP11-490M8.1,-1.0618853569030762,0.0010529998274951989
56,SLITRK6,-1.045870304107666,0.03743602943536851
57,PLCXD2,-1.0451699495315552,3.816192101210872e-06
58,SYT1,-1.037546157836914,0.028185993177709527
59,TXNIP,-1.0372555255889893,1.5864703102273805e-09
60,TMEM45B,-1.0231969356536865,0.019172932709253784
61,KRT17,-1.0200273990631104,4.326427124210072e-14
62,ERP27,-1.0189956426620483,0.015113575339535295
63,PNRC1,-1.016128420829773,3.0919291808165295e-16
64,ANG,-1.0091259479522705,0.005570396589439181
65,FAM84A,-0.9978572726249695,0.04919336797766662
66,ING4,-0.9894847869873047,0.0012933513633754622
67,PGM2L1,-0.9893882274627686,0.010179255493684569
68,CCDC80,-0.9806693196296692,1.3076700980958821e-08
69,UPK2,-0.9738050103187561,5.619603825832353e-20
70,FUCA1,-0.9732341766357422,3.807089963671008e-06
71,IDH2,-0.9663366675376892,0.03165866535816223
72,B3GALT4,-0.9589271545410156,0.02521920854659446
73,TMEM52B,-0.9501479268074036,1.879271554517777e-13
74,SUMF1,-0.9408109188079834,0.00701954945766176
75,LINC00511,-0.9378767013549805,0.001125660991627647
76,ZFP36,-0.9361141324043274,4.071370259846145e-06
77,ENDOV,-0.9258034825325012,0.00014314474309181854
78,KRT4,-0.9254925847053528,0.00024218556578128588
79,NFKBIZ,-0.9254552125930786,0.0016401396388159182
80,SBF2-AS1,-0.9231619834899902,5.327713853434046e-06
81,RP11-108M9.4,-0.9178466796875,0.00028069626702385695
82,CD24,-0.9088667631149292,3.0686082412294668e-40
83,WBSCR27,-0.9022663235664368,0.0003724576537926247
84,UPK1B,-0.9020216464996338,9.220307013773291e-27
85,SMPDL3A,-0.9012722969055176,0.04516216132446397
86,ALPP,-0.8980684280395508,0.003295246946532351
87,NMRK1,-0.8951941132545471,0.0018877364453067716
88,RBL2,-0.8891066908836365,0.0011954957365951596
89,LUZP2,-0.8882728815078735,0.003649224608635839
90,HLA-DMA,-0.88363116979599,0.020748028800764054
91,FBLN1,-0.8743966817855835,7.16025034283946e-17
92,ATF7IP2,-0.8686184287071228,4.526666332345273e-05
93,LBH,-0.8661113977432251,6.724101233628053e-09
94,RP11-30J20.1,-0.8613328337669373,0.04187395940848857
95,ECHDC2,-0.8605062365531921,0.0015954408367849836
96,MMP2,-0.8579663038253784,0.032682901304141816
97,TMEM45A,-0.8566131591796875,0.00030474872268553644
98,OXLD1,-0.8550201058387756,2.3068844381040046e-06
99,SMARCA1,-0.8537014722824097,4.447140588768941e-08
100,OLR1,-0.8535910248756409,1.24965148821253e-07
101,YPEL3,-0.8478564620018005,1.0299860945275347e-05
102,CAMK2N1,-0.8473077416419983,1.3737230154882132e-14
103,TBC1D23,-0.8461961150169373,0.014701150080477558
104,TP53TG1,-0.8401916027069092,9.596102020342191e-10
105,SNHG19,-0.8375484347343445,1.1906517213557743e-07
106,NFE4,-0.8363626599311829,0.0014547747622572266
107,MAGED1,-0.8327064514160156,0.008299758422962064
108,SNCG,-0.8266594409942627,7.891356948287364e-17
109,LINC01224,-0.8237934112548828,0.004139496171338808
110,POLR3GL,-0.8202203512191772,0.004733559943808848
111,MED29,-0.8151068687438965,0.0010841533077507934
112,SLPI,-0.8033181428909302,0.0008578337274726085
113,VGLL1,-0.7975949645042419,5.342967776195335e-06
114,RP11-277P12.20,-0.7956612706184387,0.0006796077549139462
115,BTD,-0.7954124808311462,0.004046054152255163
116,WSB1,-0.7887131571769714,0.000250565372291153
117,ZFP36L2,-0.7865185141563416,4.993193935944908e-19
118,SKIL,-0.7750831842422485,3.618149118402301e-07
119,C15orf41,-0.7732815146446228,1.979651785312545e-05
120,GATA3,-0.7691375613212585,8.015851690659642e-16
121,BDH2,-0.7673425078392029,0.046643871824200406
122,C1QTNF6,-0.7628293037414551,0.03002616521131928
123,C9orf9,-0.7620264291763306,0.02206023130566437
124,PLD3,-0.7553927898406982,0.0005138614148127158
125,TPBG,-0.7492526173591614,6.153337850800698e-07
126,TCTEX1D2,-0.7462339997291565,0.00761195087503338
127,RSPH3,-0.744803786277771,0.03722280477160152
128,RNF113A,-0.7424004077911377,0.030612965597840335
129,PHYH,-0.7389785647392273,0.0004159531236456573
130,S100A4,-0.7364290356636047,0.003870548165026634
131,DRD4,-0.7337098717689514,0.017689816495719064
132,ZNF804A,-0.7316043972969055,0.010129468905414387
133,IGBP1,-0.7212267518043518,2.4048163518119882e-11
134,NEDD9,-0.718809962272644,0.003741482774128591
135,SVIL,-0.7170219421386719,0.0006193217295030417
136,MGST2,-0.7168284058570862,1.612108573572476e-08
137,ADGRF1,-0.7160824537277222,7.105343304019435e-07
138,PBX1,-0.7116786241531372,3.6151176713641418e-06
139,MBNL2,-0.7111518383026123,0.02832852308708681
140,B4GALT4,-0.7030326128005981,0.014339468072629086
141,SMIM14,-0.7027300000190735,0.0010054788953716524
142,BLOC1S4,-0.7017003893852234,0.0106762097354335
143,CLIC3,-0.6972944140434265,3.16269741951306e-08
144,GSTZ1,-0.6944022178649902,0.0015997044799418091
145,HES1,-0.690310001373291,2.690024533162223e-18
146,SYCE1L,-0.6900532841682434,0.0010887699314831723
147,TCEAL8,-0.6807123422622681,2.828388239001057e-05
148,IFT43,-0.6796979308128357,1.403059227152533e-05
149,ECH1,-0.675694465637207,5.753392020964563e-10
150,NCK1,-0.6740686893463135,0.006159169634500858
151,ELF3,-0.6740370392799377,5.695822974240127e-12
152,RSRP1,-0.6718494892120361,7.769285851572444e-05
153,SYNGR1,-0.6693295240402222,0.00041717844557528515
154,ZNF414,-0.6689094305038452,0.026064046521969413
155,FUT8,-0.6636021733283997,0.03302765047112326
156,MINCR,-0.6624333262443542,0.04803417670305564
157,LAMA4,-0.6618847250938416,0.003568734515291739
158,ADM,-0.6618211269378662,0.0006733946198709543
159,ACSF2,-0.654564380645752,0.03194603250612038
160,LONP2,-0.6492387056350708,0.03289981920285433
161,C19orf33,-0.6423988938331604,4.84580380209325e-21
162,TACSTD2,-0.6403452157974243,1.2002035635755333e-37
163,FOS,-0.6369747519493103,0.0001503230959945536
164,DECR1,-0.6367055177688599,0.00015407095010817307
165,DPYSL2,-0.6292346119880676,0.02542293724858918
166,TRAPPC6A,-0.6220242381095886,0.0019157166051575424
167,LEO1,-0.6216452717781067,0.008317969754279567
168,IFT81,-0.620404064655304,0.024134878914107837
169,TNFAIP2,-0.617458701133728,5.110425822863854e-11
170,SNHG18,-0.6139295101165771,6.159080598518985e-08
171,SNRPN,-0.6126568913459778,1.173949055353048e-05
172,SPINT2,-0.6114011406898499,3.318335176993516e-29
173,AC006262.5,-0.6100179553031921,0.0005090052067887595
174,LRRC1,-0.609740138053894,0.0033216723077235197
