,genes,logfoldchange,pvals
0,SPON2,1.9487093687057495,0.013055144162189626
1,LY6D,1.906247615814209,1.926407884156991e-23
2,HIST1H3H,1.6748528480529785,0.0010049653980249479
3,HIST1H2BD,1.573729395866394,5.68383935708267e-12
4,HIST1H2AC,1.4977573156356812,6.10274402974171e-10
5,CLIC3,1.2561429738998413,3.3309978937604956e-17
6,CLDN10,1.1961345672607422,0.03957752857551615
7,NMU,1.152724027633667,4.391888840284482e-08
8,BST2,1.1205470561981201,2.9957740652910453e-18
9,LGALS1,1.115179419517517,1.0477500568493496e-31
10,PDPN,1.1012293100357056,0.00012959038626917738
11,SUN2,1.0915253162384033,0.010853964702109106
12,CLEC2B,1.0729141235351562,5.631533747214654e-08
13,HIST3H2A,1.0571978092193604,3.925731766679258e-08
14,KRT14,1.032158613204956,1.918085607764527e-08
15,CCNB2,0.9724982976913452,6.216630050412741e-12
16,TROAP,0.9515588879585266,1.4219269743644694e-13
17,KRT17,0.9224404692649841,8.143272151626772e-09
18,NEU1,0.9119610786437988,1.6582025040832136e-07
19,KIF20A,0.8987329006195068,0.001986215354719229
20,MVP,0.8677692413330078,0.031367525819261916
21,CEP70,0.857609212398529,0.003925165920705391
22,AAMDC,0.8533487319946289,4.0158306756828484e-08
23,PTTG1,0.8526393175125122,9.60710476209777e-12
24,PRR11,0.8204718232154846,6.705780391814445e-05
25,RNF11,0.8068103194236755,0.0012249981186976116
26,BOD1L1,0.7991191148757935,7.176171767354453e-05
27,SCLT1,0.7976121306419373,0.012535927975310689
28,ABCC3,0.7951629161834717,0.003656424285227158
29,SMIM14,0.7678661942481995,0.03266115996157748
30,KRT6A,0.7665769457817078,2.6729240434141496e-09
31,SERPINH1,0.7631762623786926,4.1148027420421306e-13
32,SDCBP,0.7624494433403015,3.119479055411975e-11
33,KLK11,0.7622210383415222,0.002652416554280203
34,USP5,0.7603607773780823,0.0019381128204212724
35,CDC20,0.7482583522796631,8.447644947359067e-08
36,ACP2,0.7239687442779541,0.030579042136777073
37,PLCD3,0.7095484733581543,0.0077454337391869785
38,CCNB1,0.6976824998855591,0.0003966843501483354
39,RBP1,0.6822898387908936,0.014436290647800429
40,ZSCAN31,0.6807993650436401,0.001941180221078416
41,MARCKSL1,0.6785005927085876,5.761468619559957e-07
42,RNF10,0.6740033030509949,0.00010016522490863694
43,ZMPSTE24,0.6657446622848511,0.016172074353850135
44,IFNGR2,0.661116361618042,0.03126596081452186
45,ADAM10,0.6515900492668152,0.0033285169217584154
46,KRT5,0.6480339169502258,1.478225102712602e-09
47,CRYZ,0.6457839608192444,0.04819505205054968
48,INHBA,0.6409802436828613,0.017390155116926462
49,IER3,0.6377372145652771,7.46984193414726e-09
50,CALML5,0.6352235674858093,0.004138466380329023
51,PALLD,0.6268349289894104,0.005954014693729898
52,C9orf3,0.6138838529586792,0.006339088462767302
53,USP33,0.6129446625709534,0.02501845726444436
54,HNRNPH3,0.612811267375946,8.043208887045956e-14
55,SOX4,0.6077143549919128,1.4281910710888593e-08
56,TMEM19,0.6072878837585449,0.04257483595449434
57,PTMS,0.6029292345046997,3.1966409777811525e-17
58,CLPTM1L,0.5883722305297852,0.0017890218258647056
59,LMNA,0.5872542262077332,1.7295671499030035e-24
60,HIF1A,0.5863991379737854,0.02942885785770056
61,MGEA5,0.5780704021453857,0.003405580724985733
62,CDKN3,0.5712530016899109,7.346359249378696e-06
63,TMEM30A,0.570728063583374,0.006888356540445462
64,LPCAT2,0.5697569847106934,0.00777336726984028
65,HSPB1,0.5628752112388611,8.81234393717989e-22
66,CDKN2AIPNL,0.56263267993927,0.022572119160688797
67,NET1,0.5586622953414917,2.716306531788501e-06
68,TSPAN13,0.5579251646995544,3.6650225687266125e-08
69,HSPA5,0.5544325113296509,6.954575054217571e-19
70,PICALM,0.5519532561302185,0.012962504429939929
71,SKA2,0.5496824979782104,3.68220537159035e-08
72,DNAJB6,0.5464887619018555,0.0001381797357249724
73,VAT1,0.5446678400039673,0.0073073896861661465
74,MYL9,0.535097062587738,0.025535644401723658
75,COPB2,0.5293789505958557,8.546781735652623e-05
76,POLR2B,0.5261864066123962,0.007446920474370268
77,GLTP,0.5249208211898804,0.004171544802967951
78,JUP,0.5199751853942871,5.558424422298267e-07
79,HNRNPH1,0.5184301137924194,1.0240010268001097e-05
80,TGFBI,0.5146341919898987,4.753400457123451e-07
81,CTSV,0.5110607743263245,1.2519187196264356e-06
82,HNRNPA2B1,0.5101831555366516,2.7327701879620226e-20
83,PYGL,0.5082453489303589,0.0003772455637112059
84,PLIN3,0.5034192800521851,0.0008219258863067318
85,DAAM1,0.5019683837890625,2.0831259582541954e-06
86,BRD9,0.5009316205978394,0.007238157843380742
87,PPP1R18,0.49983394145965576,0.049543571916563486
88,TARDBP,0.49770134687423706,0.004122648164624933
89,DDAH2,0.49023160338401794,1.8311915105184897e-06
90,REV1,0.4901535212993622,0.03945366570765261
91,ERRFI1,0.48947298526763916,0.031720100707754946
92,STMN1,0.4892256557941437,5.8660157569628466e-12
93,COX7B2,0.4857902526855469,7.2358789895650815e-06
94,NUCKS1,0.4848037362098694,1.2266027679250068e-14
95,SKIV2L2,0.4830946922302246,0.02026748221448131
96,ERP44,0.4767071604728699,1.0157175498971671e-08
97,ITGB1,0.47602614760398865,8.549894805453691e-11
98,LMNB1,0.4750160872936249,0.04835273157957458
99,MYO10,0.4746357500553131,0.001726417001028228
100,AHNAK2,0.47419771552085876,0.0007445626680626745
101,PTTG1IP,0.4728092551231384,7.4850295692514675e-06
102,MYO6,0.4719891846179962,0.0008373313450027264
103,HMGN2,0.4717426002025604,1.4229478352847475e-17
104,DLGAP5,0.46897441148757935,0.047773654658039885
105,HMG20B,0.4682103991508484,0.0002646747033196666
106,KYNU,0.46370288729667664,0.012165132175766426
107,DCTN3,0.46316128969192505,4.4091794226458393e-07
108,SDHA,0.46308350563049316,1.923741634450055e-05
109,TPM4,0.46206343173980713,7.859823099962828e-08
110,ZBED6,0.45957523584365845,0.04863617066233277
111,JARID2,0.45784300565719604,0.0420416712944652
112,C12orf75,0.4568639099597931,4.51333977063743e-06
113,LDHA,0.4568498134613037,4.4036405193917997e-13
114,TIMP2,0.45656323432922363,0.046336358021214163
115,OSBPL9,0.45645013451576233,0.0016107726461328143
116,TOPORS,0.455593079328537,0.01996198884908236
117,KLK5,0.45501798391342163,0.005715083093417497
118,SRRT,0.44989126920700073,0.01403820002965098
119,UBA1,0.44909974932670593,0.00379253187614061
120,HNRNPM,0.4475129544734955,2.1142813497452775e-09
121,HSP90AB1,0.4473637342453003,2.4980592653078492e-14
122,CD24,0.44650301337242126,1.2743255487626523e-06
123,AGR2,0.44453978538513184,6.098623855804974e-05
124,ABHD3,0.44291430711746216,0.04354726356135547
125,HLA-B,0.44192615151405334,3.8374864641158364e-11
126,KIF5B,0.4412033259868622,8.935151211782989e-07
127,HDAC1,0.44026222825050354,1.975331001563458e-07
128,MAGED2,0.44016677141189575,0.0007190322876922471
129,RBM14,0.43955764174461365,0.03467330813290779
130,TAX1BP1,0.43600332736968994,1.4395298115089126e-06
131,FAM89B,0.4351845681667328,0.007534610497225126
132,DKK1,0.43502819538116455,1.1315347157503391e-05
133,CALR,0.4334053695201874,2.138906939639634e-21
134,CCT5,0.43160849809646606,3.1777940182974425e-11
135,HMGB1,0.42654576897621155,9.869571222808126e-13
136,SLC44A1,0.42616912722587585,0.0027735034926996134
137,RAD21,0.42522698640823364,5.397096581493236e-06
138,EIF4G2,0.4245609939098358,1.3855001767033453e-05
139,WBP2,0.4237879812717438,0.02191558314753208
140,PAIP2,0.42134883999824524,6.275805394427469e-05
141,QARS,0.419746458530426,0.007912498089456467
142,UGDH,0.4185809791088104,0.03492340865856306
143,CTNNB1,0.4175610840320587,0.0004889475355629595
144,PFDN4,0.4158157706260681,5.3944043407850486e-05
145,IK,0.4132722318172455,2.0894529411201808e-06
146,LSM14A,0.41141054034233093,0.00017012253053419864
147,MALL,0.41135600209236145,0.0026415880002175493
148,HSP90AA1,0.4086475372314453,8.671705901266232e-08
149,GPNMB,0.4056934416294098,0.02976143272103172
150,TXNDC12,0.4045164883136749,0.001568318969516092
151,SURF4,0.4038955271244049,6.15476641632365e-05
152,HSP90B1,0.4016781151294708,5.3889891706161624e-12
153,IGFBP3,0.40141433477401733,0.0012735237239667194
154,CSNK1A1,0.40093910694122314,1.7808956776926797e-06
155,BZW1,0.40016528964042664,3.57808433855522e-05
156,SLC38A2,0.3940533995628357,0.005660432892967876
157,FAT1,0.39323022961616516,0.005270084918290805
158,AHNAK,0.39114832878112793,0.00013335644367329204
159,RARS,0.3910868763923645,0.0006667969593937672
160,STT3B,0.3881949484348297,0.046800638569246523
161,LUZP1,0.3881540596485138,0.0004400578074552826
162,PHLDA1,0.38694244623184204,0.0008345105806892772
163,PTMA,0.3867052495479584,7.661678046514642e-26
164,PRKAR1A,0.38634613156318665,0.0092585465828752
165,TAPBP,0.38453125953674316,0.003829977370379318
166,TACSTD2,0.3836422860622406,3.7658453109604886e-08
167,ALDH3A1,0.3829784095287323,0.019693632643363077
168,ARPC2,0.3807702660560608,8.477956180651555e-14
169,HNRNPA1,0.3793186843395233,1.5442714682661934e-14
170,VIMP,0.37842684984207153,9.691517721929295e-05
171,PDIA3,0.37698736786842346,8.68678643359536e-13
172,ARL6IP5,0.3764190673828125,0.013971440283559658
173,FAM114A1,0.3762727975845337,0.004451020009253307
174,CXADR,0.3749045729637146,0.04030246006702207
175,PKM,0.3730986714363098,2.083034870433086e-12
176,PPP2R1A,0.3706105351448059,6.005583463413597e-06
177,BROX,0.37040629982948303,0.03884995800532521
178,CSTA,0.3685280978679657,0.00028085911545568527
179,CFD,0.3683697283267975,0.023391351216310634
180,PTRF,0.36812642216682434,1.50289868752018e-05
181,SYPL1,0.36803048849105835,1.881381965656417e-05
182,SOX15,0.36655446887016296,0.0027702765057563143
183,MYL12A,0.3661620020866394,3.277614823301819e-08
184,NRDC,0.3647872805595398,0.025061381681642556
185,PDCD6,0.3639048933982849,4.0100602072873784e-07
186,CD59,0.3632553219795227,3.950020274815888e-15
187,TMEM50A,0.36233052611351013,4.462817224490689e-07
188,CMBL,0.3608505129814148,0.002991715384341299
189,SCARB2,0.3600846529006958,0.02232169096124636
190,PDIA4,0.3598933219909668,0.00019024389317090376
191,CLIC4,0.3598620593547821,0.03305672196979361
192,UBB,0.35981887578964233,1.5048370455792859e-12
193,ANXA1,0.3591926693916321,5.5553917986640624e-14
194,OAZ2,0.35897454619407654,0.016736011592831637
195,CAPN2,0.3582131266593933,0.002709755416206417
196,ARID4B,0.3568219542503357,0.004288562166651993
197,YWHAQ,0.352200984954834,4.3691110709256996e-08
198,GPX3,0.3512726426124573,0.0015497164900734758
199,GGH,0.35000497102737427,0.00041482102155972894
200,ANP32E,0.3495752811431885,0.006017137283614573
201,SPTBN1,0.3482239246368408,0.02029886536242335
202,COL17A1,0.34474220871925354,0.04615067537786637
203,CAPZA1,0.3445121943950653,0.0003434223223783212
204,PTGES3,0.34051957726478577,1.995523535954879e-07
205,LSM5,0.3403518795967102,8.217999575364028e-06
206,MYOF,0.34016430377960205,0.005280876361110604
207,VAMP8,0.34001368284225464,0.0015588624009175277
208,FAM32A,0.33972322940826416,0.01737796738608678
209,SLC38A1,0.3397156894207001,0.03171368338286691
210,CNIH4,0.33898797631263733,9.44139424145298e-06
211,LRP10,0.338907927274704,0.0288335452629627
212,RTN4,0.3386387526988983,1.6518339533394505e-07
213,PPP1CB,0.3373939096927643,0.003992130195902726
214,PDIA6,0.3359963297843933,6.896682881690805e-11
215,HMGN1,0.3348967432975769,1.671988426137331e-15
216,CALD1,0.33428406715393066,0.00017833340540595463
217,TPM3,0.33335334062576294,2.3572913840686376e-06
218,CCDC186,0.3331849277019501,0.022229939414058392
219,S100A2,0.33093151450157166,9.87944984014453e-11
220,IMMP1L,0.33084696531295776,0.0016248276821968068
221,H2AFV,0.32997530698776245,7.031452910491898e-08
222,CANX,0.3289757966995239,1.1823627195077231e-05
223,HMGB3,0.3288426995277405,0.0027202622217816527
224,SNRPC,0.3265097737312317,3.0543935664855253e-06
225,CDK2AP2,0.32647183537483215,3.240916012950685e-05
226,TOP1,0.325356662273407,0.011059192313212063
227,NOP58,0.32390135526657104,0.0022358574572101013
228,MAP1LC3B,0.32326415181159973,0.0002331894468789344
229,SFPQ,0.3228815793991089,5.824710222398961e-05
230,ATP1A1,0.32157400250434875,0.0036233328264937852
231,F3,0.32148277759552,0.002344609205750931
232,PGAM1,0.32054296135902405,3.5707509334468605e-08
233,CMTM6,0.32051751017570496,0.00699383882405669
234,TAF7,0.3194284439086914,0.0008446674897231946
235,NDFIP1,0.31911706924438477,0.013397631612885822
236,PRNP,0.31903958320617676,0.029562710404521207
237,CALM3,0.3188098967075348,1.0696827363412742e-07
238,SARAF,0.31845220923423767,0.003578832170039798
239,MRPL36,0.3183966875076294,0.001623030979672165
240,PTHLH,0.317914217710495,0.00026713088859550124
241,LAMB3,0.31737974286079407,0.0007714292282811598
242,SLK,0.31687131524086,0.019714882549022514
243,VPS4B,0.3153950572013855,0.0030145981802304103
244,VASP,0.3147217035293579,0.04160465886867472
245,SLU7,0.31428006291389465,0.04419343468773198
246,ITM2B,0.3132818937301636,4.592889026923073e-06
247,PTGES,0.31008926033973694,0.0010824147252772153
248,GOLGA2,0.30866727232933044,0.03225793690220556
249,COPS4,0.3077752888202667,0.029869755935542745
250,PERP,0.30702853202819824,1.5232483994758357e-08
251,TXNDC9,0.30672386288642883,0.010775322314212627
252,RHOA,0.30665990710258484,0.0003456371220786621
253,CORO1C,0.3035689890384674,0.020772944909007565
254,HSPH1,0.30309611558914185,0.0017667600835213795
255,BIRC5,0.3025263249874115,0.010217892521436366
256,MYL12B,0.300778329372406,2.03448585914865e-14
257,CAP1,0.30053776502609253,0.00036900864235043005
258,IDH3B,0.30036312341690063,0.039050315993226496
259,CSDE1,0.30010998249053955,0.0013363000128669865
260,HLA-A,0.3000307083129883,3.4594656141825212e-09
261,SEPT7,0.29917627573013306,5.516825999086352e-06
262,UPK1B,0.2991259694099426,0.0003122971671404838
263,ILF2,0.2971872091293335,0.0001324162242243522
264,MORF4L2,0.29714229702949524,4.7875670796438745e-05
265,CD9,0.2962484061717987,6.934377908778581e-05
266,FAM83A,0.29496195912361145,0.02049861153747954
267,DYNC1I2,0.2945834994316101,0.0044804482063627695
268,SNX3,0.293912410736084,6.908255731635834e-07
269,ARPC1A,0.29343274235725403,6.059115405132584e-05
270,MT2A,0.29212644696235657,0.0005295093320276885
271,TIMP3,0.29173240065574646,0.012141242677721788
272,AMD1,0.2911573350429535,0.04597089833839285
273,POR,0.2903690040111542,0.04759762975734509
274,PSMB8,0.29029688239097595,0.002874955760956912
275,DSP,0.2902674376964569,0.0005938369952087412
276,TFG,0.29015806317329407,0.0004450360356106221
277,SRP9,0.285785436630249,6.121818779065569e-06
278,GNAI3,0.2842855453491211,0.015468845062877138
279,SERPINB5,0.28281232714653015,0.0008160564129597368
280,CTNND1,0.28233882784843445,0.025940912950718344
281,HIGD1A,0.28225865960121155,0.047250816814155945
282,SPCS2,0.2821774482727051,2.658978203059113e-06
283,YWHAZ,0.28187960386276245,3.3365050936407394e-07
284,MORF4L1,0.2817245423793793,1.3186941347942552e-06
285,ACTB,0.2812844216823578,2.6453598892751956e-09
286,VPS26A,0.2806674540042877,0.024282106429566654
287,MED28,0.2801138758659363,0.01134132366398044
288,RNF5,0.28007882833480835,0.0033993916989743214
289,HLA-C,0.2795652151107788,7.199564622394356e-05
290,STXBP2,0.27942323684692383,0.03218768322453741
291,FAM213A,0.2785954177379608,0.00668948972109734
292,FBXO3,0.2783796489238739,0.0030911677690523194
293,ARF1,0.2783653438091278,8.915605632755223e-06
294,PLK2,0.2768869698047638,0.02588591134611963
295,ATP5A1,0.2763079106807709,0.0026121217061723673
296,ADK,0.27321168780326843,0.00011943451826090615
297,EIF4H,0.2728317677974701,0.019766816373529603
298,NDUFS6,0.27058762311935425,1.1050177698801614e-05
299,IQGAP1,0.2699618637561798,0.008312816986715798
300,GRN,0.26941871643066406,0.001345486784988397
301,UBE2L6,0.269309401512146,0.03760515833303621
302,ADH5,0.2692762017250061,0.005233647379510273
303,GNB1,0.2685578167438507,0.004260496028920807
304,COX17,0.2667101323604584,0.004189241812597695
305,HNRNPR,0.266626238822937,0.0005256416493783968
306,SNRPA1,0.26612231135368347,0.002430466401667956
307,CDC42,0.26517021656036377,0.0005692292439690166
308,HNRNPK,0.2646886706352234,8.994118918565277e-08
309,ANXA5,0.26385498046875,0.0007931042152731756
310,PSMB6,0.26381048560142517,1.6197727624194628e-05
311,FAM120A,0.26330018043518066,0.02510646845996755
312,SYNCRIP,0.26213306188583374,0.010283802730933276
313,KRT10,0.26206037402153015,0.0001456715439064529
