,genes,logfoldchange,pvals
0,LINC00958,2.880307912826538,3.916121124716566e-73
1,SRGN,2.840277910232544,5.369260455009423e-44
2,LINC00973,2.6774203777313232,0.012926884378381435
3,FHL1,2.635499954223633,1.0502054174879975e-254
4,RP11-350J20.12,2.378516912460327,0.0009649433930121252
5,EBF3,2.348829507827759,0.005946676903027437
6,TGM2,2.2938895225524902,0.00025001850132736966
7,ETV4,2.2804689407348633,7.80256961131581e-23
8,ETV1,2.2504022121429443,0.047875078598711734
9,PGF,2.176316022872925,3.5360162473605515e-08
10,BATF3,2.1656899452209473,0.0007931637675693009
11,KLRG2,2.1553921699523926,0.0003797648512673776
12,FOSL1,2.129650115966797,5.554512800336298e-283
13,G0S2,2.0821499824523926,7.217803410763941e-166
14,ETV5,2.077651262283325,6.132278178060167e-25
15,CCBE1,2.070751905441284,6.27841341872125e-05
16,JPH3,2.055453300476074,0.01593303495349912
17,PTGS1,2.006121873855591,4.812033669182066e-28
18,MMP1,1.971387267112732,2.2648968333068933e-97
19,COL13A1,1.9692156314849854,0.0013793514882320388
20,WIPF3,1.9223341941833496,0.00023758313269330736
21,BAIAP2L2,1.9142740964889526,6.9807128288123e-27
22,LINC00941,1.9020287990570068,1.780926411597739e-14
23,SH3PXD2A-AS1,1.8504358530044556,4.023924797116023e-05
24,POLR3G,1.8504258394241333,3.8169293045029496e-55
25,C2orf61,1.8492730855941772,0.028683339045750093
26,TMEM171,1.801503300666809,2.7396446120140028e-06
27,CCNA1,1.7927864789962769,1.1725510380580396e-36
28,FST,1.7786753177642822,9.08168115254031e-79
29,SLC35F3,1.7743496894836426,0.0017651992487350257
30,ADTRP,1.7713509798049927,5.87821508173094e-06
31,TMEM200A,1.7648367881774902,0.0003643543089595484
32,KISS1R,1.7563400268554688,0.016945102744916035
33,GAL,1.748504877090454,0.0
34,NEURL1,1.7180964946746826,1.0878498803822263e-146
35,CCDC86,1.7102177143096924,8.557989855164203e-43
36,OXTR,1.7066903114318848,3.080124207195673e-07
37,PPP1R1C,1.687515139579773,0.0011123047053139376
38,HAUS7,1.6796847581863403,1.4741466916026102e-43
39,IRAK1,1.6572562456130981,8.543492547086995e-122
40,NTM,1.648743748664856,0.016647840018827065
41,NTSR1,1.621971607208252,0.0012840073826702078
42,ANKRD1,1.6218042373657227,1.8588389441187738e-23
43,RFTN1,1.6184206008911133,0.001230145791703781
44,TBC1D30,1.6158555746078491,0.00017638059795839316
45,INA,1.6131091117858887,6.8620978555464e-05
46,TEX40,1.6095184087753296,1.0572927178471598e-35
47,CYB5R2,1.6076682806015015,0.0047394743153249975
48,FUT4,1.592239499092102,0.024695015249878445
49,MICAL2,1.5906496047973633,2.570125391789025e-24
50,AREG,1.5603787899017334,1.7888278348124961e-211
51,MATK,1.5596598386764526,4.617057589039293e-07
52,VPS9D1-AS1,1.558547854423523,2.509551517621829e-15
53,PRRT3-AS1,1.5548732280731201,2.0664876518434566e-123
54,PNO1,1.5536144971847534,7.242445966223195e-211
55,KCNMA1,1.5491124391555786,0.03756365395225208
56,ALOX12,1.5449771881103516,2.557960273761013e-05
57,HLA-G,1.5349133014678955,1.2202041484537677e-137
58,ABCG2,1.5154305696487427,2.156628895608721e-12
59,SERPINE2,1.5146116018295288,3.2866453619680947e-217
60,BSPRY,1.5028892755508423,6.1366611516600945e-40
61,PAPPA,1.4922192096710205,5.4181001776312614e-06
62,FLJ36000,1.4810636043548584,7.174140268392543e-05
63,AJAP1,1.4804809093475342,0.032519351804002825
64,HES7,1.4790211915969849,3.351092609599484e-05
65,GALR2,1.4669408798217773,1.500398103082397e-08
66,SCLY,1.465804100036621,6.961315127730701e-07
67,C10orf2,1.4592052698135376,3.073636010857491e-08
68,SRM,1.4522180557250977,0.0
69,CTC-260E6.6,1.4503904581069946,0.035960405417019815
70,SLC27A4,1.447510838508606,1.2116384242774563e-21
71,NT5E,1.4449082612991333,1.8792525023413156e-47
72,UTP14A,1.4437114000320435,1.0684456621616594e-121
73,DDX21,1.4386039972305298,0.0
74,RPP40,1.4325755834579468,3.864648227385491e-173
75,RP11-114H23.2,1.4294604063034058,2.2455227743081965e-06
76,LY6D,1.4229388236999512,4.315539938303303e-155
77,AXL,1.4216848611831665,8.552676093665986e-50
78,NRP1,1.4204856157302856,0.018157710606662464
79,NAA10,1.4193298816680908,0.0
80,DENND2A,1.4157682657241821,0.01658074552331152
81,KAZN,1.3972663879394531,3.8180752602761814e-10
82,DKC1,1.395477056503296,0.0
83,FAM58A,1.3950655460357666,2.255215806383705e-194
84,MT1A,1.3950483798980713,0.0003444406862525392
85,AEN,1.394559621810913,2.6971671800371053e-06
86,NOP16,1.3923063278198242,4.4155789672546094e-173
87,SOCS2,1.3884539604187012,0.025397625860551134
88,RRS1,1.382382869720459,1.3665438868503187e-75
89,SLC6A8,1.381394624710083,3.170119509969107e-18
90,CD3EAP,1.3778873682022095,1.0928522819042159e-192
91,NME1,1.3760701417922974,0.0
92,PAK1IP1,1.3706023693084717,1.5450938874344113e-257
93,BOP1,1.369626522064209,1.2895284437080668e-245
94,GPR153,1.368046760559082,3.5507269365512534e-07
95,ARNTL,1.3627821207046509,5.317040692924022e-06
96,CLDN9,1.3623474836349487,0.0137272009754998
97,GPAT3,1.357710599899292,1.980809115659901e-06
98,PDCD2L,1.3534852266311646,5.39306228540786e-53
99,MFSD2A,1.3447933197021484,0.00027268148614617685
100,LYAR,1.340461254119873,9.769395070910804e-125
101,RIOK1,1.3377926349639893,7.418204869024541e-196
102,NDUFAF4,1.3354597091674805,1.2195096323308502e-101
103,PPIF,1.3302628993988037,1.5700516441277137e-198
104,ATAD3B,1.3240935802459717,2.336655322316046e-30
105,AC003075.4,1.3235855102539062,0.0014532336761145933
106,HBM,1.3207789659500122,4.160717887310604e-06
107,CAMK1,1.3057544231414795,1.1161075869977299e-52
108,TRPM2,1.289199709892273,2.9091355430397904e-25
109,CTPS1,1.2891920804977417,2.81677068188536e-66
110,FJX1,1.2803691625595093,9.70192474799175e-153
111,HPRT1,1.274904489517212,6.242536563819213e-277
112,IL7R,1.2737330198287964,4.106797216828199e-13
113,MTHFD1L,1.272627353668213,1.802268775847012e-94
114,DUSP4,1.2703900337219238,2.7165426702702265e-41
115,PGAM5,1.2683204412460327,7.3199822442883e-78
116,PAQR5,1.2678158283233643,5.172533058355518e-05
117,MAP7D3,1.2672927379608154,9.629469129290267e-132
118,SLC43A3,1.2652289867401123,1.972079459941405e-18
119,IL32,1.2641494274139404,1.981746642345332e-12
120,SCFD2,1.2626086473464966,9.832787534358596e-08
121,ROM1,1.261055588722229,0.04049062538869092
122,ZNF296,1.2573494911193848,8.630662934037327e-12
123,URB2,1.2562657594680786,4.482251115372764e-05
124,HGH1,1.2453107833862305,2.1762718406985868e-33
125,TCOF1,1.2448298931121826,2.6529009414956417e-134
126,SMIM10,1.2433974742889404,4.992994283925188e-05
127,STAMBPL1,1.2390625476837158,2.6838306831843688e-08
128,SAAL1,1.2385183572769165,7.28091095837027e-192
129,ATAD3C,1.2379318475723267,2.810300781172242e-13
130,CCT7,1.236179232597351,0.0
131,CYCS,1.2338429689407349,0.0
132,EBI3,1.2335883378982544,0.0014008429733812038
133,CHAC2,1.2294301986694336,3.447523800934781e-92
134,HPCAL1,1.2284947633743286,1.7726088696747958e-59
135,NPM3,1.2225637435913086,0.0
136,NSMF,1.2225277423858643,3.0441200937788113e-27
137,DDIAS,1.2210041284561157,4.059549808452705e-41
138,RABEPK,1.2205140590667725,8.652964249318296e-111
139,TUBA1B,1.2152812480926514,7.138772971520195e-225
140,ADAM8,1.2147421836853027,3.7832526434150103e-05
141,RNASEH1-AS1,1.2140531539916992,2.9615404893267754e-18
142,RAMP1,1.2119847536087036,4.69982582366114e-07
143,LGALS9C,1.2080001831054688,0.012645279252800552
144,HSPA8,1.2070472240447998,0.0
145,WDR43,1.206373691558838,0.0
146,CTD-2366F13.1,1.2033841609954834,0.012897146828827805
147,TRMT6,1.2019944190979004,2.190173053557634e-97
148,SLC29A1,1.2004218101501465,2.1672120422160788e-33
149,DCBLD2,1.19821298122406,1.1570475643587524e-126
150,FAM216A,1.1962144374847412,8.618593825739764e-25
151,ADAT2,1.1962047815322876,0.0004350369105891757
152,UBE2S,1.194820523262024,5.989638819298657e-204
153,MESP1,1.1945494413375854,8.59431750419522e-06
154,SNHG15,1.1895115375518799,3.77955881333712e-68
155,DUSP6,1.185003399848938,2.0194025636338474e-50
156,ENDOG,1.1796655654907227,7.502930314914527e-59
157,SPANXD,1.1773629188537598,1.1790851924472493e-205
158,NGF,1.176445484161377,1.6714497873672132e-06
159,NTMT1,1.1708168983459473,1.6787915261350042e-219
160,HSPH1,1.1697540283203125,0.0
161,PPAT,1.1687283515930176,1.747242641535285e-57
162,AIMP2,1.1680291891098022,1.2614053842764163e-255
163,SDCCAG3,1.164171814918518,4.990948051922786e-23
164,USP2-AS1,1.1634763479232788,0.013995886313449026
165,SLC5A6,1.163375973701477,4.9108484905027306e-57
166,RP11-132A1.4,1.1632959842681885,0.0005778807677426156
167,NIFK,1.163244605064392,2.228053302900096e-236
168,HOXD13,1.1611592769622803,0.0002005524752519269
169,LAYN,1.1610389947891235,1.7417711424814558e-50
170,RPF2,1.1594350337982178,3.0208214370384303e-151
171,TNFAIP3,1.1590824127197266,0.00281456373498263
172,OXNAD1,1.1590667963027954,1.6771624127368186e-15
173,TSEN2,1.1586147546768188,6.3155165500833104e-21
174,PTGES2,1.1579807996749878,6.118689177496342e-173
175,PITPNC1,1.157823920249939,1.2890017448753205e-18
176,HPDL,1.1574852466583252,0.001270346622578678
177,PUS1,1.1563705205917358,6.472369899728676e-76
178,PHLDA2,1.1546876430511475,1.6676779851020086e-173
179,BNIP3,1.151364803314209,3.364119691220922e-192
180,PNPT1,1.1489365100860596,4.585679903024306e-56
181,DUSP5,1.147900104522705,2.036356453274791e-30
182,ST6GALNAC4,1.1473535299301147,1.6697865072514264e-50
183,PCED1B,1.147194743156433,1.436980764875597e-40
184,CCNE1,1.1468530893325806,2.5159574496601513e-52
185,RHOF,1.144685983657837,6.343971120702962e-118
186,HSPD1,1.1440716981887817,0.0
187,KLHL7-AS1,1.1440064907073975,0.006228599377190499
188,RRP9,1.1438785791397095,1.6225966348092976e-42
189,LOXL3,1.1422151327133179,0.04065882764966286
190,MFSD12,1.1421802043914795,3.661986049320676e-43
191,MAGEA6,1.1405961513519287,3.344776920658397e-98
192,GALNT14,1.140209436416626,1.855296392781305e-101
193,SLC25A33,1.1398344039916992,5.3136636557177405e-46
194,STC2,1.1396273374557495,3.7920859368663136e-42
