,genes,logfoldchange,pvals
0,TNFRSF11B,2.523634910583496,0.04526180115326073
1,LY6D,2.045161008834839,7.198473525652834e-62
2,SPON2,1.8441263437271118,0.00020875528427528043
3,PDPN,1.497000813484192,2.0198103820395954e-19
4,BDKRB1,1.2989853620529175,0.02114346027340047
5,CLIC3,1.263667345046997,8.201165452891688e-36
6,C1QTNF2,1.0757482051849365,0.03293238836916107
7,KRT17,1.066542625427246,3.9461256301435324e-24
8,PLEKHG4B,1.0281490087509155,0.04068962501276371
9,CD74,1.019146203994751,3.2617564294427145e-09
10,BASP1,1.0103158950805664,0.009734957477664402
11,ALOX5,0.9832015633583069,0.0391965662314668
12,RPL3L,0.9654837846755981,0.009144879339969677
13,TCEA3,0.9324656128883362,0.013054116696711174
14,BST2,0.9169504642486572,1.8140706959474342e-29
15,CALHM3,0.9161357879638672,0.01389642507668858
16,KLK1,0.9082223773002625,0.003379380361140283
17,RANBP17,0.8908271789550781,0.03707800993787719
18,ANXA6,0.872384250164032,0.0002809421722251166
19,ADGRE1,0.85603928565979,0.03597929658896345
20,KLK11,0.8494616746902466,5.931195717717144e-11
21,KMO,0.8193399906158447,0.02279195454059998
22,CALHM2,0.8012059330940247,9.03881705222984e-09
23,CTHRC1,0.7513977289199829,0.0346742345673544
24,RBP1,0.7409987449645996,1.284163345935596e-06
25,SLFN13,0.7351141571998596,0.01865988816331824
26,KRT14,0.7333663105964661,1.5165173965523985e-09
27,FAM111B,0.7309457063674927,8.691358209395435e-06
28,CFD,0.7217200994491577,4.030087501645015e-14
29,DPYSL2,0.7176888585090637,0.002000059390924275
30,TLN2,0.7164873480796814,0.0010501103776868648
31,SLC43A3,0.6928075551986694,0.02642095676122259
32,E2F8,0.6803067922592163,0.0006123629726364879
33,CLEC2B,0.6780221462249756,5.983378994731423e-08
34,TUBA1A,0.6460392475128174,2.620249819397186e-07
35,HSPA2,0.6428008675575256,0.004054999192635408
36,SOX4,0.6376872062683105,7.200090812618016e-18
37,SMCO4,0.6157832145690918,0.002369255089969232
