,genes,logfoldchange,pvals
0,LINC00958,1.1359528303146362,2.5831781894194725e-28
1,RP11-350J20.12,1.0847426652908325,0.03526531885232047
2,SRGN,0.9938072562217712,1.9160045201861388e-15
3,FHL1,0.9741173982620239,6.5994220527895e-70
4,CXCL2,0.9719381928443909,0.005822497694197114
5,SMIM10,0.9379390478134155,0.0018367398116101573
6,NUP210,0.8576743602752686,0.043569947374953684
7,EBI3,0.8522763848304749,0.018909635109584506
8,GALR2,0.851599931716919,0.00012990430088398108
9,FRMD3,0.8361474275588989,3.3985307511209187e-09
10,CCBE1,0.822108268737793,0.04487811708302561
11,HLA-G,0.7711799144744873,1.2289347072575868e-44
12,CD163L1,0.7709743976593018,0.011087371182210714
13,ETV5,0.7473569512367249,1.553777312705239e-06
14,NEURL1,0.7422797679901123,6.923518427518666e-43
15,ARNTL,0.737209141254425,0.006101741951746957
16,CAMK1,0.7238019704818726,3.727391133353937e-21
17,PCED1B,0.7222165465354919,1.8772419694015948e-19
18,ABCG2,0.7024328708648682,0.00011329589795128621
19,INA,0.6962234973907471,0.03642359479333649
20,PDK1,0.6960216164588928,0.048350708077938585
21,GPAT3,0.6844606399536133,0.0036698761819586594
22,IRAK1,0.680175244808197,3.155392184265123e-31
23,HBA1,0.6764024496078491,0.017068428296218633
24,HES7,0.6741296648979187,0.049497610166926824
25,LY6D,0.6672484278678894,1.6056234569156695e-53
26,SPANXC,0.6670800447463989,1.895754801143998e-05
27,HPRT1,0.6627668738365173,1.0965429806149423e-88
28,C19orf81,0.6610526442527771,3.585712548208192e-09
29,MPP1,0.6578476428985596,6.368893385564494e-11
30,NAA10,0.6572549939155579,3.7916683535744214e-110
31,TMEM171,0.6525143384933472,0.026997943999799785
32,HBQ1,0.6502792835235596,0.014496837898617885
33,UTP14A,0.6440793871879578,3.284783133103176e-34
34,RP11-114H23.2,0.6343547701835632,0.022691745854500206
35,PGF,0.6313713192939758,0.03228179974915595
36,IL32,0.6234650015830994,8.091355201424829e-05
