,genes,logfoldchange,pvals
0,TGM2,1.386977195739746,0.0012524059679767958
1,WIPF3,1.2724028825759888,0.000977787185749138
2,LY6D,1.1533657312393188,3.264690997849588e-82
3,FOSL1,1.097936987876892,1.5279164919774655e-130
4,BAIAP2L2,1.0631808042526245,7.165673831203676e-15
5,ETV4,1.056882381439209,4.742014246075649e-11
6,BATF3,1.0429320335388184,0.022578605154648893
7,MFSD2A,1.0376899242401123,0.0008761253343144885
8,COL13A1,1.0311585664749146,0.024532061278013825
9,AEN,1.0113232135772705,8.39802952152024e-05
10,SLC17A9,0.9833958148956299,0.044024998911994385
11,LINC00941,0.9639089703559875,7.889721417594113e-08
12,MMP1,0.9536566734313965,7.757713982968697e-40
13,PTGS1,0.95305335521698,2.8522107743288117e-12
14,FST,0.9404036998748779,3.850436075071546e-35
15,NTSR1,0.9307065010070801,0.01617752963117947
16,KLRG2,0.9284260869026184,0.034159826101044274
17,TBC1D30,0.9243262410163879,0.003163070506031064
18,CCNA1,0.9238265752792358,1.654659415509073e-18
19,CCDC86,0.8820168972015381,2.706844940518797e-19
20,G0S2,0.8681946992874146,3.6244139708960665e-53
21,AREG,0.8344086408615112,3.497360017619529e-82
22,GAL,0.8307179808616638,9.845872243881316e-136
23,FJX1,0.8298530578613281,6.279866467430905e-86
24,PAQR5,0.8252158761024475,0.0022366740727744164
25,USP2-AS1,0.8196253776550293,0.044904084806392096
26,SRM,0.8175182342529297,2.3224703709429245e-163
27,AXL,0.8161402940750122,9.500625094840347e-25
28,LINC00958,0.8124605417251587,2.4208296450679735e-16
29,SLC43A3,0.8066902756690979,9.12156587033082e-11
30,CYCS,0.8012301325798035,3.831303157706434e-242
31,NME1,0.7895687222480774,4.24696346838236e-212
32,HSPA8,0.7826156616210938,6.996909595320384e-226
33,DDX21,0.7817214131355286,2.3447142024163547e-160
34,TMEM200A,0.7783303260803223,0.03838778752188325
35,AC003075.4,0.7753637433052063,0.03286219297553013
36,PNO1,0.7753232717514038,1.1196775765748535e-75
37,TEX40,0.7751076817512512,2.2813656387965423e-14
38,PGF,0.7715049982070923,0.0038451454078094575
39,ALOX12,0.7714664340019226,0.005826666057930676
40,RFTN1,0.7702534198760986,0.047221722975896524
41,ANKRD1,0.7693519592285156,1.538946878007046e-09
42,VPS9D1-AS1,0.7643542289733887,2.348407585455883e-06
43,NT5E,0.7628876566886902,3.9105668221805763e-22
