,genes,logfoldchange,pvals
0,LINC01419,1.4803463220596313,0.0020875787666771056
1,RP11-138I17.1,1.3715567588806152,0.013684570460197889
2,SPP1,1.2033143043518066,0.0007203478730036681
3,C1orf21,1.0167559385299683,9.922858840319317e-05
4,NUPR1,1.0162380933761597,0.0005401260338064146
1496,UTP14A,-1.0033366680145264,2.9799132230921155e-09
1497,P2RX5,-1.0243734121322632,0.004599183127187907
1498,SLC25A14,-1.107643485069275,0.0094317698431789
1499,CTA-29F11.1,-1.1118834018707275,0.018808536297691966
1500,ETV5,-1.115044116973877,0.033179113314133334
1501,VPS9D1-AS1,-1.1210289001464844,0.02891040026895614
1502,KCNN4,-1.147817850112915,0.005836249496440078
1503,ZNF296,-1.1804121732711792,0.03579138184611958
1504,SLC6A8,-1.1865804195404053,0.006730477611624084
1505,EEF1A2,-1.1867530345916748,0.034468291876699704
1506,RGCC,-1.2121301889419556,0.006939257855503314
1507,PCED1B,-1.2369815111160278,1.2577447078215308e-05
1508,PTGS1,-1.2525535821914673,0.00864991945783395
1509,ZNF768,-1.3133113384246826,0.02442679165254251
1510,F8A3,-1.3913589715957642,1.798709657679635e-07
1511,IL32,-1.3927595615386963,0.022255255359186512
1512,FRMD3,-1.4133485555648804,0.005243688965255106
1513,S100A14,-1.5955750942230225,8.228549469163663e-14
1514,FHL1,-1.6886390447616577,1.0184827093319023e-15
1515,CYP1B1,-1.7784503698349,2.5549299179617467e-07
1516,CALML5,-1.7866953611373901,9.864238088955994e-09
1517,GJB6,-1.8989545106887817,0.03100080378954959
1518,LY6D,-2.010948419570923,9.162148631244038e-29
1519,SRGN,-2.111983299255371,0.00033747367640422264
1520,LINC00958,-4.236931324005127,5.027488162029421e-09
