,genes,logfoldchange,pvals
0,ZMYM2,6.076676368713379,0.0008514304071303737
1,COLCA2,5.559444427490234,0.007944794073121403
2,SULT1E1,4.535486698150635,9.922869437976277e-05
3,SPTSSB,4.513185501098633,1.928635422085198e-13
4,BCAS1,4.453085422515869,4.64541397493249e-21
5,FABP4,4.334998607635498,0.001605997509666979
6,AC019349.5,4.298607349395752,0.0023752936380550126
7,SPRR1B,4.228757381439209,2.1475742483907787e-11
8,PDGFD,4.17661190032959,0.0033102965087082577
9,PPP2R2B,3.8955628871917725,1.637794545743278e-20
10,MUC15,3.831336498260498,0.01004273156913939
11,RARB,3.810577154159546,0.015986813227297322
12,TMPRSS11E,3.809126377105713,2.733466391389559e-08
13,IVL,3.8066999912261963,7.138301899382344e-133
14,EPHB6,3.7798705101013184,3.6845725698153004e-22
15,RNF128,3.6523327827453613,2.296304360078388e-05
16,SEPP1,3.6297764778137207,8.74400244623065e-20
17,KRT13,3.6212475299835205,4.5536547519691995e-226
18,METTL7A,3.5971338748931885,0.0026186848299988787
19,PCSK5,3.5923516750335693,8.284725608225483e-07
20,MEF2C,3.591510772705078,3.8979600363163106e-07
21,HBE1,3.5784502029418945,5.7165833394633147e-08
22,SLC7A7,3.568671703338623,0.006275399633786303
23,ALDH1A1,3.4826972484588623,1.5608797709825324e-13
24,PLCXD3,3.4602742195129395,1.7305186548713066e-05
25,CFH,3.3621203899383545,5.873046150084293e-06
26,AC006262.4,3.2808122634887695,9.109010374393461e-06
27,RP1-124C6.1,3.271064519882202,2.2058749874279902e-26
28,LYPD2,3.257659673690796,0.020716824099726357
29,PCDH10,3.187532901763916,0.0353794063148295
30,DIO2,3.174002170562744,5.060630310886156e-30
31,MUC4,3.153000593185425,1.323580413006647e-09
32,TMPRSS4,3.1191306114196777,5.2590137373529747e-11
33,CDH10,3.091867208480835,0.031501546592989656
34,C8orf4,3.0680220127105713,1.1011583119072822e-10
35,SEMA5A,3.051147222518921,1.271021937847233e-47
36,HPGD,2.965571403503418,1.0620385076597393e-19
37,DEFB1,2.9593331813812256,1.165983044270879e-18
38,SPATA17,2.770761013031006,1.3426945816250957e-06
39,CLDN8,2.7690889835357666,6.6183923817283524e-18
40,LINC01419,2.736729383468628,1.6679012406650665e-29
41,WNT11,2.668820858001709,0.010221899344782407
42,DAPK2,2.579047441482544,2.4538104695356164e-11
43,PPFIBP2,2.5742502212524414,0.009082865971025492
44,CALML5,2.56394624710083,1.1848751838224211e-129
45,TNFSF10,2.5584335327148438,5.1091929804946994e-192
46,VILL,2.5323612689971924,6.283423946424012e-14
47,IFITM10,2.504420518875122,2.401470414438728e-05
48,GPRC5C,2.5004966259002686,3.4790170822757245e-08
49,CNGA1,2.4532346725463867,0.006541604376780622
50,ST3GAL5,2.432732105255127,0.007310546124761031
51,KRT4,2.4173378944396973,4.24346032986265e-73
52,GBP2,2.4129045009613037,7.517468793095599e-06
53,MUC20,2.403585433959961,0.01942775570344921
54,AC006262.5,2.397385597229004,5.295836399751518e-113
55,BTG2,2.3891677856445312,6.657308743541456e-102
56,CRYAB,2.378427267074585,5.913137559919604e-09
57,SLC16A7,2.370265007019043,1.9711450051710683e-07
58,PLA2G10,2.363084316253662,9.260993891407328e-08
59,ANOS1,2.356255531311035,0.005735171481714726
60,MAB21L3,2.327017068862915,0.00012544824166075397
61,CTSH,2.317866563796997,0.0
62,NKX2-8,2.307251453399658,1.1140557379368702e-25
63,ALPPL2,2.2793853282928467,0.002993013953116791
64,CCDC92,2.2735342979431152,4.14286295398062e-06
65,EDIL3,2.2625887393951416,2.8862581453134814e-23
66,CNTN5,2.2444255352020264,0.03679222155983179
67,PIK3IP1,2.2373433113098145,0.0009975734998792227
68,AGR2,2.2346694469451904,0.0
69,ATOH8,2.223538637161255,0.002529921781263446
70,IGFBP3,2.2119197845458984,0.0
71,GCNT1,2.1846868991851807,4.963675553903347e-05
72,LINC01268,2.184126853942871,0.0026351377106678202
73,SLC2A12,2.1632261276245117,0.008794410309289095
74,S100P,2.150113821029663,7.769349692341162e-21
75,TNNC1,2.1359829902648926,0.049341081169248735
76,RBPMS,2.128422260284424,2.912283645030918e-34
77,RP11-128M1.1,2.1209704875946045,5.67682016397813e-08
78,ZNF563,2.0839293003082275,0.022473430532101588
79,MAP2K6,2.080885887145996,7.736968193889118e-05
80,CPE,2.066277503967285,0.025768044029337377
81,MMEL1,2.057375431060791,0.040358012315565774
82,PDE5A,2.048091173171997,0.006762964797794817
83,CCDC80,2.042888879776001,1.5354112575040308e-115
84,BEX4,2.041822910308838,9.722075448464111e-05
85,FOLR1,2.040372848510742,3.774841817184914e-08
86,STON1,2.0354440212249756,0.001410682407087232
87,CASC9,2.025871992111206,1.601614737394371e-06
88,TRAM1L1,2.00862193107605,0.015866732987025275
89,PBX1,2.0050251483917236,1.9520079654039074e-116
90,MXRA5,1.972760796546936,1.119373460499874e-05
91,LINC01021,1.9703443050384521,0.0008007030894085834
92,PALM,1.9661102294921875,0.00018889242911302283
93,AP000695.4,1.9446582794189453,0.027429757866140974
94,SMPDL3A,1.9414308071136475,4.067614918202429e-18
95,PGM2L1,1.924465298652649,4.380215783601785e-21
96,RP11-11N9.4,1.9195876121520996,4.563866496390095e-101
97,TMPRSS3,1.9150220155715942,0.001967338891028582
98,ELF3,1.904759168624878,1.3522360138143611e-291
99,PCAT6,1.8970649242401123,7.770173295399647e-15
100,EPB41L4A,1.8907588720321655,0.007123162455942359
101,SCEL,1.8894152641296387,1.503363263876526e-08
102,AC073283.4,1.8623936176300049,0.0016584256129022893
103,ZG16B,1.8514251708984375,2.833344457887049e-21
104,RP11-138I17.1,1.8377362489700317,0.0010122943762077372
105,PALMD,1.8339104652404785,5.117139082485905e-24
106,SNHG18,1.827579140663147,5.09203352273436e-197
107,PHGR1,1.824257731437683,0.00590387041336392
