,genes,logfoldchange,pvals
0,SULT1E1,7.4344801902771,4.500891792540197e-05
1,COLCA2,6.495245933532715,0.012133770037496291
2,ZMYM2,6.422719478607178,0.002291714698096787
3,MUC15,4.8293914794921875,0.0080941591857693
4,BCAS1,4.757517337799072,2.29873088314815e-19
5,SPTSSB,4.301676273345947,3.0219703642164546e-11
6,PDGFD,4.2547221183776855,0.0060850695942267635
7,FABP4,4.245154857635498,0.003336965024225257
8,AC019349.5,4.218754291534424,0.005158314944244371
9,ALDH1A1,4.170505046844482,5.936532600810606e-14
10,RARB,4.1087799072265625,0.020986353564168905
11,IVL,4.062529563903809,3.1529883281385e-126
12,PPP2R2B,4.018479824066162,2.3635997250869907e-18
13,TMPRSS11E,3.999452829360962,1.0421560542442143e-07
14,SPRR1B,3.9875195026397705,1.6702509264975571e-09
15,MEF2C,3.957569122314453,4.645228923882901e-07
16,SEPP1,3.923495054244995,1.2242996438614908e-18
17,RNF128,3.888756036758423,5.3566742486091024e-05
18,CDH10,3.819221258163452,0.024603670447356812
19,CFH,3.7735817432403564,5.533186687549865e-06
20,EPHB6,3.7241880893707275,2.7381761141105003e-19
21,LYPD2,3.7021687030792236,0.013252010681964108
22,METTL7A,3.6187756061553955,0.004246661202882277
23,PCSK5,3.540147542953491,5.0612559041594415e-06
24,KRT13,3.5211853981018066,3.9361979892304212e-205
25,HBE1,3.43855357170105,7.069866438365917e-07
26,SLC7A7,3.437572479248047,0.012593284709383121
27,PLCXD3,3.4151926040649414,7.209049690358059e-05
28,TMPRSS4,3.372265100479126,1.1685131393909473e-10
29,LINC01419,3.3178892135620117,4.929716573067434e-34
30,PCDH10,3.3152482509613037,0.04080685080025559
31,CNTN5,3.3122873306274414,0.00463333018847811
32,RP1-124C6.1,3.2748358249664307,5.936487485669129e-24
33,MME,3.2572121620178223,0.045582183818385656
34,SEMA5A,3.1899290084838867,1.0479539291348148e-46
35,DIO2,3.1601722240448,3.8302476835997755e-27
36,MUC4,3.112698793411255,1.2708032557111844e-08
37,AC006262.4,3.053443431854248,6.822873951330088e-05
38,HPGD,2.977224349975586,7.015053842946152e-18
39,C8orf4,2.879636526107788,5.737449372811498e-09
40,CLDN8,2.746086597442627,3.36193165861099e-16
41,DEFB1,2.7278687953948975,5.682058076010621e-15
42,SPATA17,2.6693344116210938,7.55671224297352e-06
43,TNFSF10,2.5715692043304443,2.977397395942392e-190
44,WNT11,2.5498228073120117,0.018273051188916395
45,AC006262.5,2.5473060607910156,8.678990408100313e-121
46,DAPK2,2.5441980361938477,1.7932791815434533e-10
47,CRYAB,2.5188677310943604,2.9213766375010506e-09
48,IFITM10,2.515763759613037,5.173161548769008e-05
49,PPFIBP2,2.5039119720458984,0.014619532988211894
50,MAP2K6,2.495180368423462,4.956042781772502e-06
51,KRT4,2.4786596298217773,4.7173238176971936e-74
52,GPRC5C,2.4552557468414307,1.368457169418434e-07
53,PLA2G10,2.453936815261841,6.247769219684935e-08
54,MAB21L3,2.4437808990478516,0.0001934517965320098
55,GBP2,2.4075796604156494,1.0671405302022548e-05
56,EDIL3,2.3834426403045654,3.702303460610103e-24
57,BTG2,2.376999855041504,5.383280414408888e-96
58,SLC16A7,2.370612144470215,5.242769794754604e-07
59,MUC20,2.3681654930114746,0.0244621726615767
60,VILL,2.364252805709839,1.604204371111956e-11
61,PIK3IP1,2.3055899143218994,0.0007950091941876397
62,ATOH8,2.3018925189971924,0.0031861001855185075
63,CALML5,2.2819409370422363,2.5391979676913927e-96
64,CTSH,2.2516913414001465,0.0
65,ANOS1,2.2512896060943604,0.012414743329077637
66,CCDC92,2.2498087882995605,1.0340490580635102e-05
67,CNGA1,2.247873067855835,0.015176951439603957
68,SLC2A12,2.227494955062866,0.006914861247252714
69,TRAM1L1,2.2240171432495117,0.00994143292653183
70,NKX2-8,2.2141685485839844,2.1710588647326584e-22
71,STON1,2.183574914932251,0.0007202991174543424
72,LINC01268,2.1826884746551514,0.003271247016702214
73,RP11-138I17.1,2.1762590408325195,2.4666903424062245e-05
