,genes,logfoldchange,pvals
0,LINC00958,4.990134239196777,1.4299352223995767e-40
1,SRGN,3.622843027114868,4.571768361107415e-22
2,RP11-350J20.12,3.2736401557922363,0.017230967789665163
3,FHL1,3.249455451965332,1.6149663447771965e-141
4,EBF3,2.974130392074585,0.04173751564771607
5,WIPF3,2.7959377765655518,0.02056125284491378
6,LHX2,2.7203946113586426,0.03443707428003787
7,PTGS1,2.6150097846984863,5.66264806370812e-10
8,CCBE1,2.5781407356262207,0.001168239605783949
9,HLA-G,2.5089988708496094,6.29513772095207e-122
10,NEURL1,2.4779818058013916,5.150321705664528e-81
11,LY6D,2.412809371948242,7.826748163648893e-128
12,SH3PXD2A-AS1,2.3393242359161377,0.023325940996373414
13,ADTRP,2.3287556171417236,0.0008586175921911256
14,INA,2.2317676544189453,0.008324116477008193
15,BAIAP2L2,2.2192111015319824,3.380575375688517e-06
16,LINC00176,2.2029507160186768,0.009000635460303868
17,ABCG2,2.195988893508911,1.0460700204371878e-07
18,CTC-260E6.6,2.1767446994781494,0.03885716336764645
19,HBM,2.076695442199707,0.0017421395911211646
20,SMIM10,2.072885036468506,0.00011574012688397154
21,ETV5,2.009420394897461,2.633583172426737e-06
22,MMP1,2.0054094791412354,4.0034734540669226e-22
23,HAUS7,1.9720518589019775,1.6525741899055413e-20
24,CCNE1,1.9692940711975098,5.311723805181135e-44
25,MICAL2,1.9459971189498901,6.620197812460644e-10
26,CD163L1,1.9417654275894165,0.0010896192948890904
27,ETV4,1.898353934288025,0.0053919374575907035
28,RAMP1,1.8651045560836792,9.004119640824123e-05
29,MATK,1.8592445850372314,0.0024701792769961923
30,CLDN9,1.8590599298477173,0.04071439805737036
31,SPANXD,1.8552134037017822,2.271202661893879e-168
32,FOSL1,1.8523987531661987,9.140575750105139e-53
33,G0S2,1.827878475189209,1.3771934186465025e-40
34,TMEM171,1.8234773874282837,0.04026576094817472
35,PCED1B,1.8227475881576538,3.319642042167979e-32
36,EBI3,1.8193496465682983,0.007067283546645762
37,QPCT,1.812113881111145,0.0339039499898099
38,ANKRD1,1.8086092472076416,7.596828975485321e-08
39,MPP1,1.79436194896698,1.8610299699231676e-24
40,TEX40,1.7818293571472168,3.1025029065591386e-12
41,CDC45,1.7758994102478027,1.3478124097119003e-74
42,POLR3G,1.7737629413604736,1.1788468031962402e-11
43,CLSPN,1.7692222595214844,3.2388173575823064e-88
44,F8,1.7453911304473877,0.0359153081532362
45,RRM2,1.7279731035232544,1.2352365957980143e-122
46,GALR2,1.7198491096496582,0.00010484121501633011
47,FAM111B,1.7164108753204346,1.3632971450480123e-58
48,OXTR,1.6872785091400146,0.006477265178517423
49,SERPINE2,1.6772735118865967,1.150771056306334e-80
50,FST,1.6745303869247437,6.863790428955949e-19
51,SLC43A3,1.6665011644363403,9.314486551407798e-07
52,IRAK1,1.662774682044983,5.99644996165761e-41
53,LAYN,1.6607486009597778,2.714495285351528e-32
54,CTPS1,1.6555033922195435,7.390820900114259e-28
55,FKBP5,1.6480334997177124,2.9127866827305016e-07
56,FLJ36000,1.6420931816101074,0.015555924334746866
57,HPRT1,1.6376653909683228,1.6749604670329466e-169
58,BSPRY,1.6094944477081299,7.705960110819452e-14
59,NGEF,1.6032472848892212,0.011183343870441072
60,EXO1,1.5882856845855713,1.6060912072894664e-18
61,NAA10,1.587652325630188,1.7894830862051778e-212
62,LRRC26,1.5852173566818237,2.0951775765245948e-07
63,MESP1,1.5838807821273804,0.00394403013124333
64,HLA-DPB1,1.5772210359573364,2.6448643805570608e-06
65,AREG,1.5770471096038818,1.6578435582600829e-74
66,GAL,1.5768638849258423,3.6277663705283477e-125
67,KAZN,1.5760445594787598,0.00022657948791456308
68,NT5E,1.5625497102737427,3.46795742902873e-13
69,CXCL2,1.5564051866531372,0.0051621504692137
70,ALOX12,1.5527650117874146,0.039688106312029355
71,LINC00941,1.5486661195755005,0.009915863674150186
72,CAMK1,1.5479587316513062,1.749360231515191e-24
73,KLK5,1.5463241338729858,2.8247386404780746e-104
74,CTC-546K23.1,1.5459156036376953,0.0029898458165215675
75,SAAL1,1.5420502424240112,2.8800289563657363e-102
76,SLC29A1,1.5399800539016724,2.65025653225615e-17
77,PRADC1,1.5369617938995361,9.374149983570089e-79
78,FAM127C,1.5186580419540405,2.3052262217681698e-08
79,ADAM8,1.5155198574066162,0.0063398351803709745
80,RP11-114H23.2,1.505610466003418,0.026615924310176318
81,SPANXC,1.5041148662567139,5.5530226149429926e-06
82,FAM27C,1.5009677410125732,0.0004901673636482256
83,FAM58A,1.4966307878494263,2.970191745832936e-79
84,DHFR,1.492214560508728,1.2125563628779068e-95
85,CDK1,1.4892210960388184,4.4818072705257645e-102
86,SLFN13,1.4851576089859009,2.4995179183640894e-09
87,GPR153,1.4809837341308594,0.0024151371629067895
88,UTP14A,1.4744648933410645,4.589275629030116e-49
89,RP11-416N2.4,1.4740723371505737,0.0012528702029974302
90,ELOVL4,1.4719080924987793,0.025936097240907764
91,CCNE2,1.468485713005066,5.158505372245209e-09
92,ME3,1.4684762954711914,0.035706816116926846
93,ATP11C,1.4602688550949097,4.0851611338566445e-13
94,CST6,1.4533220529556274,8.883962610945056e-107
95,ATAD3C,1.4492706060409546,2.98235955665024e-06
96,FANCD2,1.4455565214157104,8.904060240842558e-33
97,MCM10,1.4402977228164673,2.4818226470658692e-52
98,AXL,1.4317524433135986,3.480131737253393e-13
99,ZNF257,1.4271479845046997,0.0008647589385526716
100,RPP40,1.4245461225509644,1.4758614267226547e-48
101,DDIAS,1.4223644733428955,1.2701514475477658e-14
102,WNT7A,1.4216889142990112,3.217243051942972e-37
103,DUSP5,1.4095045328140259,1.2033231980466086e-15
104,CENPP,1.4078319072723389,8.630473951546189e-10
105,IL32,1.4062554836273193,3.027075882569961e-06
106,FEN1,1.402984857559204,1.8401120354283338e-81
107,CFD,1.4028081893920898,1.7922589690269347e-69
108,GSG2,1.3958183526992798,0.0031560793265721773
109,SCLY,1.395774006843567,0.02417403082259188
110,HAT1,1.3954708576202393,1.669457034800562e-90
111,RHOF,1.3949030637741089,2.074032974077994e-52
112,OXNAD1,1.39421808719635,1.234025675256254e-07
113,PAPPA,1.3928278684616089,0.01339247540156757
114,PCNA,1.392796277999878,1.9775689183893542e-101
115,MAGEA6,1.3909250497817993,1.0127071756081962e-54
116,CCNA1,1.3897202014923096,2.036174050272702e-06
117,MAP7D3,1.387657880783081,1.0833714315953213e-59
118,DKC1,1.381382703781128,2.570427806634679e-115
119,HAS2,1.3810620307922363,0.026745481187944065
120,SERGEF,1.3796818256378174,1.4915519179235888e-56
121,CKMT1B,1.3785820007324219,2.0120705882628067e-14
122,CDC6,1.37799072265625,1.8494050300255932e-51
123,DCLRE1A,1.3777695894241333,0.0037828589581027487
124,SERPINE1,1.3762521743774414,4.1034956356548226e-16
125,FAM50A,1.375381588935852,4.1176554923206e-143
126,MRPL17,1.3722567558288574,3.949245708904582e-194
127,ABCA10,1.3711156845092773,0.04789884977071646
128,PCDH9,1.3702746629714966,0.00040072565997512023
129,C19orf81,1.3645731210708618,3.622637696742739e-11
130,CCT7,1.3628500699996948,6.767115830767615e-254
131,MCM7,1.360463261604309,4.392969948272361e-85
132,HERC5,1.347084641456604,6.227322768022439e-13
133,BNIP3,1.3457489013671875,2.8420781193985268e-87
134,LAGE3,1.3406791687011719,1.3054994984706346e-152
135,DSCC1,1.340140700340271,1.5868519349554156e-61
136,HELLS,1.3394256830215454,7.549301727711411e-81
137,SPC25,1.3378236293792725,1.3902759396522644e-54
138,CENPU,1.3375252485275269,1.2792226784939023e-50
139,NEFH,1.3322010040283203,2.016855660620662e-13
140,MTFR2,1.3315716981887817,6.357714746260296e-25
141,PSMA1,1.3310599327087402,0.0
142,GPAT3,1.326213002204895,0.018097425071316123
143,PRIM1,1.323627233505249,1.6604428354195755e-39
144,ELF4,1.321609377861023,1.996041874377178e-05
145,LDOC1,1.3200956583023071,2.886734238113323e-99
146,AIFM1,1.3198984861373901,1.2935824850141976e-52
147,SLC27A4,1.3193886280059814,0.00010353937040874962
148,ORC1,1.3133273124694824,7.114233081898912e-05
149,FAM20C,1.3070629835128784,5.714448680365798e-16
150,IKBKG,1.3050832748413086,1.1645153431372656e-17
151,PITPNC1,1.3044058084487915,2.30541973684169e-07
152,BRCA2,1.3032629489898682,1.4888446003378452e-54
153,HS6ST2,1.300750970840454,1.3124240901578969e-05
154,PDCD2L,1.3002089262008667,6.592050700637666e-13
155,ARNTL,1.299717664718628,0.030011318189706003
156,CNTLN,1.297534704208374,0.018147255079757896
157,ZNF367,1.2972067594528198,5.731085754184561e-05
158,TUBA1B,1.2965422868728638,1.593815524536103e-90
159,DTL,1.295945405960083,6.964457131252206e-17
160,CHAC2,1.293067216873169,2.6388562428334734e-31
161,NSDHL,1.2903743982315063,7.799040335496473e-43
162,MAP6D1,1.287160038948059,0.005637212317281043
163,RAD51,1.2850438356399536,6.298095926885103e-36
164,L1CAM,1.284688949584961,1.2548513927778192e-10
165,SCFD2,1.2841278314590454,0.007160027010835154
166,NETO2,1.283086895942688,6.212896361089898e-18
167,DNAJC9,1.2830432653427124,2.081915773852499e-108
168,CCDC86,1.2824532985687256,5.683448999738624e-06
169,EXOSC9,1.2823446989059448,2.523207687704774e-32
170,F8A1,1.2811397314071655,1.4190742764757433e-12
171,HTATSF1,1.2807706594467163,5.828815745116552e-102
172,HAGLROS,1.2789467573165894,2.2289634792392453e-07
173,MROH6,1.2744463682174683,4.193697113049824e-12
174,FRMD3,1.2700743675231934,9.074944681241702e-08
175,TUBB4B,1.269433856010437,1.056647536744731e-112
176,EMD,1.266937255859375,3.8682398941776674e-89
177,MEIOC,1.2657252550125122,0.00914538038717707
178,E2F1,1.2636213302612305,1.5061498129864497e-16
179,PKMYT1,1.2627922296524048,5.0334341725550626e-43
180,NSMF,1.2592381238937378,1.0971241249413355e-08
181,HSPA8,1.2588151693344116,1.337818596491406e-193
182,SLC25A14,1.258683204650879,3.3129513081322064e-09
183,C9orf40,1.2577366828918457,9.588001870772252e-23
184,RIOK1,1.256751298904419,6.96812448105251e-54
185,VBP1,1.2535022497177124,8.034587210193153e-118
186,PPIF,1.2522608041763306,3.7552967019194316e-58
187,TEX30,1.2520689964294434,6.53094425119619e-77
188,HPCAL1,1.2511162757873535,8.103006644220785e-19
189,TMEM97,1.2510864734649658,1.6933912114467879e-28
190,RFC3,1.2456164360046387,1.090256276165442e-61
191,PRRT3-AS1,1.2447056770324707,2.5559760670766575e-25
192,MTMR1,1.2433794736862183,0.0007087362738412617
193,TAF5,1.2418596744537354,3.615876442042709e-13
194,SYNM,1.2406326532363892,0.0011646600614906766
195,PRRX2,1.2404054403305054,2.229088860358316e-12
196,TCOF1,1.2399134635925293,1.4701684715591658e-37
197,OCRL,1.239283800125122,0.03615231427465706
198,PHLDA2,1.2359435558319092,8.739921269428531e-67
199,EYA2,1.2335314750671387,0.0018086932674122817
200,NCAPH,1.232698917388916,4.8545625922238667e-32
201,MCM6,1.2306848764419556,6.339023810382771e-27
202,FAM3B,1.2302286624908447,9.718188140128803e-15
203,MTHFD2,1.2287925481796265,1.1727094103894462e-82
204,ZMYND19,1.2257120609283447,3.129911463842556e-08
205,BIN1,1.2254700660705566,3.008787629214629e-14
206,GINS2,1.2252626419067383,2.5552663133818904e-65
207,HNRNPAB,1.220033049583435,1.9446211630223527e-100
208,NME1,1.2192784547805786,1.1073261788338255e-155
209,POLA2,1.218416452407837,1.047991332779413e-21
210,POLE2,1.2177499532699585,2.7064799643144353e-09
211,WDR76,1.217557430267334,2.9351183909234506e-28
212,CCDC9,1.2169262170791626,1.9305502947196618e-05
213,SRM,1.216665267944336,1.332502679641804e-109
214,ENDOG,1.2161930799484253,2.6429161670016133e-20
215,UBE2T,1.2158422470092773,7.784711821315179e-107
216,HIST1H1A,1.2128032445907593,1.161668408045726e-40
217,NGF,1.2083221673965454,0.0336354837217327
218,RBBP8,1.2059223651885986,4.2818204069480757e-13
219,TSEN2,1.204641342163086,2.893984489896424e-07
220,RAD18,1.2032063007354736,3.2947839159667146e-17
221,IL7R,1.1998414993286133,0.010664266581279294
222,ATAD2,1.197933554649353,1.8245574892708205e-71
223,G6PD,1.1976680755615234,1.8164032573078363e-142
224,C16orf59,1.1968388557434082,9.453214677380839e-17
225,NAPRT,1.1967289447784424,1.269835670326344e-110
226,TUBA1C,1.1964952945709229,7.025060428768561e-97
227,UBL4A,1.196271538734436,3.659676761447557e-39
228,VMA21,1.1954468488693237,1.4387018604770191e-87
229,SLC6A8,1.1938475370407104,8.047145275200357e-05
230,GALNT14,1.1916815042495728,2.009315756350103e-34
231,CDC42EP5,1.1910399198532104,9.021037204595049e-25
232,TCF19,1.1902786493301392,1.2925933465850536e-24
233,BCAP31,1.1872632503509521,2.076333024917186e-234
234,FANCB,1.187135100364685,2.4257735249648776e-08
235,PSMD14,1.1859103441238403,5.261366575262771e-108
236,UHRF1,1.1854084730148315,3.693635044384369e-19
237,CD74,1.1853153705596924,3.0488039532567404e-14
238,CLDN3,1.1846489906311035,0.00016047126648851325
239,F8A3,1.1843425035476685,1.1995818425088488e-21
240,RAD54L,1.183856725692749,1.5215622272815388e-05
241,GMNN,1.1819984912872314,1.7245602686901623e-99
242,TIPIN,1.1810160875320435,1.9891127837038433e-23
243,BCYRN1,1.180772066116333,3.240451947850642e-14
244,BRCA1,1.1795426607131958,1.7127373760180453e-36
245,MTHFD1L,1.1783256530761719,2.176316957623495e-23
246,E2F8,1.1779712438583374,2.1891145284255415e-19
247,SMC2,1.1769249439239502,6.027453060810924e-97
248,RNASEH1-AS1,1.1755682229995728,1.837114034898575e-05
249,EME1,1.173586368560791,0.02166117284936619
250,HHEX,1.1733348369598389,1.371525508159068e-06
251,ORC6,1.1719642877578735,6.635486886630807e-44
252,CHAF1B,1.167900800704956,5.501621850637657e-12
253,MAGEA3,1.1650394201278687,3.2928458017113306e-46
254,TRPM2,1.1646431684494019,6.256543444821268e-06
255,CYP1B1,1.162899136543274,1.333776234837497e-16
256,TP73,1.1628429889678955,0.0015953125354397043
257,MRPS25,1.161245584487915,1.6286377635145797e-61
258,BLM,1.1608201265335083,8.232837803884313e-10
259,RBMX2,1.1604814529418945,4.713159005763907e-55
260,HBQ1,1.1598268747329712,0.021645581032563584
