,genes,logfoldchange,pvals
0,TBC1D30,2.350924491882324,0.040285278884736146
1,HOXD13,2.190873384475708,0.02034633099943163
2,ELFN2,1.890317678451538,0.021329660270988933
3,HES7,1.7782293558120728,0.04383824221068651
4,PGF,1.6975847482681274,0.026660885301943337
5,TLX3,1.63904869556427,0.03075346351674906
6,FOXD3-AS1,1.5959687232971191,0.02374067167935588
7,RRS1,1.5923664569854736,2.9798881105973826e-19
8,FHL1,1.5748153924942017,1.1479509544815252e-30
9,IRAK1,1.5465049743652344,1.8680066009181562e-23
10,PRRT3-AS1,1.5311437845230103,1.1437132074795248e-24
11,FAM216A,1.5059071779251099,1.8428859587312417e-08
12,POLR3G,1.5017457008361816,5.704657177852308e-10
13,LINC00941,1.4778006076812744,0.001411932888069344
14,VPS9D1-AS1,1.4734834432601929,0.0004486208359182423
15,NDUFAF4,1.4601339101791382,5.700058415350116e-23
16,G0S2,1.4462356567382812,5.575742050295354e-22
17,UTP14A,1.440606951713562,3.2233728802694937e-25
18,GAL,1.3803411722183228,1.644295620123989e-73
19,SCLY,1.3670681715011597,0.03541658364644137
20,GALR2,1.3168232440948486,0.018006655971071654
21,CTAG2,1.3154935836791992,1.2709097613110337e-82
22,HAUS7,1.3100385665893555,5.729090995972836e-08
23,SLCO4A1,1.3070638179779053,0.0028392307821272487
24,CTU1,1.3022243976593018,3.9891710192696764e-15
25,PNO1,1.292336344718933,7.214644431195931e-33
26,MAP7D3,1.2839150428771973,7.312051369595006e-28
27,ETV5,1.2545892000198364,0.00024288288666380733
28,LYAR,1.2457388639450073,3.9123815262768655e-23
29,CCNA1,1.2256356477737427,5.219324536633263e-06
30,SLC25A33,1.2204196453094482,2.291978986598326e-11
31,PGAM5,1.215158462524414,1.240781359116008e-15
32,RABEPK,1.2123357057571411,4.0873779140802967e-23
33,SRGN,1.2061426639556885,4.749356783721911e-05
34,NOP16,1.2044731378555298,8.786863297231118e-30
35,ETV4,1.1911373138427734,0.001376341284098825
36,ANKS6,1.1866596937179565,0.0007955382222997151
37,NAA10,1.186456561088562,8.814783778189279e-72
38,FBRSL1,1.1847121715545654,0.00019310560172440463
39,ZNF296,1.1806745529174805,0.0035907625374668847
40,ECE2,1.171169638633728,6.376959538500885e-12
41,CDC42EP2,1.164002537727356,0.0015844493749551135
42,CCDC86,1.1573041677474976,5.770052243743888e-07
43,WDR43,1.1493052244186401,2.942880253761048e-58
44,NUDT19,1.1472375392913818,0.008864055283136111
45,SLC6A8,1.1172447204589844,0.00031399501398012816
46,FST,1.1145027875900269,3.65492109943123e-09
47,SNX18,1.1125491857528687,0.043497633943192074
48,PI4K2A,1.112406849861145,0.0020419971532858057
49,C10orf2,1.1106129884719849,0.03187532825670975
50,ZNF771,1.1102721691131592,0.010024959135648624
51,DUSP5,1.1086102724075317,4.1519959065159445e-07
52,PTRH2,1.0838747024536133,1.2015090062612595e-14
53,GPAT3,1.0794382095336914,0.04247062134695116
54,TSEN2,1.0714417695999146,5.423850574782206e-05
55,MYBBP1A,1.0708048343658447,8.070586834615924e-06
56,RBM15,1.0613747835159302,0.048705469397023186
57,DDX21,1.059071660041809,1.7828238964442475e-64
58,LTV1,1.0589373111724854,1.2223962512088037e-15
59,PPRC1,1.056801676750183,4.29532681899319e-06
60,FAM86C1,1.0529614686965942,0.031446390644124564
61,DKC1,1.0421979427337646,3.294299885306816e-45
62,IL1A,1.0366630554199219,0.03752229270994662
63,SRM,1.0353471040725708,1.0215209548786946e-55
64,P2RX5,1.023659348487854,0.00015228173906696785
65,INHBB,1.0211702585220337,0.01852720616543158
66,BSPRY,1.020154356956482,2.605393480600039e-06
67,CXorf40B,1.0174286365509033,0.005900042671577384
68,CLDN3,1.0153142213821411,0.010280957593640727
69,FOSL1,1.0131208896636963,5.004503929766455e-23
70,POLR1B,1.0008518695831299,0.03262938700911926
71,DHX33,0.9958171844482422,3.3087684674362402e-06
72,ATP11C,0.9952887892723083,0.00040047710298299306
73,BOP1,0.994513750076294,4.417883294524007e-32
74,RPF2,0.9841334819793701,6.145216624138972e-24
