,genes,logfoldchange,pvals
0,LINC00958,4.815731048583984,7.004956054250378e-84
1,SRGN,3.317918062210083,5.797463107487734e-42
2,LINC00973,3.3140289783477783,0.013479375163451842
3,RP11-350J20.12,3.2864041328430176,0.0005888060268725329
4,TGM2,3.073233127593994,0.00020078091877767112
5,FHL1,2.8006227016448975,3.1203219503415706e-230
6,COL13A1,2.7998554706573486,0.000396146507085426
7,PTGS1,2.6615192890167236,9.878126145199751e-32
8,ETV1,2.642071485519409,0.0451989941495458
9,WIPF3,2.587925672531128,8.293386839764112e-05
10,ETV4,2.488316535949707,3.0875592702722946e-21
11,BAIAP2L2,2.4423553943634033,1.6931605731884625e-29
12,LY6D,2.367858409881592,1.4985627118044784e-269
13,FOSL1,2.327136516571045,1.1951980572946578e-274
14,MMP1,2.2746479511260986,4.982426864167004e-100
15,EBF3,2.2678847312927246,0.012254485351526897
16,THY1,2.231562614440918,0.02287052566760052
17,JPH3,2.210526466369629,0.020609341367156076
18,ETV5,2.1931416988372803,1.8194018464583112e-22
19,PGF,2.191495180130005,2.8521059637067214e-07
20,BATF3,2.1389474868774414,0.0018494228906134067
21,G0S2,2.13211989402771,3.675406102838166e-148
22,CCBE1,2.1280574798583984,0.0001617669673581877
23,KLRG2,2.1181323528289795,0.0010187418627606562
24,SH3PXD2A-AS1,2.1102256774902344,5.119361952735702e-05
25,ADTRP,2.106159210205078,4.433329654777549e-06
26,NEURL1,2.0613865852355957,7.943926698525148e-162
27,TMEM171,2.0569119453430176,2.501642245028203e-06
28,SLC35F3,2.0529515743255615,0.0015794362487118214
29,TMEM200A,2.044553279876709,0.0003730269192272658
30,INA,1.9977110624313354,3.0231992218626393e-05
31,LINC00941,1.9105595350265503,1.885964609054278e-12
32,FST,1.8498183488845825,1.977900992182112e-73
33,POLR3G,1.8409751653671265,2.8124291595266856e-47
34,CLDN9,1.8362704515457153,0.004388062197796024
35,ABCG2,1.8153507709503174,8.547895894470693e-13
36,CCNA1,1.810329556465149,2.7565053986186737e-32
37,ANKRD1,1.8056983947753906,1.0162592761382576e-22
