,genes,logfoldchange,pvals
0,FST,1.9250322580337524,7.892282606072304e-07
1,RP11-149I23.3,1.6816786527633667,0.01033940733307762
2,NEURL1,1.6379109621047974,1.2479471426412478e-11
3,CCL26,1.52881920337677,2.2795887991161178e-10
4,ANKRD1,1.5124751329421997,0.0026062390123129595
5,RP11-180O5.2,1.5076318979263306,2.735557376812062e-05
6,IL7R,1.4663887023925781,0.018043519340142953
7,POLR3G,1.4252640008926392,0.004647007721729875
8,NT5E,1.4173922538757324,0.00020071699260695524
9,GAL,1.3723808526992798,3.6475451123514885e-40
10,MMP1,1.3511028289794922,3.8770679614069756e-05
11,CTPS1,1.2754037380218506,6.678411988280515e-06
12,ARL9,1.2690610885620117,0.04292493332566963
13,SEMA3A,1.2315720319747925,0.0040842959159920825
14,RHOF,1.2098798751831055,4.5380148473007385e-15
15,GNB4,1.2028217315673828,0.0008059967286851052
16,SPP1,1.1807326078414917,0.0006909437298545885
17,FOSL1,1.1712173223495483,2.144315329144704e-08
18,NRG1,1.1347801685333252,1.8057867947291053e-06
19,MTHFD1L,1.133364200592041,1.8172250511881938e-08
20,TIGAR,1.1314313411712646,0.0011411929892363938
21,IGF2BP1,1.1125792264938354,0.006558809105848314
22,RPP40,1.1035534143447876,3.1744665728830303e-12
23,LINC01029,1.0997251272201538,8.936943773263971e-08
24,BNIP3,1.0826985836029053,1.8875594408262415e-21
25,TRIML2,1.0730838775634766,1.6104290337651286e-14
26,NAPRT,1.0558425188064575,4.263644092818097e-36
27,PCOLCE2,1.044774055480957,0.003710776474012802
28,CRABP2,1.0445187091827393,0.005531167634564833
29,RRP12,1.0399137735366821,0.044595712605631804
30,G0S2,1.0317028760910034,0.00024218556578128588
31,CST6,1.0255106687545776,1.635936869115514e-20
32,KCNAB2,1.025483250617981,0.014886443860176528
33,DDIAS,1.0170084238052368,0.0012804903675442765
34,PDCD2L,1.010829210281372,0.0012702553055998678
35,CTH,1.0065494775772095,0.0007088257362938677
2531,ANG,-1.0091259479522705,0.005570396589439181
