,genes,logfoldchange,pvals
0,ITM2A,4.3678297996521,0.001793879643686985
1,PCSK1N,4.062239646911621,0.007291583172818114
2,HLA-DRB1,4.014103412628174,0.020705055490973
3,HLA-DRA,3.2288706302642822,0.009487875175416294
4,CD74,3.0305371284484863,4.8368151530727595e-06
5,HLA-DMA,2.999758005142212,0.0012001135669977771
6,TRAC,2.719106912612915,0.014612714036864401
7,RP11-326I11.3,2.3009042739868164,0.015906449183485993
8,FAM84A,2.170135736465454,0.008101138253425103
9,EPHA4,2.128601312637329,0.0009255920327675904
10,GABBR2,2.102548122406006,0.01968477788216978
11,GPAT2,2.0566258430480957,0.008490363179235204
12,RP11-148B18.1,2.0490643978118896,0.01168170837513134
13,ZFPM2,1.9899837970733643,0.04187739390385836
14,LYSMD4,1.9873731136322021,0.0391657762923165
15,CORO2B,1.971799612045288,0.004006246950275408
16,HIST1H4C,1.9644825458526611,1.0900025970547647e-07
17,SLFN5,1.912623643875122,0.019887968710150746
18,RP5-1187M17.10,1.9011658430099487,0.04977597881722763
19,CXCL3,1.8788836002349854,0.005385670829384797
20,TMEM44-AS1,1.8604271411895752,0.009139761502614424
21,ZNF225,1.8529822826385498,0.0371611845609838
22,CASZ1,1.8107000589370728,0.0382000377254278
23,PHF21A,1.7467509508132935,0.012132150671763278
24,NGF,1.712157964706421,0.03466875911369924
25,FPGT,1.6756385564804077,0.0257167101838517
26,HIVEP2,1.660392165184021,0.015022618290659952
27,KRT81,1.6281911134719849,4.5436313280956005e-06
28,MXRA8,1.6136080026626587,0.00029985162160718246
29,RFX3,1.59486722946167,0.03571567151533025
30,NAPEPLD,1.5663739442825317,0.0009814146419301125
31,RP11-332H14.2,1.5443364381790161,0.003339591517353388
32,ECM1,1.4912141561508179,0.0008711177307115675
33,ABCG2,1.4826738834381104,0.0069843267268089974
34,ICAM2,1.4768321514129639,0.005868286463382699
35,PDK3,1.471834421157837,0.03502217340494071
36,ZNF780A,1.4507511854171753,0.0016436686041348206
37,ENO3,1.4326555728912354,0.0394349613129356
38,SLC10A7,1.4164587259292603,0.019738784053974865
39,GPR137C,1.4070968627929688,0.018968226922103166
40,CTH,1.3731763362884521,0.00631542422317034
41,FANCG,1.3722631931304932,0.00011391343285112423
42,ZNF551,1.3689199686050415,0.03674318469676442
43,WDR24,1.3635448217391968,0.02300796158700873
44,SLC38A9,1.3514430522918701,0.013577184302917569
45,RP11-337C18.8,1.3447543382644653,0.01325941070943022
46,ERCC6,1.3433047533035278,0.029262781791185816
47,KLHL17,1.3350727558135986,0.04812654137179215
48,HIST1H2AH,1.3319395780563354,0.002775510505988134
49,ZNF197,1.3249595165252686,0.02907313358907228
50,KRTAP4-8,1.3234450817108154,0.024500454406260263
51,IDH2,1.3227121829986572,0.0026995241785131704
52,ZCCHC4,1.320007085800171,0.0048765403804892585
53,FAM160B1,1.3118500709533691,0.018528858678486027
54,KHNYN,1.2883330583572388,0.009417320980387566
55,AC069513.4,1.278507947921753,0.03466875911369924
56,RECK,1.2705984115600586,0.000775285303749957
57,SUFU,1.2594231367111206,0.047750274600572504
58,LAMC2,1.2558428049087524,0.005111161149172735
59,LINC01224,1.2554601430892944,0.018657150701653347
60,MARS2,1.255255937576294,0.0187991689102605
61,DNER,1.2463616132736206,0.04244881869378448
62,PTAR1,1.2449949979782104,0.00022441305815434467
63,MOCS1,1.2417315244674683,0.035873878841839235
64,TM7SF2,1.2395734786987305,0.02536158939477096
65,MSLN,1.238812804222107,0.024419003999129735
66,WDR27,1.238039255142212,0.03985406312021336
67,EXOC8,1.2351078987121582,0.011221483364407044
68,EPAS1,1.232440710067749,0.04289487874436908
69,SYT16,1.2136950492858887,0.0455442398632462
70,RP11-532F6.3,1.2092702388763428,0.030541352878562775
71,TADA1,1.201167106628418,0.02147839439463721
72,STRIP2,1.198110818862915,0.02686094272353832
73,GBP1,1.1971805095672607,0.016222435573486647
74,LIN52,1.1951793432235718,0.04226629057718778
75,RP13-1032I1.7,1.183892846107483,0.014790162198226002
76,ZNF3,1.1832042932510376,0.035603030975041465
77,KPTN,1.1747701168060303,0.032382722989935754
78,AMMECR1,1.169734239578247,0.017923745052559736
79,PLEKHH3,1.1672173738479614,0.0004232714377329025
80,DDX28,1.1547876596450806,0.025580922145156646
81,C14orf28,1.1508445739746094,0.020733258850274886
82,ATP8B2,1.1469792127609253,0.03515549443804885
83,H1F0,1.1452490091323853,3.339381515441984e-05
84,DBR1,1.1371403932571411,0.012616144850488314
85,ADIRF,1.1360682249069214,0.0011389990613155509
86,CNEP1R1,1.1337857246398926,0.01389173486780466
87,HMGN5,1.131327748298645,0.024354012731209997
88,ABCB7,1.1277474164962769,0.011295673171936466
89,ARMCX2,1.123957872390747,0.0008310765771092068
90,TMC6,1.1237379312515259,0.014560881844808195
91,COG5,1.115420937538147,0.005030509575993084
92,CLEC2B,1.1146979331970215,0.033669614532039004
93,RNF19B,1.1137380599975586,0.024828614594000303
94,APEX2,1.1120644807815552,0.009972870453781278
95,MCAM,1.1120437383651733,0.02155125599878078
96,AC002454.1,1.110148310661316,0.0010652016547057531
97,RTKN2,1.1100112199783325,0.001229584556437217
98,PNPLA6,1.108869194984436,0.020092988207042497
99,COL6A1,1.1075947284698486,0.020789766056899566
100,ME1,1.1019564867019653,0.008490363179235204
101,MYPOP,1.0990039110183716,0.04657974678752163
102,GTF3C5,1.096770167350769,0.004400697638110457
103,SPRY4-IT1,1.0966663360595703,0.041825770560389074
104,MPP1,1.0941696166992188,0.04601757916087441
105,SGSM2,1.0898478031158447,0.011017666130871
106,NUP93,1.0887799263000488,0.0031045532290572514
107,IL13RA2,1.0846601724624634,0.018287229324147954
108,CHEK2,1.083463191986084,0.018325196960909777
109,C8orf58,1.0830395221710205,0.04491037578381081
110,KLF10,1.0827444791793823,0.029606831694098796
111,MTMR9,1.0826200246810913,0.03542343649095011
112,MYO1E,1.0684866905212402,0.04205850049312924
113,BICC1,1.0625063180923462,0.0031356901578934453
114,GGA3,1.058603048324585,0.006973571599257446
115,FITM2,1.0574302673339844,0.007016681552107479
116,KIAA0753,1.045996904373169,0.021117294771026536
117,CLK3,1.0348334312438965,0.00791860138929249
118,SMARCA2,1.0322288274765015,0.014623099972432428
119,SLX4,1.029178500175476,0.045905834067045195
120,YY1AP1,1.0231448411941528,0.018274588758334303
121,PAG1,1.0231072902679443,0.015895264753017505
122,C4orf33,1.0221199989318848,0.033349176885181624
123,CCBL2,1.0154696702957153,0.004853234946058691
124,HIST1H1E,1.0126757621765137,4.266367715254782e-05
125,GLE1,1.0105409622192383,0.015530037320244949
126,MOSPD2,1.004960298538208,0.0377484512910073
127,SNAPC1,0.9895603656768799,3.1262265908448514e-08
128,GPR160,0.9874643087387085,0.039508647419084546
129,CYR61,0.986876904964447,1.1466196571189631e-07
130,GNA11,0.9841437935829163,0.0006752492822924233
131,ANAPC4,0.9821850061416626,0.0044362981593874815
132,PI4KB,0.9815218448638916,0.011017666130871
133,C14orf1,0.9778988361358643,0.00046482278062547625
134,RINT1,0.9750350117683411,0.021815342408973763
135,WASH1,0.97271329164505,0.023983214805134136
136,GFPT2,0.961785078048706,0.02895985318887553
137,GALK2,0.9574335813522339,0.032904950143583495
138,CD82,0.9569481611251831,0.024927802043200185
139,ZNF623,0.956427812576294,0.045961678009815723
140,EPCAM,0.9491229057312012,0.0031855729206195617
141,TOPORS,0.9475794434547424,0.0006424442024744764
142,SYNGR1,0.9453333020210266,0.022231740914564358
143,FRA10AC1,0.943000078201294,0.000341539273130049
144,RPS6,0.9424259662628174,1.6714362345954553e-11
145,PARP12,0.9371318221092224,0.023648945952451105
146,DEPDC4,0.9370545148849487,0.030187979911243733
147,GNG10,0.9369078874588013,0.043132628058257454
148,GGNBP2,0.9365562796592712,0.0001538736795044466
149,RP11-428J1.5,0.9248961806297302,0.03375550799247786
150,S100A3,0.9243812561035156,0.04090572183341614
151,JMY,0.9229288697242737,0.03683572580803776
152,SLC27A1,0.9175629615783691,0.04409479151038754
153,ZNF90,0.9130024313926697,0.01516148623435762
154,ULBP2,0.9101734757423401,0.0194433439686072
155,ZNF35,0.9074159860610962,0.005914459217497653
156,DDB2,0.9053453803062439,0.006504722214445114
157,OPHN1,0.9039564728736877,0.0465232711379212
158,TRMT13,0.9034926891326904,0.0039512170603830474
159,ANKH,0.9028752446174622,0.0029333740076405023
160,ANKRD37,0.9023736715316772,0.004493802147009303
161,ECHDC2,0.9011460542678833,0.020705055490973
162,FAM63B,0.9004775285720825,0.0023155232448591936
163,FOPNL,0.8990799188613892,0.0007129297897714702
164,PHF8,0.897911787033081,0.027521436350253847
165,C19orf68,0.894108235836029,0.03412264873507206
166,FKBP7,0.8936975002288818,0.00854823234266691
167,BBS10,0.8925488591194153,0.01694181766044361
168,TTC21B,0.8917856812477112,0.03872865785479386
169,RP11-498C9.15,0.8856944441795349,0.003443166634959724
170,ATP6V1E2,0.883136510848999,0.03619208694854485
171,RAD54B,0.8829267024993896,0.029319883417534588
172,KLHL20,0.8828361630439758,0.03211398229092591
173,FOXRED2,0.8823252320289612,0.00857406497541431
174,FAM179B,0.8805136680603027,0.009666327309176118
175,SQRDL,0.8798806071281433,0.02424063871546144
176,PYCARD,0.8795150518417358,0.010151899298457185
177,EPB41L1,0.8784512877464294,0.04526772639687515
178,BCL2A1,0.8781064748764038,0.011784318804515567
179,CEP120,0.8774844408035278,0.03827175907371396
180,PLAA,0.8763366341590881,0.019138612820262513
181,ADPRHL1,0.8755272030830383,0.049955483209310286
182,NSDHL,0.8739070296287537,0.004375931556064699
183,WRAP53,0.8735595941543579,0.007027496367445242
184,TIFA,0.8714976906776428,0.031098104575661926
185,REL,0.8691646456718445,0.011295673171936466
186,UTP23,0.8691146373748779,0.0022358018442402063
187,IREB2,0.8667274117469788,0.014355170513411099
188,VCPIP1,0.8662716150283813,0.036374998104950235
189,C3orf62,0.8608843088150024,0.010580806058504286
