,genes,logfoldchange,pvals
0,PPP1R14C,3.9797370433807373,2.0789160666324412e-51
1,PCSK1N,3.8944976329803467,6.785534856922514e-132
2,ITM2A,3.022721290588379,3.6654066118110085e-43
3,IFI27,2.902665853500366,2.3697476571310502e-36
4,GMFG,2.876488208770752,3.5225835001479983e-50
5,RP11-454P21.1,2.7984366416931152,0.019109909372875482
6,GABBR2,2.5818090438842773,3.104937979799911e-25
7,EFR3B,2.3614907264709473,0.02435269001463661
8,OLFML3,2.299652338027954,0.0322774638652129
9,HLA-DPA1,2.087595224380493,0.00012386744274568934
10,MAN1C1,2.060124397277832,0.0168497214438423
11,FGF13,1.9845672845840454,6.887288245440198e-05
12,HLA-DRB1,1.803813099861145,1.2007852631511847e-21
13,FAM49A,1.7536389827728271,1.0541645081784168e-16
14,RAB33A,1.7481930255889893,0.04759287582796777
15,TMCO2,1.7416003942489624,4.539202981997919e-09
16,HLA-DRA,1.7348140478134155,4.908581406434673e-42
17,RP11-676J12.7,1.6853622198104858,4.759560180225603e-07
18,CD74,1.6423301696777344,1.1465128834026854e-113
19,CCDC190,1.5257514715194702,0.0044699792130570935
20,MX1,1.5219440460205078,2.887854575329723e-21
21,RORA,1.395937442779541,0.008710175389216722
22,CXCL1,1.391554355621338,1.9460001063689097e-23
23,BCL2A1,1.3824412822723389,1.672068544808534e-45
24,BEX5,1.3416340351104736,3.987895942262017e-14
25,REEP1,1.3407368659973145,0.00960019965059464
26,CTSS,1.3363738059997559,0.009344856147696423
27,KALRN,1.3192408084869385,1.0228413814281848e-08
28,GAPLINC,1.2981061935424805,0.022753360267822112
29,RP11-148B18.1,1.266667366027832,7.36433861538825e-13
30,ITGB2-AS1,1.2149932384490967,1.2243083216831226e-11
31,FAM46C,1.2143462896347046,0.0009924361624564036
32,FAM84A,1.188359022140503,3.6871896317905017e-09
33,TIE1,1.1608099937438965,2.0720769348827512e-05
34,PLAT,1.160305142402649,1.059363882722797e-115
35,C14orf37,1.1525205373764038,0.00020932749092454986
36,ITGB4,1.1056491136550903,1.387042806699111e-16
37,CUBN,1.0706228017807007,0.013645451581256187
38,LMO2,1.0700390338897705,3.262529421811974e-07
39,MXRA8,1.0692006349563599,8.255266328090093e-19
40,RP11-108M9.4,1.0666871070861816,1.8950041928793805e-06
41,CD82,1.0516788959503174,6.156646752820297e-28
42,ECM1,1.0452021360397339,3.286228441383175e-36
43,AARD,1.0443412065505981,0.006512745401456761
44,INHBB,1.0210120677947998,2.4040232233063364e-29
45,ADIRF,1.0110914707183838,7.96047615600013e-44
46,PYCARD,1.009758472442627,1.8511473421549993e-57
47,ADAMTSL4,0.9862284064292908,1.267313751442214e-07
48,FNDC4,0.9685736894607544,1.574023461974999e-05
49,RP11-532F6.3,0.9573143124580383,9.915748059270963e-07
50,CPT1C,0.9563316106796265,0.04470619238718263
51,CXCL8,0.9313390254974365,4.211549876618664e-32
52,COPZ2,0.8964574337005615,0.017015373560726132
53,FAM210B,0.8739486336708069,4.8349836373770326e-126
54,RP11-384F7.1,0.8714601397514343,0.0009769643992395202
55,LYPD1,0.8620789647102356,1.0300226618384374e-10
56,ADGRG1,0.8454171419143677,1.3849536539013785e-11
57,ITGB2,0.8417245745658875,9.96387129417636e-22
58,CRISPLD1,0.8390982747077942,0.011777382236545028
59,CORO2B,0.8375962376594543,4.5832188153474576e-05
60,PTTG1IP,0.8328292369842529,9.149393527319226e-302
61,ESM1,0.8303533792495728,2.0628252041095378e-07
62,FECH,0.8298985362052917,9.538109746320278e-05
63,COL6A3,0.8219684958457947,0.027161871826346457
64,OSR1,0.8168913722038269,0.035291971187625816
65,NOL4L,0.7918814420700073,1.237288191514888e-20
66,RP13-463N16.6,0.7898321747779846,4.064461276935421e-10
67,MPP4,0.788317084312439,2.355980799318268e-28
68,SYNGR1,0.7831845283508301,4.941428257540979e-22
69,KRT19,0.7792572975158691,2.62180427866712e-153
70,EVA1A,0.7733272910118103,6.889612708059112e-80
71,TMEM163,0.7717213034629822,0.012794959679122945
72,RP3-522D1.1,0.7675262689590454,5.189400700038297e-49
73,DDX58,0.7631412148475647,6.771652139097864e-36
74,CNTN5,0.755384087562561,9.704741302476932e-07
75,FRMD4B,0.7551631927490234,0.027102666405468608
76,ABTB1,0.7540414333343506,3.1620574721614422e-09
77,SPNS2,0.7540124654769897,1.1481922445210732e-06
78,MYLK,0.7455095648765564,7.714543837853093e-10
79,PDLIM2,0.7447013854980469,2.3999495193585282e-34
80,FAM43A,0.7407088279724121,1.0571011954626992e-07
81,DBN1,0.7400332689285278,4.770618537266612e-100
82,CRADD,0.7399263381958008,2.67558494166244e-92
83,SP5,0.73878014087677,0.03851707875029845
84,COX7B2,0.7377437353134155,2.8425180053892216e-95
85,AC011893.3,0.7326911091804504,0.005301619211902854
86,CTC-436P18.3,0.7325424551963806,0.049743438501507704
87,VAMP8,0.7316775321960449,2.376262124130538e-143
88,CARD8-AS1,0.7283543944358826,1.4948557673526712e-16
89,CLEC2B,0.7063813805580139,6.993450006461132e-13
90,HLA-DMA,0.7058069109916687,1.9136399835881298e-06
91,LAMC2,0.7054152488708496,1.9318819213633514e-11
92,CSTB,0.7023060917854309,0.0
93,CCBE1,0.7004847526550293,1.2152368905934065e-50
94,HAS2,0.6971962451934814,2.38587717911382e-09
95,TNS1,0.6965886354446411,0.03276697223287991
96,C2CD2,0.6959160566329956,1.556088984584238e-07
97,SNAPC1,0.6830902695655823,6.275651748607428e-185
98,TOPORS-AS1,0.6824633479118347,1.234321757317934e-21
99,TRAC,0.6823882460594177,0.020649992989625943
100,EPB41L1,0.6819697618484497,0.0002686524537625035
101,PRR16,0.6812462210655212,1.1785289331945235e-14
102,SIGIRR,0.6793752908706665,0.002857387934046016
103,RP11-712L6.5,0.6775471568107605,0.0026001771808400495
104,RAET1E,0.6755940318107605,0.013792653114856925
105,PRKCH,0.6739875078201294,0.007310956151104773
106,NMNAT2,0.6730592846870422,0.015037046029362336
107,C16orf74,0.6711138486862183,1.1676810897678736e-64
108,SERINC2,0.6705273389816284,1.0270369240598503e-19
109,RRAGA,0.6670994162559509,1.7596839192691237e-90
110,RP3-395M20.12,0.6657354831695557,4.755477838292769e-11
111,BCYRN1,0.6651094555854797,0.013263963024318723
112,MSLN,0.6646748185157776,1.0700536347846576e-07
113,LINC01356,0.6571117639541626,0.009032261038006155
114,PGM5P3-AS1,0.6514979600906372,0.004654724407299637
115,CCNA1,0.6498793959617615,0.00023218217079318964
116,U2AF1,0.6396220326423645,7.500165452338463e-15
117,SYTL3,0.6337677240371704,0.00158486834680459
118,HAUS6,0.6279404759407043,5.7794144661429816e-49
119,PRSS3,0.623258650302887,5.16078399470324e-54
120,AKR1C3,0.6223515272140503,4.8193177501342486e-05
121,TMEM154,0.6216078400611877,5.846131381648127e-25
122,CALHM2,0.6211994886398315,0.0012749820047275426
123,PPM1F,0.6188021302223206,8.15253106208533e-18
124,GLIPR2,0.6161906123161316,4.726609942539842e-06
125,MLLT3,0.6146179437637329,1.3727785341737142e-07
126,EVC,0.6139032244682312,0.0026693921708337916
127,NEDD4L,0.610708475112915,1.582568094208701e-89
128,ARHGAP29,0.6101371645927429,5.824621554402889e-227
129,AKAP12,0.6095346808433533,3.959067837120215e-63
130,FGF1,0.6089950203895569,3.292917591812173e-25
131,CTC-529P8.1,0.6060516834259033,0.013863806625119738
132,SOBP,0.6060135960578918,0.02259104123333681
133,CH507-254M2.3,0.605609655380249,0.03086874088045651
134,KCNK1,0.6004157662391663,0.018885535533060296
135,LGR4,0.5978635549545288,5.5068157223605935e-15
136,NDUFV3,0.5964062213897705,1.91609894102685e-120
137,COL17A1,0.5930672287940979,0.04558960015226397
138,ADAMTSL1,0.5924060344696045,0.0066476867641700335
139,CTD-2066L21.3,0.5915192365646362,2.6202460109837208e-05
140,ARHGDIB,0.5898863673210144,2.4109589252436854e-122
141,TMEM171,0.5874063372612,0.00020393922761843038
142,DDAH1,0.5864676237106323,4.2729079909393835e-43
143,FRMD3,0.5849445462226868,1.2824592355209216e-11
144,RGS10,0.5842928886413574,1.19457289507234e-310
145,GLUL,0.5826574563980103,4.1243878507659697e-11
146,PDK3,0.5795759558677673,0.016527861653582065
147,PTGER4,0.5742146968841553,0.00017302763744700837
148,SYNE2,0.5730088353157043,5.5693622170599776e-40
149,RP11-299J3.8,0.5684073567390442,0.030308556457327475
150,COBLL1,0.5670554637908936,0.0001343134369180593
151,CCDC80,0.5650754570960999,5.4323353947570455e-49
152,TFAP2C,0.5640570521354675,1.5818119427058926e-19
153,BCAM,0.5640100240707397,0.000314814677270055
154,SUMO3,0.5611353516578674,1.377887020340461e-181
155,LRP1,0.5606352686882019,0.007616276745768359
156,DENND4C,0.5606074333190918,0.031021281316888766
157,RPS6,0.5603612065315247,0.0
158,SORBS2,0.5569642186164856,0.0009765186453985572
159,LY6G5C,0.5544760227203369,0.010475014367728502
160,PDE7B,0.5542669892311096,0.027427657476975408
161,ACTG1,0.5529650449752808,2.358479798810376e-252
162,CKB,0.5521407127380371,1.2896342876963494e-72
163,IFI6,0.5504874587059021,1.7212780413190384e-06
164,COL6A1,0.5471606254577637,1.939970578249955e-19
165,GBP1,0.5463649034500122,3.76622324203189e-12
166,HES2,0.5459660291671753,0.007584514602293576
167,ZNF114,0.5447697043418884,9.585067059467932e-12
168,PCNT,0.542658805847168,2.924036773120797e-34
169,RP5-1074L1.4,0.5390806794166565,0.04112081711192028
170,EDN1,0.5388440489768982,3.722316192412524e-26
171,LSS,0.5378719568252563,5.5386091578445105e-05
172,MOV10,0.5364623665809631,0.02533726171037319
173,SLC16A4,0.5347886681556702,5.547830989619918e-05
174,PCOLCE,0.5340112447738647,0.0015644305758744862
175,C21orf58,0.5329225659370422,6.319375423221051e-23
176,RP4-665J23.1,0.530229389667511,1.4052629027721351e-06
177,NARS,0.5266640782356262,1.412230546807465e-90
178,PFKL,0.5259584188461304,3.9787342321159484e-24
179,IL11,0.5236218571662903,1.2327655961971953e-44
180,CADPS2,0.5178681015968323,0.003567606480128103
181,ACSS3,0.5177642107009888,0.0015143932786080845
182,C12orf57,0.5177624225616455,1.117035429097158e-125
183,SSBP3,0.5172193050384521,6.746389676424967e-10
184,ATP1A3,0.5164048075675964,0.001034473180645778
185,CATSPER1,0.5111252665519714,0.0013214249802095503
186,SRR,0.508290708065033,3.585374246161227e-06
187,GFPT2,0.5082345604896545,7.875757380681238e-11
188,LXN,0.5079085826873779,8.456553164024491e-13
189,AGPAT3,0.5059680938720703,3.468862623561096e-11
190,SCRN2,0.5026212334632874,0.00028997332049966816
191,MT1A,0.5022688508033752,4.996246860941198e-20
192,ROBO4,0.50057053565979,1.7713807348209816e-12
193,VEPH1,0.4987494647502899,2.4047430117856248e-11
194,SLC9A3R2,0.4984154999256134,1.2538541252508043e-97
195,DGAT2,0.4979439079761505,0.01663599674611423
196,PPM1M,0.4974604845046997,0.010366006049910757
197,PDGFC,0.49726834893226624,2.4542150252231886e-44
198,RP11-631N16.4,0.49687570333480835,0.017422595935944862
199,CCDC69,0.4935373067855835,1.3644521143959502e-10
200,FAT1,0.4913395047187805,5.139160334510878e-80
201,CASP3,0.48961347341537476,4.408604896352229e-37
202,TLN1,0.48620811104774475,1.0587170653444708e-117
203,DPYSL2,0.484935462474823,8.461037264378861e-44
204,DEF6,0.48423194885253906,7.581985637494888e-06
205,KPTN,0.48385345935821533,8.234477809070598e-05
206,CAPZA1,0.48262399435043335,1.9915038219577574e-123
207,KDM4A-AS1,0.48260799050331116,0.029817432866573047
208,WDR54,0.48213499784469604,2.0388034028403708e-50
209,TINAGL1,0.48178496956825256,6.001049665429713e-19
210,BCAR3,0.48073136806488037,3.061055287008227e-37
211,TSPYL4,0.47907525300979614,4.819160022245074e-07
212,SH3BP1,0.4784867465496063,0.03716386837952277
213,SSH2,0.47720858454704285,1.5455417799320952e-15
214,ICAM2,0.4749784767627716,6.680242450270552e-10
215,DIP2A,0.47322484850883484,1.066684893004721e-14
216,ZNF789,0.4730578660964966,0.0001783727775055466
217,KCNS3,0.4708002507686615,0.004170141760927218
218,PTX3,0.47070685029029846,2.7247191792353545e-30
219,TRAPPC11,0.4703587293624878,6.882323318720501e-06
220,SNX3,0.4697059094905853,1.1269836390282123e-112
221,MVD,0.4675886631011963,3.3910427322333792e-09
222,GBP3,0.46593913435935974,9.745452270419164e-15
223,RP11-159D12.2,0.46550384163856506,0.0434730664605901
224,CCDC107,0.4654640555381775,1.830751394988752e-51
225,BTBD6,0.46541866660118103,7.122151982551976e-27
226,CXCL3,0.4646456837654114,0.020620153691070446
227,RIMS2,0.46427130699157715,2.7901920887096e-34
228,ACO1,0.4620620906352997,2.136385297218347e-53
229,EHD2,0.4618237614631653,2.959243844791555e-13
230,PLIN2,0.4599158763885498,8.835887598761697e-43
231,ST7L,0.45973530411720276,5.106392895857315e-24
232,ENPP1,0.45820289850234985,5.8311905650555e-28
