,genes,logfoldchange,pvals
0,DAPK1,3.1690821647644043,3.4306662677044965e-05
1,PLD5,3.145296335220337,0.014715214309477186
2,TUBA3C,2.878416061401367,1.0010235852005033e-26
3,AR,2.832855701446533,1.729648870204293e-31
4,PAGE5,2.775801420211792,4.690001382101284e-72
5,NAP1L3,2.659750461578369,4.015821443567556e-05
6,LINC01322,2.592904806137085,0.0003678207899766565
7,ADGRE1,2.499335765838623,1.4561223805813824e-15
8,GLB1L3,2.439105987548828,0.012089009495251109
9,CYP24A1,2.275320529937744,0.0015553914978918921
10,SERPINB2,2.2748045921325684,2.103027721430777e-10
11,RP11-149I23.3,2.2307255268096924,5.5314993182623316e-36
12,EHF,2.181518793106079,5.090618863831422e-16
13,ABI3,2.1710774898529053,9.953905023013816e-05
14,TMLHE,2.100745916366577,0.0016715608967928322
15,C4orf19,1.988896369934082,6.163540425538714e-06
16,PTPRR,1.9158400297164917,1.0073173788083225e-05
17,HIST1H2BJ,1.8723095655441284,6.616829762281726e-20
18,C4BPB,1.8653470277786255,1.868109721742715e-30
19,OXTR,1.8488322496414185,7.242155777060717e-08
20,CYB5R2,1.7857425212860107,0.0012055538980336575
21,CLDN4,1.7570966482162476,0.0040813308557520935
22,LRRC2,1.7371912002563477,1.0091403063978954e-14
23,HMGN5,1.6777281761169434,2.1628008210763572e-55
24,SPDEF,1.646976113319397,0.0054783141738784825
25,PRRG4,1.6403889656066895,1.8695998453838003e-05
26,FAT3,1.6320757865905762,9.882275278742507e-15
27,INHBA,1.6286368370056152,1.2683123129745392e-05
28,LINC00240,1.6266279220581055,0.0022579787161843288
29,AFAP1-AS1,1.6195271015167236,1.0342781207005081e-07
30,LINC00665,1.599068522453308,3.110915489957062e-15
31,NRK,1.596474528312683,1.6782589174943388e-21
32,NCF2,1.596326470375061,3.841536564338174e-06
33,GNGT2,1.5899837017059326,9.294548294497123e-05
34,TSPAN8,1.576889157295227,0.0020146441369837892
35,IL13RA2,1.5687414407730103,4.62530278765649e-20
36,TEX41,1.562371015548706,0.00022933072483787573
37,HIST1H2AC,1.5594578981399536,1.1974228096980268e-32
38,HIST1H2BD,1.5489145517349243,1.8495738600169266e-06
39,BEX2,1.5418699979782104,2.4227475181567867e-29
40,ARHGEF35,1.5402768850326538,0.009866194196842535
41,HIST1H2BK,1.4973784685134888,0.0028851407269189734
42,LINC01224,1.4496347904205322,6.998020944934093e-09
43,THBS2,1.4487615823745728,0.010980230743480722
44,SPIN3,1.41713547706604,0.027359361385372823
45,CCDC68,1.3905006647109985,1.0177320605128198e-16
46,SESN3,1.389750599861145,0.00808808533813512
47,NOV,1.3704686164855957,6.584556043356153e-21
48,MATN2,1.3652124404907227,0.0005271520295499693
49,AK5,1.3645752668380737,0.005289532549643273
50,CPA4,1.3558588027954102,0.00010456179100731582
51,SOX4,1.3498505353927612,2.1152513430106015e-22
52,RGS7,1.3433688879013062,0.025133466986573174
53,CXCR4,1.3337754011154175,3.0256255513559354e-06
54,STXBP2,1.3291760683059692,6.994246360201773e-17
55,GALNT14,1.3246283531188965,8.050733772813998e-05
56,MPP7,1.306870698928833,0.043139147850490146
57,GPR1,1.3012676239013672,0.0004804713672971199
58,NUDT6,1.2909846305847168,1.6655843862076135e-22
59,FKBP10,1.2796456813812256,6.595352457538131e-06
60,GYPC,1.2632440328598022,0.0005369669005896493
61,ENG,1.2455326318740845,4.1314308435160616e-16
62,SUN3,1.2439762353897095,0.003900331236502182
63,TNFRSF11B,1.2356066703796387,0.01190140062211931
64,GALNT5,1.23506760597229,4.307464684168657e-05
65,ZNF439,1.2321690320968628,0.00013834647235101442
66,ZNF358,1.2257325649261475,5.76570622516449e-14
67,TMEM217,1.2210701704025269,0.025069798429515615
68,ISYNA1,1.1930004358291626,2.781427282867936e-09
69,FAM8A1,1.1929458379745483,1.8932402712853775e-07
70,HIST1H4H,1.1784504652023315,2.003934469711209e-09
71,ZBTB37,1.1724166870117188,3.824798827668706e-09
72,SOCS1,1.1608024835586548,0.001868677772671244
73,ITGBL1,1.1524006128311157,1.747782504158897e-05
74,ZNF846,1.1522817611694336,0.029502102612651692
75,RELB,1.1412683725357056,2.5725831293381267e-07
76,AC007163.3,1.1393307447433472,0.021584707235144517
77,RP11-818F20.5,1.1358031034469604,2.0435845022872208e-07
78,FAM133A,1.1189168691635132,0.030394508517597608
79,G0S2,1.1023485660552979,4.230158905648958e-45
80,SVIP,1.100124716758728,1.2388955291708784e-62
81,CXADR,1.0897866487503052,4.140308142817364e-06
82,CRACR2B,1.0886470079421997,8.033882490732393e-07
83,APCDD1L,1.0516093969345093,3.0114048383041917e-05
84,FCHO1,1.0401912927627563,1.1293795225784681e-07
