,genes,logfoldchange,pvals
0,ERVMER61-1,4.650202751159668,0.022247764099023768
1,TUBA3C,4.052592754364014,9.945969759140978e-34
2,PAGE5,3.9472415447235107,3.98350880426692e-57
3,LINC01322,3.9282138347625732,1.0854788881633303e-06
4,VNN1,3.419802188873291,0.03120366368231091
5,HLA-DMB,3.3939168453216553,0.021502898966474372
6,DAPK1,3.2976691722869873,0.003034384798565582
7,AR,3.216754198074341,4.259962557877391e-24
8,F2RL2,3.2109076976776123,0.03872343859318032
9,THBS2,3.151620388031006,1.8692113730271294e-08
10,ABI3,2.975930690765381,0.00023423947229136985
11,GYPC,2.8374409675598145,8.182309341275468e-11
12,SNHG18,2.803016185760498,0.04332685210683194
13,CYB5R2,2.6593284606933594,0.0003744759859746696
14,CYP24A1,2.6270511150360107,0.012026113827012153
15,ADGRE1,2.504488706588745,1.8447644755492455e-06
16,AK5,2.498368501663208,0.0014724479725857146
17,EHF,2.4622228145599365,5.1941697620501366e-08
18,NCF2,2.460970401763916,3.6453129739831914e-07
19,PTPRR,2.413118362426758,7.097156401080183e-05
20,GNGT2,2.2931406497955322,0.0011496017725193596
21,TEX41,2.2811691761016846,0.0006689818495615775
22,RP11-149I23.3,2.210989236831665,5.236158433676011e-11
23,OXTR,2.162590503692627,0.00011962057900434762
24,HLA-DRB1,2.0847926139831543,5.304961669978394e-05
25,MATN2,2.0547866821289062,0.0006760669710012809
26,BEX2,1.9924732446670532,1.5041473544491253e-15
27,FKBP10,1.9731190204620361,2.3066513752592147e-05
28,AC007163.3,1.9346709251403809,0.028927093667859057
29,CXCR4,1.9266372919082642,0.00011837462393488144
30,NUDT6,1.916792392730713,1.9450471247299402e-15
31,C4orf19,1.9140552282333374,0.027651470141891562
32,GALNT14,1.9027459621429443,0.001835382087990701
33,TMCO2,1.9009149074554443,0.0015401311051664785
34,ZNF257,1.8910386562347412,0.022523874018430288
35,HIST1H2BK,1.887556791305542,0.031069280986457434
36,HIST1H2BD,1.8850250244140625,0.0012612975727947316
37,AFAP1-AS1,1.8358299732208252,0.004224641119748461
38,LINC00665,1.7834891080856323,1.2545129828132595e-05
39,C4BPB,1.780256748199463,5.7677194826043676e-12
40,ZNF155,1.7564839124679565,0.034581750100256194
41,GALNT5,1.7532744407653809,0.0002583110884740392
42,NRK,1.7444124221801758,2.4744153674641423e-07
43,INHBA,1.7257943153381348,0.016540236398935246
44,HLA-DMA,1.7186013460159302,3.18545147647091e-06
45,CHST10,1.718255639076233,0.0006368969735701007
46,HMGN5,1.7120020389556885,1.3593643959619747e-18
47,ISYNA1,1.6984890699386597,2.0029906473951766e-06
48,SOX4,1.6824182271957397,7.71463357549877e-14
49,HLA-DRA,1.6810461282730103,1.1881429724341882e-05
50,NOV,1.6474175453186035,8.526395701814603e-10
51,RP11-818F20.5,1.6473771333694458,4.126695938061804e-05
52,MAGEH1,1.6413341760635376,0.0013874734502314094
53,FAT3,1.6379581689834595,5.311702477870194e-06
54,RAB9B,1.6224693059921265,0.0039067535501761345
55,KISS1,1.6005319356918335,4.430785615020271e-30
56,BEX5,1.5866936445236206,9.713055083438861e-06
57,CCDC68,1.574332594871521,2.2913367848021885e-06
58,FCHO1,1.5624431371688843,3.251251267778677e-06
59,TRIM39,1.5621062517166138,0.002609541296850776
60,GPR1,1.5619397163391113,0.01099320047296138
61,TACSTD2,1.5532305240631104,5.1171757488160345e-12
62,G0S2,1.5496639013290405,9.330142603082237e-23
63,HIST1H2BJ,1.5444539785385132,0.0026617985274153422
64,LRRC2,1.542719841003418,6.845366377271289e-05
65,EFHD1,1.54059898853302,0.0025719404439086936
66,CPA4,1.5266062021255493,0.021305791589653598
67,HIST1H2AC,1.5109564065933228,1.1554995463178238e-09
68,ZBTB37,1.5087013244628906,1.4972441287939819e-05
69,RP11-392P7.6,1.4980452060699463,0.03496245965298928
70,RP11-195F19.5,1.4939481019973755,0.043550536303011485
71,LINC01224,1.4834749698638916,0.0022872179701099397
72,C15orf48,1.4667948484420776,1.3878877796463436e-10
73,ZNF532,1.4616872072219849,0.014273303591434479
74,MYL5,1.4459902048110962,0.034712412396312876
75,SAMD12,1.4331369400024414,1.2552912761613073e-08
76,KCNK1,1.4196349382400513,0.027559318477123222
77,ZNF574,1.4062206745147705,6.825667155298994e-06
78,ENG,1.4061347246170044,3.2491917595316665e-07
79,LOX,1.4009722471237183,4.1744776562897256e-08
80,ARL4C,1.3837027549743652,9.176519623441283e-21
81,KLHL4,1.3592652082443237,2.8060531777602637e-06
82,SVIP,1.354398488998413,1.1032171095358151e-26
83,NUAK1,1.3431057929992676,3.6476387151116274e-07
84,C6orf132,1.3355565071105957,0.0007265617014954428
85,RP5-1171I10.5,1.3345309495925903,0.013103172830788785
86,RP3-460G2.2,1.3247931003570557,0.0007404374692887932
87,MAGED2,1.3219202756881714,3.8030808983844276e-14
88,ZNF280C,1.3087135553359985,0.026726867242482796
89,MBNL3,1.3030908107757568,0.04307668040169226
90,HSD3B7,1.2928417921066284,0.010244014073503569
91,TIMM8A,1.2866809368133545,1.4764084783654828e-27
92,FGF5,1.2747483253479004,7.313291490085475e-19
93,SLC44A2,1.2713375091552734,1.2753808833830385e-08
94,NOG,1.2705284357070923,5.856079593185334e-16
95,MT1F,1.269403100013733,0.0069856056082194876
96,GLUL,1.2630248069763184,2.6738418527235333e-05
97,NRIP1,1.2624388933181763,8.855847118162521e-05
98,CXorf40B,1.2611274719238281,0.010753404719972317
99,RELB,1.2594839334487915,0.002558427836912589
100,RRAGB,1.2581284046173096,0.00028863613035858747
101,RP5-862P8.2,1.2562756538391113,0.007912571295088999
102,TOMM40L,1.2547448873519897,0.015798185704755944
103,CT83,1.2359447479248047,0.0003055188108003471
104,NEAT1,1.2312142848968506,2.4108940992344415e-20
105,ITGA1,1.2216534614562988,0.001442839712148092
106,SP140,1.2064135074615479,3.223651399603488e-08
107,LINC01420,1.2029564380645752,1.3716349198925607e-28
108,TANC1,1.2029128074645996,0.0022363151291587735
109,P3H4,1.1960498094558716,0.0004952531094934559
110,CXADR,1.1877456903457642,0.0173822143305893
111,ARMCX2,1.1872490644454956,3.534210118481981e-10
112,ZNF32,1.1790771484375,3.395428007572466e-07
113,MYPOP,1.1709812879562378,0.003622226142247439
114,EPB41L3,1.1706362962722778,2.0869142936271033e-06
115,CLEC2B,1.1660346984863281,9.669162554226116e-05
116,C9orf72,1.1578267812728882,0.0034290731249907894
117,BAK1,1.1576080322265625,3.9690524984892887e-07
118,WDR27,1.155044674873352,0.046404616373239144
119,PBDC1,1.1520801782608032,9.935891944461191e-33
120,KRTAP2-3,1.151771068572998,0.0002117385772802099
121,ARMCX1,1.1509736776351929,6.642898792723992e-11
122,MPP1,1.1494663953781128,0.0008253864545492361
123,TPST1,1.1437087059020996,0.0046358507375455
124,RP11-160O5.1,1.1408225297927856,0.002894903757574517
125,ZBTB22,1.1392604112625122,0.0047972715096886165
126,SLC25A43,1.1337929964065552,2.842418262929483e-06
127,PTPN13,1.1278190612792969,0.0342251062124443
128,ADGRA3,1.1275416612625122,0.002945143584949937
129,TXNDC5,1.1234534978866577,0.02456295223031232
130,ARHGAP24,1.1232324838638306,0.04749407944730016
131,PHOSPHO2,1.1231768131256104,0.018551908081217622
132,FILIP1L,1.121222972869873,6.899251423842825e-05
133,ZFAND3,1.11879563331604,4.195276503069887e-15
134,FDXACB1,1.118725299835205,0.022260507914017066
135,MOSPD1,1.1165789365768433,1.0585548166170406e-11
136,ZDBF2,1.1156463623046875,0.026893266718806173
137,RNF8,1.1148985624313354,2.449993107450777e-21
138,ATXN1,1.1112267971038818,0.04469908767271573
139,CHST11,1.1098060607910156,1.2793364402281526e-12
140,TIGD2,1.1073765754699707,0.04419683721123246
141,ANKS1A,1.1058200597763062,0.0002889607145409778
142,SHISA2,1.1023430824279785,4.656074973299153e-08
