,genes,logfoldchange,pvals
0,EPB41L3,3.2130656242370605,4.520431281982884e-116
1,ADAMTS5,3.06439471244812,0.019429284349660757
2,RP11-163F15.1,2.865511655807495,0.0008465725457708455
3,STXBP6,2.861135244369507,4.674936007776723e-57
4,CDH12,2.7751080989837646,0.01805948181385474
5,SPANXB1,2.7616238594055176,0.0
6,LINC01194,2.6691510677337646,0.0021570825951513152
7,PCSK6,2.606416702270508,0.007688575626211282
8,RP11-774D14.1,2.4902470111846924,8.174969768677655e-34
9,OTOA,2.4507737159729004,0.039326167602156376
10,BCHE,2.4333245754241943,2.7265506234670875e-13
11,SSX1,2.412325620651245,1.7204958826023847e-34
12,PDE1C,2.306795120239258,1.1923756753805694e-249
13,BOLA1,2.215701103210449,0.001613844795986697
14,RAP1GAP2,2.1693594455718994,3.777175183953949e-28
15,PLCB4,2.1650822162628174,3.711679497636423e-93
16,SPANXC,2.1604928970336914,0.0
17,VSTM1,2.152960777282715,2.6851625441471365e-142
18,RP11-384J4.2,2.1492056846618652,0.0009510831433190889
19,GFRA1,2.144235849380493,0.04963230899389833
20,AF121898.3,2.047311782836914,0.04261386300824803
21,NRIP3,2.0338025093078613,2.9057692850304344e-06
22,MAGEA6,1.9628232717514038,1.5737342157020983e-160
23,PTPRN2,1.7992503643035889,6.60073080196621e-246
24,GRAMD1B,1.7962188720703125,0.03238762448353701
25,NLRP2,1.7501744031906128,0.03563346025388603
26,FOXA1,1.7201930284500122,0.013527413125014784
27,KIRREL3,1.6929506063461304,3.7887210617080665e-07
28,SPANXD,1.6754751205444336,1.2478300775021323e-47
29,CDH18,1.6701545715332031,1.09778295159713e-18
30,MMP1,1.6652984619140625,7.545404401050399e-195
31,SLITRK1,1.6364033222198486,0.017950138584991567
32,RP11-688I9.4,1.6076433658599854,1.7345515328374536e-07
33,RP11-317N12.1,1.5371817350387573,0.02687730416982528
34,STOX1,1.4204976558685303,0.044698232372138415
35,C1orf233,1.416290283203125,8.326077635273487e-08
36,APCDD1L,1.4120672941207886,6.815164230855662e-13
37,IL24,1.4087504148483276,1.182910516445397e-73
38,COCH,1.4033169746398926,0.0005929397941356009
39,C5orf46,1.3763717412948608,2.057253998167755e-05
40,PDE8B,1.3668863773345947,0.00154170648411565
41,TSPYL5,1.3312629461288452,1.4696036088916076e-14
42,RP11-180C1.1,1.3164703845977783,0.00206989311618052
43,RP3-460G2.2,1.298508644104004,1.3463157236448661e-12
44,GALNT8,1.2969179153442383,0.00015688634215237885
45,BATF,1.2967250347137451,0.022027006520761446
46,LINC01021,1.291969895362854,0.001911970999973061
47,HS3ST3B1,1.28866708278656,5.075912253423135e-08
48,TSTD1,1.2819916009902954,6.622253452096201e-26
49,SEMA3A,1.2790908813476562,8.021366242492194e-69
50,RP11-369C8.1,1.2595982551574707,0.0006465788766685251
51,KISS1,1.2007052898406982,4.184557222094632e-215
52,AC011043.1,1.195871353149414,1.1958415708335774e-07
53,ZNF257,1.176024079322815,0.0047105630678899975
54,FAM134B,1.0987753868103027,0.0009246792076857614
55,ATP8A2,1.0928796529769897,2.160844733532691e-05
56,TRIM61,1.0793251991271973,0.00021825429333704094
57,LINC00452,1.0714020729064941,0.00043657116230094196
58,CLMP,1.0658584833145142,1.6899611570867307e-55
59,MEST,1.0593100786209106,5.472375196099716e-10
60,ITGA6,1.042216181755066,7.13893960243742e-252
61,GAL,1.0365461111068726,2.2071792969384897e-20
62,NUP210,1.0257326364517212,3.559485528334137e-05
63,MSX2,1.0185350179672241,0.0023899882875921662
64,LINC01426,1.0064901113510132,0.005024353498662594
65,GS1-124K5.4,0.9854949712753296,2.1849484996242047e-06
66,CD22,0.9854637980461121,4.594112882200463e-05
67,MNX1-AS1,0.9679187536239624,2.0659792228029224e-07
68,TRIML2,0.9549800753593445,1.4234356796475828e-15
69,ZG16B,0.9520077109336853,0.0015471935341934355
70,PLTP,0.9457347989082336,0.025954954864584757
71,TEX41,0.9357182383537292,0.005793614128209406
72,MYBL2,0.9291257858276367,1.1570530109244756e-82
73,RP5-1171I10.5,0.9237495064735413,8.537794219870212e-05
74,SBF2-AS1,0.903411865234375,9.269737686428548e-46
75,CD40,0.892124354839325,1.8583632656939318e-48
76,MATN4,0.8852699995040894,0.010736136055147569
77,MEGF8,0.8571892380714417,0.0428881861175148
78,LINC00973,0.8482552766799927,4.514408987719349e-125
79,CDA,0.8395695090293884,9.24714132497983e-92
80,BMPER,0.8264563083648682,1.3420223850573779e-09
81,AC240274.1,0.8222813010215759,0.0004060387968116916
82,CTSV,0.798266589641571,0.012521201905499612
83,RIMS1,0.7959821224212646,0.00029939688997541206
84,ACTR3B,0.7838764786720276,5.626060522714937e-08
85,SMIM19,0.7718472480773926,6.779349617131339e-20
86,RP11-549B18.1,0.7672815322875977,0.025938883522270414
87,ST6GALNAC5,0.7605911493301392,0.015646726898439985
88,KLF15,0.7604762315750122,0.013279289207618408
89,MLYCD,0.7587358951568604,0.017792527293764987
90,UMAD1,0.757364809513092,7.336404529414525e-09
91,CPVL,0.7551611661911011,1.0529118793005728e-50
92,SEMA3E,0.7459044456481934,0.046283194681304554
93,ATP2A1-AS1,0.745539665222168,2.706526275672136e-07
94,FCHO1,0.7447598576545715,1.5332182308085313e-07
95,HECW1,0.7331510186195374,0.005494526099846434
96,AMPH,0.7300669550895691,9.029170526251504e-23
97,CCDC92,0.7258884310722351,2.217814092653303e-07
98,LINC00707,0.7236928343772888,3.424380271785972e-26
99,DGUOK-AS1,0.7221806645393372,1.4930944657028396e-25
100,ASL,0.721628725528717,4.4336380211840145e-21
101,RP11-736K20.5,0.7208483815193176,0.04392069260511724
102,RGCC,0.7150439023971558,0.00026346965144537514
103,FZD8,0.7142831087112427,0.03339325459592468
104,LHPP,0.7133385539054871,0.029601278174725524
105,PIR,0.7113635540008545,0.0006082362428939609
106,CLIP2,0.7055996656417847,0.020318391847206345
107,CYFIP2,0.7035965323448181,0.03690737882627004
108,LDOC1,0.6995487809181213,4.741765072445168e-17
