,genes,logfoldchange,pvals
0,PCSK1N,4.568483829498291,3.193072647041087e-122
1,PPP1R14C,3.980719804763794,4.8952586042476294e-45
2,IFI27,3.4131417274475098,5.822403270082773e-35
3,ITM2A,3.2642548084259033,1.5555015925105345e-39
4,RP11-676J12.7,3.065382957458496,8.014823431223147e-10
5,EFR3B,2.825784206390381,0.022250898476518028
6,GMFG,2.799126148223877,4.613083270420471e-43
7,HLA-DPA1,2.5322327613830566,0.00010049854247034447
8,RP11-454P21.1,2.5275766849517822,0.03173101063100996
9,OLFML3,2.2183780670166016,0.044695668073148946
10,TMCO2,2.211704969406128,5.371425439735533e-10
11,GABBR2,2.2093441486358643,9.604386431171254e-20
12,HLA-DRB1,2.0476391315460205,2.0390494138759515e-21
13,CD74,2.0366506576538086,3.5951455973917343e-127
14,HLA-DRA,2.029623031616211,9.129440641148884e-43
15,CCDC190,1.9797437191009521,0.001882765838658932
16,RORA,1.9214074611663818,0.003407738632584095
17,FGF13,1.8892964124679565,0.00030567637785910393
18,MAN1C1,1.862971544265747,0.02935897052466687
19,ADIRF,1.7546119689941406,1.024274355874858e-65
20,ITGB4,1.646920084953308,2.9706816495951827e-22
21,REEP1,1.6364747285842896,0.005790196248293617
22,BEX5,1.5532002449035645,1.2022613985998896e-14
23,FAM49A,1.5249590873718262,7.090685094999447e-13
24,CTSS,1.4345321655273438,0.010343911703083427
25,MX1,1.3406352996826172,2.1609071719296643e-16
26,TAGLN3,1.3314968347549438,0.023886170251554296
27,SPOCK1,1.2829779386520386,0.04024358842052597
28,GAPLINC,1.2454838752746582,0.040367469710391755
29,FAM84A,1.2157734632492065,3.615368063680396e-08
30,CXCL1,1.2153152227401733,1.0012665424708869e-16
31,RP11-148B18.1,1.1878353357315063,1.2034583677085453e-10
32,C14orf37,1.1557657718658447,0.00047991267502178585
33,FAM46C,1.1424167156219482,0.0034298256905249866
34,PLAT,1.1406255960464478,6.487122424875946e-97
35,RP11-108M9.4,1.1201542615890503,2.7364982504618513e-06
36,PYCARD,1.0924841165542603,1.9833121318951015e-56
37,LRP1,1.089652180671692,5.6942888928557226e-05
38,NMNAT2,1.0796847343444824,0.0017280744195122028
39,ECM1,1.0762845277786255,2.9385904406603736e-33
40,KALRN,1.0728869438171387,2.844309755258748e-06
41,CATSPER1,1.0568654537200928,1.494753314406087e-07
42,GPAT2,1.032248854637146,2.865427700308678e-13
43,ITGB2-AS1,1.0282132625579834,2.234494756290076e-08
44,BCL2A1,1.021447777748108,1.691790322041451e-26
45,CUBN,1.01413094997406,0.024801960101380915
46,AARD,1.0138236284255981,0.012236657772573226
47,COL6A1,0.9733706116676331,2.8742889206867935e-33
48,AKAP12,0.9513171911239624,6.427496624968432e-101
49,PITPNM3,0.9438380002975464,0.018249896395503704
50,FRMD4B,0.9370908141136169,0.01241944193877231
51,CD82,0.9315189123153687,3.556337537623371e-20
52,GLUL,0.9305456280708313,5.355184340275149e-19
53,ADAMTSL4,0.9292000532150269,2.191361472590861e-06
54,LMO2,0.9266548752784729,1.5035316384315184e-05
55,ADGRG1,0.9235734939575195,1.2208842051968292e-11
56,AKR1C3,0.9098762273788452,1.9188880805072086e-07
57,SORBS2,0.887164831161499,1.157899053726174e-05
58,TIE1,0.8856006264686584,0.0011246419011934226
59,COPZ2,0.8850502967834473,0.024701993824219726
60,PTTG1IP,0.8814980983734131,4.9345647157564237e-290
61,KRT81,0.864102303981781,1.160533498943532e-56
62,CRISPLD1,0.8622228503227234,0.01265482715205702
63,INHBB,0.8602043986320496,5.804470236649772e-20
64,GBP1,0.8544018864631653,5.1045035889592865e-20
65,COL6A3,0.8512627482414246,0.03423839209191947
66,FNDC4,0.8467833399772644,0.00022418781064696634
67,MXRA8,0.8466389179229736,8.604074346063019e-12
68,OSR1,0.8419296145439148,0.03957546534824012
69,TRAC,0.8378143310546875,0.006679076932166885
70,BCYRN1,0.8197687864303589,0.004034931303967035
71,CORO2B,0.8194644451141357,0.0001391943290440212
72,CSTB,0.8191382884979248,0.0
73,HLA-DMA,0.8176777958869934,2.9813393330077553e-07
74,EREG,0.8175897598266602,2.833464505565689e-08
75,FECH,0.8102920651435852,0.00023856585582139839
76,CLEC2B,0.8043656945228577,1.6277383092588852e-13
77,RRAGA,0.7939724922180176,2.3403970394170213e-105
78,RP11-384F7.1,0.7864142060279846,0.003998191660219852
79,SLC16A2,0.778852105140686,0.01678128562525576
80,SP5,0.778070330619812,0.03825749157286157
81,MCOLN3,0.7695323824882507,0.032021520323025784
82,PGM5P3-AS1,0.7676479816436768,0.002164778006054643
83,RP3-522D1.1,0.7639976739883423,3.6236445606788564e-42
84,LYPD1,0.7601688504219055,9.121894128457336e-08
85,HAUS6,0.7558121085166931,3.1365545795926522e-58
86,KCNK1,0.7549828886985779,0.008442649892670193
87,FAM210B,0.7530550956726074,1.1612488743344579e-85
88,AFAP1L2,0.7494092583656311,0.010721387263307965
89,CRADD,0.7479339838027954,1.1946397238766081e-82
90,ATP9B,0.7435282468795776,0.029562596507947413
91,LAMC2,0.7411098480224609,3.330924957835874e-11
92,CCL28,0.7406437993049622,0.006344139491887677
93,RP11-532F6.3,0.7344977259635925,0.0001722454906750083
94,EPB41L1,0.7333655953407288,0.00022670146413345131
95,MYLK,0.7323527336120605,1.510692970006702e-08
96,RPS6,0.7270530462265015,0.0
97,HAS2,0.7167453169822693,1.019722326548726e-08
98,RP5-1074L1.4,0.7163026332855225,0.018498297406451366
99,BCAR3,0.7157753705978394,3.59403230905151e-62
100,EVA1A,0.71469646692276,7.946455331513776e-61
101,PRKCH,0.7098914980888367,0.0062275673963681655
102,RAET1E,0.7034676671028137,0.01283217341395298
103,NOL4L,0.7024221420288086,2.1988273706069e-15
104,DDAH1,0.6977567672729492,2.3991944941385795e-50
105,GNGT2,0.6974668502807617,0.0388493359799181
106,ITGB2,0.6964071989059448,1.3389446278543369e-14
107,ARHGAP29,0.6902740597724915,1.2698009022407164e-249
108,SIGIRR,0.6885325908660889,0.0038581735597166406
109,CTC-529P8.1,0.6884060502052307,0.011290482525832
110,S100A4,0.6878394484519958,1.9773492814258754e-21
111,SNX3,0.6872926354408264,2.2913805154925805e-201
112,MLLT3,0.6864414811134338,3.9103594394395435e-08
113,GLIPR2,0.6834546327590942,3.868367068293765e-06
114,NEDD4L,0.6829033493995667,4.3630903647697814e-95
115,DDX58,0.6788758039474487,3.761335031377792e-26
116,TOPORS-AS1,0.6716474890708923,1.3970149644459756e-18
117,SERINC2,0.6708549857139587,6.317550923148556e-17
118,SNAPC1,0.6702365279197693,7.859234613760236e-158
119,NUDT14,0.6697196364402771,4.5180447350685165e-18
120,ADAMTSL1,0.6600217819213867,0.004119893233227003
121,SLC16A4,0.6570493578910828,3.847938175324965e-06
122,CXCL8,0.6560301780700684,2.492719199870878e-16
123,CKB,0.6551614999771118,1.0441250263540448e-84
124,ABTB1,0.6544459462165833,5.438188837901133e-07
125,MPP4,0.6543436050415039,8.32337985869216e-19
126,DENND4C,0.6536648869514465,0.016556939153712476
127,RP11-299J3.8,0.6489246487617493,0.020469500685248443
128,RP13-463N16.6,0.6485772132873535,2.2970234627406274e-07
129,C2CD2,0.6484798789024353,2.1367391981536784e-06
130,ACSS3,0.6442792415618896,0.00019610361404081512
131,DPYSL2,0.6422740817070007,1.9923136762563058e-60
132,AIF1L,0.63944011926651,0.00043238889378973924
133,FAM43A,0.6357888579368591,1.5499843526666497e-05
134,ACTG1,0.634053647518158,9.735349541916187e-276
135,DIP2A,0.6270065307617188,2.0689115565319682e-20
136,MOV10,0.6217846274375916,0.01250190244793246
137,COBLL1,0.6182361245155334,9.107214972428116e-05
138,DBN1,0.6154388785362244,9.656721841753534e-65
139,SYNGR1,0.614613950252533,2.2386453009239654e-13
140,GLMN,0.6101848483085632,5.887106640348919e-22
141,PDLIM2,0.6088025569915771,2.4382588311557465e-21
142,MSLN,0.608307421207428,2.6862816317338685e-06
143,PRR16,0.6052718162536621,3.648187543923882e-11
144,SUMO3,0.599793016910553,1.2244904447692696e-177
145,TMEM56,0.5986244678497314,3.4341850316407664e-08
146,CTD-2066L21.3,0.5971009731292725,4.870480045365758e-05
147,HMGN5,0.5967926383018494,6.132127672073374e-22
148,AGPAT3,0.5965850353240967,2.578009637449837e-12
149,CYR61,0.5924023985862732,7.810002675225666e-116
150,SYNE2,0.5908304452896118,1.3317672242045577e-36
151,C12orf57,0.5893147587776184,4.216024252757324e-138
152,PDK3,0.5875267386436462,0.021517184565875626
153,ICAM2,0.587062418460846,4.291677976608669e-12
154,PFKL,0.5869902968406677,8.696671223699283e-25
155,LXN,0.5829606056213379,1.6089499023100652e-14
156,CCDC107,0.5826804041862488,8.095286830122097e-67
157,U2AF1,0.5812140107154846,9.001233295815383e-12
158,MYL9,0.5801082253456116,3.839501690068574e-49
159,VAMP8,0.579326868057251,2.2455736341473262e-95
160,FPGT,0.5770782232284546,0.009269261023352949
161,CCDC80,0.5718116164207458,3.4179823177171115e-43
162,PCNT,0.5715557336807251,2.8328502858419014e-32
163,CAPZA1,0.5704766511917114,2.4017986433977253e-142
164,ARHGDIB,0.5704183578491211,9.974787121782606e-100
165,TGFBI,0.5700631737709045,0.00016729821852427772
166,LY6G5C,0.5695005059242249,0.013778115802806006
167,PPM1F,0.5688455104827881,6.140511011121877e-14
168,PRPS1,0.5674096345901489,1.601175308011539e-32
169,SSBP3,0.5670868754386902,4.331769819084154e-10
170,LINC01356,0.5669398307800293,0.026688577810825648
171,SLCO4A1,0.5664398074150085,7.005551553955241e-31
172,MT1F,0.5652070641517639,0.009161224551177294
173,SOBP,0.5649281144142151,0.03793977410080939
174,ESM1,0.5621042251586914,0.0011701834437691627
175,RP11-712L6.5,0.5618002414703369,0.01326857383390294
176,PDE7B,0.5589494109153748,0.03020263620424252
177,LSS,0.5587387681007385,0.00010025433874731335
178,NARS,0.5514020919799805,1.4832862985455823e-86
179,SOD3,0.5478824973106384,0.004567559730244005
180,STC1,0.5457803606987,8.66316902238398e-07
181,S100A3,0.5441052913665771,0.001288829136585228
182,PKN2,0.5416484475135803,9.348243487693183e-54
