,genes,logfoldchange,pvals
0,PCSK1N,3.1940133571624756,0.03941977461659886
1,COX7B2,2.8389809131622314,2.9774129672296367e-15
2,WDR72,2.469177484512329,0.00048044611609460733
3,MAGEA6,2.457855463027954,1.3730553112982982e-05
4,FAM43A,2.4344496726989746,0.029458574078163074
5,SPANXD,2.363133430480957,0.003248264867653522
6,ADIRF,2.214384078979492,0.03343981438260898
7,SPANXB1,2.1348910331726074,7.445106496091648e-15
8,SPANXC,1.9499391317367554,7.290602034714247e-10
9,SEMA3A,1.922994613647461,0.00022267756582482906
10,DGUOK-AS1,1.8409698009490967,0.0010384483220337271
11,PPCDC,1.8059808015823364,0.0013799572180389194
12,FAM84A,1.7627480030059814,0.04709459655340523
13,MBD6,1.7208542823791504,0.04376896240841765
14,PDE1C,1.6296297311782837,8.093132421707965e-06
15,ARAP2,1.5988577604293823,0.012809989809338371
16,RP11-498C9.15,1.5562723875045776,0.01713347493937913
17,ZZEF1,1.4822649955749512,0.03188422280737473
18,IL7R,1.3681358098983765,0.002869295813874274
19,PRICKLE1,1.3678925037384033,0.025872451543353464
20,ZNF524,1.3281919956207275,0.004867024816180906
21,S100A4,1.3226491212844849,1.8252991385924398e-05
22,CASC8,1.3120251893997192,1.5038506159382392e-11
23,KRT19,1.2885229587554932,1.2745941865680617e-15
24,ZDHHC13,1.2821630239486694,0.011526439263125063
25,ETFB,1.2396024465560913,6.401428422196086e-10
26,TMPO-AS1,1.2365928888320923,0.02386703489313736
27,RIMS2,1.170372724533081,2.5707098447190996e-06
28,KRT81,1.1469517946243286,0.0016161334887607346
29,CXCL8,1.1247944831848145,0.0492579661792632
30,TMCO4,1.0806459188461304,0.025463960107894246
31,C22orf46,1.0803877115249634,0.009911290290432808
32,GSTP1,1.0713298320770264,2.050030350913431e-12
33,SPA17,1.0646547079086304,0.0004056536218228666
34,AREG,1.0489552021026611,0.0022627651980159295
35,MADD,1.0439928770065308,0.02855078082124216
36,PDLIM2,1.032196044921875,0.012916234220839004
37,PRSS3,1.014067530632019,5.670236802387624e-05
38,DIP2A,1.007007360458374,0.00044771821666415846
39,MIF4GD,1.0020195245742798,0.005730384025575175
40,ALDH16A1,0.9780610203742981,0.034504206781838596
41,ZNF114,0.9635663628578186,0.0268679233605166
42,UGGT2,0.958939254283905,0.011947639513963342
43,FAM24B,0.9574885368347168,0.00016934680346649523
44,ASF1B,0.9502131938934326,7.213424733945036e-05
45,APCDD1L,0.9410003423690796,0.03460467551570815
46,MON1B,0.9312729239463806,0.04435560878257612
47,NBL1,0.9292982220649719,0.0072600539095617886
48,ANKH,0.9271732568740845,0.040643862671359846
49,CEP104,0.9224005341529846,0.020448158859541803
50,C5orf42,0.9146592617034912,0.020480112892767667
51,TCTEX1D2,0.9143292307853699,0.0010814228235849997
52,ST3GAL2,0.8933807015419006,0.03302682367782969
53,TCF12,0.875691831111908,0.0038845130009141837
54,CD40,0.874602735042572,0.006250829399181467
55,SEPW1,0.872974693775177,1.693198563531072e-09
56,L3HYPDH,0.8688299059867859,0.000941280369395528
57,DROSHA,0.8668330311775208,0.009644804964979495
58,CD163L1,0.8608109951019287,0.001475698635166415
59,VHL,0.8571768999099731,0.0025066679353643803
60,MMP1,0.8550833463668823,0.00035436420335734705
61,TTC31,0.8546560406684875,0.015622511518995996
62,VCPKMT,0.854138970375061,0.012620697366094837
63,ADPRM,0.853277862071991,0.03703864221867012
64,IRF3,0.843015730381012,8.755669216644616e-05
65,C9orf64,0.8254685401916504,0.03503446008594502
66,TRAF7,0.823352038860321,0.004530888446166255
67,ACADVL,0.8185503482818604,2.032889348459571e-07
68,LRRC57,0.8127608895301819,0.027833648206480086
69,FAM8A1,0.7992781400680542,0.04976887673377698
70,MAD2L2,0.7967070937156677,0.0004741445150377765
71,NOL4L,0.7946273684501648,0.04775157038912712
72,LRWD1,0.7922552227973938,0.028317045257290764
73,SRD5A1,0.760292112827301,0.004752552278713634
74,ERLIN2,0.7577939629554749,0.02354023548254572
75,CDT1,0.7491862177848816,0.00026639265876615437
76,PAXIP1-AS1,0.7430075407028198,0.04891980986495278
77,JOSD2,0.7416259050369263,0.049974481588161264
78,SKP2,0.738105297088623,0.04529539607930236
79,ENDOG,0.7366446256637573,0.0028803271727115432
80,GPHN,0.736169695854187,0.026405971684523296
81,GLG1,0.7339420318603516,4.2453960232639565e-05
82,SH3GLB2,0.7292813658714294,0.015186542023958085
83,CRYZL1,0.7251604795455933,0.017548137463866718
84,RAPGEF2,0.7243136763572693,0.02165983383567801
85,PNKP,0.7215893864631653,0.0007692508721833244
86,NNT,0.7165924906730652,0.0037947789215352972
87,LIG1,0.7160933017730713,0.01374948988324523
88,RP11-545E17.3,0.7143463492393494,0.00042596542820329015
89,GSTA4,0.7127206921577454,0.042286197790136176
90,DDX58,0.710469126701355,0.011927750268934504
91,TMEM184C,0.7082779407501221,0.03624647423276281
92,DALRD3,0.7055643796920776,0.0022583380464525193
93,NPRL2,0.7037484645843506,0.029436674760839124
94,EMC10,0.6962305307388306,0.028572111675369112
95,AFF3,0.6886335611343384,0.025892044058546487
96,N6AMT2,0.6877052187919617,0.007979295963553878
97,NAT9,0.6814947128295898,0.031860783581575805
98,DSEL,0.6807475090026855,0.023432168696664632
99,IPO8,0.6730391979217529,0.010218910259398688
100,CDK11A,0.6701619625091553,0.037413336674676195
