,genes,logfoldchange,pvals
0,KCNMB2-AS1,4.975172996520996,0.002534162473477467
1,IRX2,4.797760009765625,4.7148741391767225e-08
2,CLDN11,4.759027004241943,1.5672501403744264e-05
3,KRT7,4.679991722106934,3.4480698749479617e-280
4,MAGEB2,4.63429069519043,5.997826053496605e-25
5,ELFN1-AS1,4.622520923614502,1.1932509507360396e-08
6,RP11-1060J15.4,4.6026506423950195,5.087198714987423e-09
7,C5orf38,4.561108112335205,0.0012873932540015814
8,TM4SF18,4.534985542297363,4.3667321446974684e-05
9,IGFBP2,4.458737850189209,3.0849435802672457e-40
10,LINC01234,4.449696063995361,1.6063894778152062e-16
11,COL1A1,4.430954933166504,1.364885426304191e-59
12,TNFSF4,4.381995677947998,0.00012780312838802643
13,CADM1,4.3557353019714355,0.0009630023079782913
14,CSF3,4.298099517822266,1.4704375786618997e-10
15,RP11-758M4.4,4.234871864318848,0.007091356860775503
16,PAPPA2,4.208746910095215,1.1068500169401998e-14
17,CD70,4.088716983795166,0.03151779638883203
18,KRT81,3.9674394130706787,7.874011597150117e-235
19,SPARC,3.9585602283477783,1.0473560273881286e-118
20,SGK223,3.7232003211975098,2.951368404778955e-18
21,NUPR1,3.715400218963623,3.103919261000925e-40
22,IRX5,3.654341220855713,0.0008234404182612017
23,RP11-676J12.7,3.609790325164795,2.2831957023950473e-09
24,NKX2-5,3.594475269317627,6.245738225390334e-06
25,SLCO3A1,3.5854732990264893,3.580224774641694e-08
26,VAV1,3.452171802520752,0.0003394256754118466
27,TMEM98,3.4168829917907715,0.0005742192635610988
28,RP11-800A18.4,3.4162094593048096,7.186880410030302e-05
29,SNAP25,3.2866294384002686,0.016706966856107112
30,ZNF415,3.264209508895874,0.030066698886473297
31,MFHAS1,3.238426685333252,2.723036800812262e-20
32,S100A2,3.184976816177368,1.0454122721896522e-187
33,CA2,3.0776963233947754,7.455845178248327e-14
34,CSF2RA,2.967332124710083,1.2523382139776427e-11
35,HCLS1,2.8731391429901123,0.0008242588329894577
36,PTGES,2.8693466186523438,6.468440520649408e-38
37,PDE9A,2.85861873626709,9.567035432990055e-06
38,CST6,2.842841148376465,0.04216190758844515
39,CLDN23,2.8422234058380127,0.010959025370152012
40,DLC1,2.7658026218414307,6.378070159294169e-100
41,GYPC,2.738579034805298,2.6605515539419006e-31
42,FABP6,2.717015266418457,2.0123337539230348e-05
43,SCG5,2.6155996322631836,8.595608881621555e-11
44,PIP5KL1,2.606703996658325,0.006920369836915198
45,ADIRF,2.605858087539673,5.688803931141116e-56
46,ELOVL7,2.437927484512329,0.025792213776077242
47,TMEM139,2.4209768772125244,0.03348835060208903
48,RGS4,2.3794994354248047,4.1888065396635735e-05
49,EREG,2.3553853034973145,1.9842737625150171e-29
50,TDRP,2.3093791007995605,6.426974388420561e-06
51,FKBP10,2.287102460861206,4.975552526588357e-25
52,CLIC3,2.223893642425537,0.003372872064994084
53,RIBC2,2.217241048812866,0.005722129999859468
54,GJB2,2.189955234527588,0.0009113656076690925
55,DMKN,2.1753389835357666,9.119777002649579e-91
56,CRIP2,2.1621217727661133,9.318842374998896e-14
57,IRX1,2.145108461380005,0.027059549601747286
