,genes,logfoldchange,pvals
0,IER5L,3.641456127166748,0.02982991941455927
1,TFB1M,3.2158987522125244,0.048903685910220714
2,RPS6KA3,3.139590263366699,0.03734527433006333
3,CLASP2,2.6198041439056396,0.018618342951486122
4,TRMT2A,2.3732802867889404,0.03256659539501488
5,DPP9,1.951038122177124,0.012700666998165045
6,PHYHD1,1.9023125171661377,0.006253522768222075
7,CDS2,1.8076999187469482,0.04116158730315954
8,ZMYND19,1.7510679960250854,0.008054441352717078
9,SNHG12,1.740903377532959,0.03140682156799179
10,FBP1,1.7217071056365967,0.04530323643842347
11,ZDHHC5,1.6866753101348877,0.02957383229109463
12,IL13RA1,1.6595042943954468,0.047169329099436226
13,ANKRD9,1.5401856899261475,0.04512009776436283
14,CPSF3,1.4317232370376587,0.030873421514783884
15,HOMER2,1.4175913333892822,0.045028762747889736
16,KPNA1,1.3988388776779175,0.026182408873008586
17,B3GNTL1,1.2785778045654297,0.043855525962713894
18,AP2A2,1.2264677286148071,0.04969152215823683
19,GPS1,1.2233558893203735,0.019489451578536862
20,PANK3,1.2203521728515625,0.033620199276532564
21,RNASET2,1.183260202407837,0.03626842256665306
22,FAM174A,1.1202611923217773,0.041077073460897506
23,C21orf59,1.0960197448730469,0.006014831065967732
24,HYI,1.0904386043548584,0.024835163032786288
25,NXN,1.0395400524139404,0.014720023281824406
26,TINF2,1.033266544342041,0.04475569257842112
27,TMEM219,1.016150712966919,0.0018698258610569543
28,AP3B1,1.0070726871490479,0.03750131004731865
29,FUCA2,0.9987673163414001,0.0063678032458008875
30,OXSR1,0.9859734773635864,0.014894582319330864
31,AAED1,0.9738003611564636,0.009835098286604858
32,TRMT11,0.9610471129417419,0.025333175554774195
33,PICALM,0.957403302192688,0.040573071852838774
34,YARS,0.9507982730865479,0.044664980148622635
35,TBC1D2,0.9480429291725159,0.048610963035295364
36,CHCHD3,0.9344570636749268,0.0011999033394951215
37,PDLIM7,0.9091428518295288,0.011337362498565819
38,TIMM23,0.8613708019256592,0.009406384755084441
39,AKAP12,0.8595392107963562,0.005875587003994095
40,METTL2A,0.8509005904197693,0.0212909867217036
41,C11orf57,0.8273809552192688,0.027833612723641293
42,PSENEN,0.8264464735984802,0.005333162339110952
43,EMP1,0.8226023316383362,0.03604114414282487
44,DDX17,0.7971614599227905,0.021387161178856872
45,MCRS1,0.7808611989021301,0.04929628349734612
46,RFC3,0.7670885324478149,0.037815046380211166
47,RAP1B,0.7648141980171204,0.024616559944253266
48,MRPS35,0.7614673376083374,0.018618342951486122
49,MT-ATP8,0.7420966625213623,0.0290045410886552
50,ALDH9A1,0.7383649349212646,0.03462973207943306
51,DYNC1LI1,0.7249504327774048,0.013775422130109566
52,PRNP,0.6965546011924744,0.02771276143377469
53,S100A16,0.6960541605949402,0.00012651662094853377
54,TSPAN4,0.6889045238494873,0.0187038935647537
55,TMEM203,0.6775153875350952,0.04567139396436551
56,REEP3,0.6687155365943909,0.013291740649430908
57,DDX5,0.6676392555236816,0.0007214850135718157
58,ACOT7,0.6568251252174377,0.041246248399976274
59,SLC1A5,0.655243992805481,0.02522176539908941
60,DDX50,0.6475158929824829,0.03990923253731741
61,AIFM2,0.6465985774993896,0.025953574564932625
62,MRPL23,0.6419327855110168,0.03566504524939581
63,PPARG,0.6311824321746826,0.028816885358039553
64,KIAA0101,0.6253402233123779,0.02105219686655981
65,PTMS,0.610629141330719,0.009476658503903834
66,SNRNP25,0.5897079706192017,0.042360331684935165
67,SHMT2,0.5712105631828308,0.034776043801457136
68,RABGGTB,0.5700892806053162,0.043677339259259075
69,MGST1,0.5689123868942261,0.0007418974140114997
70,TXNDC9,0.5640972852706909,0.024345651909100065
71,ARL3,0.5622219443321228,0.028506448574505624
72,SEC11A,0.555844247341156,0.0025366014608424136
73,GTF2H5,0.5549623370170593,0.02039595812174097
74,SUCLG1,0.5447032451629639,0.02957383229109463
75,LSM8,0.5424810647964478,0.03750131004731865
76,LSM12,0.5293999314308167,0.027652505662762
77,CHMP2A,0.5266174077987671,0.024835163032786288
78,COPZ1,0.5209842920303345,0.018112193940797303
79,ROMO1,0.5079337954521179,0.0029581895162853035
80,PHPT1,0.5047853589057922,0.03404973171712973
81,S100A6,0.5031713247299194,0.0020383401371232043
82,NFKBIA,0.49732986092567444,0.019802643297932254
83,RFC4,0.49411946535110474,0.04841663296215612
84,GAMT,0.49301522970199585,0.03208467254590073
85,STUB1,0.4919571280479431,0.004108075403260166
86,C12orf57,0.4879615008831024,0.014616155564788489
87,HERC4,0.4871519207954407,0.041246248399976274
88,PSMB3,0.47532665729522705,0.021483713732049783
89,IFITM2,0.4706336259841919,0.033195309783523266
90,CNPY2,0.46128734946250916,0.018279554954125133
91,PPP3CB,0.4612645208835602,0.04812636153249433
92,COX17,0.45487746596336365,0.02242005185652371
93,RPS29,0.4536147713661194,0.0002776068443331167
94,C19orf33,0.44984784722328186,0.02931963827432487
95,LSM7,0.443222314119339,0.006237348586047585
96,PSMD12,0.44302961230278015,0.028568304452898687
97,AP1S1,0.44198712706565857,0.028137730692842967
98,UQCC2,0.4320215880870819,0.015393087358275742
99,KRT7,0.42294761538505554,0.03249737193384356
100,DCTN3,0.4205453395843506,0.04439377294271909
101,C19orf70,0.41319364309310913,0.004265817522741812
102,RPS15,0.4124726355075836,1.1034677328395975e-05
103,MAGOHB,0.4118064343929291,0.008427796148592093
104,CSTB,0.41149961948394775,0.00022283344439925966
105,TMED9,0.40916991233825684,0.03312494351129565
106,CMC1,0.4051324427127838,0.028941872640331382
107,MED31,0.39476659893989563,0.04133105694627503
108,BAD,0.3891928195953369,0.023184132857656987
109,MIF,0.3851839303970337,0.011900757934973296
110,CHMP5,0.3821406662464142,0.01819570596267168
111,C8orf59,0.37914931774139404,0.012428895139195845
112,RBM39,0.37192267179489136,0.02472565222248061
113,UQCR11,0.3559727966785431,0.00464719163920102
114,ESF1,0.35556262731552124,0.042795551490824486
115,VIMP,0.3542426824569702,0.023339633374772066
116,RPL36A,0.33917319774627686,0.04679102375125692
117,S100A11,0.3365236818790436,0.00037524165623620167
118,FKBP4,0.33428993821144104,0.043677339259259075
119,ANAPC16,0.3339080512523651,0.004927019691230711
120,TNFRSF12A,0.3267148733139038,0.038131012677207046
121,CAPN2,0.32533055543899536,0.04764582536901753
122,RPS9,0.32148265838623047,0.006109304914793773
123,PHLDA2,0.3169884979724884,0.007351851877544338
124,UQCRB,0.3155398964881897,0.023864525387070068
125,RPL39,0.3133307099342346,0.00022735862391099507
126,NME1,0.30971258878707886,0.005679584180463456
127,RPS24,0.3070099651813507,2.129127882168373e-05
128,UBE2M,0.290595144033432,0.011672487170343054
