,genes,logfoldchange,pvals
0,KCNMB2-AS1,5.104552745819092,0.0026744662656290725
1,KRT7,4.778228282928467,7.647214901111321e-277
2,CLDN11,4.726062774658203,1.8733599041818254e-05
3,MAGEB2,4.716352939605713,1.2476455952546069e-24
4,TM4SF18,4.690938949584961,4.6000600751803027e-05
5,IRX2,4.68735408782959,6.925728782912808e-08
6,ELFN1-AS1,4.67030143737793,1.6098608324699458e-08
7,LINC01234,4.665767669677734,1.9989677119610462e-16
8,RP11-1060J15.4,4.6190900802612305,6.980137463858658e-09
9,C5orf38,4.5618414878845215,0.001409913925466502
10,COL1A1,4.540308952331543,4.94208852939937e-59
11,RP11-758M4.4,4.527266502380371,0.006915719314112326
12,IGFBP2,4.481271266937256,1.5721169146333343e-39
13,CSF3,4.439174652099609,1.6754305663692964e-10
14,PAPPA2,4.412147045135498,1.1863451727349651e-14
15,TNFSF4,4.307313919067383,0.00015377679127030706
16,CADM1,4.2857465744018555,0.001102719983587785
17,SPARC,4.1655802726745605,5.847174541986636e-119
18,CD70,4.0208964347839355,0.03343740565574478
19,KRT81,3.9903218746185303,6.288414749829016e-232
20,SGK223,3.895753860473633,2.337378267394321e-18
21,RP11-676J12.7,3.8693861961364746,1.7071197895378144e-09
22,SLCO3A1,3.7279765605926514,3.744596117316065e-08
23,NUPR1,3.6501412391662598,3.0529676688480564e-39
24,NKX2-5,3.6250016689300537,7.1384571866038505e-06
25,RP11-800A18.4,3.6206328868865967,6.614271984542682e-05
26,IRX5,3.5282862186431885,0.0010104986478721417
27,VAV1,3.505444288253784,0.0003666332182295557
28,ZNF415,3.4889400005340576,0.02720750771598988
29,MFHAS1,3.4676191806793213,1.01213555553811e-20
30,SNAP25,3.4285292625427246,0.015852386715628775
31,TMEM98,3.376249313354492,0.0006729436275066455
32,GYPC,3.19876766204834,1.0845964490642383e-33
33,S100A2,3.186203956604004,2.2584678236601878e-184
34,CSF2RA,3.0684757232666016,1.1215675325920153e-11
35,CA2,3.0565288066864014,1.482717671656387e-13
36,PTGES,3.0179784297943115,6.72183402779395e-39
37,CLDN23,2.998971462249756,0.010286012598546043
38,CST6,2.882535934448242,0.042929109357056676
39,SCG5,2.8086345195770264,4.313647416352228e-11
40,HCLS1,2.784527540206909,0.00103633128993426
41,DLC1,2.7811174392700195,1.6929052530650764e-98
42,FABP6,2.7598090171813965,2.1239198412050974e-05
43,PDE9A,2.736433506011963,1.5907628953977887e-05
44,ELOVL7,2.723397970199585,0.020027382688888838
45,RGS4,2.607591390609741,2.6601955184983916e-05
46,PIP5KL1,2.5421009063720703,0.008038057628067625
47,ADIRF,2.5406224727630615,1.6242276778152093e-53
48,TMEM139,2.5403034687042236,0.030185559625308122
49,FKBP10,2.5004472732543945,2.1885119948532408e-26
50,CLIC3,2.4724624156951904,0.0024684277798609176
51,EREG,2.3637588024139404,3.3500508549973853e-29
52,GJB2,2.343398332595825,0.0006825751823558061
53,TDRP,2.318497896194458,7.09431547894739e-06
54,CRIP2,2.2650153636932373,4.1921244351853405e-14
55,SLC16A6,2.2114923000335693,0.02417334236809829
56,RIBC2,2.2073185443878174,0.006242400312971855
57,NOSTRIN,2.1802358627319336,0.0007128376873355175
58,CATSPER1,2.143064498901367,5.076667540190034e-20
59,DMKN,2.103020191192627,7.294112912410762e-86
60,IRX1,2.0957319736480713,0.028686379596439746
61,KRT86,2.0740489959716797,0.021422608057420408
62,SH2D3A,2.0371854305267334,0.0003564033761244875
63,ITGB4,2.023010015487671,1.5237746681631823e-13
64,RORB,2.0098214149475098,0.01372400323360112
65,PCBP3,1.9733636379241943,0.00304550508345969
66,CPE,1.9656115770339966,3.489727615063298e-17
67,KRT80,1.9510473012924194,7.864591562454447e-26
68,MARVELD2,1.9490761756896973,0.0016880442745917082
69,RASD1,1.93416166305542,5.596275241052178e-06
70,DDIT4,1.9010493755340576,4.7254050588630485e-56
71,AKAP12,1.9006413221359253,9.245599662567854e-122
72,PTGR1,1.8883914947509766,1.5983555556462669e-122
73,PAPPA,1.8779467344284058,5.118495711763426e-06
74,LRP1,1.8749094009399414,1.1746149606668742e-05
75,TPD52L1,1.872258186340332,9.45162208554497e-12
76,S100A4,1.865509033203125,4.549507994804084e-50
77,ANK1,1.860742211341858,0.04809177264125932
