,genes,logfoldchange,pvals
0,ERVMER61-1,4.874080657958984,0.015080924852152264
1,TMCO2,4.006780624389648,2.2179090827240852e-05
2,HLA-DRB1,3.9375112056732178,4.848657060770362e-08
3,HLA-DMB,3.9208338260650635,0.012155013624776239
4,PAGE5,3.913810968399048,9.155020125638901e-56
5,THBS2,3.906949281692505,6.593890818596701e-10
6,TUBA3C,3.801933526992798,9.648279221828096e-33
7,LINC01322,3.676208972930908,9.808102392559594e-07
8,ABI3,3.637552261352539,5.786868525730209e-05
9,GYPC,3.5551154613494873,1.5719232751493628e-12
10,AMOT,3.435880422592163,0.04738433574787049
11,TNFSF10,3.3858025074005127,0.04561112442820514
12,HLA-DRA,3.355093240737915,2.8111399393050147e-10
13,AR,3.2149975299835205,3.54581565456845e-24
14,DAPK1,3.091111183166504,0.0025488577655172584
15,GNGT2,3.0658814907073975,0.00013842579336944256
16,VNN1,3.0075788497924805,0.026767837341720304
17,ADGRE1,2.8721024990081787,3.4113566673739125e-07
18,BEX5,2.7976744174957275,8.355234739839294e-09
19,F2RL2,2.788757801055908,0.035444999037423965
20,RGS4,2.662069797515869,0.03265083124639619
21,CYP24A1,2.6329967975616455,0.008211078971030917
22,SNHG18,2.5821828842163086,0.03397669413900476
23,EHF,2.568315029144287,1.749154690072023e-08
24,PTPRR,2.444350481033325,1.6180669748751563e-05
25,AK5,2.4173994064331055,0.0012520688887250918
26,CD74,2.4049885272979736,3.587292003586373e-16
27,RP11-149I23.3,2.403367042541504,4.73235472320903e-12
28,HMGN5,2.339114189147949,3.0563778175844435e-25
29,HLA-DMA,2.3390064239501953,1.9591729897857476e-08
30,FKBP10,2.3026907444000244,3.3834248781798517e-06
31,MFHAS1,2.2554450035095215,0.036144518746771506
32,AC007163.3,2.2486495971679688,0.013928135710685345
33,LOXL4,2.2372803688049316,0.03151513535033675
34,CXCR4,2.228667736053467,1.9732102637389073e-05
35,BEX2,2.224210739135742,2.3584337347114425e-17
36,OXTR,2.1692676544189453,7.741016740217112e-05
37,GALNT5,2.168264389038086,3.254332020150227e-05
38,RAB9B,2.1369223594665527,0.0003380879210772696
39,MATN2,2.083284378051758,0.0004327106619076156
40,NCF2,2.079378366470337,1.4040917461603664e-06
41,CYB5R2,2.068286180496216,0.0009788321967501236
42,GLUL,2.035128355026245,8.008930087175747e-09
43,C4orf19,2.0343503952026367,0.015645843839698335
44,INHBA,2.028578758239746,0.0058135842566625125
45,ISYNA1,2.0008506774902344,1.0740131814791789e-07
46,NRK,1.9999817609786987,1.2755862488286731e-08
47,C4BPB,1.980333685874939,2.59184418644853e-13
48,KCNK1,1.9486814737319946,0.00580483297496972
49,PRRG4,1.9447318315505981,0.03364098562460224
50,G0S2,1.9389578104019165,7.797798004955859e-32
51,HIST1H2BD,1.888492226600647,0.0008067808612690126
52,MT1F,1.8751338720321655,0.0002920445161335099
53,LINC00665,1.8622456789016724,4.944003554651839e-06
54,SPARC,1.8321512937545776,0.005204110774994881
55,SOX4,1.8316668272018433,3.869801479896147e-15
56,HIST1H2BK,1.811523675918579,0.025774217250973938
57,GPAT2,1.799414873123169,0.00010799144612701488
58,NUDT6,1.7873399257659912,1.9916806110791146e-14
59,RP11-818F20.5,1.7587358951568604,1.2143508541422203e-05
60,CLEC2B,1.7260171175003052,3.253079326044622e-07
61,C15orf48,1.717894196510315,3.900300171984707e-13
62,HIST1H2AC,1.7137702703475952,7.647538932081515e-12
63,NOV,1.7124942541122437,2.4434201053070183e-10
64,TEX41,1.6846548318862915,0.0027576343182123507
65,CHST10,1.6840729713439941,0.0004838207489343294
66,GPR1,1.6269402503967285,0.005992250973423514
67,ENG,1.6265090703964233,1.8400852245127195e-08
68,CPA4,1.6234623193740845,0.011347858447726553
69,HIST1H2BJ,1.6153401136398315,0.0011542569001498839
