,genes,logfoldchange,pvals
2633,RPLP1,-0.0233024712651968,0.01884502534922449
2634,SERF2,-0.02533709816634655,0.04282460670858032
2635,CFL1,-0.034975722432136536,0.03685472343780085
2636,COX7C,-0.03696083277463913,0.013265494016444912
2637,TMA7,-0.037164010107517235,0.029527863049278562
2638,PRELID1,-0.03766120970249176,0.0186068154441232
2639,TMBIM6,-0.03826053813099861,0.039069075916309766
2640,UQCR10,-0.03952186182141304,0.04230239690660555
2641,RPL4,-0.03960834816098213,0.02810962584681169
2642,BTF3,-0.04078467190265656,0.0039419259456787035
2643,RPS23,-0.040799282491207116,0.0009576004569744252
2644,SNRPG,-0.04383395984768868,0.02359516464025916
2645,RPS29,-0.04407201334834099,0.007787018584763366
2646,DYNLL1,-0.045836135745048516,0.017805432296149615
2647,ERH,-0.04794956371188164,0.00664339057170249
2648,RPS11,-0.04916652664542198,0.008496193898240991
2649,ROMO1,-0.05127331614494324,0.02075072205498996
2650,CANX,-0.05313224345445633,0.03053304442469808
2651,MTPN,-0.05540825054049492,0.02506444483090484
2652,YWHAE,-0.05565745010972023,0.004153340742842433
2653,PPIA,-0.05628374591469765,0.004594786909358333
2654,CCDC50,-0.05658391863107681,0.02040269010371206
2655,YY1,-0.05702376738190651,0.040233222943687835
2656,SNX6,-0.05731365084648132,0.021179862847527736
2657,SUPT16H,-0.057439878582954414,0.022002852242329268
2658,DNMT1,-0.058492768555879586,0.026368364739670618
2659,TOMM7,-0.05875519290566445,0.02695656125843499
2660,GPX4,-0.06159348785877228,0.003015384703302105
2661,RPS16,-0.06165629252791405,8.658740346065905e-05
2662,KDELR1,-0.06166216731071472,0.043071598894204983
2663,FTL,-0.061713993549346924,0.013282318019465273
2664,S100A11,-0.06223750859498978,0.001440145223319308
2665,PFN1,-0.06285464018583298,1.4819247635587469e-06
2666,CD63,-0.06285760551691055,0.004966034863810722
2667,RPL29,-0.0633762776851654,1.9812804773577314e-06
2668,KRT10,-0.06354541331529617,0.004262392782555135
2669,NOP10,-0.06397034227848053,0.00843546774547796
2670,PPIB,-0.06418135017156601,0.02436200726082401
2671,ITGB1BP1,-0.06439607590436935,0.02611000471831049
2672,ANAPC16,-0.06466280668973923,0.030677862432757462
2673,AP2M1,-0.06479520350694656,0.024335588521905174
2674,USMG5,-0.06481941789388658,0.0012069703395271815
2675,MKKS,-0.06512914597988129,0.020603656645725048
2676,MYEOV2,-0.06637502461671829,0.004688221399014175
2677,RPS12,-0.06645950675010681,4.1356927874336295e-06
2678,NDUFA4,-0.06659383326768875,0.005576886175098385
2679,GNB1,-0.06718546152114868,0.03865468861528229
2680,METTL5,-0.06877543032169342,0.007235429607486368
2681,DRAP1,-0.06884550303220749,0.01612931645533601
2682,PCBP1,-0.06899590790271759,0.025093807273055237
2683,AP2S1,-0.07064460963010788,0.0012624369561728742
2684,MRPL51,-0.07064910978078842,0.003471342384445181
2685,CALU,-0.07132674753665924,0.004539043971347657
2686,MYL6,-0.07152113318443297,0.0007175531966882803
2687,HN1,-0.0716140866279602,0.00047561890003238117
2688,COX6B1,-0.07288350909948349,0.0006713470755981175
2689,BANF1,-0.07307585328817368,0.00013970290378594822
2690,SMC2,-0.0738002210855484,0.03341034240725424
2691,EIF3K,-0.0752476379275322,0.0006332420840645124
2692,EEF1B2,-0.07527133822441101,2.1692437711676244e-06
2693,RPS19,-0.07535609602928163,1.5108559281160554e-06
2694,CMTM6,-0.07645303010940553,0.034840965308791244
2695,TOP1,-0.07652614265680313,0.026567142552763167
2696,MRPL22,-0.07659267634153366,0.02781435724077153
