,genes,logfoldchange,pvals
0,GALNT8,2.3429934978485107,0.04090527036724799
1,PTPRN2,1.8751215934753418,5.569818628995111e-46
2,STXBP6,1.7499297857284546,1.0317715102154388e-06
3,RAP1GAP2,1.6598550081253052,0.00011126898200909899
4,RP11-774D14.1,1.6567829847335815,8.04274685340565e-05
5,MMP1,1.56636643409729,1.5090244574041492e-31
6,PDE1C,1.5399925708770752,5.904581597610795e-27
7,GAL,1.519710659980774,3.204495091491862e-06
8,SPANXB1,1.4964970350265503,1.8199676588861225e-52
9,URB1-AS1,1.319319486618042,0.003645292424310372
10,VSTM1,1.315061092376709,7.675835451629543e-15
11,SEMA3A,1.2457275390625,1.6586249545963043e-12
12,SPANXC,1.2438316345214844,7.62621357513248e-36
13,JOSD2,1.2421259880065918,3.0411256613748145e-17
14,MAGEA6,1.1420977115631104,2.9044340916683972e-15
15,DGUOK-AS1,1.0546348094940186,5.760015971668761e-09
16,SSX1,0.9945219159126282,0.004722618232734135
17,CTD-2263F21.1,0.9859046936035156,0.00011346600895380741
18,COX7B2,0.9698042869567871,3.922491793866754e-24
19,KRT19,0.9541535377502441,3.189128488189064e-31
20,B9D1,0.9366405606269836,0.012071725150986132
21,SPANXD,0.9221118688583374,0.0005434038470930447
22,LINC00707,0.9058825969696045,3.86555817572558e-07
23,EPB41L3,0.8627216219902039,0.00014005156264070885
24,DMKN,0.8622955083847046,0.00011573892955316207
25,NMB,0.8517480492591858,0.009818581017455124
26,FIBCD1,0.8455954194068909,0.037417907536845825
27,TNC,0.7850121259689331,0.026024543658587154
28,ABHD14B,0.7836335897445679,3.781277736250377e-08
29,RP4-555D20.4,0.7764152884483337,0.002569642135421282
30,TIAM1,0.7701133489608765,0.027570953313085067
31,CARD8-AS1,0.7605785727500916,0.018771177438903813
32,RP11-783K16.5,0.7405810356140137,4.81032894430227e-05
33,NUDT8,0.7391778230667114,0.023263242908796323
34,EMC10,0.737123429775238,3.0211856391900895e-05
35,AREG,0.7262689471244812,3.430857841000921e-05
36,SERPINB9,0.7245754599571228,0.018122190975917458
37,ZNF724P,0.7241465449333191,0.04467209787264697
38,LY6K,0.7168692946434021,4.2308041626661324e-11
39,TCTEX1D2,0.7095931172370911,3.998299068791959e-08
40,CXCL8,0.7087424397468567,0.0026904016280339025
41,CYP4V2,0.6962203979492188,0.030693412770302676
42,GSR,0.6735804080963135,0.019026584824299687
43,CYB5D2,0.6729797124862671,0.023818089412158
44,ADAMTS6,0.6717466115951538,4.038494857996301e-05
