,genes,logfoldchange,pvals
965,NPM1,-0.0045663462951779366,0.001183629017249162
966,ARPC3,-0.006178848445415497,0.02516157387664932
967,MYL12B,-0.01304883509874344,0.049942557116870415
968,SKP1,-0.01636034995317459,0.040541304440281915
969,CCT8,-0.04013621434569359,0.04248316698795492
970,SF3B6,-0.041059959679842,0.019237289112156632
971,RPL8,-0.04555529356002808,0.005342090849610784
972,HNRNPA1,-0.0475272573530674,0.03896178395018901
973,TCEB2,-0.047884900122880936,0.03985733019688992
974,YWHAQ,-0.05012392625212669,0.049037362724734135
975,FKBP1A,-0.05026647076010704,0.034501705957811775
976,ANXA1,-0.05342060700058937,0.0002014761631710185
977,RPL22,-0.05402689427137375,0.026964093727860683
978,MYEOV2,-0.05467499792575836,0.047247612144595115
979,EIF5A,-0.05629218369722366,0.03228020045834612
980,UBA52,-0.05762770771980285,0.02147791074977867
981,CLIC1,-0.058615531772375114,0.00045010776712900007
982,RHEB,-0.059767767786979675,0.029578860594627714
983,VPS29,-0.060351382941007614,0.04272897351175162
984,COX6C,-0.06426063925027847,0.012112282310274121
985,GTF2A2,-0.06437568366527557,0.0425360086352686
986,TMSB10,-0.06447957456111908,0.0013963152247170225
987,PGAM1,-0.0665690004825592,0.007264391984379133
988,COX6A1,-0.0695033147931099,1.6337743675713018e-05
989,RPS17,-0.07133682072162628,0.004886663988427512
990,AP2S1,-0.0725150778889656,0.0009586237053540569
991,TMSB4X,-0.07288949191570282,0.036979773728865684
992,NUCKS1,-0.07448844611644745,0.03479035995139509
993,ARPC2,-0.07560519129037857,0.0013714447118872966
994,ILF2,-0.07567735761404037,0.028858028695208662
995,C11orf58,-0.07690872251987457,0.03928190920741545
996,UBL5,-0.07719237357378006,0.0005447495513970993
997,CNBP,-0.0775848925113678,0.03769994373141288
998,MRPS15,-0.07776712626218796,0.02226717962863593
999,WDR83OS,-0.07866181433200836,0.027924874567485356
1000,RPL6,-0.0795767605304718,3.1346067255387926e-05
1001,PSMB1,-0.08046279102563858,0.0004399424858163015
1002,NDUFC2,-0.08180355280637741,0.045589142416465236
1003,MRPL42,-0.0822623074054718,0.024016367776879027
1004,SHFM1,-0.08232255280017853,0.005925979854414316
1005,HNRNPK,-0.08324455469846725,0.0028440744899676067
1006,ACTR3,-0.08437805622816086,0.017816719088476957
1007,CCT3,-0.08526715636253357,0.0037462017111299212
1008,SLC25A3,-0.08608387410640718,1.2372484314574692e-10
1009,DBI,-0.08857857435941696,0.015539036617906947
1010,CDC37,-0.08905479311943054,0.026091590887618653
1011,RSL1D1,-0.09063127636909483,0.014215443482329313
1012,DNAJC8,-0.09130403399467467,0.03009795132022242
1013,S100A10,-0.0913582295179367,0.011599230982759496
1014,EIF4A2,-0.09281613677740096,0.04911830498264968
1015,TMEM167A,-0.0928492397069931,0.004584778579700634
1016,OSTC,-0.0933040976524353,0.015256617933675684
1017,SLTM,-0.09373325854539873,0.03854303088370066
1018,HSP90AB1,-0.0937621146440506,2.5049873612090372e-08
1019,NAP1L1,-0.09661442786455154,1.2341261941996181e-05
1020,MYL6,-0.09788171201944353,0.00013504432341574044
1021,SAP18,-0.09880368411540984,0.009801741867028426
1022,COX7A2,-0.1000075489282608,7.272650090293826e-05
1023,XRCC5,-0.1007421463727951,0.0005681846836446884
1024,TMCO1,-0.1013154834508896,0.011762703772139829
1025,COX7A2L,-0.1015896052122116,0.005934693725952848
1026,GNAI3,-0.10187195986509323,0.03897230209796191
1027,SRRM2,-0.1018749698996544,0.036008283006529744
1028,CBX1,-0.10533274710178377,0.041819871890813896
1029,PUF60,-0.10560174286365508,0.02283677998183214
1030,RPLP0,-0.1073165014386177,7.06852055404561e-08
1031,RRP15,-0.10926052927970886,0.019932782907337063
1032,ATP5O,-0.1097831130027771,0.007615282360211677
1033,RPS19,-0.10990094393491744,8.140174286528963e-06
1034,ECI2,-0.1106143444776535,0.011762703772139829
1035,IMMT,-0.1107850819826126,0.04275551656535563
1036,PLRG1,-0.11187700182199478,0.030553574336629887
1037,EIF3H,-0.1119825914502144,0.001976637494684199
1038,CACYBP,-0.11322470009326935,0.000945547847495686
1039,CAPZB,-0.11349188536405565,0.022827921915537026
1040,CDC26,-0.11351928859949112,0.010447782916268956
1041,PRRC2C,-0.11486032605171205,0.00850365946552582
1042,COPRS,-0.11648213118314744,0.023348908716126802
1043,MRPS36,-0.11781897395849228,0.0014168734169355405
1044,UBE2D3,-0.1181867942214012,0.013546828160856957
1045,MRPS12,-0.11819102615118028,0.025041365470522044
1046,RPS8,-0.118246391415596,2.360322100024829e-09
1047,EIF3M,-0.11829282343387605,9.369580200586812e-05
1048,YWHAZ,-0.11874539405107498,0.0020783503813000892
1049,PDCD2,-0.11963696032762527,0.015342429200936147
1050,UBE2L3,-0.11991801857948305,0.02376988885625023
1051,RPL37A,-0.12009989470243455,1.2307819866600685e-05
1052,DENR,-0.12013626098632812,0.004877104696660778
1053,MAGOH,-0.12019723653793335,0.00623231250679774
1054,SRM,-0.1230120062828064,0.005991277649090345
1055,BOD1,-0.12366677075624465,0.03532867971825753
1056,TPI1,-0.12402095645666122,7.198026230194238e-06
1057,ACTR2,-0.12650129199028015,0.007183546168388981
1058,H2AFZ,-0.1271681934595108,7.078940724241859e-06
1059,CCDC53,-0.12720616161823273,0.04787831180046249
1060,ATP6V0E1,-0.12831147015094754,0.00013691989402108944
1061,LDHA,-0.12880606949329376,0.00022420080807731475
1062,MZT2A,-0.1289450079202652,0.015244171562250088
