,genes,logfoldchange,pvals
0,EPB41L3,1.7703917026519775,3.9062005334265506e-08
1,RAP1GAP2,1.4511034488677979,0.004786588377294608
2,MMP1,1.384893774986267,3.0602928189752454e-16
3,FN1,1.37464439868927,0.00020153356478675184
4,IMMP2L,1.298327088356018,0.007036851965052598
5,PTPRN2,1.2495925426483154,1.4922380449855984e-17
6,GAL,1.156956672668457,0.0017507188637949191
7,RP11-774D14.1,1.1431337594985962,0.015487955216613928
8,NUDT8,1.0864053964614868,0.014085329041497558
9,STXBP6,1.06475830078125,0.009571274194803105
10,PDE1C,1.0572062730789185,3.645132839053265e-10
11,IL24,1.0045385360717773,0.0001464431539955099
12,CYB5D2,0.99164879322052,0.02057668342050466
13,TAGLN,0.9628818035125732,0.001643563214112987
14,LOX,0.9225625395774841,0.037940455228284
15,NRP2,0.8941560983657837,0.004821786735057637
16,TNC,0.8703499436378479,0.029649219916594142
17,JOSD2,0.8486486077308655,1.068986349839966e-06
18,DCLK1,0.846825361251831,0.018946714129822708
19,JDP2,0.8354171514511108,0.02347350587304061
20,CRELD2,0.8304332494735718,4.761110023571427e-05
21,RP4-555D20.4,0.8169665932655334,0.017704553101211586
22,FKBP9,0.793947160243988,0.005435286660657153
23,VSTM1,0.7815296649932861,5.6173037486380345e-05
24,ITGA6,0.7270306944847107,1.1934850044340928e-17
25,PLPP5,0.7039210200309753,0.005640487509799801
26,IGFBP6,0.673588752746582,3.413439277774351e-06
27,TMEM161A,0.6641607880592346,0.001282812327347243
28,CLMP,0.6486498713493347,0.0009862036586035323
29,CTD-2263F21.1,0.6425269246101379,0.03938993363117219
30,SEMA3A,0.6367344856262207,0.0014665173686391763
31,FUBP1,0.6354328989982605,6.831745264300993e-07
32,NPAT,0.6304117441177368,0.027945090818089383
33,RFT1,0.6238338947296143,0.025795855827943335
34,CH17-189H20.1,0.6213288903236389,0.017226161741304463
35,NUCB2,0.6172795295715332,4.880101297015884e-07
36,TST,0.6065897345542908,0.0034890559165749145
37,TMEM2,0.6023451685905457,0.03691048066269608
38,PLCB4,0.5957812666893005,0.01719576622082586
39,PIGU,0.5896509289741516,0.04365175026037422
40,RP11-783K16.5,0.5891237258911133,0.004426972780729547
41,DHRS7,0.5885943174362183,0.00028964222419133764
42,LINC00707,0.5837186574935913,0.01089109964693008
43,TMCO3,0.5797440409660339,0.0016070944760301247
44,ABHD3,0.5795236825942993,0.03182660535960793
45,KISS1,0.577914834022522,2.281614757886546e-09
46,DMKN,0.5748351812362671,0.026748770867004786
47,PHGDH,0.5691147446632385,0.0006533592223376919
48,SBF2-AS1,0.5620219111442566,0.0020746682596448534
49,EFTUD1,0.5591292381286621,0.04106414311316967
50,CPVL,0.555085301399231,0.00011434013020995616
51,VPS51,0.5546915531158447,0.0040232589848171255
52,PLGRKT,0.552760124206543,5.2045861059448115e-05
53,PTN,0.5526266098022461,0.038298504420317715
54,DARS2,0.5505106449127197,0.03095607172155867
55,SPANXC,0.5498849749565125,6.325403265798369e-08
56,ZFC3H1,0.5439568758010864,0.0012614892938999215
57,PRKCDBP,0.5346840023994446,2.8904464580484154e-11
58,RFXANK,0.5334838628768921,1.6409021102443128e-05
59,MYEF2,0.532586932182312,0.0001561261871368673
60,HEATR1,0.5299442410469055,0.027170354109598588
