,genes,logfoldchange,pvals
603,UBB,-0.021694665774703026,0.00948536150772881
604,NACA,-0.028203967958688736,0.02163567511247197
605,RBM8A,-0.03126485273241997,0.00347730925376142
606,SLC25A3,-0.0343906506896019,1.8898953232119772e-07
607,RPS14,-0.03927330300211906,0.012683023139777287
608,RPS15A,-0.044348075985908515,0.0455044596304572
609,PEBP1,-0.04484538733959198,0.03225557256077065
610,RPL35,-0.04634406790137291,0.013324011698505427
611,RPS21,-0.05333981290459633,0.02642780884476512
612,NEDD8,-0.06057078018784522,0.03399180284204339
613,YWHAQ,-0.06983795017004013,0.031707215678116935
614,RPL11,-0.07347577065229416,4.352304740424189e-06
615,ERP29,-0.0770299956202507,0.04403391990104573
616,COX6C,-0.07781495898962021,0.03252669285975305
617,RPL10A,-0.0783742219209671,0.0006568417425697276
618,SF3B6,-0.0813210979104042,0.0007332826278125109
619,HSP90AB1,-0.08234180510044098,2.581187687517104e-06
620,TMEM167A,-0.0825415775179863,0.04098990236705792
621,RHOA,-0.08466971665620804,0.005016092384057165
622,RPS18,-0.08547189831733704,1.6025311095041798e-06
623,RPL35A,-0.08652683347463608,0.007979761162624496
624,RSL1D1,-0.0869913101196289,0.03001496701512977
625,PKM,-0.090958334505558,0.045423488723761785
626,NAP1L1,-0.0913972556591034,0.00466777078294656
627,PTMA,-0.09190934896469116,0.0037874630667543477
628,GTF2A2,-0.092410109937191,0.02368893140655781
629,RPL10,-0.09293127804994583,0.01546027198276102
630,RPS8,-0.09425874799489976,0.00026366972439321356
631,EEF1E1,-0.0958305150270462,0.005177245134287339
632,DSTN,-0.09632154554128647,0.0011879488026983569
633,MRPS34,-0.10196387022733687,0.03647832686589525
634,SH3BGRL3,-0.10298573970794678,0.0434799102353177
635,RPS4X,-0.1051804944872856,2.203654940611404e-05
636,VPS29,-0.10538165271282196,0.014022728440174492
637,RHEB,-0.1068141832947731,0.009337348434515336
638,TCEB2,-0.107185997068882,0.0007591680418945971
639,EIF5A,-0.10891810059547424,0.001273220579076894
640,PRDX3,-0.10936456173658372,8.053754805584057e-05
641,SRPK1,-0.11024504899978638,0.0172472323916609
642,CCT8,-0.11193294078111647,0.0003594903838982239
643,DNAJB6,-0.11243865638971327,0.04198918463925953
644,BASP1,-0.11273155361413956,0.04765840396023562
645,EIF3E,-0.112825445830822,0.0004397718044333409
646,CCT2,-0.11468156427145006,0.002155511493592336
647,ATP5J,-0.11532227694988252,0.0020732751165516363
648,RPL22,-0.1165105402469635,0.0002941594105628953
649,RPS3A,-0.1167236864566803,1.461972445112672e-06
650,SNRPF,-0.11808449774980545,0.003825665919343732
651,NDUFB3,-0.119053453207016,0.037737136858168034
652,VPS35,-0.1192513033747673,0.03739728272680588
653,ARL1,-0.11982813477516174,0.013110915849452377
654,SAP18,-0.12056389451026915,0.014858050939150672
655,NOL7,-0.12084472179412843,0.0026989825716511725
656,SNRPA1,-0.12168270349502565,0.032754796194658736
657,COX5B,-0.12256618589162828,0.0031821904203149843
658,COX7B,-0.12546034157276156,0.005043414691976211
659,ATP6V0B,-0.12817715108394626,0.014938372600730644
660,LINC00152,-0.13161557912826538,0.0033369773589467327
661,RPL8,-0.13164766132831573,1.7737478017318648e-07
662,PSMD7,-0.13411547243595126,0.009606112240439548
663,TPI1,-0.13414999842643738,0.00010331746334011447
664,CSTB,-0.13484658300876615,0.0004309909880828069
665,CST3,-0.13713879883289334,0.015077254477233654
666,UBE2T,-0.13719719648361206,0.04107900492503467
667,TUBB,-0.13723187148571014,0.00010488063959045398
668,CLPTM1L,-0.1383453607559204,0.04550986201307358
669,SRRM1,-0.13923704624176025,0.02034818765612854
670,PSMB2,-0.14035896956920624,0.008451839773163874
671,HMGN2,-0.14399774372577667,0.028020028998258402
672,GPN3,-0.1442660391330719,0.007317494160203494
673,DNAJA1,-0.14492307603359222,0.00021304000585283033
674,PSMG1,-0.14495739340782166,0.025317412441947986
675,PPP2CA,-0.14546769857406616,0.04962369717442991
676,MAPRE1,-0.14665530622005465,0.014932180457812238
677,ATP5A1,-0.14777304232120514,0.01924118576588771
678,COPRS,-0.14844034612178802,0.02418149213367932
679,MRPL42,-0.14972057938575745,0.013283010280196132
680,PUF60,-0.15128186345100406,0.020678038117888545
681,ATP1A1,-0.15167498588562012,0.041582018429561066
682,PLRG1,-0.1541060209274292,0.021908443668857604
683,TNFRSF12A,-0.15512894093990326,0.031950379408186506
684,TXNL4A,-0.15805864334106445,0.019199977717419492
685,HMGN1,-0.15852758288383484,6.406230384051892e-06
686,CCDC59,-0.15864814817905426,0.027785090602451733
687,CNBP,-0.1595080941915512,0.0008199881285201937
688,FRMD6,-0.15995150804519653,0.04542888300372837
689,IMMT,-0.1620379537343979,0.04197909067393814
690,SRRM2,-0.16235233843326569,0.012321417496247022
691,DENR,-0.16454122960567474,0.0028536002206787795
692,RPS10,-0.16694995760917666,9.207821835227951e-09
693,HNRNPAB,-0.16806554794311526,0.0006792188413797145
694,ZC3H15,-0.16856172680854795,0.01974701743394421
695,SOD1,-0.1689554750919342,1.4304334089609345e-06
696,MRPL14,-0.16914251446723938,4.771341611788455e-06
697,ESF1,-0.16949109733104706,0.02473739008825926
698,POLR2F,-0.1704508811235428,0.02468290741873525
699,TFAM,-0.1713911145925522,0.0066686403771381965
700,CENPU,-0.1718687266111374,0.017776585403943803
701,CNIH1,-0.17214596271514893,0.012839303043325034
702,DNAJC8,-0.17249801754951474,0.0033011114951748467
703,GLTP,-0.17404717206954956,0.018526108595230583
704,HMGN3,-0.17413869500160215,0.017454450585745747
705,ENY2,-0.17419183254241946,0.0001516080001604552
706,NDUFA12,-0.17523889243602753,1.6165833712551004e-05
707,SH3GLB1,-0.175250843167305,0.03767263934909668
