,genes,logfoldchange,pvals
1451,RPL30,-0.07611450552940369,0.002926836991063128
1452,RPL3,-0.08738875389099121,0.0493217506315701
1453,GNB2L1,-0.08835061639547348,0.015813302139722683
1454,RPL18A,-0.091216042637825,0.0010203773629168242
1455,RPS13,-0.10038015991449356,0.0005923633306907747
1456,ARPC3,-0.10310272127389908,0.026402378855950315
1457,C14orf166,-0.10412296652793884,0.019036481795842962
1458,ANXA5,-0.1044335588812828,0.02099859395122
1459,HNRNPA1,-0.1067160815000534,0.02482453089490214
1460,NAP1L1,-0.10817226767539978,0.0023178312242068807
1461,TMSB10,-0.11056940257549286,0.0004869498365343917
1462,B2M,-0.11458038538694383,0.010136730203851595
1463,TUBB,-0.11603886634111404,0.025343844435298805
1464,SRSF9,-0.1286323219537735,0.004746906393275415
1465,FKBP1A,-0.13330674171447754,0.010176434690412557
1466,MYEOV2,-0.13420286774635315,0.02894946206325692
1467,SHFM1,-0.14066684246063232,0.008944914512738064
1468,LAPTM4A,-0.14103183150291446,0.021346828803194717
1469,EIF3H,-0.14487849175930026,0.017115977194904184
1470,RPS28,-0.14495792984962466,2.065488267640484e-07
1471,MRPL34,-0.14556241035461426,0.04517336016946969
1472,POLR2L,-0.14589375257492065,0.0043473625598167065
1473,HSP90AB1,-0.1463671624660492,0.000216339357403232
1474,HSPE1,-0.14900194108486176,0.005593045914854736
1475,MRPL17,-0.15335622429847715,0.0402027197567519
1476,RPS8,-0.1542234569787979,7.268869724797037e-06
1477,ADI1,-0.15742862224578855,0.011995065845236404
1478,YWHAZ,-0.1575573831796646,0.008161950706306847
1479,MTDH,-0.16026939451694489,0.007898580921501995
1480,GTPBP4,-0.16202962398529053,0.03619375860871667
1481,COX7A2L,-0.16289691627025604,0.005569832635800404
1482,PPP1CC,-0.16581030189990995,0.049343091944115784
1483,CCNI,-0.16608424484729767,0.027094925008934092
1484,TAX1BP1,-0.16611599922180176,0.04123127841311363
1485,ANP32A,-0.16643595695495605,0.045864788217233575
1486,MCUR1,-0.170552060008049,0.03599169310636373
1487,MRPL32,-0.17145834863185885,0.03636380048670928
1488,C19orf43,-0.17156298458576202,0.003497693643224021
1489,NPM1,-0.17268578708171844,1.1095712291630056e-06
1490,ARPC2,-0.1746279001235962,4.042391612439812e-05
1491,TAF10,-0.17567262053489685,0.034388561067337536
1492,DDX18,-0.17582039535045624,0.039196005707244935
1493,GRPEL1,-0.17642872035503387,0.023687762308862614
1494,RPL7L1,-0.17764484882354736,0.013471626143530677
1495,SRSF3,-0.1783047914505005,0.005413863665015421
1496,SLC25A3,-0.17904923856258392,1.2146935362884156e-05
1497,GADD45GIP1,-0.17980515956878662,0.00032740762080568647
1498,C16orf13,-0.17987985908985138,0.02304170642742219
1499,RPL37A,-0.18009750545024872,0.00013596485771040826
1500,CNN3,-0.1807866096496582,0.011773039389806108
1501,CYC1,-0.18137048184871676,0.01326894502101368
1502,BZW1,-0.18187932670116425,0.001987201008235967
1503,HNRNPD,-0.18318912386894226,0.004787165554153871
1504,PSMA1,-0.18319393694400787,0.0019520538019128359
1505,MYL6,-0.1839028149843216,0.0003661458905108158
1506,TMED9,-0.1846509426832199,0.016371918973436112
1507,IKBIP,-0.1869199424982071,0.01927343344481999
1508,TPM3,-0.18754424154758453,0.004878880668734802
1509,CD81,-0.18873853981494906,0.0008456323902146169
1510,SNRPF,-0.18881483376026156,0.00041123829476101987
1511,S100A10,-0.19083380699157715,0.002300335874140176
1512,MRPS12,-0.19089074432849884,0.02340414435854296
1513,PIN1,-0.1913110464811325,0.048854197549560816
1514,RPL5,-0.19157849252223969,1.4230436617999851e-08
1515,LIMCH1,-0.1920887976884842,0.031080046884576083
1516,UBA52,-0.19406288862228396,2.5035805002367483e-05
1517,TPGS2,-0.19586336612701416,0.044752249600765036
1518,TSPO,-0.1975224018096924,0.0008599777923679839
1519,COX6A1,-0.197542667388916,1.7910412496679775e-06
1520,RPLP2,-0.19792424142360687,1.916391999298486e-08
1521,SSR2,-0.19800302386283875,0.02227010746702442
1522,NUCKS1,-0.1980551779270172,0.0007290870496143466
1523,PABPC1,-0.19850237667560575,0.00014262082207396146
1524,MRPS6,-0.1988048553466797,0.009304104047266438
1525,CCDC85B,-0.19976285099983213,0.031685741830036834
1526,TMEM14B,-0.2001737207174301,0.00014999117994689355
1527,UBE2D3,-0.200731560587883,0.01739565677072399
1528,HNRNPK,-0.2009149193763733,0.0011285450637784902
1529,RPL39L,-0.20173600316047668,0.02890879791743383
1530,BRD4,-0.20241305232048035,0.04017280047510653
1531,ILF2,-0.2026541829109192,0.0025550758584483306
1532,MRPS23,-0.20286370813846588,0.0199998212258096
1533,PNKD,-0.20446090400218964,0.04541833515229467
1534,POLR2F,-0.20565328001976013,0.02148612772580157
1535,DSTN,-0.2059587240219116,0.00011670782390010937
1536,PKM,-0.2073131501674652,0.0010614669239736561
1537,MRPL35,-0.20764146745204928,0.04567776317446
1538,C19orf53,-0.20855073630809784,3.5568944013952785e-05
1539,SMURF2,-0.2098512351512909,0.006747409072688474
1540,HMGN3,-0.2099978029727936,0.023254090166115068
1541,TMSB4X,-0.21004275977611545,0.00011363575785491045
1542,TXNRD1,-0.21037118136882785,0.018951804849072804
1543,EIF4H,-0.2110712379217148,0.03938385233354647
1544,PPP1R12A,-0.21134234964847565,0.03324697484151624
1545,DUSP4,-0.21150065958499908,0.04423052226682174
1546,TWISTNB,-0.21230243146419525,0.02818962623356132
1547,ARL1,-0.21290118992328644,0.010767910602728277
1548,SRSF11,-0.2130710631608963,0.031641796121089936
1549,CISD2,-0.2137636244297028,0.010955655807912487
1550,HNRNPA0,-0.2172081023454666,0.017282730165468697
1551,CD44,-0.21737593412399286,0.01294085824970918
1552,WIPI2,-0.21801790595054624,0.03533758738433372
1553,LASP1,-0.21823425590991974,0.03875291711655765
1554,S100A13,-0.21833521127700808,0.012916264294338715
1555,RAB8A,-0.21891748905181885,0.008208093984262466
1556,ANP32E,-0.22095143795013428,0.009277432616281944
1557,HNRNPU,-0.22096261382102966,0.00265271015034677
1558,FERMT2,-0.22230391204357147,0.034746488441053595
1559,ING2,-0.2226204425096512,0.035166306527387683
1560,NUDCD1,-0.22322380542755127,0.006722416050262336
1561,CCDC53,-0.22354896366596225,0.016471301117955573
1562,MAD2L1,-0.2255857437849045,0.010331142406338534
1563,NDUFB7,-0.2257865071296692,0.00019071164710689832
1564,GNG12,-0.2258831709623337,0.015807961871931512
1565,C8orf33,-0.2296469360589981,0.02143728333716749
1566,LRPAP1,-0.2303116619586945,0.03817639573666247
1567,CAPN2,-0.2322736829519272,0.0009298192333356516
1568,UQCRB,-0.2330379039049149,8.057674751556266e-05
1569,ASNSD1,-0.2333468496799469,0.03340512511471988
1570,RPL26L1,-0.234003022313118,0.0054251659681085074
1571,RPL27A,-0.2347217798233032,5.015978589886151e-05
1572,CAPRIN1,-0.23654459416866305,0.02067219766732119
1573,SNRPA1,-0.23793964087963104,0.008308621402064162
1574,UBE2K,-0.2393911480903625,0.006722416050262336
1575,HNRNPAB,-0.2430876046419144,2.0841688614662826e-06
1576,LSM2,-0.24563561379909515,4.507283904399409e-05
1577,BNIP3L,-0.2457176148891449,0.0203236017239026
1578,SEPT2,-0.2469965219497681,0.018904904564819577
1579,ARHGAP29,-0.25094690918922424,0.0024542305812641713
1580,FAM104A,-0.25158107280731196,0.04099336540946971
1581,NDUFA6,-0.25255241990089417,0.003295941299488815
1582,PSMD4,-0.2527029514312744,0.004129427411165525
1583,ATP5I,-0.2529158890247345,0.0001699956086847809
1584,DCTN3,-0.2538338601589203,0.020926813535465855
1585,ZNRD1,-0.25419682264328003,0.01246975811295844
1586,RSRC2,-0.2552628219127655,0.02605362111886901
1587,UTP11L,-0.2560162842273712,0.024446977299936508
1588,DNAJB6,-0.2567659020423889,0.00014304684691995658
1589,NCL,-0.2570193409919739,0.0008626448552377766
1590,RAB13,-0.2576688230037689,0.004674492221195279
1591,NENF,-0.25884154438972473,0.0073823414780323175
1592,DR1,-0.2588552236557007,0.049742887383654316
1593,STARD3NL,-0.2589804232120514,0.028260399984514788
1594,CDC26,-0.25954318046569824,0.000934739492015757
1595,MT2A,-0.2598729431629181,2.113843123267108e-05
1596,PRSS23,-0.2604070603847504,0.010728053599149237
1597,ACADM,-0.2627704441547394,0.027507549578798716
1598,HNRNPL,-0.26382386684417725,0.02229173436541137
1599,SREK1IP1,-0.2642255127429962,0.02531967078531391
1600,RAD21,-0.2648586928844452,0.005217994846517074
1601,DHX15,-0.2654687464237213,0.00643491964315345
1602,NME4,-0.2662005722522736,0.029117154607863488
1603,PAICS,-0.2662517726421356,0.0018281347309315734
1604,NOC3L,-0.2681626379489899,0.007853999127254948
1605,DHPS,-0.2689920663833618,0.024186433868979656
1606,ADSS,-0.2693280279636383,0.020865457756964696
1607,DEK,-0.2698720991611481,7.799224515525372e-08
1608,FBXW11,-0.2700443565845489,0.025392251659567683
1609,CLIC1,-0.27289026975631714,2.3050811342261732e-09
1610,NFYB,-0.273653507232666,0.038475270171071406
1611,EIF3G,-0.2736674249172211,8.617210822048683e-05
1612,DDA1,-0.275473415851593,0.005152833124013768
1613,SRP9,-0.2754928767681122,4.87010767096338e-05
1614,DBN1,-0.2768659293651581,0.04224457288853861
1615,NOL7,-0.2768869698047638,7.971166401256641e-07
1616,TOMM20,-0.2775149941444397,1.4285910165041572e-05
1617,DBI,-0.2780032157897949,3.564527670833987e-05
1618,MMADHC,-0.27908194065093994,0.002819441815801927
1619,GGNBP2,-0.27939704060554504,0.03271605618710845
1620,CCT3,-0.27982017397880554,4.995465657598448e-07
1621,SUPT4H1,-0.27996936440467834,0.003976996445127473
1622,C1orf43,-0.2814986705780029,0.0002940667333009584
1623,MT1E,-0.2816111147403717,0.0055467063266370535
1624,EEF1E1,-0.2822020947933197,4.959990985672121e-06
1625,DERL1,-0.2822823226451874,0.02535997129578971
1626,NDUFB6,-0.2822982668876648,0.0002904499592315247
1627,ALDH9A1,-0.28230324387550354,0.03464616044559733
1628,HMOX2,-0.28433406352996826,0.0359481299647343
1629,UBE2L3,-0.2849019467830658,0.0006360407145764225
1630,HSF1,-0.2849849462509155,0.049357323789613466
