,genes,logfoldchange,pvals
0,VSTM1,28.17639923095703,0.0010630413374153774
1,MED25,26.77130126953125,0.04345281585424213
2,TYW1,26.71651840209961,0.04367632248689455
3,NBPF15,26.7054386138916,0.04619962656522991
4,MT1A,3.911468505859375,0.004309288312277968
5,CCDC85C,3.263594150543213,0.04187585140645926
6,MAP4K3,3.2401864528656006,0.028261041114835475
7,CDKAL1,3.23171615600586,0.032722281151935866
8,RPS6KA3,3.2125046253204346,0.03549366540253572
9,SUPT7L,3.2098069190979004,0.028599832228039232
10,MED15,3.0385725498199463,0.048133013973653334
11,GTF3C1,2.858189821243286,0.04920366026492951
12,SEMA3A,2.8489327430725098,0.010727789471773807
13,ATP5SL,2.7705655097961426,0.01810486244044357
14,CLASP2,2.6459572315216064,0.018451079644373886
15,TRMT2A,2.568577766418457,0.02450740355771712
16,KNTC1,2.498676061630249,0.04217149320104404
17,ADAMTS1,2.273733377456665,0.006347490512568706
18,CPSF3,2.1754465103149414,0.0007068879947862248
19,ATP11B,2.1206622123718257,0.04394171773023151
20,SPANXC,2.034930467605591,2.945445166431068e-05
21,PTPRN2,2.0222315788269043,0.00015316567461826002
22,C11orf54,1.9929370880126955,0.049928470358679214
23,KPNA1,1.9432618618011477,0.002350295468181661
24,MYO1B,1.919595956802368,0.010279639609051323
25,SPANXB1,1.9195400476455688,1.0147682069306506e-06
26,ZFPM1,1.9111708402633667,0.029681191945006694
27,SPANXD,1.8963863849639893,0.04347309463281097
28,LINC00973,1.8758227825164795,6.731884572792096e-05
29,CDS2,1.85715913772583,0.039685795351008586
30,KDELC2,1.830397367477417,0.008525976678423487
31,LRRC20,1.7802820205688477,0.03034673934375702
32,ZNF480,1.769490361213684,0.03511971573240324
33,ZDHHC5,1.7599035501480105,0.021994538207796014
34,B3GNTL1,1.7594549655914309,0.005435543976563149
35,LYRM1,1.7036049365997314,0.032436644084379955
36,SLC39A14,1.682873010635376,0.01638773298415156
37,TTF2,1.6509444713592532,0.01980152519519301
38,KRT19,1.6336299180984497,2.2090079163174663e-05
39,PDE1C,1.606525421142578,0.01234057597135532
40,MMP1,1.6061854362487793,0.0008329476102554512
41,COX7B2,1.5978418588638306,0.00019578632096697832
42,RP11-879F14.2,1.5814391374588013,6.968174758891377e-05
43,CASC8,1.5777113437652588,0.00010650178179056031
44,TRMU,1.5741182565689087,0.009142364410040594
45,STEAP1,1.5704578161239624,0.004834048508749483
46,RNASET2,1.5655615329742432,0.011186988205627664
47,DDX41,1.5380598306655884,0.03209043519921994
48,NAT14,1.5244410037994385,0.042608294387064885
49,HSD17B4,1.5178194046020508,0.029666545709630482
50,MAGEA6,1.5050257444381714,0.03190293236357365
51,ATE1,1.491596817970276,0.03246827569391605
52,DGUOK-AS1,1.489754319190979,0.04339202745940392
53,CENPB,1.4524003267288208,0.03090353347380435
54,IMPA2,1.4440141916275024,0.0057609436619545365
55,PDE4DIP,1.4368194341659546,0.0430288039350095
56,GPS1,1.4342634677886963,0.007304870757824081
57,PANK3,1.421906352043152,0.01162478311849892
58,ECH1,1.4194900989532468,0.0005215005453384438
59,RANGAP1,1.389943242073059,0.00299366703806179
60,ASAP2,1.3778414726257324,0.027251725052641892
61,GBAS,1.3506025075912476,0.026115830140369417
62,KIF11,1.3429505825042725,0.016580991933906667
63,ZFPL1,1.3352830410003662,0.04528920292993212
64,CCBE1,1.3064227104187012,0.04671443763044943
65,NECAP2,1.29768168926239,0.04936145343637115
66,SFXN4,1.2895358800888062,0.0008364687100379611
67,CHCHD3,1.2894413471221924,3.689488035488377e-05
68,MPLKIP,1.2748754024505615,5.679547136826254e-06
69,AP3B1,1.2532521486282349,0.008733849526526422
70,KDSR,1.251374363899231,0.0008972240446307278
71,ZMYND19,1.2491375207901,0.046735992440758295
72,FAM98A,1.2361624240875244,0.01407258906679318
73,C21orf59,1.2303259372711182,0.0025993781092229808
74,NAV3,1.2271558046340942,0.04893414248458775
75,HYI,1.225849986076355,0.0139204704783834
76,SUPT3H,1.2148619890213013,0.026419077446288238
77,VPS4A,1.2082693576812744,0.010878958746778857
78,FAM195A,1.2068865299224854,0.032357680536535184
79,CDA,1.2068548202514648,0.003627587306902261
80,GPN1,1.2013307809829712,0.013188664021066332
81,CHD3,1.1905876398086548,0.013480145245723859
82,OXSR1,1.1880794763565063,0.004435397888981165
83,CENPH,1.184457540512085,0.024983193418433875
84,GNPTAB,1.1804569959640503,0.04795648982545777
85,SPPL2A,1.175348877906799,0.03576775791791989
86,ERCC1,1.164944410324097,0.0011026193495051538
87,TMEM30A,1.163721799850464,0.01656334060453879
88,RFXANK,1.1611608266830444,0.006067629476075674
89,VAMP2,1.1569230556488037,0.0009415029134855168
90,C14orf142,1.1562268733978271,0.013333700619075971
91,PUM2,1.155031442642212,0.03490033021680998
92,DBNL,1.1535688638687134,0.04433205139983131
93,MSH6,1.14967942237854,0.015187279088071827
94,FAM161A,1.1477439403533936,0.009915256541927698
95,TMED4,1.1420894861221311,0.0011041392039859562
96,HAUS1,1.138696551322937,0.013905338754881992
97,MRE11A,1.134898662567139,0.02523680659542513
98,WDHD1,1.1307916641235352,0.02656518103704453
99,SDHAF2,1.1304579973220823,0.03143827970502324
100,ANXA4,1.1227941513061523,0.048598988932395296
101,TMEM219,1.1226614713668823,0.0007288242077609853
102,TINF2,1.1216063499450684,0.040519281487107865
103,CDC42EP1,1.110005021095276,0.028585646407482783
104,EVI2A,1.1089236736297607,0.03034673934375702
105,AP1M1,1.0955830812454224,0.021535318659482345
106,MAN2A1,1.087351679801941,0.005046819181250243
107,HADHB,1.0862332582473757,0.0028981184251669003
108,MCM4,1.0829018354415894,0.027034708810645174
109,DNPH1,1.080951690673828,0.001523220017075416
110,ASNA1,1.0733004808425903,0.0010016067901121002
111,COASY,1.0716716051101685,0.008910524097117203
112,FAM174A,1.064050555229187,0.042329889621730524
113,FAHD1,1.0633358955383299,0.03923733109180226
114,C19orf60,1.0543196201324463,0.0016728575191366664
115,YARS,1.0523698329925537,0.03028706483032695
116,SLC35E1,1.0505887269973757,0.0443114348174802
117,ANO10,1.0499507188796997,0.034950853509645684
118,LMAN1,1.0461928844451904,4.306486053259952e-05
119,TMEM107,1.0452977418899536,0.02848651524543197
120,LLNLR-245B6.1,1.0437065362930298,0.023292666148082373
121,CRIPT,1.04086172580719,0.0042592373114795894
122,VAMP8,1.04035484790802,0.0012516953536610038
123,TIMM50,1.0377943515777588,0.003992025008874078
124,SMC6,1.0371055603027344,0.004282879590024407
125,ACTR6,1.0334920883178709,0.012017761035506088
126,SUCLG1,1.0311852693557741,0.00011844645731418206
127,G6PC3,1.0291178226470947,0.032722281151935866
128,CUX1,1.0287021398544312,0.03488350298304674
129,NUDC,1.0261414051055908,8.713220867707358e-05
130,TRMT11,1.0242908000946045,0.02193808350187226
131,RAB38,1.022607445716858,0.032153145673435635
132,STAMBPL1,1.0194965600967407,0.029945889398790494
133,VPS4B,1.0179945230484009,0.04408518594954888
134,TMEM160,1.0161283016204834,6.365323775994413e-05
135,DIAPH1,1.0147855281829834,0.025531213747633032
136,TSEN34,1.006646752357483,0.008250941623045245
137,SEC11C,1.0022462606430054,0.00399696921595918
138,SENP5,0.9918347597122192,0.03697055376957088
139,BLOC1S6,0.9907585382461548,0.010781993895528494
140,GMCL1,0.9814882278442384,0.029549599408423083
