,genes,logfoldchange,pvals
0,HIST1H4C,2.024426221847534,1.3449668201927707e-06
1,KRTAP4-8,1.938186526298523,0.029286869857624402
2,EPHA4,1.93025803565979,0.004899740850341477
3,CXCL3,1.7345705032348633,0.018406703675235118
4,RP11-337C18.8,1.7266674041748047,0.04912157628784217
5,RP11-332H14.2,1.6649116277694702,0.023693426688847136
6,NAPEPLD,1.653861403465271,0.002612416919695059
7,CORO2B,1.6211451292037964,0.020996233606896147
8,SLC10A7,1.6207979917526245,0.03950375795182575
9,HIVEP2,1.5833626985549927,0.04258742180423522
10,GPR137C,1.5322654247283936,0.041030096594399684
11,AC002454.1,1.5228573083877563,0.0024583086845591548
12,ZNF780A,1.513779878616333,0.003835566063241575
13,PHF21A,1.499554991722107,0.049304488819112466
14,C14orf28,1.471344232559204,0.029404722792479424
15,HIST1H2AH,1.4578993320465088,0.004836901222220542
16,MXRA8,1.4177154302597046,0.005595069233268421
17,HLA-DMA,1.3858484029769897,0.03682591814800602
18,IDH2,1.330291509628296,0.02260792802768504
19,PLEKHH3,1.310611605644226,0.002181875236748196
20,H1F0,1.3030531406402588,8.572225594203466e-05
21,TMC6,1.280747413635254,0.025111680690017225
22,CHEK2,1.2285540103912354,0.031236418299425278
23,HIST1H1E,1.2174797058105469,6.202629119577572e-05
24,SGSM2,1.21138596534729,0.022503234520490915
25,GGA3,1.1942070722579956,0.011006111311129775
26,RP13-1032I1.7,1.178403377532959,0.03734095938866635
27,RECK,1.1685876846313477,0.0037889242414972206
28,DBR1,1.16846764087677,0.03438726631515809
29,COG5,1.156142234802246,0.010025389138956021
30,FANCG,1.150628685951233,0.0011069075413890068
31,FITM2,1.148226261138916,0.010683834244623673
32,FOXRED2,1.1311585903167725,0.020632679630980793
33,PTAR1,1.1308832168579102,0.0011493167784436013
34,GTF3C5,1.1165494918823242,0.008687527067593945
35,DDB2,1.1127196550369263,0.006327699887405031
36,NUP93,1.110194444656372,0.004585761265165616
37,ATP6V1E2,1.100471019744873,0.045259006871877734
38,ANKH,1.100456714630127,0.009006918600855047
39,ME1,1.099896788597107,0.019384127176212473
40,HIST1H3B,1.0903328657150269,0.015270966333526566
41,VSTM1,1.0708578824996948,0.0073184990737453996
42,CNEP1R1,1.0555728673934937,0.04303785716096558
43,FAM179B,1.0486005544662476,0.010762665318796227
44,TCF20,1.045717477798462,0.03421626783949161
45,RTKN2,1.0291821956634521,0.01058137965585011
46,GNA11,1.0163341760635376,0.0026371796794194425
47,WWOX,0.9999784231185913,0.016122657429179878
48,RINT1,0.9940206408500671,0.04361926731842176
49,SMIM19,0.9837850332260132,0.022774861889013828
50,HHIP-AS1,0.9596139192581177,0.010162338705659617
51,EDEM1,0.9538953304290771,0.016309337347049552
52,BBS10,0.9536980390548706,0.031365778109206544
53,RP11-498C9.15,0.9468757510185242,0.021330943143526845
54,SQRDL,0.9447609782218933,0.030718832088431992
55,PHACTR1,0.9388183951377869,0.027830335004584265
56,ANOS1,0.938432514667511,0.044828013770011076
57,ANAPC4,0.915319561958313,0.01770805870740129
58,RIMKLB,0.9145894646644592,0.0435938513666805
59,POLD1,0.9094096422195435,0.03175176811489456
60,DNAJC17,0.9080497026443481,0.004564794344587028
61,PTN,0.9029724597930908,0.019918766832369896
62,MACROD1,0.9011292457580566,0.0297974550737559
63,ECM1,0.8988752365112305,0.02359564045885638
