,genes,logfoldchange,pvals
0,KCNMB2-AS1,4.827771186828613,0.0021864068797042076
1,ELFN1-AS1,4.804001808166504,2.7895067723196846e-09
2,RP11-1060J15.4,4.8038740158081055,1.093732359513783e-09
3,IGFBP2,4.67907190322876,2.884000181935367e-44
4,LINC01234,4.653609752655029,6.6099825324952225e-18
5,RP11-758M4.4,4.646564483642578,0.005212089198263477
6,IRX2,4.636241912841797,2.0703028403897436e-08
7,CADM1,4.630618572235107,0.000669671283582098
8,KRT7,4.621342182159424,1.4030917251069378e-306
9,TM4SF18,4.570352077484131,2.5014882332207715e-05
10,CLDN11,4.5698089599609375,1.0636741591401253e-05
11,C5orf38,4.401516914367676,0.001094540358554231
12,COL1A1,4.282695770263672,4.573386280960424e-64
13,MAGEB2,4.2493438720703125,3.521314532141821e-26
14,CD70,4.093689918518066,0.030781894726094834
15,IRX5,4.0366363525390625,0.00047074123672938306
16,NUPR1,4.0354814529418945,2.5886541222700586e-45
17,TNFSF4,3.980536937713623,0.00011738374253739738
18,CSF3,3.975954294204712,7.818582011186742e-11
19,SPARC,3.958427906036377,1.261637904214206e-129
20,PAPPA2,3.9577341079711914,2.144082972487071e-15
21,NKX2-5,3.8868155479431152,2.1200655714309636e-06
22,VAV1,3.8727219104766846,0.00014525092462370717
23,SLCO3A1,3.831117630004883,7.235623271158466e-09
24,SGK223,3.806018829345703,9.075255108147542e-20
25,SNAP25,3.7071123123168945,0.01161366612916512
26,KRT81,3.5527453422546387,1.030341040369315e-235
27,MFHAS1,3.363215684890747,3.1258881812810023e-22
28,S100A2,3.223574161529541,3.510822191113119e-208
29,ZNF415,3.137519121170044,0.03034297591017972
30,CLDN23,3.0983216762542725,0.00770147831641615
31,CA2,3.074483871459961,8.8868047901907e-15
32,IRX1,3.060307025909424,0.00979246062421251
33,PDE9A,3.019160032272339,3.133800624594368e-06
34,GYPC,2.9904448986053467,1.4970918066699443e-35
35,TMEM98,2.905090808868408,0.0007900513559505516
36,CSF2RA,2.842496633529663,4.082905725463361e-12
37,FABP6,2.77555513381958,1.189453633699911e-05
38,DLC1,2.7654898166656494,5.2560720496707e-109
39,DMKN,2.733170986175537,1.2461190162960728e-123
40,SCG5,2.704481363296509,1.0597660170313031e-11
41,HCLS1,2.640557289123535,0.0009567312743828225
42,RP11-1103G16.1,2.6115238666534424,0.0469627089923994
43,FKBP10,2.605217218399048,9.542290756093453e-30
44,PTGES,2.5478715896606445,1.2006916918809306e-36
45,RIBC2,2.503209114074707,0.0033636278438151086
46,RP11-800A18.4,2.4574968814849854,0.00023951424122142266
47,PIP5KL1,2.3952479362487793,0.008018531851862168
48,TMEM139,2.3693976402282715,0.03166897880299332
49,PAPPA,2.3638646602630615,8.305509264175148e-08
50,NOSTRIN,2.2420804500579834,0.00040070813171730953
51,PXMP4,2.21254825592041,9.441218253575206e-26
52,DCLK1,2.1740128993988037,2.0286771576731078e-67
53,RGS4,2.12770414352417,7.523141358167504e-05
54,SH2D3A,2.119206666946411,0.00013331748511899991
55,CLIC3,2.080406904220581,0.0035758631014465195
56,CRIP2,2.0582361221313477,3.794960214644885e-14
57,ELOVL7,2.058087110519409,0.03657109746239864
58,DDIT4,2.0440638065338135,5.3237074751168596e-67
59,CPE,2.043724775314331,3.8401104006569265e-19
60,TDRP,2.029120922088623,1.0661553031805107e-05
61,SLC16A6,2.007967472076416,0.028537863710222024
62,GJB2,1.9938292503356934,0.0010756472595704694
63,TPD52L1,1.9750418663024902,2.2528539865905264e-13
64,EREG,1.9273097515106201,3.0958825604937116e-25
65,RASD1,1.8716341257095337,4.1142931228647435e-06
66,CRABP2,1.8530490398406982,0.0063437685885827785
67,CHMP4C,1.8496124744415283,3.3353028419084087e-09
68,IER5L,1.8254961967468262,4.366824491887643e-20
69,KRT80,1.7786446809768677,8.349949017479783e-26
70,COL7A1,1.7606375217437744,0.02404069155062583
71,TIMP4,1.760445475578308,0.00540260862904672
72,CCND2,1.7233378887176514,0.0005013481529960395
73,PTGR1,1.7122656106948853,5.0715505851743064e-123
74,P3H4,1.7079949378967285,3.821093749198867e-42
75,ADM2,1.6813899278640747,0.002335254685657241
76,COL18A1,1.630549430847168,2.564846817744311e-16
77,CH17-360D5.2,1.6238725185394287,0.013322725058619627
78,BHLHE41,1.6183240413665771,3.3393316873417795e-05
79,LCP1,1.6065547466278076,2.4555329012284916e-06
80,BHLHE40,1.6023414134979248,0.003086285944260312
81,ANGPTL4,1.5916723012924194,2.2092462308529886e-06
82,ADIRF,1.5761663913726807,1.852064925291366e-33
83,TGFBI,1.5741100311279297,4.013847031649501e-25
84,PMEPA1,1.5654551982879639,1.352074408044779e-13
85,CATSPER1,1.5547988414764404,3.854712476815415e-16
86,PCBP3,1.5450711250305176,0.007736257674939136
87,TRIM61,1.5405123233795166,1.970611053014405e-06
88,PCDH7,1.5372651815414429,0.006264084359108492
89,RP11-676J12.7,1.5058804750442505,8.381755945354255e-06
90,ASS1,1.5034511089324951,3.956281177294844e-05
91,TMEM121,1.5004143714904785,0.00881938777581079
92,BMPR1B,1.4969204664230347,0.01735496356087829
93,AKAP12,1.473220705986023,2.7589648559995704e-93
94,RORB,1.4678348302841187,0.03448015104544231
95,RP11-356J5.12,1.4606939554214478,8.074615630475415e-07
96,FAM20C,1.450721025466919,2.4558962294402516e-20
97,CSPG5,1.4488133192062378,0.0011891426213459638
98,B4GALNT1,1.4461265802383423,0.0011350887409333089
99,BAIAP2L1,1.4271403551101685,1.1424086212609513e-06
100,FLJ22447,1.4216169118881226,0.0023467840791270085
101,GALNT5,1.407860517501831,1.3509508605802475e-06
102,C9orf3,1.3978725671768188,4.490257395919137e-97
103,LPCAT2,1.3756513595581055,1.6615244067717682e-08
104,IRX3,1.3730758428573608,0.00019653739256450412
105,ATL1,1.3650094270706177,6.220318987696453e-09
106,METRNL,1.3489030599594116,1.912638607891528e-39
107,NOS1AP,1.3486217260360718,0.0021627324371507515
108,ABCC3,1.3484325408935547,0.015392068007644673
109,SYT1,1.3455778360366821,0.0006916487997231833
110,SLCO4A1-AS1,1.3275871276855469,1.4898813997442776e-44
111,MARVELD2,1.3142365217208862,0.009032377702678562
112,S100A4,1.3105504512786865,5.0481485149956775e-34
113,ZNF518B,1.310548186302185,2.8106046567968836e-05
114,TGFB2,1.3088024854660034,9.925488841157965e-26
115,KAZN,1.3010926246643066,4.863851214198342e-16
116,PLBD1,1.2965284585952759,1.163312393078756e-13
117,PDE8B,1.2925482988357544,0.004616712510516214
118,FBLN1,1.2871683835983276,1.1662645316962398e-05
119,STC1,1.2858994007110596,1.5989685323318175e-18
120,S100A5,1.282004952430725,0.013774118308430271
121,OSBP2,1.2812950611114502,0.03013663617949203
122,COL6A1,1.2764981985092163,1.0190684905166765e-25
123,WNT7B,1.2650293111801147,8.56800890536707e-11
124,NXN,1.259023904800415,1.3244848585957373e-52
125,MATN2,1.2137103080749512,0.0029058700301941255
126,LSR,1.1942075490951538,8.254374189931822e-10
127,DDIT3,1.1771923303604126,3.273930616038478e-53
128,RP11-217B1.2,1.1762737035751343,0.001524034458910667
129,VIMP,1.1761581897735596,1.0779491830058628e-195
130,PLPP3,1.1760468482971191,1.036520384205532e-09
131,AFAP1L2,1.171961784362793,0.00020276638571050718
132,SEL1L3,1.1667011976242065,0.004980053921747621
133,TSC22D3,1.160610556602478,0.03710530381965803
134,FURIN,1.1600379943847656,2.6923606093390067e-06
135,ZNF239,1.158618450164795,0.007393227402068833
136,PLPP4,1.1478153467178345,3.555669125623325e-15
137,LINC01615,1.1381471157073975,2.366025813887266e-15
138,EPHX1,1.1260368824005127,7.141988796370319e-16
139,ANK2,1.1081678867340088,0.015236734615697174
140,STMN3,1.1055607795715332,8.477812670432579e-05
141,FBXO25,1.0940757989883423,2.1171502978223624e-05
142,RP11-437B10.1,1.092291235923767,0.00018422787388358564
143,PBX4,1.0921626091003418,0.02159399156466946
144,RHEBL1,1.0918868780136108,0.0008572269543950968
145,STOM,1.0908985137939453,1.1042982551463326e-09
146,CREB3L1,1.0875288248062134,4.3232036625179804e-14
147,NXPH4,1.0843737125396729,0.0001040336461803531
148,PLAU,1.0807976722717285,1.7889115675137158e-37
149,OXTR,1.079749584197998,0.007472174237757985
150,CCL26,1.0743321180343628,0.002216209320670169
151,ITGB4,1.0733450651168823,5.387700838931223e-07
152,LRP1,1.0729844570159912,0.002166797397398058
153,EMP2,1.0655359029769897,8.33123638528703e-73
154,RHOB,1.0573854446411133,0.002970370803866025
155,RP11-76C10.5,1.0553632974624634,0.0038799125361363876
156,GSTM3,1.0541601181030273,6.147558575345576e-63
157,SDC2,1.05398428440094,7.918023738943451e-14
158,SEC11A,1.052861213684082,5.396749145421092e-210
159,TGFA,1.045000672340393,0.00012677976014840233
160,PLEKHA6,1.043634057044983,0.0016391512120268843
161,FAM27C,1.04176664352417,1.52306151053467e-16
162,CFD,1.0392146110534668,9.872888847950004e-10
163,MT1F,1.0351831912994385,0.0020355959090370274
164,SNCG,1.0344057083129883,8.078854994830475e-08
165,PKIB,1.0338462591171265,6.317049674065007e-15
166,LINC00467,1.0328714847564697,3.297524137239506e-36
167,HES1,1.0251871347427368,1.174948359912404e-06
168,CLN8,1.013152837753296,0.00017781849736704932
169,TBC1D2,1.000756859779358,7.711041159824797e-19
170,MTL5,0.9990983605384827,3.5873466198003904e-07
171,IL18,0.9978739619255066,2.226833086715174e-61
172,TUSC3,0.996548056602478,9.363460023723058e-46
173,BLM,0.9955092072486877,6.260444847328221e-23
174,ATP9B,0.9942627549171448,0.003452108528352362
175,S100A6,0.9871562123298645,1.0107827761103084e-137
176,GAL,0.9866760969161987,1.1875428495179012e-07
177,ASNS,0.9809857606887817,9.145597677908459e-28
178,PSAT1,0.9725266695022583,8.720750765201697e-70
179,LINS1,0.9655275344848633,1.3745412939014344e-06
180,TM2D3,0.9605307579040527,1.614994794065369e-25
181,ST6GALNAC6,0.9592057466506958,4.5537445392939604e-07
182,ID1,0.9571234583854675,6.081551940095361e-62
183,PPCDC,0.9565402865409851,1.9756372542534882e-13
184,MGST1,0.9563931226730347,9.300704122802915e-149
185,GPCPD1,0.9561277627944946,4.014034524560739e-06
186,WDR73,0.9553406834602356,2.3446498139038344e-19
187,ERICH1,0.9511218667030334,2.3485759248656653e-11
188,CHSY1,0.9409526586532593,2.4719207657476716e-14
189,LMBR1L,0.9390005469322205,0.01916541412114981
190,ASB7,0.937026858329773,0.00010447159583563906
191,MCOLN3,0.9369422197341919,0.02135458286218222
192,ARHGEF10,0.9363607168197632,2.014370402113181e-09
193,PAG1,0.933320939540863,6.669735701957757e-08
194,RPL36A,0.9324946403503418,2.5405138441757843e-159
195,ENO2,0.92686927318573,8.629784577609769e-13
196,ADAMTSL5,0.9245566725730896,0.010283986994167995
197,RPL39,0.9227025508880615,3.215052282478337e-268
198,RP4-605O3.4,0.9195263385772705,0.044100725782375984
199,LINC00665,0.9133755564689636,2.7730342287311546e-05
