,genes,logfoldchange,pvals
0,EPB41L3,3.659994125366211,8.445687416900195e-123
1,ADAMTS5,3.2416670322418213,0.02135523945013021
2,RP11-163F15.1,3.1712775230407715,0.0009149255151814351
3,RP11-575F12.3,2.895463466644287,0.04353167981879226
4,STXBP6,2.8808977603912354,5.439647728755603e-53
5,LINC01194,2.8165297508239746,0.0020663526842906667
6,CDH12,2.7900662422180176,0.02207869753244841
7,SPANXB1,2.737091302871704,0.0
8,SSX1,2.531111478805542,3.6162716681336063e-34
9,BCHE,2.517814874649048,9.220599468867086e-13
10,PCSK6,2.484567165374756,0.014714224761308287
11,RP11-774D14.1,2.4700865745544434,7.7010702905936514e-31
12,PLCB4,2.3277854919433594,4.488477636372775e-100
13,PDE1C,2.2677626609802246,1.6590456702432124e-233
14,RP11-384J4.2,2.2463114261627197,0.0009967871900199352
15,RP11-115C10.1,2.2422661781311035,0.04797569132884974
16,BOLA1,2.1593739986419678,0.0032694460052298626
17,SPANXC,2.150873899459839,0.0
18,VSTM1,2.1416451930999756,8.818153740562327e-133
19,RAP1GAP2,2.1070632934570312,4.5872058009394545e-25
20,MAGEA6,1.9582908153533936,7.289001570468483e-152
21,NRIP3,1.9436882734298706,1.263433224353685e-05
22,NLRP2,1.8720057010650635,0.0340280764436084
23,SLITRK1,1.8091884851455688,0.011981651138739146
24,RP11-688I9.4,1.80399489402771,2.2632029133997505e-08
25,KIRREL3,1.7896451950073242,1.8744243899512932e-07
26,CDH18,1.7578301429748535,1.1705841203437321e-19
27,GRAMD1B,1.6791425943374634,0.04811640735787896
28,SPANXD,1.67654287815094,2.7451040442482776e-47
29,PTPRN2,1.659346580505371,5.0937235065795177e-200
30,LINC00540,1.6175849437713623,0.03670753730975748
31,FOXA1,1.5976054668426514,0.025928832494881572
32,RP11-317N12.1,1.544547438621521,0.02569608993432824
33,MMP1,1.5313199758529663,4.112869050801799e-165
34,IL24,1.4981454610824585,2.234660607644583e-80
35,RP3-460G2.2,1.4596595764160156,2.230161115384481e-15
36,ZNF257,1.4587326049804688,0.0005977299877224527
37,APCDD1L,1.4543232917785645,3.4377730745190235e-13
38,TSPYL5,1.4469536542892456,2.87000992825693e-16
39,ZNF492,1.4276635646820068,0.04288368714399589
40,C1orf233,1.3941258192062378,1.3160320370754556e-07
41,BATF,1.3758975267410278,0.012099659433402864
42,RP11-369C8.1,1.3088449239730835,0.0004915265207124674
43,TSTD1,1.3082194328308105,3.654433492542094e-26
44,KISS1,1.2980371713638306,3.672630547900863e-254
45,C5orf46,1.2862889766693115,6.969311132362958e-05
46,PDE8B,1.2818114757537842,0.003703082375011861
47,COCH,1.2793059349060059,0.002017978638755151
48,TEX41,1.2632571458816528,0.00046394253487164633
49,CYB5R2,1.2546379566192627,0.00998041990941436
50,HS3ST3B1,1.25291109085083,8.77757744602778e-08
51,RP11-180C1.1,1.241119623184204,0.0032494225669407735
52,LINC01021,1.205091118812561,0.005498915763554367
53,SEMA3A,1.1860984563827515,1.8470389907443462e-58
54,AC011043.1,1.1682907342910767,1.3069438337089506e-07
55,TRIM61,1.1435964107513428,5.780080047687531e-05
56,MEST,1.133413314819336,3.447022063060741e-11
57,FAM134B,1.127463698387146,0.0004707561190058938
58,CLMP,1.121716022491455,2.5478981643559534e-61
59,GALNT8,1.1108336448669434,0.001255974825231384
60,NUP210,1.086887240409851,1.5972186680680102e-05
61,ITGA6,1.0604101419448853,3.174132113976113e-262
62,ATP8A2,1.0532857179641724,3.632068814513298e-05
63,LINC00452,1.0364843606948853,0.0005102998030000188
64,RP5-1171I10.5,1.0024082660675049,1.1377983207783152e-05
65,PLTP,1.0018326044082642,0.015152965994495515
66,TRIML2,1.0016603469848633,5.3564041707724086e-17
67,FCHO1,0.9832716584205627,2.480329020039456e-12
68,ST6GAL1,0.980399489402771,0.02978728971996679
69,MSX2,0.9692707061767578,0.004365561115448849
70,GS1-124K5.4,0.9491506814956665,5.159819630829692e-06
71,SBF2-AS1,0.9446572661399841,1.2555856278853954e-50
72,MYBL2,0.943203330039978,7.485706928837173e-85
73,LINC01426,0.9336161017417908,0.008876832039309408
74,CD22,0.933081328868866,6.756610068354853e-05
75,MNX1-AS1,0.9284296035766602,6.181908683070684e-07
76,ZG16B,0.9182741641998291,0.0027634682536925967
77,NCF2,0.9143455624580383,0.0033685582575373905
78,CDA,0.9045138359069824,1.3987091411188593e-105
79,CD40,0.9003733992576599,7.295041717943321e-49
80,MEGF8,0.9001034498214722,0.02709438258599963
81,GAL,0.8986541032791138,7.052644139578263e-16
82,ST6GALNAC5,0.8833465576171875,0.005948178342020336
83,LINC00973,0.870160698890686,2.052842846273113e-128
84,TUBA3C,0.8643074035644531,0.002558950863517791
85,CCDC92,0.8509713411331177,3.5760048231196485e-10
86,SUSD3,0.8484768271446228,0.005747656911776254
87,PSG4,0.8394447565078735,0.027892215901484742
88,BMPER,0.8311967253684998,1.4185382980216321e-09
89,CTSV,0.8252537846565247,0.009218371840923306
90,MATN4,0.817053496837616,0.013308539473643077
91,RIMS1,0.8170061111450195,0.0003021349148164239
92,HECW1,0.8045321106910706,0.0019431728781236501
