,genes,logfoldchange,pvals
0,DSCR8,2.8088955879211426,4.857126644261494e-05
1,SUSD3,1.4697766304016113,0.0032798904196238666
2,FAM49A,1.3689759969711304,0.0027280891409515334
3,BST2,1.1618800163269043,7.357773283133285e-09
4,SPANXB1,1.1079308986663818,1.6164947907644395e-09
5,PARD6B,1.027022361755371,0.014546575167772384
6,GATA3,0.9966281652450562,0.0453519423258627
7,FAT3,0.9466936588287354,0.015079678923924023
8,TMEM241,0.9293534755706787,0.019789763263373904
9,SLAMF7,0.9203289151191711,0.010141917029580184
10,SOX4,0.8974342346191406,0.004413779447748026
11,CD99L2,0.8757966756820679,0.008310610050142305
12,CPT2,0.8695120811462402,0.03934094183695679
13,SSX1,0.8530349731445312,0.016171220454913548
14,RP11-160O5.1,0.8176535964012146,0.01546692572147253
15,AFF3,0.8101091384887695,4.996794433574752e-06
16,DHODH,0.8011195063591003,0.007010304947298783
17,SERINC2,0.800180196762085,0.00014486147958319367
18,CNNM3,0.7895681858062744,0.02287509333948796
19,GBA2,0.7803032398223877,0.005987315268745224
20,FOXP4-AS1,0.7787826061248779,0.045918097407959
21,KIAA0930,0.7469035983085632,0.015557195203173146
22,SLC23A2,0.7439111471176147,0.024227880234101887
23,CREB5,0.7429822087287903,0.02299497445949352
24,S100A4,0.7259964346885681,3.095561026387095e-05
25,RAB40B,0.7237516045570374,0.010842422149732222
26,NEK11,0.7236141562461853,0.013471223020448207
27,TAP1,0.7113701701164246,0.004680125417722792
28,LIAS,0.7079094052314758,0.02271530408995761
29,NEU1,0.7063179016113281,2.3709595679506456e-05
30,LINC01224,0.7047735452651978,0.03770110388432845
31,C9orf72,0.7021198868751526,0.03987770035325243
32,CCDC92,0.6934801936149597,0.027103854381729256
33,ADAMTS1,0.6856191158294678,1.1899837221278774e-05
34,RP3-512B11.3,0.6802778244018555,0.03381543538343405
35,SMN1,0.6787358522415161,0.03044854805889717
36,IL7R,0.6649745106697083,1.1208034224329913e-05
37,PIAS3,0.6639382839202881,0.008286172905541156
38,FBXW7,0.6500135064125061,3.788591857474169e-05
39,SNAPC2,0.6380219459533691,4.060919065514928e-06
40,SP140,0.6367034912109375,0.0013226657398261055
41,GFOD1,0.635185182094574,0.048057223582337966
42,TMEM45A,0.6350449919700623,0.02932589925283959
43,CD40,0.6338766813278198,3.170924616683655e-05
44,C4BPB,0.6311737298965454,0.001382115995926368
45,PGPEP1,0.6249810457229614,0.023526505232556335
46,OGFOD2,0.6228304505348206,0.007938048897194735
47,BACE2,0.6167899370193481,2.1234356700562264e-08
48,FAM13A,0.614922821521759,0.01001576675786262
49,SPANXD,0.6109312176704407,0.0014972085981360668
50,PDE4A,0.6043576002120972,0.04075532594653874
51,CTC-425F1.4,0.6029455065727234,0.018966944713134665
52,ZNF236,0.6023325324058533,0.03399174128994794
53,SRF,0.5976018905639648,0.006339372004690347
54,CCND3,0.5929446220397949,1.0620435788157339e-07
55,IST1,0.5886895656585693,0.0012412776491749207
56,PGM5P2,0.5876069068908691,0.012654039481729402
57,SOCS2,0.5859615802764893,3.285669259003403e-05
58,RPIA,0.5856265425682068,1.6273705778671406e-08
59,MVK,0.5822851657867432,0.020688471280617123
60,CTXN1,0.5822429656982422,0.025438891366961494
61,BRF2,0.5817222595214844,0.024671393094494395
62,RIC8B,0.5643499493598938,0.0014292476094157594
63,ST3GAL6,0.5628857016563416,6.715618603786542e-05
64,RREB1,0.5565806031227112,0.007465921266935794
65,STK19,0.5555898547172546,0.008712001321253344
66,ACAA2,0.5539827346801758,0.0001204294261731293
67,KRTAP2-3,0.5535445809364319,0.016466838825918165
68,ZKSCAN8,0.5494791865348816,0.018049310892790667
69,SLIT2,0.5472840666770935,0.039090033717559425
70,F8A1,0.5464861989021301,0.018166371014758324
71,NUAK1,0.5401210784912109,0.0034427983126164344
72,SPANXC,0.5342221856117249,7.634950926815574e-06
73,FMN1,0.5325350165367126,0.02552689247604962
74,HIST1H4C,0.5314078330993652,0.00021999395543532133
75,KIAA0319L,0.5299448370933533,0.042380787384343664
76,CLUH,0.529753565788269,0.015955196396412543
77,DUS4L,0.5280351042747498,0.017891362663795766
78,AMPH,0.5165479183197021,0.02165104607525518
79,FCGRT,0.5163789987564087,0.024042426946137084
80,DGCR6L,0.5158887505531311,0.0009565600173492803
81,KLHL18,0.5158706903457642,0.003989293188218368
82,ULBP2,0.5126626491546631,0.001684242050936362
83,ETS2,0.5117608904838562,0.0027239834521341337
84,MTERF3,0.5115519165992737,0.003244772301618841
85,C12orf43,0.511001467704773,0.0002112268531793829
86,POLR3B,0.5072222948074341,0.01344417543770854
87,GAN,0.5041024684906006,0.04533259924688837
88,BICC1,0.5037713646888733,0.01486916452392937
89,MECR,0.5031890869140625,0.018447056741603036
90,MPV17L2,0.5031125545501709,0.0067740483465955365
91,LINC00973,0.5026947259902954,6.479635108449905e-05
92,PLBD2,0.5002285242080688,0.04219639024029394
93,NR2F1,0.4981687068939209,0.03459707115821306
94,CENPJ,0.49513810873031616,0.006678509186182629
95,SENP2,0.49493297934532166,0.01598227847327531
96,MAPK13,0.4923793077468872,0.0031036781412398665
97,MITF,0.4907016158103943,0.0002016548858103008
98,TRIP10,0.4906785786151886,0.00022075565682948042
99,RHOT2,0.4894147515296936,0.0019187913378047703
100,DUSP6,0.4889131188392639,2.1251137780959345e-06
101,LRCH4,0.4873713552951813,0.0417493882627014
102,PDCL3,0.48723703622817993,1.0921419117239309e-07
103,TAF1,0.48583847284317017,0.027875098350949784
104,NSDHL,0.48494023084640503,0.006497332780606871
105,ADAL,0.4838925302028656,0.007859489352705265
106,MAGEA6,0.4819536507129669,0.0011466924956044409
107,USP37,0.47988277673721313,0.018104831820346907
108,ANKRD39,0.47714024782180786,0.0006140111438892142
109,GTF2F1,0.47652533650398254,2.8201955005471967e-05
110,UBE4B,0.47437968850135803,0.04567102766050408
111,TMEM184C,0.4734342396259308,0.0289880519324816
112,PRPF39,0.4714904725551605,0.027562953714326346
113,PKIG,0.47130900621414185,0.003989798239857261
114,KHSRP,0.47082486748695374,5.41270499971025e-07
115,CTD-2270L9.4,0.4694131016731262,0.008783215273699454
116,URB1,0.4691163897514343,0.0030966521995021293
117,UPF3B,0.4690834581851959,2.0879605453231432e-05
118,VEGFA,0.46643078327178955,0.010766971444016052
119,PXN-AS1,0.4660241901874542,0.038592292991096726
120,UQCRHL,0.4653625786304474,0.042696439655945016
121,UTP23,0.46505576372146606,1.1705176804778846e-05
122,CPEB4,0.4638316035270691,0.019139310415297425
123,MDC1,0.4638051688671112,0.02299857930809762
124,SIAH2,0.4637429416179657,0.037657007864118304
125,GAS2L3,0.4622851312160492,0.005708954930803792
126,CDKN2AIPNL,0.46026811003685,1.9403257099953734e-07
127,PDLIM4,0.45901429653167725,0.0045818415615387275
128,RABEPK,0.45714086294174194,0.03187771363051969
129,SKA1,0.45623645186424255,0.03972371041225125
130,PLEKHM1,0.45500683784484863,0.030205898553495834
131,FEM1A,0.45413053035736084,0.023201235771264622
132,MAFF,0.45387932658195496,0.013643643703033774
133,TDG,0.4537988603115082,2.1468595333758635e-05
134,TMEM156,0.4528118968009949,0.003831356370622614
135,FBXO27,0.45185238122940063,0.007473037683705041
136,PPP1R16A,0.45046406984329224,0.016239363938977576
137,TYW5,0.44948750734329224,0.041789493737903895
138,AGAP3,0.44831183552742004,0.009049507939787208
139,PMAIP1,0.44793692231178284,9.338249360117124e-06
140,FAM122B,0.44784054160118103,0.037140343253863735
141,LIPA,0.44776681065559387,0.007959210700272185
