,genes,logfoldchange,pvals
0,PPP1R14C,3.1640803813934326,5.466116510120464e-06
1,GABBR2,2.3462631702423096,0.001422935892559005
2,ADIRF,2.265634059906006,2.6021584884077172e-11
3,ITM2A,2.0647377967834473,0.0005668263578579359
4,PCSK1N,1.9471890926361084,3.1141079318767775e-09
5,HLA-DRA,1.8045672178268433,0.00013309839609520414
6,LMO2,1.8040581941604614,0.04176290404355176
7,HLA-DRB1,1.787097692489624,0.014473034518137877
8,GMFG,1.763719916343689,0.00029457337672239873
9,IFI27,1.6552848815917969,0.004450318881217531
10,ITGB4,1.626618504524231,0.0018022616309898184
11,CARD16,1.4314686059951782,0.04838158782768067
12,BCL2A1,1.4129667282104492,5.065031833847761e-06
13,ITGB2-AS1,1.3662972450256348,0.022797393900076117
14,ATP1A3,1.347376823425293,0.017635716363656677
15,CD74,1.3333526849746704,3.853210868983491e-09
16,CXCL1,1.3179783821105957,0.00764401365542633
17,IL13RA2,1.214200735092163,0.0026855385555454234
18,MAPKBP1,1.0811207294464111,0.02058771755275166
19,MPP4,1.0729917287826538,1.9057512500059e-05
20,FN1,1.0635360479354858,0.003450087598576034
21,RNF123,1.0483311414718628,0.04222886923648717
22,COBLL1,1.0276381969451904,0.045900887010789496
23,ZDHHC14,1.0017937421798706,0.04415153356645207
24,PLAT,0.9926618933677673,2.7694836168715986e-10
25,AKAP12,0.9647883176803589,1.8243482729254909e-13
26,LYPD1,0.961006760597229,0.045966224662447264
27,CXCL8,0.9530236721038818,0.00018830136174265182
28,CARD8-AS1,0.9187938570976257,0.0036561277153325396
29,ECM1,0.8813985586166382,0.0004810233230203858
30,TAGLN,0.8521382808685303,0.0024872824443554157
31,MYLK,0.8514070510864258,0.045410855009808064
32,PYCARD,0.8489100933074951,1.4216854359085757e-05
33,EPCAM,0.8313630819320679,0.010432482626256581
34,GLUL,0.7928637266159058,0.014532442128687342
35,C5orf63,0.7903987765312195,0.0422335510106464
36,DBN1,0.7855295538902283,2.2462175064166596e-12
37,KRT19,0.7806293368339539,2.2008874026580062e-18
38,LXN,0.7772334814071655,0.0020298176057776344
39,CTD-2263F21.1,0.7703925967216492,0.007751824030054885
40,FUBP1,0.7690710425376892,2.6688270498440323e-09
41,C16orf74,0.768319845199585,3.6977435974076965e-10
42,RP3-395M20.12,0.7669298052787781,0.021370286076043202
43,C21orf58,0.763171911239624,7.375352621987457e-05
44,RP4-555D20.4,0.7624463438987732,0.03913213620067948
45,CCDC80,0.7524694800376892,9.563081139624148e-10
46,RP11-783K16.5,0.7507572174072266,0.00010010761185714341
47,PRR16,0.7292853593826294,0.01561140525227928
48,FAM210B,0.7281890511512756,1.4836027162753845e-11
49,TSPYL4,0.7280500531196594,0.02151150588829846
50,C19orf33,0.7273842096328735,4.890484182834296e-18
51,ITGB2,0.714131236076355,0.028999408149457
52,PNMA2,0.7053264379501343,0.0005599867796603326
53,GBP3,0.6914697289466858,0.0005399264526759172
54,NPAT,0.6835685968399048,0.017563088807610545
55,STARD4,0.6833052039146423,0.0044638825338129
56,CSTB,0.6770811080932617,1.5713434660744557e-40
57,SSBP3,0.6508958339691162,0.025099136214376816
58,ABHD3,0.642678439617157,0.014727004407152298
59,SFR1,0.638157069683075,0.004020790709098566
60,SYNGR1,0.637374997138977,0.023200440867070852
61,PHGDH,0.6325134634971619,0.00015603221418961606
62,FXYD5,0.6184948682785034,8.912225627026343e-18
63,SKIL,0.6150861978530884,0.014982983449961454
64,DDAH1,0.6041609048843384,3.0095029327203577e-06
65,RPS6KA4,0.5969780087471008,0.002882022948879211
66,OSTF1,0.5899212956428528,4.885945816772699e-08
67,RRAGA,0.5883477330207825,2.029008137064096e-09
68,PTTG1IP,0.5852639079093933,3.5306873424253916e-18
69,TRIOBP,0.5826780200004578,0.0013827731675224002
