,genes,logfoldchange,pvals
0,PCSK1N,5.122873306274414,1.6138753006277496e-119
1,PPP1R14C,4.13753080368042,2.6562516285774562e-43
2,IFI27,3.6835439205169678,1.193828771461544e-34
3,ITM2A,3.683377742767334,5.907508082865141e-40
4,RP11-676J12.7,3.3249785900115967,7.684815010626143e-10
5,EFR3B,2.9948434829711914,0.021650266651866132
6,TMCO2,2.939915657043457,1.7460652424777593e-11
7,GMFG,2.9207091331481934,2.947624096660558e-42
8,HLA-DPA1,2.909634590148926,5.5811019701003136e-05
9,HLA-DRB1,2.720670223236084,1.0878800116926714e-24
10,RP11-454P21.1,2.511012315750122,0.03544258553416893
11,HLA-DRA,2.5046329498291016,7.83892634719852e-48
12,CD74,2.3172755241394043,2.8623252871640227e-137
13,OLFML3,2.2963716983795166,0.049713281778136165
14,CCDC190,2.2499799728393555,0.0011222960461222662
15,RORA,2.1959431171417236,0.002451257726578589
16,GABBR2,2.1386988162994385,2.657800168804301e-18
17,FGF13,1.9641236066818237,0.0003062586473968472
18,BEX5,1.8977305889129639,1.9183770021343224e-17
19,FAM49A,1.8248337507247925,2.0199100381706943e-14
20,MAN1C1,1.8075270652770996,0.03614902466080366
21,ADIRF,1.6893761157989502,1.71349486203648e-59
22,REEP1,1.6297550201416016,0.0078978051063995
23,ITGB4,1.6276239156723022,5.748792893748866e-21
24,CTSS,1.5437427759170532,0.00819397255889794
25,TAGLN3,1.4432532787322998,0.020993013021843587
26,MX1,1.4039887189865112,2.806058129870724e-16
27,GAPLINC,1.2996108531951904,0.036650643942044515
28,SESN3,1.2481050491333008,0.04100965320020347
29,LRP1,1.2341407537460327,1.5099638652596552e-05
30,GPAT2,1.228330373764038,1.1078752399167914e-15
31,RP11-148B18.1,1.2176514863967896,1.6017164346015013e-10
32,C14orf37,1.1925345659255981,0.0004054225200715863
33,FAM84A,1.1879031658172607,1.2434051734648132e-07
34,CXCL1,1.1736373901367188,2.567160377002749e-15
35,RP11-108M9.4,1.1670746803283691,2.846768433635687e-06
36,NMNAT2,1.1603096723556519,0.0016268257527696376
37,PLAT,1.1576038599014282,6.875044665027068e-94
38,AARD,1.1541111469268799,0.007036006958096539
39,FAM46C,1.1448681354522705,0.0036794853342157832
40,PYCARD,1.12150239944458,1.3201967595900262e-55
41,GLUL,1.1198217868804932,2.050139747678923e-22
42,ECM1,1.1009334325790405,1.535547408830861e-32
43,CUBN,1.0969966650009155,0.018333576954741738
44,GNGT2,1.0863351821899414,0.008551436748315279
45,CATSPER1,1.0826303958892822,1.6533155314106363e-07
46,HLA-DMA,1.0467755794525146,3.522525605664974e-09
47,SORBS2,1.0325841903686523,1.7026711424293976e-06
48,KALRN,1.028289794921875,8.057719379243328e-06
49,PITPNM3,1.0258450508117676,0.013432930242459574
50,FRMD4B,1.0134011507034302,0.010125496954865587
51,COL6A1,1.0085560083389282,1.5291952604479656e-33
52,GBP1,0.9906442761421204,1.3646725624295558e-23
53,BCL2A1,0.9706875681877136,2.753992036652915e-23
54,CD82,0.9673275947570801,1.832593638206508e-20
55,CLEC2B,0.9640899896621704,2.3253071073519295e-16
56,ITGB2-AS1,0.9632870554924011,1.7956833470772809e-07
57,TRAC,0.9404242634773254,0.0031778801512422575
58,AKR1C3,0.9295778870582581,1.4375328297112343e-07
59,OSR1,0.9281747937202454,0.02842141849831845
60,AKAP12,0.928071141242981,1.1440722734881229e-91
61,COL6A3,0.9221365451812744,0.02692485233926621
62,ADAMTSL4,0.9197078943252563,3.7291937418622015e-06
63,INHBB,0.9116271138191223,1.0545050164055688e-20
64,ADGRG1,0.9016198515892029,6.10386949333112e-11
65,KCNK1,0.8912687301635742,0.003550385327394793
66,LMO2,0.8903491497039795,3.2993103158452145e-05
67,KRT81,0.8869849443435669,1.6138924059689537e-54
68,PTTG1IP,0.8840562701225281,8.274274323634131e-279
69,TIE1,0.8715211153030396,0.0014663837374356157
70,FNDC4,0.8611184358596802,0.00024992022820729946
71,CRISPLD1,0.8571614027023315,0.011991221195106722
72,COPZ2,0.8561094403266907,0.030106672479797474
73,MXRA8,0.8558939099311829,1.534020999263446e-11
74,FECH,0.8551835417747498,0.00018867176549634137
75,HMGN5,0.8521051406860352,5.626122964016431e-32
76,CORO2B,0.8381874561309814,0.00012201333031545112
77,HAUS6,0.8370591402053833,2.431522938839893e-64
78,CCL28,0.8271331787109375,0.004256136500337484
79,EREG,0.8259633183479309,2.728549969954157e-08
80,CRADD,0.8216837644577026,2.711453159217333e-90
81,RRAGA,0.8205774426460266,5.908520071635218e-105
82,S100A4,0.8134979009628296,7.00658558334598e-25
83,CSTB,0.8119276762008667,0.0
84,LAMC2,0.8103803992271423,2.078164973952438e-12
85,RP3-522D1.1,0.8057425022125244,1.2789765626627889e-43
86,MLLT3,0.8000128269195557,9.632502514230638e-10
87,RP5-1074L1.4,0.7993302345275879,0.011842182191099995
88,MCOLN3,0.7912337779998779,0.03144669677420143
89,SLC16A2,0.784958004951477,0.016992283980411436
90,AFAP1L2,0.7837470173835754,0.0091649197674842
91,SERINC2,0.7818437218666077,9.985092402256126e-20
92,PGM5P3-AS1,0.7814350724220276,0.0021547450993006693
93,ATP10A,0.7795436382293701,0.025232342411564683
94,BCYRN1,0.7727022767066956,0.007279386898842686
95,MT1F,0.7715447545051575,0.001281823993423007
96,ATP9B,0.7712375521659851,0.02677643730872903
97,RPS6,0.77107834815979,0.0
98,EPB41L1,0.7664995789527893,0.00019259571219702176
99,SP5,0.7654910087585449,0.04060689521517799
100,BCAR3,0.7557324767112732,4.7008904616927314e-64
101,SNX3,0.7493838667869568,5.124272722396763e-221
102,HAS2,0.7493318319320679,6.073138607702379e-09
103,NEDD4L,0.7492344379425049,5.732160941447662e-105
104,RP11-384F7.1,0.7335240244865417,0.00745921459456532
105,FAM210B,0.7331082820892334,3.7859975609476134e-77
106,PRKCH,0.7312778234481812,0.00592322632424852
107,LYPD1,0.7280891537666321,3.148535723274396e-07
108,ARHGAP29,0.7278295755386353,4.8832801410311724e-259
109,EVA1A,0.7275394797325134,1.7487454618462351e-59
110,RAET1E,0.7190518975257874,0.013550888761862374
111,DDAH1,0.7131537795066833,4.5812246470122024e-49
112,ADAMTSL1,0.7101351022720337,0.002126141296283884
113,RP11-532F6.3,0.7016656398773193,0.00035805139954111213
114,SIGIRR,0.7004322409629822,0.003850320441009378
115,NUDT14,0.6996679902076721,6.087148350175146e-19
116,NOL4L,0.6996363401412964,8.767186086696663e-15
117,ACSS3,0.6967747807502747,0.00010291118097104207
118,DENND4C,0.6954703330993652,0.01377277570126927
119,RAB9B,0.6929317116737366,0.04707829900163253
120,MYLK,0.6912742257118225,9.904427872917964e-08
121,TOPORS-AS1,0.6867038607597351,2.0291782468327575e-18
122,SLC16A4,0.6866404414176941,3.0393593631238813e-06
123,CKB,0.6842231750488281,6.238618954366083e-86
124,CTC-529P8.1,0.6794211864471436,0.012104318250080955
125,SNAPC1,0.6741151809692383,6.629965010755079e-151
126,STC1,0.6706010103225708,7.892902513387376e-09
127,GLMN,0.6690783500671387,3.385277112000603e-24
128,GLIPR2,0.6660456657409668,6.963266219684348e-06
129,ACTG1,0.6654673218727112,6.871628213787101e-287
130,MOV10,0.6643466949462891,0.008836574782184043
131,PTGES,0.6641584634780884,0.0019885737397542427
132,DDX58,0.6627911329269409,3.683363694896092e-24
133,FPGT,0.6590637564659119,0.0038060311222058805
134,CYR61,0.65666264295578,8.866942159794043e-133
135,SOD3,0.6542069315910339,0.0006989887680457383
136,C2CD2,0.6536179780960083,2.5670995641958324e-06
137,DPYSL2,0.6515489220619202,3.463396579024179e-58
138,CCDC107,0.6507697105407715,1.0719065247039218e-75
139,PRPS1,0.649773359298706,7.84213794810661e-39
140,ITGB2,0.6466346383094788,1.1290676692542258e-12
141,ABTB1,0.6416841745376587,1.5457770862734e-06
142,MIR3681HG,0.6406546831130981,0.04118266543507431
143,TMEM56,0.6367467045783997,1.0838740702719375e-08
144,AC011893.3,0.6365591883659363,0.015840572425431725
145,PDK3,0.6361104846000671,0.013233061651999853
146,PRR16,0.6340678930282593,1.3090114196013863e-11
147,AIF1L,0.6230543851852417,0.0005588594530839031
148,COBLL1,0.6196497678756714,0.0001225104282476412
149,RP13-463N16.6,0.6180668473243713,8.344381171041113e-07
150,DIP2A,0.6177252531051636,5.171516636791078e-19
151,RP11-299J3.8,0.617560863494873,0.02704619341192195
152,DBN1,0.616424024105072,9.926427846480088e-62
153,FAM43A,0.6134443879127502,5.3405773589170025e-05
154,ICAM2,0.6126314997673035,1.1255728486902886e-12
155,TGFBI,0.6126226782798767,7.550798054186509e-05
156,CAPZA1,0.6096662282943726,1.6943321899397204e-150
157,AGPAT3,0.6093752980232239,2.780486387464455e-12
158,SUMO3,0.6071500778198242,2.0854036192581104e-172
159,MPP4,0.6032674908638,9.058874003123253e-16
160,SYNGR1,0.6028200387954712,1.3142564422848897e-12
161,PDLIM2,0.5987622737884521,1.2809853047710858e-19
162,VAMP8,0.597895622253418,6.5073199476179676e-96
163,NARS,0.5956754684448242,7.138668946875063e-94
164,PPM1F,0.5943542718887329,2.2186956266350305e-14
165,CXCL8,0.5939836502075195,3.13478126205136e-13
166,PFKL,0.5939727425575256,3.5510742827418836e-24
167,SLCO1B3,0.5932021141052246,4.483054784457244e-07
168,MSLN,0.5928579568862915,5.215799046849406e-06
169,RP11-159D12.2,0.5913038849830627,0.014005852016910767
170,LXN,0.5908433198928833,3.077702180998215e-14
171,C12orf57,0.5896219611167908,2.1781501606521249e-131
172,MYL9,0.5880199670791626,1.241776297083691e-47
173,CCDC80,0.5851325392723083,1.8423577950001194e-42
174,SSBP3,0.583178699016571,3.726302990518192e-10
175,FAM214B,0.5828345417976379,0.002100394782454647
176,U2AF1,0.5818607211112976,2.1956331718996054e-11
177,ATP8B1,0.5802316665649414,4.3548762261598003e-07
178,UACA,0.5796151161193848,9.528140056366524e-54
179,PCNT,0.5790908932685852,3.692767972865745e-31
180,CTD-2066L21.3,0.5784809589385986,0.00012204434314185885
181,SLCO4A1,0.5752444267272949,2.1064987812730524e-30
182,PKN2,0.5740235447883606,6.583543170487907e-56
183,CREB3L1,0.5735792517662048,9.661479037047573e-06
184,SYNE2,0.5726876258850098,8.75798908193548e-33
185,CLCF1,0.569940984249115,5.48582082302704e-06
186,ODF2L,0.5667186379432678,1.196557202096849e-43
187,SLCO4A1-AS1,0.5660961866378784,3.2118606216784613e-22
188,LY6G5C,0.5647447109222412,0.013863044584279036
189,PDE7B,0.564214825630188,0.031006013568298768
190,ARHGDIB,0.5641170740127563,6.639253144008436e-93
191,ACO1,0.5604525208473206,1.157876595735933e-61
192,GBP3,0.5574238896369934,7.854348492007101e-17
193,SOBP,0.5568839311599731,0.038472460021937556
194,LINC01356,0.5547100901603699,0.02969154505008153
195,RP4-621F18.2,0.5542540550231934,5.206501781766253e-13
196,PLIN2,0.5537694096565247,8.51404215533124e-49
197,EPHA4,0.5528512597084045,0.03589805685392444
198,LSS,0.55131995677948,0.00015009243427760723
199,SH3GLB1,0.5504069328308105,1.4983255724698457e-96
200,LAPTM5,0.5503265857696533,4.113975997444367e-09
201,POR,0.5479704737663269,9.072163806307196e-06
202,TLN1,0.5479641556739807,1.1049562181154405e-118
203,LGR4,0.5474618077278137,5.353647835729264e-11
204,BCL10,0.5459799766540527,8.439704617421855e-33
205,SLC9A3R2,0.5436906218528748,5.072759154086738e-95
206,SSX2IP,0.5431807637214661,6.21193372757836e-21
207,RP11-712L6.5,0.5375813841819763,0.016055153344379396
208,PNMA2,0.536616325378418,1.9983756901879126e-12
209,FBP1,0.5361922979354858,8.631538869880401e-18
210,S100A3,0.5342483520507812,0.0017600186362312351
211,SYTL3,0.5328149795532227,0.010341672735639325
212,FRMD6-AS1,0.5321598052978516,0.0034303283435707017
213,ABCA5,0.5320435762405396,0.01938032562716291
