,genes,logfoldchange,pvals
0,PCSK1N,2.586423397064209,0.00013969382406449745
1,PLD5,2.4732754230499268,0.024836541949789428
2,TMCO2,2.314750909805298,4.804434244555293e-05
3,ADGRE1,2.212876796722412,2.1123459106693555e-13
4,DAPK1,2.186721086502075,0.0004040891393118067
5,PAGE5,2.124891757965088,5.301740107437159e-51
6,AR,2.111325740814209,1.7145915238028738e-23
7,ABI3,2.1012990474700928,0.00014832415692048095
8,SERPINB2,2.060162305831909,5.588064298909761e-09
9,FAM133A,2.0135440826416016,0.012776497460115537
10,NAP1L3,1.9952813386917114,0.00033758988936937243
11,SPOCK1,1.9867433309555054,0.04093598614304581
12,RP11-149I23.3,1.9804877042770386,2.8655473452989462e-30
13,TUBA3C,1.9257432222366333,2.680504097377933e-18
14,HMGN5,1.9060322046279907,3.951752133004386e-60
15,GNGT2,1.8693245649337769,2.3116245179666483e-05
16,SESN3,1.8276290893554688,0.003205950225949266
17,TSPAN8,1.8133654594421387,0.00090683840520225
18,EHF,1.8122634887695312,4.719741254171536e-13
19,PRRG4,1.806101679801941,9.153052782008228e-06
20,GLB1L3,1.7937642335891724,0.029450092267494052
21,ITM2A,1.7800618410110474,0.027926206693961585
22,CYP24A1,1.753800630569458,0.005781701562594146
23,GPAT2,1.7052040100097656,4.75158230933574e-16
24,IL13RA2,1.7001128196716309,5.847959809350617e-22
25,LINC01322,1.6822527647018433,0.003550962315584977
26,C4BPB,1.6747169494628906,2.9926585583042264e-25
27,C4orf19,1.6652774810791016,4.600043108337598e-05
28,BEX5,1.6581472158432007,8.178610531298438e-07
29,CSF2RA,1.6553030014038086,0.040272139784019396
30,HIST1H2BJ,1.651196002960205,1.0694569293686067e-16
31,PTPRR,1.6008621454238892,4.334026379640706e-05
32,MFHAS1,1.5905338525772095,0.015898460267413886
33,INHBA,1.5878589153289795,2.345354710539641e-05
34,THBS2,1.5702581405639648,0.00706288929260466
35,TMLHE,1.5701276063919067,0.006536566095694542
36,OXTR,1.5449835062026978,2.0493230399764696e-06
37,NRK,1.541100263595581,8.994853067031648e-20
38,HLA-DRA,1.537423014640808,6.465911323227065e-06
39,CLDN4,1.5296337604522705,0.00840270703411566
40,HIST1H2AC,1.5294865369796753,1.3796551524372029e-31
41,GYPC,1.5162239074707031,0.0001252409336896121
42,BEX2,1.4691016674041748,4.681744236258348e-27
43,LINC00240,1.4506304264068604,0.0052664024209810685
44,SPDEF,1.448144555091858,0.009897948030794747
45,LINC00665,1.3913989067077637,1.6202695204260103e-12
46,GALNT5,1.379697322845459,2.0292846011559068e-05
47,GLUL,1.3748085498809814,4.103405569287282e-15
48,CXCR4,1.343372106552124,3.5533961998939107e-06
49,HLA-DRB1,1.334101915359497,0.008491293802962445
50,LRRC2,1.3289822340011597,1.309446110753544e-10
51,FKBP10,1.3230063915252686,8.177145214758802e-06
52,G0S2,1.3179106712341309,2.0211926242682662e-56
53,KANK1,1.2989338636398315,0.007670646256299239
54,KCNK1,1.2930763959884644,0.004901972715402958
55,HIST1H2BD,1.2896159887313843,3.092765016004515e-05
56,ENG,1.2746093273162842,1.498055532394928e-15
57,GBP1,1.2348732948303223,9.35064245252037e-16
58,SPARC,1.229537010192871,0.0003681479583043452
59,NOV,1.2179672718048096,4.337599394188546e-17
60,ISYNA1,1.2178070545196533,3.1005622366818373e-09
61,LINC01224,1.2176870107650757,4.5606598136891886e-07
62,SOCS1,1.2151663303375244,0.0016250634346478123
63,HIST1H2BK,1.207070231437683,0.010337033779641416
64,CPA4,1.2009514570236206,0.0003851174007150195
65,SOX4,1.1908787488937378,1.893517201778883e-18
66,ZNF358,1.1875747442245483,7.676612936817129e-13
67,MATN2,1.173982858657837,0.0020991997344428697
68,FAM84A,1.1451631784439087,0.005381748068696244
69,AC007163.3,1.137473464012146,0.023021223014594545
70,CCDC68,1.1343523263931274,2.003214303530841e-12
71,GPR1,1.1295584440231323,0.0014807980249608795
72,RAB9B,1.1283541917800903,0.008432143680036709
73,CD74,1.1114890575408936,4.5748168229050886e-11
74,CARD16,1.0997973680496216,2.209447666839668e-05
75,ZNF485,1.0936797857284546,0.00015369705432613496
76,FAT3,1.0912964344024658,5.631352440871771e-09
77,ZBTB37,1.088823676109314,4.880234373796069e-08
78,ZNF439,1.068149447441101,0.0008901722964204862
79,FAM8A1,1.064914584159851,2.168980473209374e-06
80,HLA-DMA,1.062475562095642,1.1256319126522966e-05
81,RP11-818F20.5,1.0608747005462646,1.1350521190244274e-06
82,HDX,1.0537970066070557,0.0007736207674095756
83,AFAP1-AS1,1.048477053642273,5.284126562010181e-05
84,TBC1D8B,1.030166506767273,0.015646981986565865
85,S100A4,1.0012636184692383,3.074927614631559e-09
86,AK5,1.000385046005249,0.023584068649669044
87,HSD3B7,0.9995277523994446,0.00043307530541739585
88,NUAK1,0.9958435297012329,5.892289080717326e-13
89,MORC4,0.9916738271713257,1.7107063875207272e-24
90,NUDT6,0.9893240928649902,3.659413462606363e-15
91,STXBP2,0.9865396022796631,6.215368360532054e-11
92,HIST1H4H,0.9795820713043213,3.231033985136039e-07
93,TMEM217,0.9668990969657898,0.04785702613112981
94,CYB5R2,0.9632925391197205,0.02736458155957116
95,TMEM187,0.9621148705482483,0.0012001883475631263
96,CTIF,0.9498409628868103,0.0195045378640479
97,NCF2,0.945676326751709,0.0009046269412114884
98,BAIAP2L1,0.9421590566635132,0.005540523484618586
99,IFIT2,0.9345791935920715,0.034791175768117216
100,ZNF788,0.9303493499755859,0.0002539897503088918
101,MCOLN1,0.9274098873138428,8.395946161732145e-11
102,RELB,0.9266435503959656,1.3642430525276788e-05
103,ADGRL2,0.9235278367996216,0.013890398943157392
104,TNFRSF11B,0.9167903065681458,0.042530544643395514
105,ARHGAP24,0.9135034680366516,0.0022374527024379776
106,BIN1,0.9089740514755249,4.221256726560481e-05
107,LRP1,0.8939710259437561,0.0386689862823727
108,CLEC2B,0.8938746452331543,9.460577741272059e-06
109,RAB27B,0.8916445970535278,8.498593993275788e-07
110,KLHL4,0.8757023215293884,4.118333993052367e-08
111,RP11-262H14.3,0.8752357363700867,0.02136929193890086
112,SDC2,0.8741165995597839,4.894772172208864e-07
113,ITGBL1,0.8735000491142273,0.00040169963972878887
114,LCTL,0.870962917804718,0.04781720009345084
115,SUN3,0.8685347437858582,0.03130198993296735
116,NMRAL1,0.868086040019989,3.0268504020796165e-12
117,PNPLA6,0.8668214082717896,6.223769252690394e-11
118,PTGR1,0.8653867244720459,1.1838039177614774e-22
119,CREB3L1,0.855888307094574,1.3862446529973186e-06
120,F3,0.8516428470611572,2.3670847036520906e-41
121,ZNF76,0.8394504189491272,1.8407129808259684e-06
122,DIAPH2,0.8373438119888306,2.233826869294193e-10
123,MCAM,0.8344594240188599,5.891779410727783e-09
124,BRWD3,0.8330406546592712,0.0004053663778633883
125,STC1,0.8291938304901123,2.489700605808832e-06
126,LOX,0.8279662132263184,7.431875671193524e-08
127,UNC13B,0.8251030445098877,0.03409138654526287
128,SORBS2,0.8224042654037476,0.02033488124254755
129,TIMM8A,0.8156272172927856,1.053769865919554e-39
130,PLPP4,0.8048176169395447,7.742478285323757e-08
131,C6orf132,0.8036907911300659,6.662293177985985e-05
132,SNX10,0.8033467531204224,0.048966116456685804
133,CRACR2B,0.8003995418548584,8.313724051468976e-05
134,RP4-621F18.2,0.798715353012085,3.0452271218074466e-11
135,NEAT1,0.7980614304542542,2.645741121361768e-31
136,STK38,0.7962467670440674,2.0826139567620236e-23
137,GALNT14,0.7950249314308167,0.004435476737061876
138,OCRL,0.7948470711708069,0.00023695777807521682
139,ARMCX2,0.7923012375831604,1.9060400467564228e-13
140,KRT7,0.7917007207870483,5.2787301448898314e-12
141,SAMD12,0.7872030735015869,3.056665258306914e-08
142,RBM41,0.7849389910697937,7.261496749908615e-06
143,WDR44,0.7843629121780396,4.930850949963202e-05
144,C15orf48,0.7829489707946777,1.6951128766110794e-07
145,TEX41,0.7808455228805542,0.020274856518295675
146,PHLDA3,0.7760229110717773,0.014450485194041601
147,C18orf54,0.7759995460510254,6.723159218940429e-07
148,ME2,0.7733017802238464,1.9829555591058527e-16
149,ADARB1,0.7727625370025635,3.1081975582799887e-09
150,HIST1H1C,0.7719561457633972,1.998786811885831e-17
151,NEDD4L,0.7717731595039368,3.2671976958765547e-41
152,TPD52L1,0.7677874565124512,0.04435586174333304
153,PTGES,0.7658699154853821,0.023470863217982422
154,EDNRB,0.765089750289917,0.022243106759570756
155,ARL4C,0.7650566101074219,1.488698765521376e-20
156,CHRDL1,0.7629645466804504,2.9569696435874076e-05
157,SLIT2,0.7606580853462219,9.391030800515425e-06
158,MBD2,0.7572394013404846,2.7724280714745803e-31
159,FUNDC2,0.7550743222236633,5.33869518655386e-33
160,SH3BGRL,0.7480379343032837,9.474016066811443e-19
161,RP11-244M2.1,0.7469981908798218,0.028488590792794716
162,KCTD18,0.7454380393028259,0.03300713513526858
163,TMEM150A,0.7441373467445374,0.012026796982089378
164,INO80C,0.743630051612854,6.135245290984347e-18
165,GATA6,0.7432628870010376,0.0010505770629215534
166,C1QTNF9B-AS1,0.7416337728500366,0.01254146297443425
167,SHROOM3,0.7410568594932556,0.02749208654889401
168,MBD1,0.7383729219436646,5.430564947036728e-06
169,FMR1,0.7344498038291931,3.5342099470074385e-07
170,AFF3,0.7331518530845642,2.7076656489090297e-07
171,VAMP7,0.7314371466636658,5.271229378423224e-12
172,SLC25A43,0.7287567853927612,9.148521036384917e-08
173,PMEPA1,0.7257241606712341,8.604321327676215e-05
174,TACSTD2,0.72394859790802,1.3956593317787105e-09
175,ENDOD1,0.7221336960792542,4.693599632503459e-09
176,ABCB7,0.7218532562255859,6.45283538942031e-06
177,CCND3,0.7190887331962585,3.815325897753979e-23
178,DAAM1,0.7169172167778015,2.9932962950257763e-07
179,APOOL,0.7156181335449219,3.881121061947711e-09
180,ROR1,0.7017741799354553,0.022012274065977694
181,TIGD7,0.7016770243644714,0.042499639270234674
182,NIPAL1,0.6964502930641174,0.0012015706728887826
183,ATG4A,0.6953840255737305,0.0016256256892645292
184,FILIP1L,0.6921433806419373,0.0001359053191879269
185,AGMAT,0.6915972232818604,0.015416147605165822
186,IER3IP1,0.6869207620620728,1.3340451382482196e-31
187,TFAP2A,0.6861434578895569,0.00014460992493096856
188,OPHN1,0.6843042969703674,1.1029657896646824e-05
189,USF1,0.6838125586509705,0.039093977972533736
190,CT83,0.683244526386261,0.00015319831077952042
191,ADAMTS12,0.6818762421607971,1.9237020613904725e-06
192,LPXN,0.6787400841712952,4.4734972507578554e-10
193,TBC1D2,0.6762055158615112,1.1065518252064654e-07
194,ZNF521,0.6739723086357117,6.291405297926725e-07
195,CXADR,0.6721380352973938,0.0012694542361774352
196,ZFAND3,0.669521689414978,8.95291133072787e-21
197,SRPK1,0.6683827042579651,3.6860558962460975e-68
198,PLA2G12A,0.6680490970611572,6.25517055795021e-14
199,FAM127C,0.667697548866272,1.9891098551368273e-08
200,FIGN,0.6660730838775635,2.708020882761201e-09
201,CCDC28B,0.6651376485824585,2.9432161024265714e-05
202,NKAP,0.6630966663360596,3.998038945792094e-18
203,FHOD3,0.6616843342781067,0.0013188983132066828
204,ECHDC2,0.6602131128311157,0.0003215271866432133
205,GLTSCR1L,0.6576594710350037,0.024825167138211014
206,MTCH1,0.656775951385498,1.4448913284760112e-77
207,SNX3,0.6560153365135193,5.96174801024749e-56
208,ANKS1A,0.6557825803756714,1.720212765644021e-05
209,NOG,0.6555111408233643,1.488446861861048e-13
210,DYRK1A,0.6549530625343323,0.0033844720604265556
211,DENND1B,0.6544157862663269,0.03556954267730435
212,SDCCAG8,0.6539005637168884,2.0791719215311889e-10
213,CHST10,0.6516733765602112,0.023396684035522555
214,DNER,0.6495052576065063,0.046769125119939116
215,SLC25A14,0.6472381949424744,0.043798281408031776
216,TIMP3,0.6468156576156616,8.662203174750475e-20
217,NXT2,0.6453761458396912,8.393648322950475e-05
218,OTUD1,0.6451593041419983,0.007140875259725985
219,ZNF347,0.6438353061676025,0.015913881757159215
220,AKR1C3,0.6433234214782715,0.033106928539606346
221,TBC1D30,0.6427093744277954,0.04870849804591888
222,KATNAL1,0.6421893835067749,3.0105933906187983e-05
223,PAG1,0.6417206525802612,0.0008368247854102288
224,DLG3,0.6401970386505127,0.015210541272859904
225,SMARCA1,0.6385738253593445,1.1554476791134098e-22
226,RPL17,0.6375497579574585,2.1394463473247463e-21
227,ATP6AP1,0.6371715664863586,3.194980177492402e-12
228,SPTLC3,0.6370154023170471,0.0005690703651328393
229,WBP5,0.6322747468948364,1.090622820813672e-33
230,RLIM,0.6320238709449768,4.530827757565194e-08
231,ARMCX3,0.6313906311988831,1.3489885390777405e-15
232,PPARD,0.6313299536705017,2.5034413229799996e-05
233,RIOK3,0.6312909126281738,7.585921619875592e-25
234,TAF11,0.6298803687095642,9.53633094346787e-25
235,UPRT,0.6296831965446472,0.0456938981579933
236,PDIK1L,0.6293096542358398,0.04315787126034424
237,IDH3G,0.6277464032173157,8.393748905968352e-17
238,ATP8B1,0.6257084012031555,0.0007790873327173978
239,PBDC1,0.6255127787590027,1.1499768893915813e-34
240,PDP1,0.6238757371902466,8.933419933549137e-06
241,FGF5,0.6237382888793945,5.2576225418275736e-14
242,UBE2A,0.6222710013389587,3.465414280851748e-38
243,SYTL4,0.621851921081543,0.0010886953545994487
244,SVIP,0.6208961606025696,1.464228426742981e-24
245,CXorf56,0.6188173294067383,0.00011336044699572803
246,TCEAL8,0.6186721324920654,1.0928884677585686e-16
247,RXRB,0.6181020736694336,5.822683127127526e-06
248,ZSCAN26,0.6177927851676941,0.000282489632307927
249,EPB41L4B,0.6177568435668945,4.171628437155241e-08
250,ARMCX5,0.6159901022911072,0.0002463180528220431
251,FBXO46,0.6158655881881714,0.020812320422857113
252,SNAI2,0.6157710552215576,0.0006329802042127015
253,MAGED2,0.6151334643363953,3.450108905074824e-11
254,CYR61,0.6129555702209473,1.4476961247809264e-37
255,SDPR,0.6103892922401428,8.890018790201957e-07
256,VBP1,0.6082773208618164,9.791198248132453e-41
257,PCTP,0.6074616312980652,0.029606721599461726
258,SP140L,0.6071542501449585,0.00016605151993086828
259,C9orf3,0.6063727140426636,9.140628260853372e-17
260,CFAP45,0.6056905388832092,0.046230261534479775
261,TXNL1,0.6054750680923462,4.731904474860257e-40
262,ARMCX1,0.6052089929580688,3.964758904635271e-10
263,BLOC1S5,0.6045531630516052,3.0000679121230407e-10
264,UACA,0.6038628220558167,4.560469361452649e-21
265,NFKBIE,0.6037534475326538,0.008172943123220965
266,PIAS2,0.6036310791969299,0.0003773581997292891
267,MAST4,0.6035940647125244,0.008795250820618147
268,FMN1,0.6035829186439514,2.2556699268213638e-05
269,PHF6,0.6032867431640625,3.798081411988795e-18
270,ATG4C,0.6031460165977478,1.534686463960445e-05
271,AMMECR1,0.6024264097213745,0.00026512281974771796
272,IL13RA1,0.6011936068534851,4.771216856306588e-06
273,PLS3,0.5980798006057739,3.225038874509523e-24
274,KTI12,0.598037600517273,3.694934636181663e-07
275,ZDHHC9,0.5977997183799744,3.0196200531786607e-05
276,LEMD2,0.5970498919487,2.320860219793735e-06
277,C18orf21,0.5966478586196899,5.683557010549099e-09
278,LAGE3,0.595734179019928,3.3474907448611937e-32
279,ZNF557,0.5950987339019775,0.02919685622505885
280,MPPE1,0.5950617790222168,0.037821442334070574
281,BRCC3,0.5946919322013855,3.3463539986807278e-12
282,SLAMF7,0.5939936637878418,0.013463254957816492
283,TANC1,0.5934737324714661,0.012545929338676973
284,RNF8,0.5915480256080627,6.151083533223681e-23
285,EPS8L2,0.5904368162155151,5.843894493888629e-09
286,MAPRE2,0.5899410843849182,8.059545463219028e-05
287,ZSCAN9,0.589455783367157,0.002822678314766625
288,ZBTB33,0.5888680219650269,0.016383814625104735
289,MAPK14,0.588084876537323,9.667870369210092e-16
290,FOXP4,0.5876726508140564,0.00017060839593393325
291,CHM,0.5866993069648743,2.8397386157522367e-08
