,genes,logfoldchange,pvals
0,PCSK1N,3.140813112258911,5.946900383301076e-05
1,TMCO2,3.042961597442627,9.746863226192314e-06
2,PLD5,2.711845636367798,0.021218451099646412
3,ABI3,2.6635992527008057,4.0346761385363885e-05
4,ADGRE1,2.5643951892852783,8.951499182027305e-15
5,PAGE5,2.5204813480377197,4.0996865458554963e-60
6,DAPK1,2.5063722133636475,0.0002142947625862526
7,AR,2.4986226558685303,8.30420378420534e-27
8,CST4,2.4713077545166016,0.04565492546928427
9,RORA,2.415057420730591,0.04246257293325119
10,TUBA3C,2.395552635192871,1.854101509475898e-21
11,GNGT2,2.258193016052246,5.581175692114741e-06
12,FAM133A,2.230438470840454,0.008765165585098536
13,THBS2,2.2090344429016113,0.001537662293280777
14,ITM2A,2.1991848945617676,0.014754105360637437
15,LINC01322,2.196880578994751,0.001209886460013739
16,RP11-149I23.3,2.1865193843841553,9.344298902302646e-33
17,SERPINB2,2.174607992172241,2.579511087086017e-09
18,HMGN5,2.1613447666168213,1.9218060598293906e-67
19,NAP1L3,2.1203455924987793,0.00027909965703005855
20,SESN3,2.0881693363189697,0.0017628653957015906
21,EHF,2.0687828063964844,1.947060545284137e-14
22,CYP24A1,2.0486745834350586,0.0030185405713529802
23,HLA-DRA,2.012432813644409,2.7429046652385213e-07
24,HLA-DRB1,2.0071330070495605,0.0014556957865633007
25,BEX5,2.0026776790618896,4.99804576925212e-08
26,GYPC,1.9764125347137451,1.326775223589985e-05
27,PRRG4,1.9679311513900757,4.505756329427816e-06
28,SPOCK1,1.9290591478347778,0.04498638887913415
29,GPAT2,1.9012855291366577,1.264485655788598e-17
30,SDR16C5,1.9003826379776,0.042499640596446474
31,C4orf19,1.896204948425293,1.6728531919935724e-05
32,TSPAN8,1.895905613899231,0.0007176553584023937
33,GLB1L3,1.8874434232711792,0.02840927010690703
34,C4BPB,1.8842148780822754,6.651989148146844e-29
35,TAGLN3,1.8750556707382202,0.04728489672795143
36,MFHAS1,1.8197263479232788,0.009674532102724795
37,PTPRR,1.785231113433838,1.610965810413261e-05
38,INHBA,1.7844195365905762,7.769812227350652e-06
39,CSF2RA,1.7564465999603271,0.03458031349846487
40,TMLHE,1.7545554637908936,0.0040941193439990075
41,HIST1H2BJ,1.7463253736495972,1.7705026708123782e-17
42,IL13RA2,1.7374192476272583,2.219168636292247e-22
43,NRK,1.715391993522644,8.766006514872424e-22
44,OXTR,1.690447211265564,6.637228498407006e-07
45,BEX2,1.6605603694915771,3.013327386160715e-30
46,HIST1H2AC,1.634365200996399,6.657691337445643e-34
47,SPDEF,1.6088225841522217,0.007385420831639757
48,CLDN4,1.5725502967834473,0.007844565663802976
49,GALNT5,1.5718103647232056,4.522082180132248e-06
50,GLUL,1.564084768295288,5.064633688176259e-17
51,CXCR4,1.5517135858535767,6.65257612243216e-07
52,LINC00665,1.5413639545440674,1.111549472668116e-13
53,FKBP10,1.536350965499878,1.4999597861440937e-06
54,LRRC2,1.4866012334823608,8.972241975972714e-12
55,KANK1,1.464979648590088,0.0040054919074047415
56,LINC00240,1.4424477815628052,0.005389886150011522
57,SPARC,1.4365569353103638,0.00010880218610642071
58,G0S2,1.4345978498458862,8.283678952741462e-64
