,genes,logfoldchange,pvals
0,PCSK1N,3.1756842136383057,0.007669547382143185
1,DSCR8,2.792912244796753,3.562136380082252e-05
2,FAM49A,2.3619816303253174,4.0805343558364476e-05
3,S100A4,1.4106184244155884,1.010349390314464e-11
4,SERINC2,1.1963804960250854,2.2219621972510233e-07
5,SOX4,1.0656399726867676,0.0005179097878871171
6,SLAMF7,1.0652209520339966,0.0033133838857909224
7,SUSD3,1.0465391874313354,0.011708456936530708
8,CCL26,1.0410062074661255,0.02812379978709132
9,GATA3,1.03677499294281,0.030777467398390806
10,CD74,0.9839228391647339,9.501724526346323e-05
11,PARD6B,0.9502534866333008,0.0200523161568661
12,AFF3,0.9472407102584839,3.053564639796073e-07
13,GBA2,0.935820996761322,0.0008517588335999782
14,HMGN5,0.9345858693122864,1.0679026081712964e-06
15,RP11-160O5.1,0.892996072769165,0.007353683608111869
16,TMEM241,0.8898046016693115,0.01918454459836315
17,C4BPB,0.8655403852462769,0.00011324549364273231
18,BST2,0.8582675457000732,1.002550711319018e-05
19,PCTP,0.8569517731666565,0.025976022482609277
20,NUAK1,0.7969547510147095,8.626724987249873e-05
21,CD99L2,0.7937816381454468,0.0110039954171971
22,SOD3,0.7839853167533875,0.012052394303518005
23,GPAT2,0.7790015935897827,0.024024666824184186
24,LINC01224,0.7765152454376221,0.022027086106379157
25,ONECUT2,0.7721912264823914,0.022960402194960993
26,HAUS6,0.7683655619621277,1.1104714765198054e-07
27,INHBB,0.7541173696517944,0.0020400960553390948
28,RAB40B,0.751396119594574,0.00759228875894811
29,TAP1,0.7301850914955139,0.002691014374912522
30,C9orf72,0.7258247137069702,0.019990928926448787
31,CD82,0.709990918636322,0.001281693590720939
32,BRWD3,0.7086855173110962,0.023645709591412756
33,HAS2,0.7053780555725098,0.021998097508103234
34,FAT3,0.7026574015617371,0.043407181237816374
35,RP3-512B11.3,0.7025178074836731,0.025682972834146247
36,SLC23A2,0.701216459274292,0.026234807967231027
37,GFOD1,0.7005276679992676,0.01834236011502643
38,KIAA0930,0.6998778581619263,0.01532250804412922
39,SLCO1B3,0.6987897753715515,0.016081668965582333
40,BICC1,0.6950584650039673,0.0005615055189270044
41,DHODH,0.6940393447875977,0.013223570963757167
42,SMN1,0.6931980848312378,0.02336032648577371
43,PGM5P2,0.6928056478500366,0.0022871502435188886
44,COL6A1,0.6922439336776733,0.0006509674970432915
45,NEU1,0.6840031147003174,4.751923612629098e-05
46,CCND3,0.6792765855789185,4.12813882324824e-09
47,FMN1,0.6520894169807434,0.005606813807347744
48,SNAI2,0.6445794701576233,0.012283158957097702
49,MTL5,0.6445546746253967,0.0269484860321119
50,TMEM56,0.6412139534950256,0.0122918448261746
51,SLIT2,0.6398486495018005,0.015821400701284644
52,ISYNA1,0.6375778913497925,0.04097506787304621
53,ABCB7,0.631865918636322,0.010376256005054292
54,SNX12,0.6245715022087097,0.03625941529674119
55,UPF3B,0.6242693066596985,3.8610572028508995e-08
56,ULBP2,0.6155130863189697,0.0003037439043865549
57,OPHN1,0.6153600215911865,0.03889532874416654
58,STX1A,0.6130396127700806,0.03010225715283917
59,F8A1,0.6126821041107178,0.004308130960495396
60,BRF2,0.6121416091918945,0.013786310724378501
61,MAP3K14,0.6087647676467896,0.04451427474241616
62,NSDHL,0.6063878536224365,0.0010617807641087463
63,SRF,0.6016530990600586,0.005581892080986712
64,STC1,0.5998983383178711,0.020340068193095417
65,IGFBPL1,0.593464732170105,0.031513038449943284
66,SLCO4A1-AS1,0.5932696461677551,2.3611143528028145e-05
67,HLA-B,0.5903575420379639,3.0976087898465256e-07
68,MTERF3,0.5894883275032043,0.0008244372363454368
69,LIAS,0.5864500403404236,0.04284444160778065
70,MLLT3,0.581673800945282,0.020870981437695973
71,CNNM3,0.580718457698822,0.049235679588597904
72,XRCC3,0.5795462131500244,0.01739300101044489
73,RREB1,0.5765594840049744,0.005689158587265685
74,KIAA0319L,0.5747218728065491,0.021914218178899544
75,IST1,0.5702317357063293,0.0015419421088420605
76,FBXW7,0.5701741576194763,0.000238487609488905
77,MVK,0.5699148178100586,0.016347928151045216
78,ARL4D,0.5675486922264099,0.009972298858558716
79,CTC-425F1.4,0.5670143961906433,0.015989382962583225
80,RIC8B,0.5668445825576782,0.001116810524061869
81,NEK11,0.5597953796386719,0.03382767464653864
82,UBAP2,0.5580708980560303,3.222342689044196e-07
83,TAF9B,0.5580040216445923,0.02921686986294779
84,PIAS3,0.5532710552215576,0.018691349353421597
85,CREB5,0.5531915426254272,0.049809922102847834
86,ZNF264,0.5511893630027771,0.03158821025012835
87,FAM73A,0.5503281354904175,0.012269272876539115
88,POLR1E,0.5497598052024841,1.4372969789452016e-05
89,DUSP6,0.5489123463630676,2.1923627899476007e-07
90,PLBD2,0.548542320728302,0.024853109113233105
91,FILIP1L,0.5478963255882263,0.023299345898156392
92,ADAMTS1,0.5474971532821655,0.0006233533611856865
93,GAS2L3,0.5438563227653503,0.0014208424014656067
94,CABIN1,0.5433469414710999,0.023862504828817053
95,CXorf56,0.5429693460464478,0.040385407205554724
96,DXO,0.5419676303863525,0.029529404845621422
97,NMRAL1,0.5415104031562805,0.017783802739233072
98,TINAGL1,0.5392972230911255,3.4823156015297e-05
99,STK19,0.5392593145370483,0.009262766206572955
100,MTF2,0.5351653099060059,0.00015754413322992844
101,PLIN2,0.5349403619766235,4.1242137060273735e-07
102,OGFOD2,0.5329023003578186,0.008438154605624878
103,RPIA,0.5329002737998962,2.764696193343087e-07
104,FCGRT,0.5274960398674011,0.020345480854350506
105,USP37,0.5257461667060852,0.01008688586268922
106,MGRN1,0.5256372690200806,0.04368827482093192
107,HDHD2,0.5219935774803162,0.04164212758651328
108,UBE2G2,0.5212189555168152,1.6925019770042252e-06
109,MDC1,0.5209394693374634,0.011783567965999943
110,VEGFA,0.5188843607902527,0.0029482874068092447
111,RAP2C,0.5169162154197693,0.034560928310551485
112,TRIP10,0.5127859711647034,5.722184173064104e-05
113,UBE4B,0.5121946334838867,0.03234842462356
114,FEM1A,0.5120757818222046,0.014676176420309174
115,DCAF12,0.5119819641113281,0.002509841590237589
116,PXN-AS1,0.5097625851631165,0.024402538163792557
117,UQCRHL,0.5056142807006836,0.02824588373383649
118,FAM13A,0.5045279860496521,0.02591584642198833
119,ACAA2,0.5028439164161682,0.00045620517450081945
120,DNAJB4,0.502615213394165,0.00701259055040618
121,CREG1,0.5016537308692932,0.012533732282476045
122,POLR3B,0.5014593601226807,0.012349308154464136
123,ZNF326,0.49668964743614197,1.9974262117200136e-06
124,TMED5,0.4965982437133789,1.729182782678296e-05
125,GEM,0.4957515299320221,0.018192093350582406
126,SNX3,0.49536386132240295,9.059855063577141e-14
127,GBP1,0.49235105514526367,0.01743788777208009
128,HIPK1,0.49164608120918274,0.0013650599847789607
129,RP4-621F18.2,0.4903467893600464,0.006137061986424472
130,DGCR6L,0.48967984318733215,0.0008244372363454368
131,RP3-522D1.1,0.48564770817756653,0.0006800887066926432
132,YY1AP1,0.485156387090683,0.005066940823665052
133,ZKSCAN8,0.4849054217338562,0.028271075273442307
134,CCDC125,0.4847622811794281,0.04033171680601351
135,MOSPD1,0.4815104603767395,0.0003875713384398687
136,SP140,0.4810182452201843,0.006891369752459927
137,ARHGAP27,0.48101067543029785,0.0450740166554505
138,HLA-C,0.4800344705581665,3.6708668996209665e-08
139,C15orf48,0.4793812930583954,0.023695111543724424
140,GTF2F1,0.47908157110214233,3.7652676210664555e-05
141,VPS13B,0.47606924176216125,0.035869078802115116
142,RLIM,0.47589391469955444,0.01032255896230325
143,PRPS1,0.4757874011993408,0.00021805346480990143
144,MAPK13,0.4754830002784729,0.0039668682113923525
145,TRMT10B,0.47466254234313965,0.04666743507253457
146,SIAH2,0.47408169507980347,0.030045304093617085
147,TBCC,0.47405919432640076,0.00041352701876618014
148,RP11-126K1.6,0.4739481508731842,0.03673890120758854
149,ATP8B1,0.4733988642692566,0.04020991824024126
150,SGF29,0.4731460511684418,0.045493656486565226
151,RP11-395G23.3,0.4718379080295563,0.004246786669606464
152,PMAIP1,0.4715062975883484,2.7811752803237833e-06
153,TOMM5,0.4711835980415344,1.1734958251334915e-09
154,TRMT13,0.47051388025283813,0.03736069825644053
155,TRIM33,0.4700038731098175,0.0006525211904628509
156,CENPJ,0.4696178734302521,0.009241169607330577
157,PDLIM2,0.4692052900791168,0.003961834699383728
158,PDCL3,0.4665937125682831,1.5023262517527429e-07
159,TIMM8A,0.4635976254940033,1.1603517695688464e-05
160,TSC22D2,0.4619464874267578,0.001098633385555663
161,ATAD3A,0.46090349555015564,0.0008789709958863815
162,ADAMTS12,0.46038612723350525,0.0034739596813832397
163,PITHD1,0.45965132117271423,3.6239273679063925e-05
164,F3,0.4584137201309204,2.2043640844727792e-06
165,KHSRP,0.4573282301425934,2.1811094562945804e-06
166,CDKN1B,0.4563789367675781,0.02255459236157076
167,PRPF39,0.455726683139801,0.02831791092536674
168,RHOT2,0.4543145000934601,0.0024961877136672208
169,UNG,0.4535621106624603,0.0010473996963460022
170,URB1,0.45264512300491333,0.0031878618711096538
171,NFIA,0.4519962668418884,0.007030515644374689
172,SPATC1L,0.4514157772064209,0.0002938751642093285
173,EPHX4,0.4481073319911957,0.002488357250407965
174,IL7R,0.4470582902431488,0.002003015028045083
