,genes,logfoldchange,pvals
0,LINC01234,5.197175979614258,0.015634346637214993
1,KRT7,4.35528039932251,1.8048283998311767e-09
2,KRT81,4.222577095031738,6.383369209602919e-11
3,IGFBP2,4.206064701080322,0.0048931474118288736
4,CCDC190,3.8332736492156982,0.01806674729754079
5,COL1A1,3.6742985248565674,0.0011729625661690613
6,SGK223,3.558306932449341,0.019271461406292156
7,SPARC,3.3660192489624023,5.083802214946027e-05
8,SYTL1,3.255103588104248,0.021702348266054074
9,ARHGEF35,3.1156418323516846,0.008236688512579015
10,STARD9,2.9645135402679443,0.028023161467950055
11,PTGES,2.9327945709228516,0.0007124404249350085
12,ATF3,2.78197979927063,0.009310489338983957
13,ZNF175,2.779416561126709,0.002210961341547673
14,TNFRSF10C,2.7703137397766113,0.019001158843572754
15,CRIP2,2.6575887203216553,0.035974510160968406
16,CATSPER1,2.6488606929779053,0.0036140212109241343
17,CCL26,2.6447198390960693,0.035991785420127875
18,NEK8,2.6360855102539062,0.03063157465886299
19,ADAMTSL5,2.6337316036224365,0.012051034730059727
20,TGFBI,2.627915143966675,0.00033529162009693115
21,S100A2,2.6259615421295166,0.00046404753582799074
22,NEXN-AS1,2.6041579246520996,0.025351657600434407
23,THBS2,2.536463737487793,0.02054580013807776
24,MAST3,2.53452205657959,0.012024409251852183
25,SCG5,2.475677251815796,0.029681191945006697
26,ADRBK2,2.4208316802978516,0.040404757605456684
27,DLC1,2.3873114585876465,0.00011564668247444097
28,GAB1,2.330692768096924,0.006476411009361617
29,RP11-386G11.5,2.3231070041656494,0.03559623936215248
30,RP11-160E2.6,2.3176989555358887,0.0318717733799157
31,FZD1,2.295321464538574,0.004335844597725112
32,ZNF844,2.235616683959961,0.013059325566332299
33,WDR47,2.2299740314483643,1.902607919827137e-05
34,ZNF48,2.2136802673339844,0.0457742744538939
35,GABPB2,2.142275810241699,0.0024088696421592877
36,TEP1,2.141239881515503,0.011631238184345152
37,DMKN,2.131361246109009,3.32583471773025e-05
38,HDAC6,2.106994867324829,0.021624261310794358
39,PAG1,2.0709688663482666,0.006191426863231918
40,DOPEY1,2.0683541297912598,0.04598653629977118
41,EREG,2.066004991531372,0.0076798656126051724
42,LSR,2.0620007514953613,0.0026910724415316147
43,ZHX1-C8orf76,2.0469775199890137,0.02018639623844579
44,C22orf29,2.019446849822998,0.008885090986255855
45,ZNF710,2.0177769660949707,0.04152339862292358
46,ZNF551,2.0164365768432617,0.04970101163139964
47,CCL28,2.001566171646118,0.03382087439862097
48,GTF2IRD1,1.9820280075073242,0.025033738775419208
49,TRIM7,1.9688247442245483,0.044373308849727205
50,HNRNPA1L2,1.9555965662002563,0.023772141749153323
51,ARRDC3,1.940352201461792,0.04424963361211825
52,CPE,1.931305170059204,0.020312613296803825
53,PHLDA3,1.9265302419662476,0.022903441359746552
54,PLBD1,1.9256654977798462,0.0010085775722206772
55,GPSM1,1.9222687482833862,0.031685366853948634
56,MTL5,1.9161051511764526,0.010039194269392274
57,GABARAPL1,1.8805943727493286,0.045922770871893476
58,GYPC,1.8698729276657104,0.03466537860892592
59,GMIP,1.8590359687805176,0.04924870077784455
60,TGFB2,1.850353717803955,0.005726603389179931
61,ARNT,1.845185399055481,0.027759340320531522
62,FKBP10,1.8425462245941162,0.017577608665047064
63,MTMR9,1.8311831951141357,0.01012448645054222
64,ZKSCAN5,1.826935887336731,0.025160489692765835
65,FBLIM1,1.774217963218689,0.013657753473477457
66,TTC23,1.736670970916748,0.04780247777009425
67,ZDHHC9,1.7229242324829102,0.010193184128371504
68,CSF1,1.709789752960205,0.0036095094429421217
69,C5orf63,1.7019932270050049,0.0020134613400490282
70,L3MBTL1,1.7016791105270386,0.04924870077784455
71,ABCG2,1.700656533241272,0.02845824650328878
72,CH17-340M24.3,1.6971430778503418,0.03684698126506587
73,MCAM,1.6965850591659546,0.00379639144822121
74,WDR44,1.6805908679962158,0.018773521714160347
75,MKNK2,1.6623376607894897,8.066371073159276e-06
76,SPATA7,1.659561276435852,0.03561335958428129
77,CFD,1.6434545516967773,0.002697980824261128
78,SH3BP5L,1.6420998573303223,0.007783036302520321
79,RP11-644F5.11,1.632910132408142,0.03831683866955502
80,MEF2D,1.6230303049087524,0.03365736464962931
81,ADIRF,1.6199482679367065,0.04059578353429615
82,LONRF3,1.618504285812378,0.01534328025200421
83,HS2ST1,1.6163687705993652,0.003920955317897473
84,SEMA3E,1.6120176315307617,0.0494970424309956
85,FURIN,1.6050125360488892,0.028472377852255475
86,BEX2,1.6003084182739258,0.01670501445145546
87,C9orf3,1.5930523872375488,3.700425429871244e-07
88,PLPP4,1.590410828590393,0.02108446917241322
89,OAS3,1.587525486946106,0.010739813917079427
90,UCK2,1.587496042251587,2.5487703989903026e-05
91,COL18A1,1.5741857290267944,0.006686013491881896
92,GORAB,1.5604307651519775,0.0014988414685784875
93,CASD1,1.5547679662704468,0.03552782866617895
94,DENND1A,1.5533732175827026,0.015575747729825411
95,C19orf66,1.545440435409546,0.02127039899812136
96,ASB6,1.5391401052474976,0.018267638510255427
97,NRAV,1.5264191627502441,0.017605509381581272
98,NAA40,1.519887089729309,0.0018925985380062974
99,B3GLCT,1.5189889669418335,0.03607826785309617
100,RP11-83A24.2,1.5069512128829956,0.0038105783680295303
101,NFKB2,1.5052642822265625,0.020964917602494245
102,EPB41L4B,1.5005680322647095,0.0020400737949578993
103,PTGR1,1.4985038042068481,9.531513435659798e-05
104,SLC35D1,1.4903857707977295,0.015896193838328302
105,PXMP4,1.4890848398208618,0.014585039990253285
106,KLF4,1.4870939254760742,0.0005091340790836126
107,ATP8B2,1.4836925268173218,0.03780942826769373
108,FLJ22447,1.4708267450332642,0.03564762110189815
109,ZSCAN12,1.4624898433685303,0.032405038877969736
110,RP11-525A16.4,1.4548673629760742,0.018763678790957496
111,FAM127A,1.4537808895111084,1.4474603781739748e-05
112,ENTPD5,1.4423750638961792,0.025097044960502378
113,DENND5B,1.4375193119049072,0.012004474377247734
114,NBPF14,1.4369282722473145,0.022496813283842645
115,FAM53C,1.4305119514465332,0.022915152518271868
116,FMNL3,1.4287948608398438,0.03828040406785563
117,PKNOX1,1.4270436763763428,0.003007003521493127
118,CELF2,1.4125611782073975,3.0196019525463935e-05
119,HIST1H2BJ,1.4106130599975586,0.015450829019695056
120,NAA60,1.4099169969558716,0.012539311209606153
121,MTMR1,1.4094741344451904,0.033380949612991505
122,KATNAL1,1.406343698501587,0.01103818032638079
123,HDHD2,1.4026856422424316,0.010436905499493526
124,HMG20A,1.3990602493286133,0.012684986766092468
125,RP11-127B20.3,1.3905882835388184,0.02416186439034921
126,NUDT9,1.3903656005859375,0.0007740586674711684
127,NDE1,1.3882935047149658,0.02814888187461302
128,NCS1,1.3826476335525513,0.0003029801568253076
